SupplierTitle,AmazonTitle,ASIN,tier,flags,SupplierPrice_incVAT,SellingPrice_incVAT,NetProfit,ROI,sales_value,review_stage,title_verdict,pack_verdict,listing_active,current_price,current_sales_signal,current_netprofit,current_roi,final_verdict,verdict_reason,SupplierURL,AmazonURL
EXTRA SELECT SWAN AND DUCK FEED 5L,"Extra Select Premium Floating Swan and Duck Feed, 5 Litre",B07DFWX1LB,TIER_1_VERIFIED,,6.119999999999999,14.89,0.7683333333333351,13.598820058997084,1000,title_only_pending,,,,,,,,,,https://www.efghousewares.co.uk/extra-select-swan-and-duck-feed-5l-115012,https://www.amazon.co.uk/dp/B07DFWX1LB
PIFCO BLACK TOASTER 2 SLICE,PIFCO® Black Toaster 2 Slice - 700W - 6 Browning Controls & Anti-Jam Function - Compact Design 2 Slice Toaster - Easy to Clean with Removable Crumbs Tray,B09VPLM7VM,TIER_1_VERIFIED,BRAND_MISMATCH,7.992,16.19,0.4316666666666691,5.987055016181263,1000,title_only_pending,,,,,,,,,,https://www.efghousewares.co.uk/pifco-black-toaster-2-slice-107586,https://www.amazon.co.uk/dp/B09VPLM7VM
ELBOW GREASE TOILET CLEANER FOAM LEMON FRESH 500G,"3 x Elbow Grease Foaming Toilet Cleaner, Deep Cleaning Action, Lemon Fresh Fragrance 500g",B0CCJS5GKB,TIER_1_VERIFIED,BRAND_MISMATCH,2.088,9.8,1.3466666666666676,58.80640465793307,200,title_only_pending,,,,,,,,,,https://www.efghousewares.co.uk/elbow-grease-toilet-cleaner-lemon-104099,https://www.amazon.co.uk/dp/B0CCJS5GKB
PYREX ESSENTIALS CASSEROLE OVAL 4.1LTR,"Pyrex Oval Casserole with Lid Classic Glass, Transparent, 6.3 cm, 4.0 L",B01LCYXS24,TIER_1_VERIFIED,,10.547999999999998,19.69,0.6283333333333363,6.727337615988612,100,title_only_pending,,,,,,,,,,https://www.efghousewares.co.uk/pyrex-essentials-casserole-oval-3ltr-pm-,https://www.amazon.co.uk/dp/B01LCYXS24
GABBYS DOLLHOUSE STICKER BOOK,"ALLIGATOR - Gabby's Dollhouse Sticker Book, Sticker Book, Sticker Books, Gabbys Dollhouse Toys UK, Gabby's Dollhouse Book,Sticker Activity Book, Reusable Sticker Book",1788245415,TIER_1_VERIFIED,BRAND_MISMATCH,1.212,4.99,0.4683333333333341,30.021367521367576,100,title_only_pending,,,,,,,,,,https://www.efghousewares.co.uk/gabbys-dollhouse-sticker-book-117428,https://www.amazon.co.uk/dp/1788245415
KATS ROMEO CAT LITTER TRAY TOILET HOUSE GREY,"Dogi Click and Secure Pet Cat Litter Tray Toilet Box, Grey",B00P2R81MU,TIER_1_VERIFIED,BRAND_MISMATCH,10.608,23.0,0.1966666666666696,2.094426695065704,100,title_only_pending,,,,,,,,,,https://www.efghousewares.co.uk/kats-romeo-cat-litter-tray-toilet-house-grey-113411,https://www.amazon.co.uk/dp/B00P2R81MU
ESCENTI TEA TREE CREAM,Escenti Tea Tree Cream 28g,B0995W6PHP,TIER_1_VERIFIED,,1.14,4.12,0.1033333333333335,6.8888888888889,100,title_only_pending,,,,,,,,,,https://www.efghousewares.co.uk/escenti-tea-tree-cream,https://www.amazon.co.uk/dp/B0995W6PHP
ROYALFORD SILICONE EGG WHISK GREY,"Royalford Silicone Balloon Egg Whisk with Beechwood Handle & Hanging Hook – Non-Scratch, Heat-Resistant Whisk for Cooking & Baking, 26cm",B0FVB4Y46L,TIER_1_VERIFIED,,1.416,6.5,0.0566666666666675,3.2755298651252907,100,title_only_pending,,,,,,,,,,https://www.efghousewares.co.uk/royalford-silicone-egg-whisk-grey-112831,https://www.amazon.co.uk/dp/B0FVB4Y46L
TREAT AND EASE EYE MIST SPRAY,Eye Mist Eyelid Spray for Refreshing Soothing Relief Dry Tired Irritated Itch Sore Eyes 15ml,B093H2DHHF,TIER_1_VERIFIED,BRAND_MISMATCH,1.008,3.93,0.0550000000000002,3.95683453237412,100,title_only_pending,,,,,,,,,,https://www.efghousewares.co.uk/treat-and-ease-eye-mist-spray-106977,https://www.amazon.co.uk/dp/B093H2DHHF
SUPER DREAMER FITTED SHEET KING BLACK,"GC GAVENO CAVAILIA Fitted Sheet King Size (25cm) Deep Pocket - Microfiber Bed Sheets Black - Breathable, Fade & Wrinkle Resistant - Elasticated Corners - Easycare Mattress & Bottom Sheet (152x203cm)",B0BTMNY9RV,TIER_1_VERIFIED,BRAND_MISMATCH,3.888,9.49,0.0383333333333342,1.0114335971855994,100,title_only_pending,,,,,,,,,,https://www.efghousewares.co.uk/super-dreamer-fitted-sheet-king-black-123682,https://www.amazon.co.uk/dp/B0BTMNY9RV
MUNCH CRUNCH SERRANO HAM/TURKEY TREAT,Munch & Crunch Serrano Ham Bone Large Treats For Dogs x 18 Bones,B0CVQP7XXD,TIER_3_NEEDS_REVIEW,"AMAZON_EAN_MISSING,EXTREME_PRICE_RATIO",1.212,25.49,14.085416666666664,902.9113247863248,50,title_only_pending,,,,,,,,,,https://www.efghousewares.co.uk/munch-crunch-serrano-ham-turkey-treat,https://www.amazon.co.uk/dp/B0CVQP7XXD
WHAM CASA BLACK HIPSTER BASKET,Wham Casa Hipster Laundry Basket (Black),B0FC6Q9X3H,TIER_1_VERIFIED,,3.492,11.98,2.6158333333333337,75.60211946050097,50,title_only_pending,,,,,,,,,,https://www.efghousewares.co.uk/wham-casa-black-hipster-basket-120804,https://www.amazon.co.uk/dp/B0FC6Q9X3H
SOUDAL FOAM WIN & DOOR GEN GUN 600ML CHAM,2 x Soudal Soudafoam Window & Door Genius Gun - 600ml,B07L4Y5CBD,TIER_1_VERIFIED,BRAND_MISMATCH,4.968,12.13,1.492083333333335,31.814143567874947,50,title_only_pending,,,,,,,,,,https://www.efghousewares.co.uk/soudal-foam-win-door-gen-gun-600ml-cham,https://www.amazon.co.uk/dp/B07L4Y5CBD
RYSONS PLASTIC BOWLS W/STRAW 4PCE,"Plastic 4 Sippy Bowls Bowls with Built in Straw - Green, Blue, Orange & Purple",B0863MYSTY,TIER_1_VERIFIED,BRAND_MISMATCH,1.14,7.05,1.125,75.0,50,title_only_pending,,,,,,,,,,https://www.efghousewares.co.uk/rysons-plastic-bowls-w-straw-4pce,https://www.amazon.co.uk/dp/B0863MYSTY
ADDIS CUTLERY DRAINER LINEN,Addis Linen Cutlery Drainer With Removable Compartment,B0009K4HGE,TIER_1_VERIFIED,,4.4352,11.17,1.1123333333333325,26.197205212749225,50,title_only_pending,,,,,,,,,,https://www.efghousewares.co.uk/104593,https://www.amazon.co.uk/dp/B0009K4HGE
ELLIOTTS GLASS SPRAY BOTTLE BROWN480ML,"Elliott 480ml Brown Glass Spray Bottle, Manufactured from Recycled Glass and featuring a locking trigger action spray Mechanism, Ideal for use for Cleaning, Watering Plants and many other uses",B099X92QGG,TIER_1_VERIFIED,BRAND_MISMATCH,1.812,7.18,0.6533333333333329,31.71521035598704,50,title_only_pending,,,,,,,,,,https://www.efghousewares.co.uk/elliotts-glass-spray-bottle-brown480ml,https://www.amazon.co.uk/dp/B099X92QGG
ROYLE HOME SPRINGFORM CAKE TIN,"Royle Kids 2 Mini Springform Cake Tin Kids Round 5Inch Non Stick Springform Baking Tin 12cm,Black",B01APK7CDC,TIER_1_VERIFIED,,1.944,7.99,0.6083333333333341,28.033794162826453,50,title_only_pending,,,,,,,,,,https://www.efghousewares.co.uk/royle-home-springform-cake-tin-26-9,https://www.amazon.co.uk/dp/B01APK7CDC
COOPER & PALS SQUEAKY CHIKEN,Cooper & Pals Squawking Chicken Toy For Dogs,B08ZL14VNR,TIER_1_VERIFIED,,0.852,6.11,0.4916666666666669,39.02116402116404,50,title_only_pending,,,,,,,,,,https://www.efghousewares.co.uk/cooper-pals-squeaky-chiken-110775,https://www.amazon.co.uk/dp/B08ZL14VNR
SIMMER RING,Simmer Ring Pan Mat Heat Diffuser For Gas Electric Cookers Stove Hob 21cm,B0BQRTLJS2,TIER_1_VERIFIED,,1.14,4.95,0.1549999999999998,10.33333333333332,50,title_only_pending,,,,,,,,,,https://www.efghousewares.co.uk/simmer-ring-105738,https://www.amazon.co.uk/dp/B0BQRTLJS2
SUPER DREAMER FITTED SHEET DOUBLE  BLACK,"GC GAVENO CAVAILIA Microfiber Fitted Sheet Double - Plain Bed Sheets - Deep Pocket 10 inch (25cm) - Shrinkage, Fade & Wrinkle Resistant Bottom Sheet, Black to Mattress (137x193 cm) - Machine Washable",B0BTMS65BX,TIER_1_VERIFIED,BRAND_MISMATCH,3.456,8.99,0.1016666666666676,2.964042759961157,50,title_only_pending,,,,,,,,,,https://www.efghousewares.co.uk/super-dreamer-fitted-sheet-double-black-123678,https://www.amazon.co.uk/dp/B0BTMS65BX
