SupplierTitle,AmazonTitle,EAN,EAN_OnPage,ASIN,SupplierPrice_incVAT,SellingPrice_incVAT,NetProfit,ROI,bought_in_past_month,amazon_sales_badge,sales_value,tier,confidence_score,flags,reasons,ean_exact_match,SupplierURL,AmazonURL,fba_seller_count,Category,NetProfit_num,sales_num,shared_terms,candidate_reason
EXTRA SELECT SWAN AND DUCK FEED 5L,"Extra Select Premium Floating Swan and Duck Feed, 5 Litre",5022245000039,5022245000039,B07DFWX1LB,6.119999999999999,14.89,0.7683333333333351,13.598820058997083,1000.0,,1000,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.76, shared=5),Brand match: extra",true,https://www.efghousewares.co.uk/extra-select-swan-and-duck-feed-5l-115012,https://www.amazon.co.uk/dp/B07DFWX1LB,,Extra Select Swan And Duck Feed 5L 115012,0.7683333333333351,1000,"duck, extra, feed, select, swan",strong_candidate
PIFCO BLACK TOASTER 2 SLICE,PIFCO® Black Toaster 2 Slice - 700W - 6 Browning Controls & Anti-Jam Function - Compact Design 2 Slice Toaster - Easy to Clean with Removable Crumbs Tray,5021961204684,5021961204684,B09VPLM7VM,7.992,16.19,0.4316666666666691,5.987055016181263,1000.0,,1000,TIER_1_VERIFIED,40,BRAND_MISMATCH,"Exact EAN match (checksum verified),Weak title match (sim=0.31, shared=4)",true,https://www.efghousewares.co.uk/pifco-black-toaster-2-slice-107586,https://www.amazon.co.uk/dp/B09VPLM7VM,,Pifco Black Toaster 2 Slice 107586,0.4316666666666691,1000,"black, pifco, slice, toaster",review_pack_or_brand
NEON COLOURING SET,"CRAYOLA Inspiration Art Case - 140 Pieces of Colouring Fun! | Includes Crayons, Markers, Pencils & Paper | Ideal for Kids Aged 5+",5015934803813,71662045326,B00CI6J5JQ,3.324,14.57,3.1516666666666673,94.92971887550202,900.0,900.0,900,TIER_4_REJECTED,0,"AMAZON_EAN_MISSING,BRAND_MISMATCH","Supplier EAN present, Amazon EAN missing,Weak title match (sim=0.23, shared=1)",false,https://www.efghousewares.co.uk/neon-colouring-set-118509,https://www.amazon.co.uk/dp/B00CI6J5JQ,Available (see Keepa data),Neon Colouring Set 118509,3.1516666666666677,900,colouring,exclude_t4_before_manual_review
MAGNETIC TRAVEL GAMES,"JJPRIME - Magnetic Travel Board Games Set of 4 Chess, Draughts, Ludo, Snakes and Ladders Game for Kids Travel Games For Kids On Plane | Magnetic Games For Kid Travel Chess Set Magnetic with Pouch",5050565241924,5055871772346,B01IB2SNES,0.804,9.99,3.1850000000000014,261.0655737704919,600.0,600.0,600,TIER_4_REJECTED,0,"EAN_MISMATCH,BRAND_MISMATCH","EAN mismatch: supplier=5050565241924 vs amazon=5055871772346,Weak title match (sim=0.20, shared=3)",false,https://www.efghousewares.co.uk/magnetic-travel-games,https://www.amazon.co.uk/dp/B01IB2SNES,Available (see Keepa data),Magnetic Travel Games,3.1850000000000014,600,"games, magnetic, travel",exclude_t4_before_manual_review
PRIMA STAINLESS STEEL STRAINER SET 3PK,"Sieves and Strainers Set – 3 Pack Stainless Steel Fine Mesh Sieve (7cm, 12cm, 18cm) | Rust Free, Dishwasher Safe, Flour Sifter for Baking & Cooking",5038673184869,195893181537,B09DYDR5F2,1.14,9.49,2.288333333333334,152.5555555555556,600.0,600.0,600,TIER_4_REJECTED,0,"EAN_MISMATCH,BRAND_MISMATCH","EAN mismatch: supplier=5038673184869 vs amazon=195893181537,Weak title match (sim=0.35, shared=2)",false,https://www.efghousewares.co.uk/prima-s-s-strainer-set-3pk,https://www.amazon.co.uk/dp/B09DYDR5F2,Available (see Keepa data),Prima S S Strainer Set 3Pk,2.288333333333334,600,"set, stainless, steel",exclude_t4_before_manual_review
REDWOOD TELESCOPIC HIKING POLE,"Underwood-Aggregator Walking Poles - 2 Pack Collapsible Hiking Poles for Women and Men, Ultralight Telescopic Backpacking Walking Stick, Adjustable Trekking Poles for Mountaining, Anti-shock System",5017403136965,746555543011,B0BJTS7R9X,3.828,23.99,9.691666666666665,259.1354723707664,500.0,500.0,500,TIER_4_REJECTED,0,"EAN_MISMATCH,BRAND_MISMATCH","EAN mismatch: supplier=5017403136965 vs amazon=746555543011,Weak title match (sim=0.24, shared=2)",false,https://www.efghousewares.co.uk/redwood-telescopic-hiking-pole-109411,https://www.amazon.co.uk/dp/B0BJTS7R9X,Available (see Keepa data),Redwood Telescopic Hiking Pole 109411,9.691666666666665,500,"hiking, telescopic",exclude_t4_before_manual_review
KINGAVON 2 WAY PLUG ADAPTOR WITH TYPE C & USB,"Multi Plug Extension Socket with 4 USB (2 Type C), ANVODE 4 Way Plug Adaptor with Short Cable, Adapter Plug UK Turn 1 to 8, Short Extension Lead Power Strip for Bedroom, Office, Kitchen. White",5017403134213,,B0F327VS5G,7.9776,15.99,1.0770000000000006,14.96248958043902,400.0,400.0,400,TIER_4_REJECTED,0,"AMAZON_EAN_MISSING,BRAND_MISMATCH","Supplier EAN present, Amazon EAN missing,Weak title match (sim=0.32, shared=5)",false,https://www.efghousewares.co.uk/kingavon-2-way-plug-adaptor-with-type-c-usb-109589,https://www.amazon.co.uk/dp/B0F327VS5G,Available (see Keepa data),Other,1.0770000000000006,400,"adaptor, plug, type, usb, way",exclude_t4_before_manual_review
KINGFISHER PATIO WEED BRUSH 120CM,"Harbour Housewares Wooden Long Handle Weed Brush - Patio & Driveway Weed Remover with Brass Bristles and Steel Scraper - 120cm Garden Path, Block Paving & Moss Cleaner",5013478150851,5056703623256,B0F4XH7PSR,2.088,8.99,1.6679166666666665,72.83478893740902,200.0,200.0,200,TIER_4_REJECTED,0,"EAN_MISMATCH,BRAND_MISMATCH","EAN mismatch: supplier=5013478150851 vs amazon=5056703623256,Weak title match (sim=0.22, shared=4)",false,https://www.efghousewares.co.uk/kingfisher-patio-weed-brush-120cm-5-10,https://www.amazon.co.uk/dp/B0F4XH7PSR,,Kingfisher Patio Weed Brush 120Cm 5 10,1.6679166666666665,200,"120cm, brush, patio, weed",exclude_t4_before_manual_review
ELBOW GREASE TOILET CLEANER FOAM LEMON FRESH 500G,"3 x Elbow Grease Foaming Toilet Cleaner, Deep Cleaning Action, Lemon Fresh Fragrance 500g",5053249253183,5053249253183,B0CCJS5GKB,2.088,9.8,1.3466666666666676,58.80640465793307,200.0,200.0,200,TIER_1_VERIFIED,75,BRAND_MISMATCH,"Exact EAN match (checksum verified),Strong title match (sim=0.68, shared=7)",true,https://www.efghousewares.co.uk/elbow-grease-toilet-cleaner-lemon-104099,https://www.amazon.co.uk/dp/B0CCJS5GKB,,Elbow Grease Toilet Cleaner Lemon 104099,1.3466666666666676,200,"500g, cleaner, elbow, fresh, grease, lemon, toilet",review_pack_or_brand
ISLA BABY DOLL SET 26CM,"vamei Baby Doll Set, 12 Inches Baby Born Dolls for Girls, Baby Doll Accessories with Clothes Carrier Bassinet Bed Bottle Feeding Set, Pretend Play Toddler Toys Gift for 3 4 5 6 Years Old Girls",5012866303183,,B0DRG3DXWF,7.859999999999999,29.99,10.141666666666666,142.84037558685446,100.0,100.0,100,TIER_4_REJECTED,0,"AMAZON_EAN_MISSING,BRAND_MISMATCH","Supplier EAN present, Amazon EAN missing,Weak title match (sim=0.17, shared=2)",false,https://www.efghousewares.co.uk/isla-baby-doll-set-26cm-123820,https://www.amazon.co.uk/dp/B0DRG3DXWF,Available (see Keepa data),Isla Baby Doll Set 26Cm 123820,10.141666666666666,100,"baby, doll, set",exclude_t4_before_manual_review
