SupplierTitle,AmazonTitle,EAN,EAN_OnPage,ASIN,SupplierPrice_incVAT,SellingPrice_incVAT,NetProfit,ROI,bought_in_past_month,amazon_sales_badge,sales_value,tier,confidence_score,flags,reasons,ean_exact_match,SupplierURL,AmazonURL,fba_seller_count,Category,NetProfit_num,sales_num,shared_terms,candidate_reason
EXTRA SELECT SWAN AND DUCK FEED 5L,"Extra Select Premium Floating Swan and Duck Feed, 5 Litre",5022245000039,5022245000039.0,B07DFWX1LB,6.119999999999999,14.89,0.7683333333333351,13.598820058997084,1000.0,,1000,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.76, shared=5),Brand match: extra",True,https://www.efghousewares.co.uk/extra-select-swan-and-duck-feed-5l-115012,https://www.amazon.co.uk/dp/B07DFWX1LB,,Extra Select Swan And Duck Feed 5L 115012,0.7683333333333351,1000,"duck, extra, feed, select, swan",strong_candidate
PIFCO BLACK TOASTER 2 SLICE,PIFCO® Black Toaster 2 Slice - 700W - 6 Browning Controls & Anti-Jam Function - Compact Design 2 Slice Toaster - Easy to Clean with Removable Crumbs Tray,5021961204684,5021961204684.0,B09VPLM7VM,7.992,16.19,0.4316666666666691,5.987055016181263,1000.0,,1000,TIER_1_VERIFIED,40,BRAND_MISMATCH,"Exact EAN match (checksum verified),Weak title match (sim=0.31, shared=4)",True,https://www.efghousewares.co.uk/pifco-black-toaster-2-slice-107586,https://www.amazon.co.uk/dp/B09VPLM7VM,,Pifco Black Toaster 2 Slice 107586,0.4316666666666691,1000,"black, pifco, slice, toaster",review_pack_or_brand
ELBOW GREASE TOILET CLEANER FOAM LEMON FRESH 500G,"3 x Elbow Grease Foaming Toilet Cleaner, Deep Cleaning Action, Lemon Fresh Fragrance 500g",5053249253183,5053249253183.0,B0CCJS5GKB,2.088,9.8,1.3466666666666676,58.80640465793307,200.0,200.0,200,TIER_1_VERIFIED,75,BRAND_MISMATCH,"Exact EAN match (checksum verified),Strong title match (sim=0.68, shared=7)",True,https://www.efghousewares.co.uk/elbow-grease-toilet-cleaner-lemon-104099,https://www.amazon.co.uk/dp/B0CCJS5GKB,,Elbow Grease Toilet Cleaner Lemon 104099,1.3466666666666676,200,"500g, cleaner, elbow, fresh, grease, lemon, toilet",review_pack_or_brand
PYREX ESSENTIALS CASSEROLE OVAL 4.1LTR,"Pyrex Oval Casserole with Lid Classic Glass, Transparent, 6.3 cm, 4.0 L",3426470268684,3426470268684.0,B01LCYXS24,10.547999999999998,19.69,0.6283333333333363,6.727337615988612,100.0,100.0,100,TIER_1_VERIFIED,80,,"Exact EAN match (checksum verified),Moderate title match (sim=0.47, shared=3),Brand match: pyrex",True,https://www.efghousewares.co.uk/pyrex-essentials-casserole-oval-3ltr-pm-,https://www.amazon.co.uk/dp/B01LCYXS24,,Pyrex Essentials Casserole Oval 3Ltr Pm ,0.6283333333333363,100,"casserole, oval, pyrex",strong_candidate
GABBYS DOLLHOUSE STICKER BOOK,"ALLIGATOR - Gabby's Dollhouse Sticker Book, Sticker Book, Sticker Books, Gabbys Dollhouse Toys UK, Gabby's Dollhouse Book,Sticker Activity Book, Reusable Sticker Book",9781788245418,9781788245418.0,1788245415,1.212,4.99,0.4683333333333341,30.021367521367576,100.0,100.0,100,TIER_1_VERIFIED,40,BRAND_MISMATCH,"Exact EAN match (checksum verified),Weak title match (sim=0.31, shared=4)",True,https://www.efghousewares.co.uk/gabbys-dollhouse-sticker-book-117428,https://www.amazon.co.uk/dp/1788245415,Available (see Keepa data),Gabbys Dollhouse Sticker Book 117428,0.4683333333333341,100,"book, dollhouse, gabbys, sticker",review_pack_or_brand
KATS ROMEO CAT LITTER TRAY TOILET HOUSE GREY,"Dogi Click and Secure Pet Cat Litter Tray Toilet Box, Grey",5414886297341,5414886297341.0,B00P2R81MU,10.608,23.0,0.1966666666666696,2.094426695065704,100.0,100.0,100,TIER_1_VERIFIED,75,BRAND_MISMATCH,"Exact EAN match (checksum verified),Strong title match (sim=0.65, shared=5)",True,https://www.efghousewares.co.uk/kats-romeo-cat-litter-tray-toilet-house-grey-113411,https://www.amazon.co.uk/dp/B00P2R81MU,,Kats Romeo Cat Litter Tray Toilet House Grey 113411,0.1966666666666696,100,"cat, grey, litter, toilet, tray",review_pack_or_brand
ESCENTI TEA TREE CREAM,Escenti Tea Tree Cream 28g,5020535013998,5020535013998.0,B0995W6PHP,1.14,4.12,0.1033333333333335,6.8888888888889,100.0,100.0,100,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.92, shared=4),Brand match: escenti",True,https://www.efghousewares.co.uk/escenti-tea-tree-cream,https://www.amazon.co.uk/dp/B0995W6PHP,Available (see Keepa data),Escenti Tea Tree Cream,0.1033333333333335,100,"cream, escenti, tea, tree",strong_candidate
ROYALFORD SILICONE EGG WHISK GREY,"Royalford Silicone Balloon Egg Whisk with Beechwood Handle & Hanging Hook – Non-Scratch, Heat-Resistant Whisk for Cooking & Baking, 26cm",6294016430270,6294016430270.0,B0FVB4Y46L,1.416,6.5,0.0566666666666675,3.2755298651252907,100.0,100.0,100,TIER_1_VERIFIED,80,,"Exact EAN match (checksum verified),Moderate title match (sim=0.40, shared=4),Brand match: royalford",True,https://www.efghousewares.co.uk/royalford-silicone-egg-whisk-grey-112831,https://www.amazon.co.uk/dp/B0FVB4Y46L,Available (see Keepa data),Royalford Silicone Egg Whisk Grey 112831,0.0566666666666675,100,"egg, royalford, silicone, whisk",strong_candidate
TREAT AND EASE EYE MIST SPRAY,Eye Mist Eyelid Spray for Refreshing Soothing Relief Dry Tired Irritated Itch Sore Eyes 15ml,5056175904327,5056175904327.0,B093H2DHHF,1.008,3.93,0.0550000000000002,3.95683453237412,100.0,100.0,100,TIER_1_VERIFIED,40,BRAND_MISMATCH,"Exact EAN match (checksum verified),Weak title match (sim=0.23, shared=3)",True,https://www.efghousewares.co.uk/treat-and-ease-eye-mist-spray-106977,https://www.amazon.co.uk/dp/B093H2DHHF,Available (see Keepa data),Treat And Ease Eye Mist Spray 106977,0.0550000000000002,100,"eye, mist, spray",review_pack_or_brand
SUPER DREAMER FITTED SHEET KING BLACK,"GC GAVENO CAVAILIA Fitted Sheet King Size (25cm) Deep Pocket - Microfiber Bed Sheets Black - Breathable, Fade & Wrinkle Resistant - Elasticated Corners - Easycare Mattress & Bottom Sheet (152x203cm)",5051346795957,5051346795957.0,B0BTMNY9RV,3.888,9.49,0.0383333333333342,1.0114335971855994,100.0,100.0,100,TIER_1_VERIFIED,40,BRAND_MISMATCH,"Exact EAN match (checksum verified),Weak title match (sim=0.24, shared=4)",True,https://www.efghousewares.co.uk/super-dreamer-fitted-sheet-king-black-123682,https://www.amazon.co.uk/dp/B0BTMNY9RV,,Super Dreamer Fitted Sheet King Black 123682,0.0383333333333342,100,"black, fitted, king, sheet",review_pack_or_brand
