SupplierTitle,AmazonTitle,EAN,EAN_OnPage,ASIN,SupplierPrice_incVAT,SellingPrice_incVAT,NetProfit,ROI,bought_in_past_month,amazon_sales_badge,sales_value,tier,confidence_score,flags,reasons,ean_exact_match,SupplierURL,AmazonURL,fba_seller_count,Category,Bucket,Unit_Qty_Flag,Unit_Qty_Note,FinReport_NetProfit,Profit_Discrepancy
BAR KEEPERS FRIEND CREAM 350ML(SOLD EACH),"Bar Keepers Friend Power Cream 350ml, 350 ml (Pack of 1)",5014353089631,,B00BSAA38K,2.22,4.64,0.628333333,-69.30555556,3000,,3000,TIER_2_LIKELY,45,"AMAZON_EAN_MISSING,UNPROFITABLE","Supplier EAN present, Amazon EAN missing,Strong title match (sim=0.74, shared=5),Brand match: bar",FALSE,https://www.efghousewares.co.uk/bar-keepers-friend-cream-350g-single,https://www.amazon.co.uk/dp/B00BSAA38K,Available (see Keepa data),Bar Keepers Friend Cream 350G Single,C,MATCH,,,NO
GORILLA  SUPER GLUE XL 25G,Gorilla Super Glue XL 25g,5704947013219,5704947013219,B0BN6VM4MH,6.456,6.84,0.628333333,-44.51939292,3000,,3000,TIER_1_VERIFIED,95,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.98, shared=4),Brand match: gorilla",TRUE,https://www.efghousewares.co.uk/gorilla-super-glue-xl-25g-106304,https://www.amazon.co.uk/dp/B0BN6VM4MH,Available (see Keepa data),Gorilla Super Glue Xl 25G 106304,C,MATCH,,,NO
ELBOW GREASE RUBBER GLOVE LARGE,"Elbow Grease Rubber Gloves | Cotton Lined, Super Strong, Non-Slip Household Cleaning Gloves (Large)",5053249239064,5053249239064,B084D95JTZ,0.924,1.49,0.628333333,-208.2070707,3000,,3000,TIER_1_VERIFIED,80,UNPROFITABLE,"Exact EAN match (checksum verified),Moderate title match (sim=0.50, shared=4),Brand match: elbow",TRUE,https://www.efghousewares.co.uk/elbow-grease-rubber-glove-lge-16-12,https://www.amazon.co.uk/dp/B084D95JTZ,Available (see Keepa data),Elbow Grease Rubber Glove Lge 16 12,C,MATCH,,,NO
GORILLA GLUE GEL 25G SUPERXL,"Gorilla Super Glue Gel XL, 25g – All Purpose, Fast Setting & Thicker, More Controlled Formula, Ideal for Metal, Ceramics, Leather & More",5704947016265,5704947016265,B0DNZQKD6D,6.516,8.55,0.628333333,-24.49832776,2000,,2000,TIER_1_VERIFIED,60,UNPROFITABLE,"Exact EAN match (checksum verified),Weak title match (sim=0.32, shared=4),Brand match: gorilla",TRUE,https://www.efghousewares.co.uk/gorilla-glue-gel-25g-superxl-115285,https://www.amazon.co.uk/dp/B0DNZQKD6D,Available (see Keepa data),Gorilla Glue Gel 25G Superxl 115285,C,MATCH,,,NO
BG 1 GANG 2 WAY SWITCH BRUSHED CHROME,"BG Electrical Single Wall Light Switch, 2 Way, Raised and Slim Profile, Round Edges, Nexus Metal, Brushed Steel, 20A, 16AX, NBS12",5050765018821,5050765018821,B007CVCTR2,3.36,4.94,0.628333333,-46.96517413,2000,,2000,TIER_1_VERIFIED,60,UNPROFITABLE,"Exact EAN match (checksum verified),Weak title match (sim=0.33, shared=3),Brand match: bg",TRUE,https://www.efghousewares.co.uk/bg-1-gang-2-way-switch-b-chrome,https://www.amazon.co.uk/dp/B007CVCTR2,Available (see Keepa data),Bg 1 Gang 2 Way Switch B Chrome,C,MATCH,,,NO
TIPPEX CARDED,TIPP-EX RAPID CORRECTEUR LIQUIDE - 20 ML. BLISTER DE 1,3086126100272,3086126100272,B004YK5052,1.272,2.7,0.628333333,-137.7329193,2000,,2000,TIER_1_VERIFIED,40,"BRAND_MISMATCH,UNPROFITABLE","Exact EAN match (checksum verified),Weak title match (sim=0.38, shared=0)",TRUE,https://www.efghousewares.co.uk/tippex-carded,https://www.amazon.co.uk/dp/B004YK5052,,Tippex Carded,C,MATCH,,,NO
EXTRA SELECT SWAN AND DUCK FEED 5L,"Extra Select Premium Floating Swan and Duck Feed, 5 Litre",5022245000039,5022245000039,B07DFWX1LB,6.12,14.89,0.768333333,13.59882006,1000,,1000,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.76, shared=5),Brand match: extra",TRUE,https://www.efghousewares.co.uk/extra-select-swan-and-duck-feed-5l-115012,https://www.amazon.co.uk/dp/B07DFWX1LB,,Extra Select Swan And Duck Feed 5L 115012,A,MATCH,,-2.055,YES
PIFCO BLACK TOASTER 2 SLICE,PIFCO® Black Toaster 2 Slice - 700W - 6 Browning Controls & Anti-Jam Function - Compact Design 2 Slice Toaster - Easy to Clean with Removable Crumbs Tray,5021961204684,5021961204684,B09VPLM7VM,7.992,16.19,0.628333333,5.987055016,1000,,1000,TIER_1_VERIFIED,40,BRAND_MISMATCH,"Exact EAN match (checksum verified),Weak title match (sim=0.31, shared=4)",TRUE,https://www.efghousewares.co.uk/pifco-black-toaster-2-slice-107586,https://www.amazon.co.uk/dp/B09VPLM7VM,,Pifco Black Toaster 2 Slice 107586,C,MATCH,,,NO
DOFF DRIP FEED ORCHID PACK OF 10,Doff Orchid Drip Feed – 10x30ml Bottles Fast-Acting Plant Food for Healthy Growth of Orchids & Flowering Plants – Nutrient Enriched Plant Feed – Encourages Root Development,5050375947801,5050375947801,B01N7SJUUI,2.808,6.39,0.628333333,-40.65743945,1000,,1000,TIER_1_VERIFIED,60,UNPROFITABLE,"Exact EAN match (checksum verified),Weak title match (sim=0.28, shared=4),Brand match: doff",TRUE,https://www.efghousewares.co.uk/doff-drip-feed-orchid-pk10,https://www.amazon.co.uk/dp/B01N7SJUUI,Available (see Keepa data),Doff Drip Feed Orchid Pk10,C,UNCLEAR,Supplier qty PACK OF 10 exceeds Amazon qty 1; manual review advised.,,NO
ACANA MOTH MONITORING TRAP REFILL 2PK,"Acana Moth Trap Refills, Pack of 2 Pads - Ideal for Protecting Clothes, Carpets & Wardrobes - Home & Surfaces - Traps Moths, Pheromone Technology - Harsh Chemical Free - Refillable",5060214390897,5060214390897,B00SB9FQ1A,5.16,6.23,0.628333333,-33.36769759,1000,900,1000,TIER_1_VERIFIED,60,UNPROFITABLE,"Exact EAN match (checksum verified),Weak title match (sim=0.24, shared=3),Brand match: acana",TRUE,https://www.efghousewares.co.uk/acana-moth-monitoring-trap-refill-2pk-124189,https://www.amazon.co.uk/dp/B00SB9FQ1A,Available (see Keepa data),Acana Moth Monitoring Trap Refill 2Pk 124189,C,MATCH,,,NO
