SupplierTitle,AmazonTitle,EAN,EAN_OnPage,ASIN,SupplierPrice_incVAT,SellingPrice_incVAT,NetProfit,ROI,bought_in_past_month,amazon_sales_badge,sales_value,tier,confidence_score,flags,reasons,ean_exact_match,SupplierURL,AmazonURL,fba_seller_count,Category
SCENTED PILLAR CANDLE 15CM 4 ASSTD SCENTS,SCENTED PILLAR CANDLE 15CM 4 ASSORTED SCENTS,5050565549907,5050565549907,B0CPLNBFM8,1.812,12.69,4.51875,219.35679611650482,,,0,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.96, shared=5),Brand match: scented",true,https://www.efghousewares.co.uk/scented-pillar-candle-15cm-4-asstd-scents-120070,https://www.amazon.co.uk/dp/B0CPLNBFM8,,Scented Pillar Candle 15Cm 4 Asstd Scents 120070
COOPER & PALS TENNIS BAL LAUNCHER,Cooper & Pals Tennis Ball Launcher,5056175986996,5056175986996,B0DV6J11L8,1.14,11.99,3.201666666666666,213.4444444444444,,,0,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.98, shared=4),Brand match: cooper",true,https://www.efghousewares.co.uk/cooper-pals-tennis-bal-launcher-110782,https://www.amazon.co.uk/dp/B0DV6J11L8,Available (see Keepa data),Cooper Pals Tennis Bal Launcher 110782
INTEX SILICONE SWIMMING CAP AGE 8+,"INTEX - Silicone Swimming Cap One Size, Multicolor (1)",6941057428505,6941057428505,B0DNMK9QCL,2.8920000000000003,15.61,6.1883333333333335,209.06531531531533,,,0,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.72, shared=4),Brand match: intex",true,https://www.efghousewares.co.uk/intex-silicone-swimming-cap-age-8-,https://www.amazon.co.uk/dp/B0DNMK9QCL,,Intex Silicone Swimming Cap Age 8 
ROLSON BICYCLE REPAIR TOOL KIT 20PC SET,Rolson 40617 20 pc Bike Repair Tool Kit,5029594406178,5029594406178,B07G2JDYPG,2.22,14.24,4.656666666666667,194.02777777777777,,,0,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.67, shared=4),Brand match: rolson",true,https://www.efghousewares.co.uk/rolson-bicycle-repair-tool-kit-20pc-set,https://www.amazon.co.uk/dp/B07G2JDYPG,,Rolson Bicycle Repair Tool Kit 20Pc Set
SMART CHOICE DOG LEAD 3 ASSORTED COLOURS LARGE 120x2.5CM,Smart Choice Large Dog Lead 1.2m - 3 assorted colours,5052516106412,5052516106412,B08CF235H7,1.9440000000000002,10.99,3.204583333333333,147.67665130568355,,,0,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.75, shared=7),Brand match: smart",true,https://www.efghousewares.co.uk/smart-choice-lead-fabric-lrg-asstd-30-9,https://www.amazon.co.uk/dp/B08CF235H7,,Smart Choice Lead Fabric Lrg Asstd 30 9
DEFENDERS PATH & PATIO CLEANER 2LTR RTU,"Defenders Ready to Use Path and Patio Cleaner, 2L, Ready-to-use Sprayer",5036200129413,5036200129413,B0BYMSZ4PF,4.008,17.13,4.885000000000001,125.57840616966584,,,0,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.69, shared=4),Brand match: defenders",true,https://www.efghousewares.co.uk/defenders-path-patio-cleaner-2ltr-rtu,https://www.amazon.co.uk/dp/B0BYMSZ4PF,,Defenders Path Patio Cleaner 2Ltr Rtu
ROADSTER BIKE LOCK CABLE 10MMX650MM,Roadster 2 Key Bicycle Cable Lock Security Bike Cycle Gate 10mm x 650mm,5038673815213,5038673815213,B088N7M48Z,1.008,6.92,1.6366666666666665,117.74580335731413,,,0,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.60, shared=4),Brand match: roadster",true,https://www.efghousewares.co.uk/roadster-bike-lock-cable-10mmx650mm,https://www.amazon.co.uk/dp/B088N7M48Z,,Roadster Bike Lock Cable 10Mmx650Mm
ROLSON BRICK PROFILE CLAMP 330MM,Rolson Brick Profile Clamp 300mm Max Opening with Thumb Screw 52604,5029594526043,5029594526043,B0CNND3QPN,3.564,13.99,3.9795833333333333,113.05634469696967,,,0,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.63, shared=4),Brand match: rolson",true,https://www.efghousewares.co.uk/rolson-brick-profile-clamp-330mm-104933,https://www.amazon.co.uk/dp/B0CNND3QPN,,Rolson Brick Profile Clamp 330Mm 104933
JUST STATIONERY DOUBLE SIDED TAPE SET,Just stationery Double Sided Tape and Squares Set,5013922061559,5013922061559,B00DOUN8IE,0.852,5.99,1.221666666666667,96.95767195767198,,,0,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.86, shared=5),Brand match: just",true,https://www.efghousewares.co.uk/just-stationery-double-sided-tape-set,https://www.amazon.co.uk/dp/B00DOUN8IE,,Just Stationery Double Sided Tape Set
WHAM CASA BLACK HIPSTER BASKET,Wham Casa Hipster Laundry Basket (Black),5038135223068,5038135223068,B0FC6Q9X3H,3.492,11.98,2.6158333333333337,75.60211946050097,50.0,,50,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.71, shared=5),Brand match: wham",true,https://www.efghousewares.co.uk/wham-casa-black-hipster-basket-120804,https://www.amazon.co.uk/dp/B0FC6Q9X3H,,Wham Casa Black Hipster Basket 120804
