SupplierTitle,AmazonTitle,EAN,EAN_OnPage,ASIN,SupplierPrice_incVAT,SellingPrice_incVAT,NetProfit,ROI,bought_in_past_month,amazon_sales_badge,sales_value,tier,confidence_score,flags,reasons,ean_exact_match,title_similarity,shared_tokens,prob_estimate,sup_pack,amz_pack,pack_bucket,SupplierURL,AmazonURL,fba_seller_count,Category
LITTLE TREES CAR FRESHENER SUPERNOVA,Little Trees® MTR0092 Supernova,7612720200030.0,7612720200030.0,B0DLX1WN8H,0.936,22.0,11.723333333333336,881.4536340852133,,,0,TIER_1_A_VERIFIED,100,EXTREME_PRICE_RATIO,"Exact GTIN/EAN match with valid checksum,Posterior match probability=1.000,Char TF-IDF cosine=0.774,Word TF-IDF cosine=0.764,Shared tokens=3,Price ratio 23.5x,EAN match, no pack markers in either title (assumed single-unit)",true,0.727,3,0.9999,,,NEITHER,https://www.efghousewares.co.uk/little-trees-car-freshener-supernova-116778,https://www.amazon.co.uk/dp/B0DLX1WN8H,,Other
TIDYZ WHEELY BIN LINERS 5 BAGS 300L,"TIDYZ 300L WHEELIE BIN LINERS 5 PACK, (Pack Of 1)",5025364005824.0,5025364005824.0,B0CBVVF5TB,0.564,16.8,7.4700000000000015,732.3529411764707,,,0,TIER_1_B_AUDIT_OUT,100,EXTREME_PRICE_RATIO,"Exact GTIN/EAN match with valid checksum,Posterior match probability=1.000,Char TF-IDF cosine=0.750,Word TF-IDF cosine=0.631,Shared tokens=5,Measurement closeness=1.000,Price ratio 29.8x,EAN match, pack visible on one side only (ONLY_AMZ)",true,0.667,5,1,,1,ONLY_AMZ,https://www.efghousewares.co.uk/tidyz-wheely-bin-liners-5-bags-106238,https://www.amazon.co.uk/dp/B0CBVVF5TB,,Other
CAROLINE FOIL TART 40 CASES 1047,10 x Caroline Foil Mince Pie Case x 40 = 400 cases,5012145000246.0,5012145000246.0,B00P5R8OKQ,1.68,25.0,13.348333333333334,684.5299145299145,,,0,TIER_1_A_VERIFIED,100,BRAND_MISMATCH,"Exact GTIN/EAN match with valid checksum,Posterior match probability=1.000,Char TF-IDF cosine=0.648,Word TF-IDF cosine=0.626,Shared tokens=4,EAN match, no pack markers in either title (assumed single-unit)",true,0.6,4,1,,,NEITHER,https://www.efghousewares.co.uk/caroline-foil-tart-40-cases-1047,https://www.amazon.co.uk/dp/B00P5R8OKQ,,Other
KINGFISHER PLASTIC 10 PINT GLASSES,Pack of 100 Clear Plastic Pint Tumblers - Kingfisher Catering,5013478557995.0,5013478557995.0,B0114CS4PA,0.744,14.95,7.0095833333333335,599.1096866096867,,,0,TIER_1_B_AUDIT_OUT,100,"EXTREME_PRICE_RATIO,BRAND_MISMATCH","Exact GTIN/EAN match with valid checksum,Posterior match probability=0.999,Char TF-IDF cosine=0.542,Word TF-IDF cosine=0.224,Shared tokens=3,Price ratio 20.1x,EAN match, pack visible on one side only (ONLY_AMZ)",true,0.337,3,0.9994,,100,ONLY_AMZ,https://www.efghousewares.co.uk/kingfisher-plastic-10-pint-glasses,https://www.amazon.co.uk/dp/B0114CS4PA,,Other
PICK UP AND REACH TOOL 78CM,Rysons Reach & Pick-Up Tool Stick,5056239433022.0,5056239433022.0,B0CJ9HW4XB,1.476,19.99,9.96958333333333,560.0889513108613,,,0,TIER_1_A_VERIFIED,100,BRAND_MISMATCH,"Exact GTIN/EAN match with valid checksum,Posterior match probability=1.000,Char TF-IDF cosine=0.492,Word TF-IDF cosine=0.649,Shared tokens=4,EAN match, no pack markers in either title (assumed single-unit)",true,0.483,4,1,,,NEITHER,https://www.efghousewares.co.uk/pick-up-and-reach-tool-78cm,https://www.amazon.co.uk/dp/B0CJ9HW4XB,,Other
PAN AROMA OIL 2PK SCENT LAVENDER/VANILLA,Set Of 5 Pan Aroma Fragrance Oil For Oil Burners & Pot Pourri Assorted Scents,5050375125605.0,5050375125605.0,B00CDK109U,1.08,14.99,6.701666666666667,462.183908045977,,,0,TIER_1_B_AUDIT_OUT,100,BRAND_MISMATCH,"Exact GTIN/EAN match with valid checksum,Posterior match probability=0.999,Char TF-IDF cosine=0.289,Word TF-IDF cosine=0.261,Shared tokens=3,Pack-count difference detected,EAN match but pack differs (sup=2, amz=5) — audit NetProfit",true,0.365,3,0.9988,2,5,BOTH_DIFFERENT,https://www.efghousewares.co.uk/pan-aroma-oil-2pk-scent-lavender-vanilla-28-4,https://www.amazon.co.uk/dp/B00CDK109U,,Other
PPS 1PLY NAPKINS WHITE 250 PIECE,"1000 SOFT 1 PLY WHITE PAPER NAPKINS - 30cm x 30cm Ideal for cafes, restaurants, bars, parties, bbq's",5030481990335.0,5030481990335.0,B00R6B6B22,1.548,15.89,7.005416666666667,380.7291666666666,,,0,TIER_1_B_AUDIT_OUT,100,BRAND_MISMATCH,"Exact GTIN/EAN match with valid checksum,Posterior match probability=0.997,Char TF-IDF cosine=0.238,Word TF-IDF cosine=0.069,Shared tokens=2,EAN match, pack visible on one side only (ONLY_SUP)",true,0.344,2,0.9973,250,,ONLY_SUP,https://www.efghousewares.co.uk/pps-1ply-napkins-white-250-piece-108986,https://www.amazon.co.uk/dp/B00R6B6B22,,Other
ECO WISE PAPER CUPS 12OZ 25PCS,EcoWise 200 White Paper Cups - Single Wall White Paper Cups for Hot & Cold Drinks - 8 Oz Eco-Friendly Biodegradable Disposable Party Cups,5060743590249.0,5060743590249.0,B087688BRD,1.056,12.99,5.361250000000002,374.9125874125875,,,0,TIER_1_B_AUDIT_OUT,100,BRAND_MISMATCH,"Exact GTIN/EAN match with valid checksum,Posterior match probability=1.000,Char TF-IDF cosine=0.365,Word TF-IDF cosine=0.249,Shared tokens=3,EAN match, pack visible on one side only (ONLY_SUP)",true,0.303,3,0.9998,25,,ONLY_SUP,https://www.efghousewares.co.uk/eco-wise-paper-cups-plain-white-12oz-25pcs-112877,https://www.amazon.co.uk/dp/B087688BRD,,Other
KILNER ROUND TWIST TOP JAR GLASS 43ML,Kilner Preserving Twist Checkered Top Round Jar 43ml (Pack of 6),5010853191454.0,,B08F7MRLBH,0.876,11.94,4.767499999999999,372.4609374999999,,,0,TIER_2_LIKELY,100,AMAZON_EAN_MISSING,"Supplier GTIN present, Amazon GTIN missing,Posterior match probability=1.000,Char TF-IDF cosine=0.721,Word TF-IDF cosine=0.574,Shared tokens=6,Measurement closeness=1.000",false,0.566,6,0.9998,,6,ONLY_AMZ,https://www.efghousewares.co.uk/kilner-round-twist-top-jar-glass-43ml,https://www.amazon.co.uk/dp/B08F7MRLBH,,Other
PPS BANQUETING ROLL WHITE 25M,White Damask Banquet Roll 25m,5030481940217.0,5030481940217.0,B00D1W6832,3.9,26.99,12.907916666666663,339.6820175438596,,,0,TIER_1_A_VERIFIED,100,BRAND_MISMATCH,"Exact GTIN/EAN match with valid checksum,Posterior match probability=1.000,Char TF-IDF cosine=0.674,Word TF-IDF cosine=0.279,Shared tokens=3,Measurement closeness=1.000,EAN match, no pack markers in either title (assumed single-unit)",true,0.621,3,0.9997,,,NEITHER,https://www.efghousewares.co.uk/pps-banqueting-roll-white-25m,https://www.amazon.co.uk/dp/B00D1W6832,,Other
