SupplierTitle,AmazonTitle,EAN,EAN_OnPage,ASIN,tier,new_tier,confidence_score,new_confidence_score,posterior_match_probability
AMTECH FILE HALF ROUND 250MM,"Amtech E1355 250mm (10"") Half Round File",5032759043613.0,5032759043613.0,B01AFY4ZGA,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,1.0
STATUS DIMMABLE LED CANDLE BC W/W 5.5W 40W,"Status Dimmable LED Candle Bulb Bayonet Cap, 5.5W",5022822195745.0,5022822195745.0,B072PVTZ26,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,1.0
AMTECH PVC PIPE CUTTER,Amtech C0230 PVC Pipe Cutter,5032759027538.0,5032759027538.0,B0017VUS8U,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999989
"AMTECH POINTING TROWEL 150M(6"") WITH SOFT GRIP","Amtech G0230 150mm (6"") Pointing trowel with soft grip",5032759027644.0,5032759027644.0,B00ABJQTPU,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,1.0
AMTECH POCKET LEATHER TOOL BELT,Amtech N0850 6 Pocket Leather Tool Belt,5032759004720.0,5032759004720.0,B00275TAXO,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,1.0
AMTECH PICK AXE HEAD,Amtech A2200 Pick axe head,5032759000180.0,5032759000180.0,B004TRJXJY,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999989
AMTECH ROTATING GRASS SHEARS,Amtech U0650 Rotating Grass Shears,5032759007929.0,5032759007929.0,B0065I0ZCO,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999991
"AMTECH NOTCHED FLOAT TROWEL 280MM(11"") SOFT GRIP HANDLE","Amtech G1611 280mm (11"") Notched Float Trowel with Soft Grip Handle",5032759038121.0,5032759038121.0,B00LQP2PJC,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,1.0
"AMTECH CORE DRILL 40MM(1.6"")","Amtech F1209 40mm (1.6"") Core Drill",5032759029204.0,5032759029204.0,B005DL19QU,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,1.0
AMTECH SAFETY GLASSES CLEAR,Amtech A3563 Safety glasses with clear lenses,5032759033973.0,5032759033973.0,B004C22FQ4,TIER_2_LIKELY,TIER_1_VERIFIED,85,100.0,0.999992
