SupplierTitle,AmazonTitle,EAN,EAN_OnPage,ASIN,tier,new_tier,confidence_score,new_confidence_score,posterior_match_probability
Just Stationery Smooth Write Blue Ballpoint Pens 50 Pack,Just Stationery 50 Smooth Write Retractable Pen - Blue,5013922010274,,B00A92E6ZY,TIER_3_NEEDS_REVIEW,TIER_2_LIKELY,30,100.0,0.999901
Maxim 5W=50W Gu10 Pearl Cool White LED Light Bulb,"Maxim LED GU10 Pearl Cool White - 5watt (50watt) (Pack 10), 50MLGU10CW5X10",5022822202146,,B076PYRGFL,TIER_3_NEEDS_REVIEW,TIER_2_LIKELY,30,99.9,0.999087
Maxim 7.5W=60W Candle Pearl Cool White B22 BC LED Light Bulb,Maxim LED Candle Bayonet Cap (Cool White) - 7.5watt (60watt) - 806 Lumen (Pack 10) - 60MLCB22C5X10,5022822219786,,B0BHDPM82Z,TIER_3_NEEDS_REVIEW,TIER_2_LIKELY,30,99.7,0.997222
Maxim 6W=40W Candle Pearl Warm White B22 BC LED Light Bulb,"Maxim LED Candle Bayonet Cap (BC) Bulbs, B22, 6 W, Warm White 009778",5022822201606,,B076PRMHM5,TIER_3_NEEDS_REVIEW,TIER_2_LIKELY,30,100.0,0.999802
Maxim 6W=40W Round Pearl Warm White E14/SES LED Light Bulb,"Maxim LED Round Small Edison Screw Cap (Ses) Bulbs, E14, 6 W, Warm White, Pack of 10",5022822201637,,B076PYHHFT,TIER_3_NEEDS_REVIEW,TIER_2_LIKELY,30,100.0,0.999773
Maxim 6W-40W Round Pearl E27 ES Warm White LED Light Bulb,Maxim LED Bulbs [Pack of 10] Type: Round (Warm White) 6Watts (40Watts) / Pearl Finish / 25 000 Hours/Energy Saving Multipack 40MLRE27W5X10,5022822207165,,B09CDGPBYH,TIER_3_NEEDS_REVIEW,TIER_2_LIKELY,30,99.8,0.998149
Maxim 6W=40W Candle Pearl Warm White E27 ES LED Light Bulb,Maxim LED Bulbs [Pack of 10] Type: Candle E27 (Warm White) 6Watts (40Watts) / Pearl Finish/Energy Saving Multipack 40MLCE27W5X10,5022822207134,,B09CDHMYDR,TIER_3_NEEDS_REVIEW,TIER_2_LIKELY,30,100.0,0.99967
Maxim 6W=40W Candle Pearl Day Light E14 SES LED Light Bulb,"Maxim LED Candle Small Edison Screw (Daylight White) - 6watt (40watt) (Pack 10), 40MLCSESDL5X10, Day Light",5022822202320,,B076PR5LS1,TIER_3_NEEDS_REVIEW,TIER_2_LIKELY,30,99.8,0.997693
Maxim 6W=40W Round Pearl Warm White B22 BC LED Light Bulb,Maxim LED Round Bayonet Cap (Warm White) - 5.5watt (40watt) - 470 Lumen (Pack 10) - 40MLRB22W5X10,5022822210325,,B0BHDMDT4F,TIER_3_NEEDS_REVIEW,TIER_2_LIKELY,30,98.7,0.986846
Maxim 5W=50W GU10 Cap Pearl Day Light LED Light Bulb,"Maxim LED Bulbs, GU10, 5 W, Daylight White Pack of 10 50MLGU10DL5X10, Day Light",5022822202344,,B076PRJKQT,TIER_3_NEEDS_REVIEW,TIER_2_LIKELY,30,99.8,0.9978
Maxim LED Light Bulb 10W=60W GLS Pearl Day Light White Edison Screw,"Maxim LED GLS Edison Screw (Daylight White) - 10watt (60watt) (Pack 10), 60MLGESDL5X10",5022822202283,,B076PTG4C7,TIER_3_NEEDS_REVIEW,TIER_2_LIKELY,30,99.9,0.998849
Maxim 10W=60W Classic Pearl Day Light B22 BC LED Light Bulb,"Maxim LED GLS Bayonet Cap (Daylight White) - 10watt (60watt) (Pack 10), 60MLGBCDL5X10, Day Light",5022822202269,,B076PTG4C3,TIER_3_NEEDS_REVIEW,TIER_2_LIKELY,30,98.2,0.981539
Maxim 3W=25W Candle Pearl Cool White E14 SES LED Light Bulb,"Maxim LED Candle Small Edison Screw (Cool White) - 3watt (25watt) (Pack 10), 25MLCSESCW5X10",5022822202115,,B076PP1MD7,TIER_3_NEEDS_REVIEW,TIER_2_LIKELY,30,98.8,0.988498
Maxim 6W=40W Candle Pearl Cool White B22 BC LED Light Bulb,"Maxim LED Candle Bayonet Cap (Cool White) - 6watt (40watt) (Pack 10), 40MLCBCCW5X10",5022822202108,,B076PYD76C,TIER_3_NEEDS_REVIEW,TIER_2_LIKELY,30,98.9,0.98903
Maxim LED Light Bulb 16W=100W GLS Pearl Day Light White Bayonet Cap,"Maxim LED GLS Bayonet Cap (Daylight White) - 16watt (100watt) (Pack 10), 100MLGBCDL5X10, Day Light",5022822202276,,B076QF62C8,TIER_3_NEEDS_REVIEW,TIER_2_LIKELY,30,100.0,0.999998
Pan Aroma Assorted Mini Gel Air Freshener 3 Pack,"Pan Aroma Mini Gel Air Freshener, 9 Pack, Assorted Scents (Lavender Garden/Vanilla Bean/Pure Cotton)",5053249254616,,B0FC2VRN33,TIER_3_NEEDS_REVIEW,TIER_2_LIKELY,30,100.0,0.999988
Maxim 7.5W=60W Candle Pearl Warm White B22 BC LED Light Bulb,Maxim LED Candle Bayonet Cap (Warm White) - 7.5watt (60watt) - 806 Lumen (Pack 10) - 60MLCB22W5X10,5022822219762,,B0BHDPQDZ8,TIER_3_NEEDS_REVIEW,TIER_2_LIKELY,30,99.7,0.997119
Maxim 7.5W=60W Candle Pearl Day Light B22 BC LED Light Bulb,"Maxim LED Candle Bayonet Cap (Daylight White) - 7.5watt (60watt) - 806 Lumen (Pack 10) - 60MLCB22D5X10, Day Light",5022822219809,,B0BHDKH8FZ,TIER_3_NEEDS_REVIEW,TIER_2_LIKELY,30,99.9,0.999449
Maxim 7.5W=60W Candle Pearl Cool White E14 SES LED Light Bulb,Maxim LED Candle Small Edison Screw (Cool White) - 7.5watt (60watt) - 806 Lumen (Pack 10) - 60MLCE14C5X10,5022822219847,,B0BHDLFJ4W,TIER_3_NEEDS_REVIEW,TIER_2_LIKELY,30,99.7,0.99701
Maxim 4W=30W R50 Spot Pearl Cool White E14 SES LED Light Bulb,Maxim LED R50 Small Edison Screw (Cool White) - 4watt (30watt) - 320 Lumen (Pack 10) - 30MLR50E14C5X10,5022822219250,,B0BHDNYDTV,TIER_3_NEEDS_REVIEW,TIER_2_LIKELY,30,97.7,0.976902
Round Ribbed Plastic Planter Terracotta 30cm,"Round Plastic Plant Pot 30cm Terracotta 9.5L Garden Indoor Outdoor Planter Cover Drainage Holes, Weather, Frost Proof (2)",5022092003870,,B0DYK3BBD2,TIER_3_NEEDS_REVIEW,TIER_2_LIKELY,30,98.7,0.98658
Maxim 4W-30W R50 Spot Warm White Pearl E14 SES LED Light Bulb,Maxim LED R50 Small Edison Screw (Warm White) - 4watt (30watt) - 320 Lumen (Pack 10) - 30MLR50E14W5X10,5022822202979,,B0BHDKGB6C,TIER_3_NEEDS_REVIEW,TIER_2_LIKELY,30,97.7,0.976961
Maxim 3W=25W Candle Pearl Warm White E14 SES LED Light Bulb,"Maxim LED Candle Small Edison Screw Cap (SES) Bulbs, E14, 3 W, Warm White 25MLCSESWW5X10",5022822201613,,B076Q116DN,TIER_3_NEEDS_REVIEW,TIER_2_LIKELY,30,100.0,0.999732
Masterplast Freeze Gel Tub 200ml,"Masterplast Freeze Gel, Ready to Use, Muscle Relief & Comfort, 200Ml Pot, Blue (Pack of 2)",5053249221410,,B0CQG9DR2L,TIER_3_NEEDS_REVIEW,TIER_2_LIKELY,30,99.1,0.991275
Maxim 9W=60W R63 Spot Pearl Warm White E27 ES LED Light Bulb,Maxim LED R63 Edison Screw (Warm White) - 8watt (60watt) - 806 Lumen (Pack 10) - 60MLR63E27W5X10,5022822202993,,B0BHDLFCPF,TIER_3_NEEDS_REVIEW,TIER_2_LIKELY,30,97.8,0.977707
Maxim LED 9W=60W Cool White R63 Spot Pearl E27 Light Bulb,Maxim LED R63 Edison Screw (Cool White) - 8watt (60watt) - 806 Lumen (Pack 10) - 60MLR63E27C5X10,5022822219298,,B0BHDLGLBQ,TIER_3_NEEDS_REVIEW,TIER_2_LIKELY,30,98.0,0.979592
Paw Patrol Flip-Top Straw Water Bottle,Paw Patrol Chase Plastic Bottle with Straw BPA Free 580 ml School Water Bottle for Girls 100% Leakproof Durable Drink Bottle for Kids,5060569226483,,B0CWLLLYH1,TIER_3_NEEDS_REVIEW,TIER_2_LIKELY,30,99.9,0.998848
Just Stationery Assorted Colour 40 Sheet Ruled Neon Notepads 5 Pack,"Just stationery Neon Lined Notepads – Pack of 5 Assorted Colours | Ruled Notebooks for Notes, Lists, School & Office Use | Bright, Eye-Catching Memo Pads 5x40 sheets 76mmx126mm",5013922066189,,B0F8PGMQ2N,TIER_3_NEEDS_REVIEW,TIER_2_LIKELY,30,100.0,0.999811
Pan Aroma Orchard Blossom & Fluffy Towels Double Pack Glass Pot Candle 2 Pack,Pan Aroma Glass Candle Set of 2 Fresh Linen and Jasmine,5050375106468,,B005HI2N96,TIER_3_NEEDS_REVIEW,TIER_2_LIKELY,30,98.4,0.983773
Maxim 6W=40W Round Pearl Cool White B22 BC LED Light Bulb,Maxim LED Round Bayonet Cap (Cool White) - 5.5watt (40watt) - 470 Lumen (Pack 10) - 40MLRBCCW5X,5022822210332,,B0BHDMRDYH,TIER_3_NEEDS_REVIEW,TIER_2_LIKELY,30,98.7,0.987045
Prima Non-Stick Heart Shape Cake Pan 23 X 22.5 X 3.7cm,"Prima Set Of 2 Heart Shaped Cake Tins, Romantic Grey Heart Shape, Non Stick Carbon Steel Bake Pan, Ideal For Cakes, Cheesecakes & Loaves, Black",5038673151106,,B01CZWVBF8,TIER_3_NEEDS_REVIEW,TIER_2_LIKELY,30,100.0,0.999807
Maxim 6W=40W Candle Pearl Cool White E14 SES LED Light Bulb,"Maxim LED Candle Small Edison Screw (Cool White) - 6watt (40watt) (Pack 10), 40MLCSESCW5X10",5022822202122,,B076PP1MCZ,TIER_3_NEEDS_REVIEW,TIER_2_LIKELY,30,98.9,0.98865
Marksman 5pc Garden Spray Gun Set,"Marksman 70307c 4pc 6 Garden Function Spray Gun and Hose Adapter Set, Green",5038673703077,,B01DAL4SYE,TIER_3_NEEDS_REVIEW,TIER_2_LIKELY,30,99.5,0.995341
Doff Lightweight Container & Basket Compost 15l,Doff Lightweight Container & Basket Compost – Expands 15L Peat-Free Plant Feed & Garden Fertiliser – Coco Coir Compost Enriched with Fertiliser – Indoor & Outdoor Plants,5013655213690,,B0BYB9WQFN,TIER_3_NEEDS_REVIEW,TIER_2_LIKELY,30,99.9,0.998912
A4 20 Pocket Display Book Assorted Colours,A4 Display Book 20 Pocket Presentation Folio Colour:Assorted,5012128117206,,B006GFYF68,TIER_3_NEEDS_REVIEW,TIER_2_LIKELY,30,100.0,0.99982
Duzzit Iron Cleaning Pads 3 Pack,Duzzit 4 x Packs of 3 FAST ACTING Iron Cleaning Pads - removes residue and speeds up ironing,5050375042902,,B07HQJP6LW,TIER_3_NEEDS_REVIEW,TIER_2_LIKELY,30,99.9,0.998873
Duzzit Extending Microfibre Flat Mop 94cm,Duzzit Micrifibre Flat Mop,5050375019195,,B001EVCFUC,TIER_3_NEEDS_REVIEW,TIER_2_LIKELY,30,98.1,0.980751
Fun Time Aloe Vera Intimate Massage Lube 175ml,Fun Time Strawberry Lubricant 75ml & Aloe Vera Massage Lube 175ml – Dual Purpose Pack for Enhanced Intimacy & Relaxing Massage Therapy (Pack of 2),5053249278360,,B0G3GPRTFT,TIER_3_NEEDS_REVIEW,TIER_2_LIKELY,30,100.0,0.999978
Paper Mate Black Jiffy Stylo 0.5mm Gel Pen 12 Pack,Paper Mate Gel Pens | Smooth Needle Point (0.5mm) | Black | 12 Count,3026980843755,,B07PRGHSL4,TIER_3_NEEDS_REVIEW,TIER_2_LIKELY,30,100.0,0.999932
