SupplierTitle,AmazonTitle,EAN,EAN_OnPage,ASIN,SupplierPrice_incVAT,SellingPrice_incVAT,NetProfit,ROI,bought_in_past_month,amazon_sales_badge,sales_value,tier,confidence_score,flags,reasons,ean_exact_match,SupplierURL,AmazonURL,fba_seller_count,Category,_row_id,tier,confidence_score,reasons,flags,ean_exact_match,title_similarity,shared_tokens
JUST STATIONERY DOUBLE SIDED TAPE SET,Just stationery Double Sided Tape and Squares Set,5.01392E+12,5.01392E+12,B00DOUN8IE,0.852,5.99,1.221666667,96.95767196,,,0,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified) | Strong title match (sim=0.86, shared=5) | Brand match: just",True,https://www.efghousewares.co.uk/just-stationery-double-sided-tape-set,https://www.amazon.co.uk/dp/B00DOUN8IE,,Just Stationery Double Sided Tape Set,10,TIER_1_VERIFIED,95,"Exact EAN match (checksum verified) | Strong title match (sim=0.86, shared=5) | Brand match: just",,True,0.86,5
EXTRA SELECT SWAN AND DUCK FEED 5L,"Extra Select Premium Floating Swan and Duck Feed, 5 Litre",5.02225E+12,5.02225E+12,B07DFWX1LB,6.12,14.89,0.768333333,13.59882006,1000,,1000,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified) | Strong title match (sim=0.76, shared=5) | Brand match: extra",True,https://www.efghousewares.co.uk/extra-select-swan-and-duck-feed-5l-115012,https://www.amazon.co.uk/dp/B07DFWX1LB,,Extra Select Swan And Duck Feed 5L 115012,20,TIER_1_VERIFIED,95,"Exact EAN match (checksum verified) | Strong title match (sim=0.76, shared=5) | Brand match: extra",,True,0.756,5
PYREX MASTER STAINLESS STEEL FRYING PAN 30CM,Pyrex Master Stainless Steel Frying Pan 30cm Silver,3.42647E+12,3.42647E+12,B098BHV7YP,20.232,32.34,0.32,1.838024124,,,0,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified) | Strong title match (sim=0.93, shared=7) | Brand match: pyrex",True,https://www.efghousewares.co.uk/pyrex-master-stainless-steel-frying-pan-30cm,https://www.amazon.co.uk/dp/B098BHV7YP,Available (see Keepa data),Pyrex Master Stainless Steel Frying Pan 30Cm,26,TIER_1_VERIFIED,95,"Exact EAN match (checksum verified) | Strong title match (sim=0.93, shared=7) | Brand match: pyrex",,True,0.926,7
PYREX OPTIMA+ FRYING PAN 22CM,"Pyrex Optima + Forged Aluminium Frying Pan 22 cm, Black,4937811",3.42647E+12,3.42647E+12,B083MKB78V,11.688,16.8,-1.87,-18.17298348,,,0,TIER_1_VERIFIED,95,UNPROFITABLE,"Exact EAN match (checksum verified) | Strong title match (sim=0.64, shared=4) | Brand match: pyrex",True,https://www.efghousewares.co.uk/pyrex-optima-frying-pan-22cm,https://www.amazon.co.uk/dp/B083MKB78V,,Pyrex Optima Frying Pan 22Cm,32,TIER_1_VERIFIED,95,"Exact EAN match (checksum verified) | Strong title match (sim=0.64, shared=4) | Brand match: pyrex",UNPROFITABLE,True,0.636,4
STERLING 3 LEVER MORTICE SASHLOCK BRASS PLATED 3 INCH,Sterling MLS330 3-inch/76mm 3-Lever Sashlock - Brass,5.01657E+12,5.01657E+12,B007SLCOVC,6.972,8.99,-2.688333333,-42.26939203,50,50,50,TIER_1_VERIFIED,95,UNPROFITABLE,"Exact EAN match (checksum verified) | Strong title match (sim=0.61, shared=5) | Brand match: sterling",True,https://www.efghousewares.co.uk/sterling-sashlock-mortice-3lever-3inch,https://www.amazon.co.uk/dp/B007SLCOVC,,Sterling Sashlock Mortice 3Lever 3Inch,75,TIER_1_VERIFIED,95,"Exact EAN match (checksum verified) | Strong title match (sim=0.61, shared=5) | Brand match: sterling",UNPROFITABLE,True,0.614,5
EXTRA SELECT KOI STICKS BUCKET 5L,"Extra Select Complete Koi Sticks Fish Food Tub, 5 Litre",5.02225E+12,5.02225E+12,B00X5D4ROO,6.708,9.29,-3.428333333,-55.83604777,300,300,300,TIER_1_VERIFIED,95,UNPROFITABLE,"Exact EAN match (checksum verified) | Strong title match (sim=0.64, shared=4) | Brand match: extra",True,https://www.efghousewares.co.uk/extra-select-koi-sticks-bucket-5l-115000,https://www.amazon.co.uk/dp/B00X5D4ROO,,Extra Select Koi Sticks Bucket 5L 115000,90,TIER_1_VERIFIED,95,"Exact EAN match (checksum verified) | Strong title match (sim=0.64, shared=4) | Brand match: extra",UNPROFITABLE,True,0.644,4
WORK OF ART ACRYLIC PAINT BLACK 120ML,"Work of Art 120ml Acrylic Paint - Black, 6722",5.01392E+12,5.01392E+12,B00PRI7N82,0.852,3.79,-0.851666667,-67.59259259,200,200,200,TIER_1_VERIFIED,95,UNPROFITABLE,"Exact EAN match (checksum verified) | Strong title match (sim=0.82, shared=6) | Brand match: work",True,https://www.efghousewares.co.uk/work-of-art-acrylic-paint-black-120ml,https://www.amazon.co.uk/dp/B00PRI7N82,Available (see Keepa data),Work Of Art Acrylic Paint Black 120Ml,96,TIER_1_VERIFIED,95,"Exact EAN match (checksum verified) | Strong title match (sim=0.82, shared=6) | Brand match: work",UNPROFITABLE,True,0.825,6
JUST STATIONERY WHITE CARD A4 30 SHEETS,Just Stationery 5095 A4 30 Sheet White Card,5.01392E+12,5.01392E+12,B00F899IOM,0.9,2.96,-1.193333333,-91.79487179,200,200,200,TIER_1_VERIFIED,95,UNPROFITABLE,"Exact EAN match (checksum verified) | Strong title match (sim=0.68, shared=4) | Brand match: just",True,https://www.efghousewares.co.uk/just-stationery-white-card-a4-30-sheets,https://www.amazon.co.uk/dp/B00F899IOM,Available (see Keepa data),Just Stationery White Card A4 30 Sheets,105,TIER_1_VERIFIED,95,"Exact EAN match (checksum verified) | Strong title match (sim=0.68, shared=4) | Brand match: just",UNPROFITABLE,True,0.683,4
JUST STATIONERY ELASTIC BANDS COLOURED 100GM,"Just stationery Coloured Elastic Bands, Multi, 6224",5.01392E+12,5.01392E+12,B0086QEHU4,0.852,3.43,-1.311666667,-104.1005291,,,0,TIER_1_VERIFIED,95,UNPROFITABLE,"Exact EAN match (checksum verified) | Strong title match (sim=0.69, shared=5) | Brand match: just",True,https://www.efghousewares.co.uk/just-stationery-elastic-bands-coloured-100gm,https://www.amazon.co.uk/dp/B0086QEHU4,Available (see Keepa data),Just Stationery Elastic Bands Coloured 100Gm,109,TIER_1_VERIFIED,95,"Exact EAN match (checksum verified) | Strong title match (sim=0.69, shared=5) | Brand match: just",UNPROFITABLE,True,0.688,5
JUST STATIONERY JOTTER BLOCK,"Just stationery 400 Sheet Jotter Block in,80mm x 80mm",5.01392E+12,5.01392E+12,B00AVW16KA,0.924,2.99,-1.928333333,-146.0858586,100,100,100,TIER_1_VERIFIED,95,UNPROFITABLE,"Exact EAN match (checksum verified) | Strong title match (sim=0.70, shared=4) | Brand match: just",True,https://www.efghousewares.co.uk/just-stationery-jotter-block,https://www.amazon.co.uk/dp/B00AVW16KA,,Just Stationery Jotter Block,113,TIER_1_VERIFIED,95,"Exact EAN match (checksum verified) | Strong title match (sim=0.70, shared=4) | Brand match: just",UNPROFITABLE,True,0.7,4
