SupplierTitle,AmazonTitle,EAN,EAN_OnPage,ASIN,SupplierPrice_incVAT,SellingPrice_incVAT,NetProfit,ROI,bought_in_past_month,amazon_sales_badge,sales_value,tier,confidence_score,flags,reasons,ean_exact_match,SupplierURL,AmazonURL,fba_seller_count,Category,_row_id,tier,confidence_score,reasons,flags,ean_exact_match,title_similarity,shared_tokens
SCENTED PILLAR CANDLE 15CM 4 ASSTD SCENTS,SCENTED PILLAR CANDLE 15CM 4 ASSORTED SCENTS,5.05057E+12,5.05057E+12,B0CPLNBFM8,1.812,12.69,4.51875,219.3567961,,,0,TIER_2_LIKELY,75,EAN_CHECKSUM_FAIL,"EAN digits match but checksum invalid | Strong title match (sim=0.96, shared=5) | Brand match: scented",False,https://www.efghousewares.co.uk/scented-pillar-candle-15cm-4-asstd-scents-120070,https://www.amazon.co.uk/dp/B0CPLNBFM8,,Scented Pillar Candle 15Cm 4 Asstd Scents 120070,2,TIER_2_LIKELY,75,"EAN digits match but checksum invalid | Strong title match (sim=0.96, shared=5) | Brand match: scented",EAN_CHECKSUM_FAIL,False,0.965,5
COOPER & PALS TENNIS BAL LAUNCHER,Cooper & Pals Tennis Ball Launcher,5.05618E+12,5.05618E+12,B0DV6J11L8,1.14,11.99,3.201666667,213.4444444,,,0,TIER_2_LIKELY,75,EAN_CHECKSUM_FAIL,"EAN digits match but checksum invalid | Strong title match (sim=0.98, shared=4) | Brand match: cooper",False,https://www.efghousewares.co.uk/cooper-pals-tennis-bal-launcher-110782,https://www.amazon.co.uk/dp/B0DV6J11L8,Available (see Keepa data),Cooper Pals Tennis Bal Launcher 110782,3,TIER_2_LIKELY,75,"EAN digits match but checksum invalid | Strong title match (sim=0.98, shared=4) | Brand match: cooper",EAN_CHECKSUM_FAIL,False,0.985,4
INTEX SILICONE SWIMMING CAP AGE 8+,"INTEX - Silicone Swimming Cap One Size, Multicolor (1)",6.94106E+12,6.94106E+12,B0DNMK9QCL,2.892,15.61,6.188333333,209.0653153,,,0,TIER_2_LIKELY,75,EAN_CHECKSUM_FAIL,"EAN digits match but checksum invalid | Strong title match (sim=0.72, shared=4) | Brand match: intex",False,https://www.efghousewares.co.uk/intex-silicone-swimming-cap-age-8-,https://www.amazon.co.uk/dp/B0DNMK9QCL,,Intex Silicone Swimming Cap Age 8 ,4,TIER_2_LIKELY,75,"EAN digits match but checksum invalid | Strong title match (sim=0.72, shared=4) | Brand match: intex",EAN_CHECKSUM_FAIL,False,0.723,4
ROLSON BICYCLE REPAIR TOOL KIT 20PC SET,Rolson 40617 20 pc Bike Repair Tool Kit,5.02959E+12,5.02959E+12,B07G2JDYPG,2.22,14.24,4.656666667,194.0277778,,,0,TIER_2_LIKELY,75,EAN_CHECKSUM_FAIL,"EAN digits match but checksum invalid | Strong title match (sim=0.67, shared=4) | Brand match: rolson",False,https://www.efghousewares.co.uk/rolson-bicycle-repair-tool-kit-20pc-set,https://www.amazon.co.uk/dp/B07G2JDYPG,,Rolson Bicycle Repair Tool Kit 20Pc Set,5,TIER_2_LIKELY,75,"EAN digits match but checksum invalid | Strong title match (sim=0.67, shared=4) | Brand match: rolson",EAN_CHECKSUM_FAIL,False,0.667,4
SMART CHOICE DOG LEAD 3 ASSORTED COLOURS LARGE 120x2.5CM,Smart Choice Large Dog Lead 1.2m - 3 assorted colours,5.05252E+12,5.05252E+12,B08CF235H7,1.944,10.99,3.204583333,147.6766513,,,0,TIER_2_LIKELY,75,EAN_CHECKSUM_FAIL,"EAN digits match but checksum invalid | Strong title match (sim=0.75, shared=7) | Brand match: smart",False,https://www.efghousewares.co.uk/smart-choice-lead-fabric-lrg-asstd-30-9,https://www.amazon.co.uk/dp/B08CF235H7,,Smart Choice Lead Fabric Lrg Asstd 30 9,6,TIER_2_LIKELY,75,"EAN digits match but checksum invalid | Strong title match (sim=0.75, shared=7) | Brand match: smart",EAN_CHECKSUM_FAIL,False,0.755,7
DEFENDERS PATH & PATIO CLEANER 2LTR RTU,"Defenders Ready to Use Path and Patio Cleaner, 2L, Ready-to-use Sprayer",5.0362E+12,5.0362E+12,B0BYMSZ4PF,4.008,17.13,4.885,125.5784062,,,0,TIER_2_LIKELY,75,EAN_CHECKSUM_FAIL,"EAN digits match but checksum invalid | Strong title match (sim=0.69, shared=4) | Brand match: defenders",False,https://www.efghousewares.co.uk/defenders-path-patio-cleaner-2ltr-rtu,https://www.amazon.co.uk/dp/B0BYMSZ4PF,,Defenders Path Patio Cleaner 2Ltr Rtu,7,TIER_2_LIKELY,75,"EAN digits match but checksum invalid | Strong title match (sim=0.69, shared=4) | Brand match: defenders",EAN_CHECKSUM_FAIL,False,0.686,4
ROADSTER BIKE LOCK CABLE 10MMX650MM,Roadster 2 Key Bicycle Cable Lock Security Bike Cycle Gate 10mm x 650mm,5.03867E+12,5.03867E+12,B088N7M48Z,1.008,6.92,1.636666667,117.7458034,,,0,TIER_2_LIKELY,75,EAN_CHECKSUM_FAIL,"EAN digits match but checksum invalid | Strong title match (sim=0.60, shared=4) | Brand match: roadster",False,https://www.efghousewares.co.uk/roadster-bike-lock-cable-10mmx650mm,https://www.amazon.co.uk/dp/B088N7M48Z,,Roadster Bike Lock Cable 10Mmx650Mm,8,TIER_2_LIKELY,75,"EAN digits match but checksum invalid | Strong title match (sim=0.60, shared=4) | Brand match: roadster",EAN_CHECKSUM_FAIL,False,0.604,4
ROLSON BRICK PROFILE CLAMP 330MM,Rolson Brick Profile Clamp 300mm Max Opening with Thumb Screw 52604,5.02959E+12,5.02959E+12,B0CNND3QPN,3.564,13.99,3.979583333,113.0563447,,,0,TIER_2_LIKELY,75,EAN_CHECKSUM_FAIL,"EAN digits match but checksum invalid | Strong title match (sim=0.63, shared=4) | Brand match: rolson",False,https://www.efghousewares.co.uk/rolson-brick-profile-clamp-330mm-104933,https://www.amazon.co.uk/dp/B0CNND3QPN,,Rolson Brick Profile Clamp 330Mm 104933,9,TIER_2_LIKELY,75,"EAN digits match but checksum invalid | Strong title match (sim=0.63, shared=4) | Brand match: rolson",EAN_CHECKSUM_FAIL,False,0.626,4
WHAM CASA BLACK HIPSTER BASKET,Wham Casa Hipster Laundry Basket (Black),5.03814E+12,5.03814E+12,B0FC6Q9X3H,3.492,11.98,2.615833333,75.60211946,50,,50,TIER_2_LIKELY,75,EAN_CHECKSUM_FAIL,"EAN digits match but checksum invalid | Strong title match (sim=0.71, shared=5) | Brand match: wham",False,https://www.efghousewares.co.uk/wham-casa-black-hipster-basket-120804,https://www.amazon.co.uk/dp/B0FC6Q9X3H,,Wham Casa Black Hipster Basket 120804,11,TIER_2_LIKELY,75,"EAN digits match but checksum invalid | Strong title match (sim=0.71, shared=5) | Brand match: wham",EAN_CHECKSUM_FAIL,False,0.706,5
ROLSON COB MAGNIFIER WITH LIGHT,"Rolson 60340 COB Magnifier Light, Black",5.02959E+12,5.02959E+12,B077HSJ1MV,4.908,16.99,3.198333333,68.9295977,,,0,TIER_2_LIKELY,75,EAN_CHECKSUM_FAIL,"EAN digits match but checksum invalid | Strong title match (sim=0.75, shared=4) | Brand match: rolson",False,https://www.efghousewares.co.uk/rolson-cob-magnifier-with-light,https://www.amazon.co.uk/dp/B077HSJ1MV,,Rolson Cob Magnifier With Light,12,TIER_2_LIKELY,75,"EAN digits match but checksum invalid | Strong title match (sim=0.75, shared=4) | Brand match: rolson",EAN_CHECKSUM_FAIL,False,0.754,4
BLUE CANYON STORAGE BASKET PLASTIC WOODEN HANDLE WHITE MEDIUM,"Blue Canyon Storage Basket Wooden (White, Medium)",5.0563E+12,5.0563E+12,B0DY7Z45CM,2.112,8.91,1.59125,68.88528139,,,0,TIER_2_LIKELY,75,EAN_CHECKSUM_FAIL,"EAN digits match but checksum invalid | Strong title match (sim=0.86, shared=7) | Brand match: blue",False,https://www.efghousewares.co.uk/blue-canyon-storage-basket-plastic-wooden-handle-white-medium-121263,https://www.amazon.co.uk/dp/B0DY7Z45CM,,Blue Canyon Storage Basket Plastic Wooden Handle White Medium 121263,13,TIER_2_LIKELY,75,"EAN digits match but checksum invalid | Strong title match (sim=0.86, shared=7) | Brand match: blue",EAN_CHECKSUM_FAIL,False,0.86,7
SOVEREIGN TROUGH 70CM TERRACOTTA,Sovereign Trough 70cm Terracotta,5.01435E+12,5.01435E+12,B00M49GZAY,5.352,14.99,3.197916667,63.83067199,,,0,TIER_2_LIKELY,75,EAN_CHECKSUM_FAIL,"EAN digits match but checksum invalid | Strong title match (sim=1.00, shared=4) | Brand match: sovereign",False,https://www.efghousewares.co.uk/sovereign-trough-70cm-terracotta-104431,https://www.amazon.co.uk/dp/B00M49GZAY,,Sovereign Trough 70Cm Terracotta 104431,14,TIER_2_LIKELY,75,"EAN digits match but checksum invalid | Strong title match (sim=1.00, shared=4) | Brand match: sovereign",EAN_CHECKSUM_FAIL,False,1.0,4
MOUNTAIN ROSE PINK EDT 100ML POUR FEMME EACH,Mountain Rose Pink Womens Eau de Perfume e100ml Pour Femme Present Christmas Xmas Gift,5.05517E+12,5.05517E+12,B07K9MMSL4,1.344,6.99,0.845,50.5988024,,,0,TIER_2_LIKELY,75,EAN_CHECKSUM_FAIL,"EAN digits match but checksum invalid | Strong title match (sim=0.65, shared=5) | Brand match: mountain",False,https://www.efghousewares.co.uk/mountain-rose-pink-edt-100ml-pour-femme-each-110078,https://www.amazon.co.uk/dp/B07K9MMSL4,Available (see Keepa data),Mountain Rose Pink Edt 100Ml Pour Femme Each 110078,15,TIER_2_LIKELY,75,"EAN digits match but checksum invalid | Strong title match (sim=0.65, shared=5) | Brand match: mountain",EAN_CHECKSUM_FAIL,False,0.646,5
ASHLEY WOODEN SPATULA 3PC,Ashley - 3pc Wooden Kitchen Spatula Set - 3 Sizes,5.0174E+12,5.0174E+12,B0CHZ36RM6,1.008,6.25,0.627083333,45.11390887,,,0,TIER_2_LIKELY,75,EAN_CHECKSUM_FAIL,"EAN digits match but checksum invalid | Strong title match (sim=0.64, shared=4) | Brand match: ashley",False,https://www.efghousewares.co.uk/ashley-wooden-spatula-3pc,https://www.amazon.co.uk/dp/B0CHZ36RM6,,Ashley Wooden Spatula 3Pc,16,TIER_2_LIKELY,75,"EAN digits match but checksum invalid | Strong title match (sim=0.64, shared=4) | Brand match: ashley",EAN_CHECKSUM_FAIL,False,0.639,4
COUNTRY CLUB PEVA TABLECLOTH NETURAL CHECK 132X178CM,COUNTRY CLUB Country Club Natural Check PEVA Tablecloth 132cm x 178cm,5.02367E+12,5.02367E+12,B0CM6QQVTW,2.676,8.55,0.86625,31.16007194,,,0,TIER_2_LIKELY,75,EAN_CHECKSUM_FAIL,"EAN digits match but checksum invalid | Strong title match (sim=0.63, shared=5) | Brand match: country",False,https://www.efghousewares.co.uk/countryclub-peva-tablecloth-netural-check-132x178cm-116526,https://www.amazon.co.uk/dp/B0CM6QQVTW,,Countryclub Peva Tablecloth Netural Check 132X178Cm 116526,17,TIER_2_LIKELY,75,"EAN digits match but checksum invalid | Strong title match (sim=0.63, shared=5) | Brand match: country",EAN_CHECKSUM_FAIL,False,0.628,5
ADDIS CUTLERY DRAINER LINEN,Addis Linen Cutlery Drainer With Removable Compartment,5.0103E+12,5.0103E+12,B0009K4HGE,4.4352,11.17,1.112333333,26.19720521,50,50,50,TIER_2_LIKELY,75,EAN_CHECKSUM_FAIL,"EAN digits match but checksum invalid | Strong title match (sim=0.62, shared=4) | Brand match: addis",False,https://www.efghousewares.co.uk/104593,https://www.amazon.co.uk/dp/B0009K4HGE,,Other,18,TIER_2_LIKELY,75,"EAN digits match but checksum invalid | Strong title match (sim=0.62, shared=4) | Brand match: addis",EAN_CHECKSUM_FAIL,False,0.617,4
WHAM CASA BLACK SWING BIN 50LTR,Wham Casa 50L Swing Bin (Black),5.03814E+12,5.03814E+12,B0FC6RBC9Z,8.868,16.98,1.6775,21.12720403,,,0,TIER_2_LIKELY,75,EAN_CHECKSUM_FAIL,"EAN digits match but checksum invalid | Strong title match (sim=0.77, shared=5) | Brand match: wham",False,https://www.efghousewares.co.uk/wham-casa-black-swing-bin-50ltr-120806,https://www.amazon.co.uk/dp/B0FC6RBC9Z,,Wham Casa Black Swing Bin 50Ltr 120806,19,TIER_2_LIKELY,75,"EAN digits match but checksum invalid | Strong title match (sim=0.77, shared=5) | Brand match: wham",EAN_CHECKSUM_FAIL,False,0.767,5
OXFORD LOCK CABLE LOCK 1.8MX12MM BLUE,"Oxford Cable Bike Lock, 12mm x 1.8m - Blue",5.03001E+12,5.03001E+12,B001IGV45A,5.976,12.97,0.678333333,12.26642556,,,0,TIER_2_LIKELY,75,EAN_CHECKSUM_FAIL,"EAN digits match but checksum invalid | Strong title match (sim=0.72, shared=4) | Brand match: oxford",False,https://www.efghousewares.co.uk/oxford-lock-cable-lock-1-8mx12mm-blue,https://www.amazon.co.uk/dp/B001IGV45A,,Oxford Lock Cable Lock 1 8Mx12Mm Blue,21,TIER_2_LIKELY,75,"EAN digits match but checksum invalid | Strong title match (sim=0.72, shared=4) | Brand match: oxford",EAN_CHECKSUM_FAIL,False,0.72,4
VINERS EVERYDAY BREEZE 16PC CUTLERY SET,Viners Everyday Breeze 16 Piece 18/0 Silver Stainless Steel Cutlery Set,5.01085E+12,5.01085E+12,B087K9G76Y,14.64,25.25,1.461666667,11.46405229,,,0,TIER_2_LIKELY,75,EAN_CHECKSUM_FAIL,"EAN digits match but checksum invalid | Strong title match (sim=0.72, shared=4) | Brand match: viners",False,https://www.efghousewares.co.uk/viners-everyday-breeze-16pc-cutlery-set,https://www.amazon.co.uk/dp/B087K9G76Y,Available (see Keepa data),Viners Everyday Breeze 16Pc Cutlery Set,22,TIER_2_LIKELY,75,"EAN digits match but checksum invalid | Strong title match (sim=0.72, shared=4) | Brand match: viners",EAN_CHECKSUM_FAIL,False,0.716,4
