SupplierTitle,AmazonTitle,EAN,EAN_OnPage,ASIN,SupplierPrice_incVAT,SellingPrice_incVAT,NetProfit,ROI,bought_in_past_month,amazon_sales_badge,sales_value,tier,confidence_score,flags,reasons,ean_exact_match,SupplierURL,AmazonURL,fba_seller_count,Category,_row_id,tier,confidence_score,reasons,flags,ean_exact_match,title_similarity,shared_tokens
ESSCENTS HOME POTPOURRI 200GM ASSORTED,200g Esscents Fragrant Potpourri - 6 Assorted Scents Fragrances Home Fragrance Bags Bowl and Vase Decoration,5024418040361,,B08MPYKF33,1.7712,22.29,11.35275,560.3529121,,,0,TIER_4_REJECTED,10,AMAZON_EAN_MISSING | BRAND_MISMATCH,"Supplier EAN present, Amazon EAN missing | Moderate title match (sim=0.40, shared=4)",False,https://www.efghousewares.co.uk/esscents-home-potpourri-200gm-asstd,https://www.amazon.co.uk/dp/B08MPYKF33,,Other,615,TIER_4_REJECTED,10,"Supplier EAN present, Amazon EAN missing | Moderate title match (sim=0.40, shared=4)",AMAZON_EAN_MISSING | BRAND_MISMATCH,False,0.4,4
CROSBY POLISH BLACK INSTANT 100ML,Crosby Shoe Polish Black 100ml - Instant Shoe Polish Black - Water Ressistant -Pack of 2,5055566999768,5060911766001,B0C8JC2JX2,1.008,8.98,3.063333333,220.383693,,,0,TIER_4_REJECTED,10,EAN_MISMATCH,"EAN mismatch: supplier=5055566999768 vs amazon=5060911766001 | Moderate title match (sim=0.49, shared=5) | Brand match: crosby",False,https://www.efghousewares.co.uk/crosby-polish-black-instant-100ml-30-12,https://www.amazon.co.uk/dp/B0C8JC2JX2,,Crosby Polish Black Instant 100Ml 30 12,616,TIER_4_REJECTED,10,"EAN mismatch: supplier=5055566999768 vs amazon=5060911766001 | Moderate title match (sim=0.49, shared=5) | Brand match: crosby",EAN_MISMATCH,False,0.492,5
WHAM BEEHIVE ROUND POT FAWN 40CM,Wham Set 4 Beehive 40cm Round Plastic Pot Cement Grey,5057604101737,5057604505825,B0B68VSJ43,2.424,20.19,1.035,40.27237354,,,0,TIER_4_REJECTED,10,EAN_MISMATCH,"EAN mismatch: supplier=5057604101737 vs amazon=5057604505825 | Moderate title match (sim=0.59, shared=5) | Brand match: wham",False,https://www.efghousewares.co.uk/wham-beehive-round-pot-fawn-40cm-119090,https://www.amazon.co.uk/dp/B0B68VSJ43,,Wham Beehive Round Pot Fawn 40Cm 119090,620,TIER_4_REJECTED,10,"EAN mismatch: supplier=5057604101737 vs amazon=5057604505825 | Moderate title match (sim=0.59, shared=5) | Brand match: wham",EAN_MISMATCH,False,0.588,5
INFAPOWER LED RECHARGE LANTERN,Infapower Large Rechargeable Lantern F059 24 LED with USB Charging Cable - Copper,5060240210794,5060240212491,B08B3V5RQL,11.8512,23.71,3.202333333,30.71487947,,,0,TIER_4_REJECTED,10,EAN_MISMATCH,"EAN mismatch: supplier=5060240210794 vs amazon=5060240212491 | Moderate title match (sim=0.53, shared=3) | Brand match: infapower",False,https://www.efghousewares.co.uk/infapower-led-recharge-lantern,https://www.amazon.co.uk/dp/B08B3V5RQL,Available (see Keepa data),Other,621,TIER_4_REJECTED,10,"EAN mismatch: supplier=5060240210794 vs amazon=5060240212491 | Moderate title match (sim=0.53, shared=3) | Brand match: infapower",EAN_MISMATCH,False,0.527,3
FIT EMULSION BLOCK BRUSH,Fit For The Job Block Brush 4 inch Large Capacity for Emulsion with High Volume Coverage and Fast Painting with Emulsion Paints on Indoor and Outdoor Walls,5019200122646,,B0071QMXFQ,2.892,6.9,-0.4825,-16.30067568,,,0,TIER_4_REJECTED,10,AMAZON_EAN_MISSING | UNPROFITABLE,"Supplier EAN present, Amazon EAN missing | Weak title match (sim=0.20, shared=4) | Brand match: fit",False,https://www.efghousewares.co.uk/fit-emultion-block-brush,https://www.amazon.co.uk/dp/B0071QMXFQ,,Fit Emultion Block Brush,623,TIER_4_REJECTED,10,"Supplier EAN present, Amazon EAN missing | Weak title match (sim=0.20, shared=4) | Brand match: fit",AMAZON_EAN_MISSING | UNPROFITABLE,False,0.201,4
SISTEMA TO GO DRESSING POTS 35ML 4PK,"Sistema Dressing Pots To Go Food Container Sauce Pots With Lids 35 Ml Bpa-Free Blue, Green, Pink & Purple Lids Recyclable With Terracycle 4 Count",9414202214706,,B00BG4DH90,2.712,6.72,-0.46,-16.37010676,700,700,700,TIER_4_REJECTED,10,AMAZON_EAN_MISSING | UNPROFITABLE,"Supplier EAN present, Amazon EAN missing | Weak title match (sim=0.32, shared=3) | Brand match: sistema",False,https://www.efghousewares.co.uk/sistema-to-go-dressing-pots-35ml-4pk,https://www.amazon.co.uk/dp/B00BG4DH90,,Sistema To Go Dressing Pots 35Ml 4Pk,624,TIER_4_REJECTED,10,"Supplier EAN present, Amazon EAN missing | Weak title match (sim=0.32, shared=3) | Brand match: sistema",AMAZON_EAN_MISSING | UNPROFITABLE,False,0.316,3
STATUS LUGGAGE SCALE 16.06,"STATUS Mechanical Luggage Scale with 1 m Tape Measure, Portable Analog Travel Weighing Scale up to 32 kg Capacity for Suitcases & Bags, (SMLSCALE1PK4)",5022822185012,,B010LFSDL6,2.688,6.69,-0.46125,-16.53225806,400,400,400,TIER_4_REJECTED,10,AMAZON_EAN_MISSING | UNPROFITABLE,"Supplier EAN present, Amazon EAN missing | Weak title match (sim=0.26, shared=3) | Brand match: status",False,https://www.efghousewares.co.uk/status-luggage-scale-16-06-104607,https://www.amazon.co.uk/dp/B010LFSDL6,,Status Luggage Scale 16 06 104607,625,TIER_4_REJECTED,10,"Supplier EAN present, Amazon EAN missing | Weak title match (sim=0.26, shared=3) | Brand match: status",AMAZON_EAN_MISSING | UNPROFITABLE,False,0.262,3
MASTERPLUG 2 GANG 5MTR LEAD,"Masterplug Two Socket Double Extension Lead, 5 Metre Cable, Unswitched, 2-Way Plug Extension Cable, Power Strip, Basic Power, White, 13A, 2G, 5m, BTG5N",5015056379173,,B0036162JI,6.72,9.99,-1.48375,-24.12601626,500,500,500,TIER_4_REJECTED,10,AMAZON_EAN_MISSING | UNPROFITABLE,"Supplier EAN present, Amazon EAN missing | Weak title match (sim=0.22, shared=2) | Brand match: masterplug",False,https://www.efghousewares.co.uk/masterplug-2-gang-5mtr-lead,https://www.amazon.co.uk/dp/B0036162JI,,Masterplug 2 Gang 5Mtr Lead,626,TIER_4_REJECTED,10,"Supplier EAN present, Amazon EAN missing | Weak title match (sim=0.22, shared=2) | Brand match: masterplug",AMAZON_EAN_MISSING | UNPROFITABLE,False,0.216,2
SUPER DREAMER FITTED SHEET DOUBLE WHITE,Super Dreamer King Size Fitted Sheet White Clear Bedding Sheet With Elastic Corner Polyester Fabric Bedsheet,5051346796060,5051346796077,B0BTMPKVW9,3.456,7.61,-0.848333333,-24.73275024,50,50,50,TIER_4_REJECTED,10,EAN_MISMATCH | UNPROFITABLE,"EAN mismatch: supplier=5051346796060 vs amazon=5051346796077 | Moderate title match (sim=0.44, shared=5) | Brand match: super",False,https://www.efghousewares.co.uk/super-dreamer-fitted-sheet-double-white-123675,https://www.amazon.co.uk/dp/B0BTMPKVW9,,Super Dreamer Fitted Sheet Double White 123675,627,TIER_4_REJECTED,10,"EAN mismatch: supplier=5051346796060 vs amazon=5051346796077 | Moderate title match (sim=0.44, shared=5) | Brand match: super",EAN_MISMATCH | UNPROFITABLE,False,0.435,5
EVEREADY BATTERIES 6V 4R25 EACH,Eveready 4R25 6v Carbon zinco Battery,5010419043517,,B002SP7XK0,4.368,7.68,-1.16,-27.6849642,200,200,200,TIER_4_REJECTED,10,AMAZON_EAN_MISSING | UNPROFITABLE,"Supplier EAN present, Amazon EAN missing | Weak title match (sim=0.44, shared=2) | Brand match: eveready",False,https://www.efghousewares.co.uk/eveready-batteries-6v-4r25-each,https://www.amazon.co.uk/dp/B002SP7XK0,,Eveready Batteries 6V 4R25 Each,628,TIER_4_REJECTED,10,"Supplier EAN present, Amazon EAN missing | Weak title match (sim=0.44, shared=2) | Brand match: eveready",AMAZON_EAN_MISSING | UNPROFITABLE,False,0.441,2
