EAN,EAN_OnPage,ASIN,SupplierTitle,AmazonTitle,SupplierURL,AmazonURL,bought_in_past_month,fba_seller_count,fbm_seller_count,total_offer_count,SupplierPrice_incVAT,SupplierPrice_exVAT,SellingPrice_incVAT,ReferralFee,FBAFee,PrepHouseFee,OutputVAT,InputVAT,NetProceeds,HMRC,NetProfit,ROI,Breakeven,ProfitMargin
5015302447779,0887111403025,B00BQTJ0PA,KIDS ICE COOLERS,"HP CF373AM 125A Original LaserJet Toner Cartridges, Cyan/Magenta/Yellow, Multipack",https://www.clearance-king.co.uk/kids-ice-coolers.html,https://www.amazon.co.uk/dp/B00BQTJ0PA,,,Available (see Keepa data),20.0,0.456,0.38,194.58,22.57,4.73,0.55,32.43000000000001,5.646,134.47000000000003,-5.646,133.92000000000002,14400.0,33.876,68.82516188714153
5025364000911,5025232982639,B0FGD9NJY4,Tidyz Very Strong Degradable Nappy Bags With Tie Handles - 32 x 36cm - Pack Of 100,"Panasonic NF-GM600KXC 6-in-1 Electric Multi Cooker, 1400W, 40-250°C, 9 Auto Modes, 6 Plate Accessories, Smoke Extractor, Dishwasher Safe, 2.5m Cord, Black",https://www.clearance-king.co.uk/tidyz-very-strong-degradable-nappy-bags-with-tie-handles-32-x-36cm-pack-of-100.html,https://www.amazon.co.uk/dp/B0FGD9NJY4,,Available (see Keepa data),Available (see Keepa data),3.0,0.78,0.65,249.99,37.5,7.31,0.55,41.66499999999999,9.202000000000002,162.865,-9.202000000000002,162.315,13526.249999999998,55.211999999999996,64.92859714388575
8696219319129,5702017589909,B0D5W8J5YV,Turbo Potty Trainer Seat - Colours May Vary - 36 x 25 x 24cm,"LEGO Icons The Lord of the Rings: Barad-dûr Model, Movie Memorabilia Building Set for Adults, Gift Idea for Men & Women, Includes Sauron, Gothmog, Orc, Frodo, Sam and Gollum Minifigures 10333",https://www.clearance-king.co.uk/turbo-potty-trainer-seat-colours-may-vary-36-x-25-x-24cm.html,https://www.amazon.co.uk/dp/B0D5W8J5YV,100.0,,,2.0,2.436,2.03,399.99,60.0,7.07,0.55,66.66499999999996,13.93,264.2250000000001,-13.93,263.67500000000007,10219.96124031008,83.57999999999998,65.92039800995026
5025364002250,5012663015791,B00E1RZEO0,Tidyz Nappy Bags With Tie Handles - 28 x 30cm - Roll Of 100,"Electric Shower - Triton Cara (Perluso, Madrid 2, Seville, Enrich) - 9.5kW",https://www.clearance-king.co.uk/tidyz-nappy-bags-with-tie-handles-28-x-30cm-roll-of-100.html,https://www.amazon.co.uk/dp/B00E1RZEO0,,,Available (see Keepa data),1.0,0.6,0.5,92.99,11.62375,2.8,0.55,15.498333333333335,3.09475,62.56791666666666,-3.09475,62.017916666666665,5906.4682539682535,18.568499999999997,66.69310320106105
4982494312721,,B0D84FBQZR,BABY FOOD BIB- EASY CLEAN,"ASUS RT-BE58U BE3600 WiFi 7 AiMesh Extendable Router, 4K QAM, MLO, AI Detection 2.5G WAN/LAN port , Four 1G ports, Commercial Grade Network Security, Parental Control, IoT network, VPN network",https://www.clearance-king.co.uk/baby-food-bib-easy-clean.html,https://www.amazon.co.uk/dp/B0D84FBQZR,100.0,,,,0.528,0.44,86.09,10.76125,2.8,0.55,14.34833333333333,2.9102500000000004,57.740416666666675,-2.9102500000000004,57.19041666666668,5776.809764309765,17.461499999999997,66.43096372013785
5056239401137,5702017812885,B0DWF1W82X,PLUG SOCKET COVERS - PACK OF 10,"LEGO Harry Potter Book Nook: Hogwarts Express Set with a Train Toy, 2 Minifgures incl. Ron Weasley, plus Hedwig and Scabbers Figures - Wizarding World Gift for 10+ Year Old Boys, Girls & Fans - 76450",https://www.clearance-king.co.uk/plug-socket-covers-10-pc.html,https://www.amazon.co.uk/dp/B0DWF1W82X,50.0,,Available (see Keepa data),17.0,0.9,0.75,79.99,12.0,4.15,0.55,13.331666666666663,3.4899999999999998,49.75833333333333,-3.4899999999999998,49.208333333333336,3785.25641025641,20.939999999999998,61.51810642997042
5053154243149,5010996254016,B0CQJ2LQXX,SUKI BABY SOCKS ABIGAIL,"Star Wars Retro Collection The Acolyte Multipack, 9.5-cm Action Figure 6-Pack",https://www.clearance-king.co.uk/suki-baby-socks-abigail.html,https://www.amazon.co.uk/dp/B0CQJ2LQXX,,Available (see Keepa data),Available (see Keepa data),17.0,0.336,0.28,42.43,6.36,3.13,0.55,7.071666666666665,2.0640000000000005,25.588333333333335,-2.0640000000000005,25.038333333333334,3016.6666666666665,12.384,59.010919946578674
16455411,,B0CPDZTLP6,NAPPY BAGS WHITE - 31 x 12CM,63117258278 Halogen Headlamp TMS Driver Module Replacement for BMW 5 Series F10 F11 F07 Replaces 63117304906 63117267045,https://www.clearance-king.co.uk/nappy-bags-white.html,https://www.amazon.co.uk/dp/B0CPDZTLP6,,Available (see Keepa data),,1.0,0.18,0.15,33.99,5.1,3.03,0.55,5.664999999999999,1.766,20.045,-1.766,19.495,2785.0,10.596,57.35510444248308
079625993226,,B0FG7VF8J3,RAZZ BABY BATH WASH CLOTHS & RINSE CUPS,"INSOON Robot Building Toy with Lights, 5 in 1 Robotic Building Set with APP & Remote Control, RC Tech Tracked Tank Car Fighter Jet Model Kit 795 PCS, Educational Gift for Kids Boys Girls Ages 14+",https://www.clearance-king.co.uk/razz-baby-bath-wash-cloths-rinse-cups.html,https://www.amazon.co.uk/dp/B0FG7VF8J3,50.0,,,,0.696,0.58,43.99,5.49875,2.8,0.55,7.3316666666666634,1.8857500000000003,27.77958333333334,-1.8857500000000003,27.229583333333338,2409.697640117995,11.3145,61.89948473137835
5034253001434,5012663015517,B09G39RCLX,WOODEN TWISTY RAINBOW RING TOY 0+ MONTHS,"Triton Jade 3 Electric Shower 9.5kW (Opal 3, Aquasurge, Rosato)",https://www.clearance-king.co.uk/wooden-twisty-rainbow-ring-toy-0-m.html,https://www.amazon.co.uk/dp/B09G39RCLX,,,Available (see Keepa data),1.0,3.54,2.95,110.99,13.87375,2.8,0.55,18.498333333333335,4.03475,72.86791666666666,-4.03475,72.31791666666666,2066.2261904761904,24.2085,65.1571462894555
