EAN,EAN_OnPage,ASIN,SupplierTitle,AmazonTitle,SupplierURL,AmazonURL,bought_in_past_month,fba_seller_count,fbm_seller_count,total_offer_count,SupplierPrice_incVAT,SupplierPrice_exVAT,SellingPrice_incVAT,ReferralFee,FBAFee,PrepHouseFee,OutputVAT,InputVAT,NetProceeds,HMRC,NetProfit,ROI,Breakeven,ProfitMargin
5060424966240,5055280411560,B094664D98,FIRST TOOTH BOY CERAMIC TRINKET BOX,Store More Lifetime 15ft x 8ft Dual Edition Heavy Duty Plastic Shed,https://www.clearance-king.co.uk/first-tooth-boy-ceramic-trinket-box-3-24.html,https://www.amazon.co.uk/dp/B094664D98,,,Available (see Keepa data),1.0,1.32,1.1,3600.0,540.0,130.59,0.55,600.0,134.448,2328.31,-134.448,2327.7599999999998,141076.36363636362,806.688,77.592
5015302447779,0887111403025,B00BQTJ0PA,KIDS ICE COOLERS,"HP CF373AM 125A Original LaserJet Toner Cartridges, Cyan/Magenta/Yellow, Multipack",https://www.clearance-king.co.uk/kids-ice-coolers.html,https://www.amazon.co.uk/dp/B00BQTJ0PA,,,Available (see Keepa data),20.0,0.456,0.38,194.58,22.57,4.73,0.55,32.43000000000001,5.646,134.47000000000003,-5.646,133.92000000000002,14400.0,33.876,82.59019426456985
5025364000911,5025232982639,B0FGD9NJY4,Tidyz Very Strong Degradable Nappy Bags With Tie Handles - 32 x 36cm - Pack Of 100,"Panasonic NF-GM600KXC 6-in-1 Electric Multi Cooker, 1400W, 40-250°C, 9 Auto Modes, 6 Plate Accessories, Smoke Extractor, Dishwasher Safe, 2.5m Cord, Black",https://www.clearance-king.co.uk/tidyz-very-strong-degradable-nappy-bags-with-tie-handles-32-x-36cm-pack-of-100.html,https://www.amazon.co.uk/dp/B0FGD9NJY4,,Available (see Keepa data),Available (see Keepa data),3.0,0.78,0.65,249.99,37.5,7.31,0.55,41.66499999999999,9.202000000000002,162.865,-9.202000000000002,162.315,13526.249999999998,55.211999999999996,77.9143165726629
8696219319129,5702017589909,B0D5W8J5YV,Turbo Potty Trainer Seat - Colours May Vary - 36 x 25 x 24cm,"LEGO Icons The Lord of the Rings: Barad-dûr Model, Movie Memorabilia Building Set for Adults, Gift Idea for Men & Women, Includes Sauron, Gothmog, Orc, Frodo, Sam and Gollum Minifigures 10333",https://www.clearance-king.co.uk/turbo-potty-trainer-seat-colours-may-vary-36-x-25-x-24cm.html,https://www.amazon.co.uk/dp/B0D5W8J5YV,100.0,,,2.0,2.436,2.03,399.99,60.0,7.07,0.55,66.66499999999996,13.93,264.2250000000001,-13.93,263.67500000000007,10219.96124031008,83.57999999999998,79.10447761194031
39401219,0092644652394,B0D1GSC6JL,CUDDLES BATH TOYS - ASSORTED CHARACTERS - PACK OF 4,"Klein Tools 65239 KNECT Flip-20 Deep Impact Socket Set, 20 SAE and Metric Socket Sizes with MODbox Case, Heavy Duty Flip Sockets with 1/4 and 3/8-Inch Adapters",https://www.clearance-king.co.uk/4pk-bath-toys-asst-characters-12-48.html,https://www.amazon.co.uk/dp/B0D1GSC6JL,,,Available (see Keepa data),3.0,1.068,0.89,129.58,16.85,3.14,0.55,21.596666666666664,4.2860000000000005,87.10333333333335,-4.2860000000000005,86.55333333333336,6010.6481481481505,25.716000000000005,80.15434480629727
5025364002250,5012663015791,B00E1RZEO0,Tidyz Nappy Bags With Tie Handles - 28 x 30cm - Roll Of 100,"Electric Shower - Triton Cara (Perluso, Madrid 2, Seville, Enrich) - 9.5kW",https://www.clearance-king.co.uk/tidyz-nappy-bags-with-tie-handles-28-x-30cm-roll-of-100.html,https://www.amazon.co.uk/dp/B00E1RZEO0,,,Available (see Keepa data),1.0,0.6,0.5,92.99,11.62375,2.41,0.55,15.498333333333335,3.0167500000000005,62.95791666666666,-3.0167500000000005,62.407916666666665,5943.611111111111,18.1005,80.53500376384558
4982494312721,,B0D84FBQZR,BABY FOOD BIB- EASY CLEAN,"ASUS RT-BE58U BE3600 WiFi 7 AiMesh Extendable Router, 4K QAM, MLO, AI Detection 2.5G WAN/LAN port , Four 1G ports, Commercial Grade Network Security, Parental Control, IoT network, VPN network",https://www.clearance-king.co.uk/baby-food-bib-easy-clean.html,https://www.amazon.co.uk/dp/B0D84FBQZR,100.0,,,,0.528,0.44,86.09,10.76125,2.41,0.55,14.34833333333333,2.8322500000000006,58.130416666666676,-2.8322500000000006,57.58041666666668,5816.203703703705,16.9935,80.26077360901384
5055257864764,4820184122314,B0D9W1S3Y5,Upsy Daisy BPA Free Standard Neck Feeding Bottle with Silicone Teat for Baby - 250ml,"UGEARS V8 Engine 3D Wooden Puzzles for Adults - Wooden Model Kits for Adults to Build DIY Craft, for Engineers, 3D Puzzle Model Engine Kit, 3D Puzzles Adult Hobby Kit, Brain Teaser",https://www.clearance-king.co.uk/upsy-daisy-bpa-free-standard-neck-feeding-bottle-with-silicone-teat-for-baby-250ml.html,https://www.amazon.co.uk/dp/B0D9W1S3Y5,50.0,Available (see Keepa data),,2.0,0.9600000000000001,0.8,82.99,12.45,2.96,0.55,13.831666666666663,3.3520000000000003,52.94833333333333,-3.3520000000000003,52.39833333333333,3881.358024691358,20.112000000000002,75.76575491023016
5053154243149,5010996254016,B0CQJ2LQXX,SUKI BABY SOCKS ABIGAIL,"Star Wars Retro Collection The Acolyte Multipack, 9.5-cm Action Figure 6-Pack",https://www.clearance-king.co.uk/suki-baby-socks-abigail.html,https://www.amazon.co.uk/dp/B0CQJ2LQXX,,Available (see Keepa data),Available (see Keepa data),17.0,0.336,0.28,42.43,6.36,3.13,0.55,7.071666666666665,2.0640000000000005,25.588333333333335,-2.0640000000000005,25.038333333333334,3016.6666666666665,12.384,70.81310393589442
5056175915491,7393080639219,B00IKG6TC4,Upsy Daisy Bandana Style Dribble Bib - Assorted Colours,"Flymo Contour 500E Electric Grass Trimmer and Edger, 500 W, Cutting Width 25 cm, Orange",https://www.clearance-king.co.uk/upsy-daisy-bandana-style-dribble-bib-assorted-colours.html,https://www.amazon.co.uk/dp/B00IKG6TC4,200.0,Available (see Keepa data),Available (see Keepa data),17.0,0.48000000000000004,0.4,48.51,7.28,5.12,0.55,8.085,2.6700000000000004,27.624999999999996,-2.6700000000000004,27.074999999999996,2849.999999999999,16.02,66.97588126159553
