EAN,EAN_OnPage,ASIN,SupplierTitle,AmazonTitle,SupplierURL,AmazonURL,bought_in_past_month,fba_seller_count,fbm_seller_count,total_offer_count,SupplierPrice_incVAT,SupplierPrice_exVAT,SellingPrice_incVAT,ReferralFee,FBAFee,PrepHouseFee,OutputVAT,InputVAT,NetProceeds,HMRC,NetProfit,ROI,Breakeven,ProfitMargin
5060298503626,,B0CCTCVR4D,MASON TOOL HOOK SET 4 PIECES,"4 inch Wire Hook [10 Pack] Model 113 for Tool Wall Organization of Combination Wrenchs, Adjustable Wrenchs, Hammers, Paint Brushes, Merchandise, and More | Compatible with Wall Control",https://www.efghousewares.co.uk/mason-tool-hook-set-4-pieces-123862,https://www.amazon.co.uk/dp/B0CCTCVR4D,,,Available (see Keepa data),1.0,1.008,0.84,30.05,4.67,2.77,0.55,5.008333333333333,1.766,16.76166666666667,-1.766,16.21166666666667,1166.306954436451,10.596,64.738768718802
6260573000867,0612409856760,B01N7T37LB,OPAL SQUARE SIDE PLATE,"MALACASA White Dinner Plates Set of 6, 7.4"" Small Porcelain Side Plates Square Dessert Plates Salad Plates, Microwave & Dishwasher Safe, Series Elisa",https://www.efghousewares.co.uk/opal-square-side-plate-123969,https://www.amazon.co.uk/dp/B01N7T37LB,,Available (see Keepa data),Available (see Keepa data),2.0,0.852,0.71,25.99,3.9,5.25,0.55,4.331666666666667,2.0820000000000003,11.798333333333332,-2.0820000000000003,11.248333333333331,892.7248677248675,12.491999999999999,51.93535975375144
5060298506085,,B0CX8Y26PP,MASON PAINT BRUSH SET WITH HANDLE 3 PIECES,"ZOENHOU 10 Pieces 3 Inch Paint Brush Set, Paint Brush Decorating with Treated Plastic Handle, Professional Paint Brushes Tools for DIY Paint, Home, Furniture, Fences, Deck, and Wall Trim",https://www.efghousewares.co.uk/mason-paint-brush-set-with-handle-3-pieces-123938,https://www.amazon.co.uk/dp/B0CX8Y26PP,,Available (see Keepa data),,1.0,1.008,0.84,16.99,2.21,3.0,0.55,2.831666666666665,1.3199999999999998,8.108333333333334,-1.3199999999999998,7.5583333333333345,543.7649880095923,7.919999999999999,53.38434373160683
5050796012706,7554133632414,B09MTPMW1D,BRIGHT & HOMELY FOIL FLAN DISHES LARGE 215MM X 26MM X 26MM 6 PIECES,"12 x 29cm 12"" Aluminium Foil Round Pie Flan Quiche Dish Tray Container BBQ 29x29x4cm Airfryer Oven",https://www.efghousewares.co.uk/bright-homely-foil-flan-dishes-large-215mm-x-26mm-x-26mm-6-pieces-124151,https://www.amazon.co.uk/dp/B09MTPMW1D,,Available (see Keepa data),Available (see Keepa data),3.0,0.744,0.62,14.24,2.14,3.36,0.55,2.373333333333333,1.334,5.746666666666667,-1.334,5.196666666666667,444.1595441595442,8.004,43.79213483146068
5050796012713,,B07CS3PMSJ,BRIGHT & HOMELY FOIL PIE DISHES 215MM X 45MM X 45MM 5 PIECES,110 mm x 33 mm Round Foil Container - Pie dishes x 100,https://www.efghousewares.co.uk/bright-homely-foil-pie-dishes-215mm-x-45mm-x-45mm-5-pieces-124152,https://www.amazon.co.uk/dp/B07CS3PMSJ,100.0,Available (see Keepa data),Available (see Keepa data),6.0,0.744,0.62,12.25,1.5,2.7,0.55,2.041666666666666,1.074,5.388333333333334,-1.074,4.838333333333334,413.5327635327636,6.444,47.39591836734694
5030481984396,,B0FCLXDB1F,PPS SERVING TRAY REUSABLE PLASTIC WHITE 35x21CM 2 PIECES,"PATIKIL 9.5x6.9 Plastic Tray, 2 Pack Rectangular Plates Small Food Tray Wheat Plates Dishes Reusable Dessert Plate Trays with Cloth for Cake Fruits Salad Cupcake Steak Serving White",https://www.efghousewares.co.uk/pps-serving-tray-reusable-plastic-white-35x21cm-2-pieces-124047,https://www.amazon.co.uk/dp/B0FCLXDB1F,,Available (see Keepa data),Available (see Keepa data),2.0,0.66,0.55,9.99,1.5,1.87,0.55,1.6649999999999991,0.894,4.405000000000001,-0.894,3.8550000000000013,350.45454545454555,5.364,46.30630630630632
5060298504425,,B08R3ZJD7R,MASON SCREW HOOK SET 15 PIECES,135 PCS Screw Hooks 6 Sizes Vintage Bronze Cup Hooks for Mug Hanging Christmas Lights Plants Indoors Outdoors Use,https://www.efghousewares.co.uk/mason-screw-hook-set-15-pieces-123875,https://www.amazon.co.uk/dp/B08R3ZJD7R,100.0,Available (see Keepa data),Available (see Keepa data),2.0,1.008,0.84,12.59,1.64,2.77,0.55,2.0983333333333327,1.1600000000000001,5.241666666666667,-1.1600000000000001,4.691666666666667,337.5299760191847,6.96,44.71803018268468
5027148038059,,B0DZXFGRVN,KEELECO PUPPY LOVE ON LEAD 14CM ASSORTED,"MorisMos Giant Golden Retriever Dog Teddy for Girls, Beige Kawaii Puppy Stuffed Animal Plush Toy Soft Cuddly Big, Cute Birthday Presents for Kids Girlfriend Party Decorations (80cm)",https://www.efghousewares.co.uk/keeleco-puppy-love-on-lead-14cm-assorted-123836,https://www.amazon.co.uk/dp/B0DZXFGRVN,,Available (see Keepa data),,1.0,5.712,4.76,37.99,5.7,4.87,0.55,6.331666666666667,3.176,16.328333333333333,-3.176,15.778333333333332,297.143753923415,19.056,49.8394314293235
5060298506009,,B0CJBJW492,MASON METRIC HEXAGON KEY SET 1.5-10MM 10 PIECES,"Screen Protector For Honor Pad X9/X8 Pro(11.5 Inches),with 2 Pcs Tempered Glass [Fingerprint Reader,Easy to install]",https://www.efghousewares.co.uk/mason-metric-hexagon-key-set-1-5-10mm-10-pieces-123937,https://www.amazon.co.uk/dp/B0CJBJW492,,Available (see Keepa data),,2.0,1.008,0.84,11.99,1.8,2.7,0.55,1.998333333333333,1.178,4.651666666666666,-1.178,4.101666666666667,295.083932853717,7.068,41.05087572977481
5015934923276,5056814619636,B0FKH5GWYL,WICKED STATIONERY BACKPACK,"WICKED Backpack, Glinda And Elphaba Girls Backpack, Girls School Bag, Kids School Bag",https://www.efghousewares.co.uk/wicked-stationery-backpack-124119,https://www.amazon.co.uk/dp/B0FKH5GWYL,400.0,Available (see Keepa data),Available (see Keepa data),2.0,2.8920000000000003,2.41,19.99,3.0,2.98,0.55,3.331666666666667,1.7880000000000003,8.26833333333333,-1.7880000000000003,7.718333333333331,260.75450450450444,10.728000000000002,46.333166583291636
