EAN,EAN_OnPage,ASIN,SupplierTitle,AmazonTitle,SupplierURL,AmazonURL,bought_in_past_month,fba_seller_count,fbm_seller_count,total_offer_count,SupplierPrice_incVAT,SupplierPrice_exVAT,SellingPrice_incVAT,ReferralFee,FBAFee,PrepHouseFee,OutputVAT,InputVAT,NetProceeds,HMRC,NetProfit,ROI,Breakeven,ProfitMargin
5013922073552,,B0DHVMZ22W,WORK OF ART ACRYLIC PAINT PASTEL GREEN,Huepar 4x360 Laser Level Self-Leveling 16 Lines 4D Green Lazer Level Cross Lines Tiling Floor Laser Tool-2 x 360 Horizontal & 2 x 360 Vertical Lazer Lines with Two Li-ion Batteries and Hard Carry Case,https://www.efghousewares.co.uk/work-of-art-acrylic-paint-pastel-green-116795,https://www.amazon.co.uk/dp/B0DHVMZ22W,,,,3.0,0.852,0.71,219.99,28.6,4.97,0.55,36.66499999999999,6.966,149.04500000000002,-6.966,148.495,11785.317460317461,41.796,81.00095458884495
5012866030294,,B0DWFPRSQP,METAL GOLF SET,SKYMAX 2025 PRECISE M5 MENS COMPLETE GOLF SET - RIGHT HAND,https://www.efghousewares.co.uk/metal-golf-set-120254,https://www.amazon.co.uk/dp/B0DWFPRSQP,100.0,,,,1.752,1.46,179.0,22.375000000000004,2.41,0.55,29.833333333333314,5.359000000000001,122.9216666666667,-5.359000000000001,122.3716666666667,6088.1426202321745,32.154,82.03687150837989
5060309522332,,B0BWRP5XDS,PURE GOLD PERFUME MENS 100ML EACH,"VLAND Rear Lights for Mini Cooper F55 F56 F57 2014-2021 Union Jack Tail Lights Assembly with Dynamic Signal,None Fog Light (Black-Red)",https://www.efghousewares.co.uk/pure-gold-homme-fm-perfume-100ml-each,https://www.amazon.co.uk/dp/B0BWRP5XDS,,,,1.0,3.348,2.79,219.99,22.5,5.66,0.55,36.66499999999999,6.300000000000001,152.37500000000003,-6.300000000000001,151.82500000000002,4545.658682634731,37.8,82.81740079094504
5060309522912,,B0BWJP3R3N,CLASSIC CHIC PERFUME 100ML EACH,VLAND Tail Lights for Mini Cooper R56 R57 R58 R59 2007-2013 Rear Lights Lamp Assembly With Sequential Indicator and Welcome Lights(Smoked),https://www.efghousewares.co.uk/classic-chic-perfume-100ml-each-110228,https://www.amazon.co.uk/dp/B0BWJP3R3N,,,Available (see Keepa data),1.0,3.348,2.79,219.99,22.5,6.11,0.55,36.66499999999999,6.390000000000001,151.925,-6.390000000000001,151.375,4532.185628742515,38.339999999999996,82.57193508795854
5050565680136,,B0F2H6YLQ4,COLOUR YOUR OWN MUG GIRLS,"2G 64G 9 Inch Android Car Radio for VW Passat Jetta Tiguan Golf MK5 MK6 T5 EOS Polo CarPlay Android Auto, Rimoody Touch Screen Car Stereo GPS Navigation Bluetooth FM RDS EQ SWC Backup Camera",https://www.efghousewares.co.uk/colour-your-own-cup-girls-112099,https://www.amazon.co.uk/dp/B0F2H6YLQ4,,Available (see Keepa data),,1.0,1.68,1.4,119.99,8.4,3.14,0.55,19.998333333333335,2.6980000000000004,87.05166666666665,-2.6980000000000004,86.50166666666665,4435.982905982905,16.188000000000002,86.50887573964496
5033601022572,5012663016095,B08GKXYTP8,STICKER BOOK BY NUMBER DINO,"Triton Ivory 4 Electric Shower 10.5kW (Caselona 3, Eclipse, Excite Plus, T80gsi)",https://www.efghousewares.co.uk/sticker-book-by-number-dino-112175,https://www.amazon.co.uk/dp/B08GKXYTP8,,,Available (see Keepa data),1.0,1.548,1.29,95.99,11.99875,2.41,0.55,15.998333333333335,3.24975,64.29291666666666,-3.24975,63.74291666666666,3464.2889492753616,19.4985,79.68694655693301
5060082957581,,B0FVF91QDZ,SWIFT LUXURY TWIST PENS ASSORTED 3 PACK,"Osmond Bundle of 50 Twist Pens by WoodenTwist, Assorted 7mm Finish, Ideal for Gifting and Craft",https://www.efghousewares.co.uk/swift-luxury-twist-pens-assorted-3-pack-104155,https://www.amazon.co.uk/dp/B0FVF91QDZ,,,,,0.852,0.71,60.14,7.5175,2.41,0.55,10.023333333333333,2.2375000000000003,39.479166666666664,-2.2375000000000003,38.92916666666667,3089.6164021164022,13.424999999999999,77.67708679747255
5050565547071,,B0734R66B4,POP SENSORY TOY,"Tevlaphee Steering Wheel Lock, Steering Lock, Car Anti-Theft Device, Adjustable, Universal Fit, Heavy Duty Secure, 3 Keys, Emergency Hammer Window Breaker(Black)",https://www.efghousewares.co.uk/pop-sensory-toy,https://www.amazon.co.uk/dp/B0734R66B4,100.0,,,,0.40800000000000003,0.34,39.89,4.98625,2.41,0.55,6.648333333333333,1.6572500000000001,25.50541666666667,-1.6572500000000001,24.955416666666668,2803.9794007490636,9.9435,75.07269992479318
5050835103648,,B0DWDWH5MZ,SPARKLE PRINCESS DOLL 4 ASSORTED,"LEGO Star Wars 75434 K-2SO Security Droid Figure - Posable Play & Display Building Toy - Collectible Model Kit incl. an Information Plaque - Gift for Boys, Girls & Adult Andor Fans",https://www.efghousewares.co.uk/sparkle-princess-doll-4-assorted-117753,https://www.amazon.co.uk/dp/B0DWDWH5MZ,800.0,,,,1.032,0.86,59.99,7.498749999999999,2.41,0.55,9.998333333333335,2.2637500000000004,39.22291666666666,-2.2637500000000004,38.672916666666666,2742.7600472813238,13.5825,77.35872645440907
5060309522530,,B0DDKPQRT4,SPARKLE EDITION PERFUME 100ML EACH,"4G 64G for Ford Focus Exi MT 2 3 Mk2/Mk3 2004-2011 Android Car Stereo with Wireless Carplay, 9 Inch Touch Screen Car Radio with GPS Bluetooth FM RDS DSP WiFi Android Auto + AHD Backup Camera",https://www.efghousewares.co.uk/sparkle-edition-perfume-100ml-each,https://www.amazon.co.uk/dp/B0DDKPQRT4,,Available (see Keepa data),,1.0,3.348,2.79,125.99,8.82,3.14,0.55,20.998333333333335,3.0600000000000005,90.24166666666665,-3.0600000000000005,89.69166666666665,2685.3792415169655,18.36,85.42741487419634
