EAN,EAN_OnPage,ASIN,SupplierTitle,AmazonTitle,SupplierURL,AmazonURL,bought_in_past_month,fba_seller_count,fbm_seller_count,total_offer_count,SupplierPrice_incVAT,SupplierPrice_exVAT,SellingPrice_incVAT,ReferralFee,FBAFee,PrepHouseFee,OutputVAT,InputVAT,NetProceeds,HMRC,NetProfit,ROI,Breakeven,ProfitMargin
5.05325E+12,,B0D4N6R7YG,151 White Furniture Touch Up Pen 7ml CDU,"LG OLED48C45LA 48-Inch OLED Evo 4K UHD Smart TV, (α9 AI Processor Gen7, Dolby Atmos, Freeview Play and Amazon Alexa, 120Hz), Umber Brown [Model 2024]",https://www.poundwholesale.co.uk/151-white-furniture-touch-up-pen-7ml-cdu,https://www.amazon.co.uk/dp/B0D4N6R7YG,500,,,,0.93,0.775,799,99.875,2.8,0.55,133.1666667,20.8,675.79,112.3666667,561.8333333,42402.51572,124.8,84.38047559
5.05325E+12,,B0D4N6R7YG,151 White Gloss Non-Drip Paint 300ml,"LG OLED48C45LA 48-Inch OLED Evo 4K UHD Smart TV, (α9 AI Processor Gen7, Dolby Atmos, Freeview Play and Amazon Alexa, 120Hz), Umber Brown [Model 2024]",https://www.poundwholesale.co.uk/151-white-gloss-non-drip-paint-300ml,https://www.amazon.co.uk/dp/B0D4N6R7YG,500,,,,1.86,1.55,848,106,2.8,0.55,141.3333333,22.18,717.44,119.1533333,595.7666667,28369.84127,133.08,84.30660377
5.03867E+12,,B0024H7UOQ,Marksman Clear Nylon Cable Ties Set 75pc,"K'NEX | 6 Foot Ferris Wheel | Kids Building Set for Creative Play, Hours of Fun Making Giant ferris wheel, Suitable for Boys and Girls Ages 9+ | Basic Fun 89790",https://www.poundwholesale.co.uk/marksman-clear-nylon-cable-ties-set-75pc,https://www.amazon.co.uk/dp/B0024H7UOQ,,,Available (see Keepa data),3,0.87,0.725,399.99,60,8.48,0.55,66.665,13.951,317.814,52.714,263.57,20672.15686,83.706,79.07297682
5.01392E+12,,B0DRC6M55B,Artbox Assorted Colour Scented Markers 8 Pack,"CROBOLL RLAARLO 1/10 Brushless Carbon Fiber RC Drift Cars for Adults with Gyro, Max 50 mph Fast RC Rally Car, 2.4Ghz All Terrain Remote Control Car 4x4 Hobby RTR RC Truck with 3S Battery",https://www.poundwholesale.co.uk/artbox-8-scented-markers,https://www.amazon.co.uk/dp/B0DRC6M55B,,Available (see Keepa data),,1,0.65,0.541666667,303.99,51,5.73,0.55,50.665,11.56433333,235.914,39.10066667,195.5033333,17908.70229,69.386,77.17490707
LEL404,,B01MRZB1BH,Multi Marker Pack,HP 410X High Yield Black Laserjet Toner Cartridge CF410XD,https://www.poundwholesale.co.uk/multi-marker-pack,https://www.amazon.co.uk/dp/B01MRZB1BH,,,,,0.6,0.5,258,32.25,2.8,0.55,43,7.22,215.94,35.78,178.9,17038.09524,43.32,83.20930233
5.05325E+12,,B003ICX6TE,151 Double Sided Tape 24mm X 8m 3 Pack,"HP CE505XD 05X High Yield Original LaserJet Toner Cartridges, Black, Multipack",https://www.poundwholesale.co.uk/151-double-sided-tape-24mm-x-8m-3-pack,https://www.amazon.co.uk/dp/B003ICX6TE,,Available (see Keepa data),Available (see Keepa data),8,0.68,0.566666667,262.98,28.03,4.99,0.55,43.83,6.827333333,223.356,37.00266667,185.0133333,16568.35821,40.964,84.42315005
5.05325E+12,,B003ICX6TE,Masterplast Blue Plasters Assorted 60 Pack,"HP CE505XD 05X High Yield Original LaserJet Toner Cartridges, Black, Multipack",https://www.poundwholesale.co.uk/blue-plasters-80-pack,https://www.amazon.co.uk/dp/B003ICX6TE,,Available (see Keepa data),Available (see Keepa data),8,0.71,0.591666667,262.98,28.03,4.99,0.55,43.83,6.832333333,223.356,36.99766667,184.9883333,16203.35766,40.994,84.41174234
5.03867E+12,,B0D1K4TNKH,Car Air Fresheners Leaf Assorted CDU,"Telescopes for Adults Astronomy, 80mm Aperture 900mm Professional Refractor Telescope for Kids & Beginners, Compact and Portable Travel Telescopio with Carrying Bag and Designed Phone Adapter",https://www.poundwholesale.co.uk/car-air-fresheners-leaf-assorted-cdu,https://www.amazon.co.uk/dp/B0D1K4TNKH,,Available (see Keepa data),,1,0.33,0.275,179.99,12.6,6.35,0.55,29.99833333,3.955,157.25,26.04333333,130.2166667,15783.83838,23.73,86.81593422
5.0153E+12,,B0DRC6M55B,First Steps Baby Feeding Bottle 300ml Assorted,"CROBOLL RLAARLO 1/10 Brushless Carbon Fiber RC Drift Cars for Adults with Gyro, Max 50 mph Fast RC Rally Car, 2.4Ghz All Terrain Remote Control Car 4x4 Hobby RTR RC Truck with 3S Battery",https://www.poundwholesale.co.uk/first-steps-baby-feeding-bottle-300ml-assorted,https://www.amazon.co.uk/dp/B0DRC6M55B,,Available (see Keepa data),,1,0.92,0.766666667,303.99,51,5.73,0.55,50.665,11.60933333,235.914,39.05566667,195.2783333,14831.26582,69.656,77.08608836
5.03867E+12,,B09QS4NTLC,Prima Travel Sewing Tool Kit S/21,"Greenworks Cordless Leaf Blower, Axial Brushless Motor Lightweight Leaf Blower 210km/h 15m3/min with 2x40V Batteries & Charger, Electric Leaf Blower Cordless Garden Blower, 3 Year Guarantee GD40ABK2X",https://www.poundwholesale.co.uk/prima-travel-sewing-tool-kit-s-21,https://www.amazon.co.uk/dp/B09QS4NTLC,,,,,0.68,0.566666667,209.99,26.24875,2.8,0.55,34.99833333,6.033083333,175.1315,28.96525,144.82625,12969.51493,36.1985,82.76179818
5.05634E+12,,B01MF6UC3Y,DID Travel Bottle Set 3pc,ELEGANT 1800 x 452 mm Designer Vertical Column Radiator White Double Flat Panel,https://www.poundwholesale.co.uk/did-travel-bottle-set-3pc,https://www.amazon.co.uk/dp/B01MF6UC3Y,,,,,0.71,0.591666667,208.99,26.12375,2.8,0.55,34.83166667,6.013083333,174.2815,28.81858333,144.0929167,12621.27737,36.0785,82.73673382
5.05325E+12,6.32111E+11,B092MFNWGJ,Pan Aroma Scented Candle Soothing Lavender,"TOPDON ArtiDiag600S OBD2 Scanner, Car Diagnostic Tool for Engine Transmission ABS SRS, 9 Service: Oil/Brake/BMS/SAS/DPF/TPMS/ETS Reset/ABS Bleeding/Injector Coding, Lifetime Free Wireless Update",https://www.poundwholesale.co.uk/pan-aroma-scented-candle-soothing-lavender,https://www.amazon.co.uk/dp/B092MFNWGJ,50,Available (see Keepa data),,1,0.78,0.65,209.99,21.61,3.15,0.55,34.99833333,5.192,180.278,29.80633333,149.0316667,12419.30556,31.152,85.16500786
5.0153E+12,,B0DSD8MTRX,First Steps Jungle Baby Feeding Bottle 250ml,RIAARIO 1/10 Rally Car Max 50mph Brushless RC Cars for Adults with Gyro 4WD RC Truck with Full Car Linkage Lighting Remote Control Trucks with 3S 2200mAh Rechargeable Battery Support 4400mAh Battery,https://www.poundwholesale.co.uk/first-steps-jungle-baby-feeding-bottle-250ml,https://www.amazon.co.uk/dp/B0DSD8MTRX,,Available (see Keepa data),,1,0.82,0.683333333,229.49,34.42,5.73,0.55,38.24833333,8.276666667,181.31,29.97166667,149.8583333,12150.67568,49.66,78.36071289
5.05617E+12,,B0D1K4TNKH,Forever Beautiful Toweling Bow Wrap Headband Assorted Colours,"Telescopes for Adults Astronomy, 80mm Aperture 900mm Professional Refractor Telescope for Kids & Beginners, Compact and Portable Travel Telescopio with Carrying Bag and Designed Phone Adapter",https://www.poundwholesale.co.uk/forever-beautiful-toweling-bow-wrap-headband-assorted-colours,https://www.amazon.co.uk/dp/B0D1K4TNKH,,Available (see Keepa data),,1,0.65,0.541666667,179.99,12.6,6.35,0.55,29.99833333,4.008333333,157.25,25.99,129.95,11903.81679,24.05,86.63814656
5.03867E+12,,B0D1K4TNKH,Marksman Assorted Emery Cloth Sheets 23cm X 28cm,"Telescopes for Adults Astronomy, 80mm Aperture 900mm Professional Refractor Telescope for Kids & Beginners, Compact and Portable Travel Telescopio with Carrying Bag and Designed Phone Adapter",https://www.poundwholesale.co.uk/marksman-assorted-emery-cloth-sheets-23cm-x-28cm,https://www.amazon.co.uk/dp/B0D1K4TNKH,,Available (see Keepa data),,1,0.67,0.558333333,179.99,12.6,6.35,0.55,29.99833333,4.011666667,157.25,25.98666667,129.9333333,11723.30827,24.07,86.62703484
5.05618E+12,,B0D1K4TNKH,Bloome Assorted Fragrance Incense Sticks 32 Pack,"Telescopes for Adults Astronomy, 80mm Aperture 900mm Professional Refractor Telescope for Kids & Beginners, Compact and Portable Travel Telescopio with Carrying Bag and Designed Phone Adapter",https://www.poundwholesale.co.uk/bloome-assorted-fragrance-incense-sticks-32-pack,https://www.amazon.co.uk/dp/B0D1K4TNKH,,Available (see Keepa data),,1,0.74,0.616666667,179.99,12.6,6.35,0.55,29.99833333,4.023333333,157.25,25.975,129.875,11132.14286,24.14,86.58814379
