EAN,EAN_OnPage,ASIN,SupplierTitle,AmazonTitle,SupplierURL,AmazonURL,bought_in_past_month,fba_seller_count,fbm_seller_count,total_offer_count,SupplierPrice_incVAT,SupplierPrice_exVAT,SellingPrice_incVAT,ReferralFee,FBAFee,PrepHouseFee,OutputVAT,InputVAT,NetProceeds,HMRC,NetProfit,ROI,Breakeven,ProfitMargin
8.99328E+12,5.01753E+12,B07KFZPMNV,Charta A4 75GSM Everyday Copier Paper 2500 Sheets,Xerox 003R91912 Recycled + 80 g/m² A4 Cardboard 5 x 500 Sheets Recycled,https://www.poundwholesale.co.uk/charta-a4-75gsm-everyday-copier-paper-2500-sheets,https://www.amazon.co.uk/dp/B07KFZPMNV,50,,,2,1.13,0.941666667,20.99,3.15,6.56,0.55,3.498333333,0.188333333,7.781666667,3.31,3.921666667,262.9050279,11.39,18.68350008
5.01213E+12,,B0DWFZVTGR,Charta A4 75GSM Everyday Copier Paper 500 Sheets,"Design Group Kids Paint Set - 12 Watercolour Paints & brush Set, Washable Colors, Brushes Included",https://www.poundwholesale.co.uk/charta-a4-75gsm-everyday-copier-paper-500-sheets,https://www.amazon.co.uk/dp/B0DWFZVTGR,,,,,1.13,0.941666667,5.94,0.891,2.8,0.55,0.99,0.188333333,1.259,0.801666667,-0.092666667,-6.212290503,5.371,-1.560044893
5.01213E+12,,B0DWFZVTGR,Elbow Grease Planogram Bundle,"Design Group Kids Paint Set - 12 Watercolour Paints & brush Set, Washable Colors, Brushes Included",https://www.poundwholesale.co.uk/elbow-grease-planogram,https://www.amazon.co.uk/dp/B0DWFZVTGR,,,,,1.13,0.941666667,5.94,0.891,2.8,0.55,0.99,0.188333333,1.259,0.801666667,-0.092666667,-6.212290503,5.371,-1.560044893
5.01213E+12,,B0DWFZVTGR,Kids Create Assorted Colour Paints & Paint Brush Set 12 Pack,"Design Group Kids Paint Set - 12 Watercolour Paints & brush Set, Washable Colors, Brushes Included",https://www.poundwholesale.co.uk/kids-create-assorted-colour-paints-paint-brush-set-12-pack,https://www.amazon.co.uk/dp/B0DWFZVTGR,,,,,1.13,0.941666667,5.94,0.891,2.8,0.55,0.99,0.188333333,1.259,0.801666667,-0.092666667,-6.212290503,5.371,-1.560044893
8.99328E+12,,B08HJNBHWH,Charta A4 75GSM Everyday Copier Paper 500 Sheets,"indigo® Premium 75/80 GSM A4 White Printer Copier Paper 5 Reams of 500 Multifunction Laser Inkjet Paper (1 Box, 5 Reams)",https://www.poundwholesale.co.uk/charta-a4-75gsm-everyday-copier-paper-500-sheets,https://www.amazon.co.uk/dp/B08HJNBHWH,900,,,,0,0,20.95,3.1425,2.8,0.55,3.491666667,0,11.51583333,3.491666667,7.474166667,1358.939394,6.4925,35.67621321
8.99328E+12,5.01753E+12,B07KFZPMNV,Charta A4 75GSM Everyday Copier Paper 2500 Sheets,Xerox 003R91912 Recycled + 80 g/m² A4 Cardboard 5 x 500 Sheets Recycled,https://www.poundwholesale.co.uk/charta-a4-75gsm-everyday-copier-paper-2500-sheets,https://www.amazon.co.uk/dp/B07KFZPMNV,50,,,2,0,0,20.99,3.15,6.56,0.55,3.498333333,0,7.781666667,3.498333333,3.733333333,678.7878788,10.26,17.78624742
5.01213E+12,,B0DWFZVTGR,Kids Create Assorted Colour Paints & Paint Brush Set 12 Pack,"Design Group Kids Paint Set - 12 Watercolour Paints & brush Set, Washable Colors, Brushes Included",https://www.poundwholesale.co.uk/kids-create-assorted-colour-paints-paint-brush-set-12-pack,https://www.amazon.co.uk/dp/B0DWFZVTGR,,,,,0,0,5.94,0.891,2.8,0.55,0.99,0,1.259,0.99,-0.281,-51.09090909,4.241,-4.730639731
8.99328E+12,,B08HJNBHWH,Charta A4 75GSM Everyday Copier Paper 500 Sheets,"indigo® Premium 75/80 GSM A4 White Printer Copier Paper 5 Reams of 500 Multifunction Laser Inkjet Paper (1 Box, 5 Reams)",https://www.poundwholesale.co.uk/charta-a4-75gsm-everyday-copier-paper-500-sheets,https://www.amazon.co.uk/dp/B08HJNBHWH,900,,,,1.13,0.941666667,20.95,3.1425,2.8,0.55,3.491666667,0.188333333,11.51583333,3.303333333,7.6625,513.6871508,7.6225,36.575179
5.01213E+12,5.01213E+12,B0DWFZVTGR,Kids Create Assorted Colour Paints & Paint Brush Set 12 Pack,"Design Group Kids Paint Set - 12 Watercolour Paints & brush Set, Washable Colors, Brushes Included",https://www.poundwholesale.co.uk/kids-create-assorted-colour-paints-paint-brush-set-12-pack,https://www.amazon.co.uk/dp/B0DWFZVTGR,,,,1,0,0,5.94,25,16.22,0.55,0.99,0,-36.27,0.99,-37.81,-6874.545455,41.77,-636.5319865
5.03867E+12,5.03867E+12,B08Z4BYN6L,Marksman Pick-Up & Reach Tool,Litter Picker Tool Pick Up & Reach Hand Tool Grabber Mobility Stick Long 76cm,https://www.poundwholesale.co.uk/marksman-pick-up-reach-tool,https://www.amazon.co.uk/dp/B08Z4BYN6L,,Available (see Keepa data),,2,1.13,0.941666667,5.99,0.8985,4.67,0.55,0.998333333,0.188333333,-0.576833333,0.81,-1.936833333,-129.8435754,7.2485,-32.3344463
5.05557E+12,8.10087E+11,B0DYFB7XSG,Red Deer Toys Boxed Princess Dress Doll Assorted,Dress To Impress – Mystery Models Dolls – Wave 1,https://www.poundwholesale.co.uk/red-deer-toys-boxed-princess-dress-doll,https://www.amazon.co.uk/dp/B0DYFB7XSG,,Available (see Keepa data),Available (see Keepa data),14,1.13,0.941666667,12.99,1.95,2.94,0.55,2.165,0.188333333,5.935,1.976666667,3.408333333,228.4916201,6.57,26.2381319
,5.01678E+12,B08JC88YMP,Prima Strong Plastic Rust-Free Clothes Pegs 30 Pack,CARASELLE Clothes Pegs for Washing Line Strong - Non Slip Heavy Duty Washing Pegs w/Rubber Pad for Mark Free Secure Grip - Indoor Outdoor Plastic Clothes Pegs Strong Large Laundry Pegs - 40 pcs,https://www.poundwholesale.co.uk/prima-strong-plastic-rust-free-clothes-pegs-36-pack,https://www.amazon.co.uk/dp/B08JC88YMP,700,Available (see Keepa data),Available (see Keepa data),2,0.74,0.616666667,16.99,2.55,2.94,0.55,2.831666667,0.123333333,8.668333333,2.708333333,5.41,463.7142857,6.78,31.84226015
8.69741E+12,,B0DMNF2R32,Encore White Toilet Brush Set Pallet Deal,"MR.SIGA Toilet Brush and Holder Set, Wall Mounted Toilet Bowl Brush, Compact Toilet Scrub Brush with Holder for Bathroom, Black, 2 Pack",https://www.poundwholesale.co.uk/encore-white-toilet-brush-set-pallet-deal,https://www.amazon.co.uk/dp/B0DMNF2R32,100,,,,1.13,0.941666667,13.99,2.0985,2.8,0.55,2.331666667,0.188333333,6.759833333,2.143333333,4.0665,272.6145251,6.5785,29.06719085
8.69741E+12,,B0DMNF2R32,Encore Silver Toilet Brush Set Pallet Deal,"MR.SIGA Toilet Brush and Holder Set, Wall Mounted Toilet Bowl Brush, Compact Toilet Scrub Brush with Holder for Bathroom, Black, 2 Pack",https://www.poundwholesale.co.uk/encore-silver-toilet-brush-set-pallet-deal,https://www.amazon.co.uk/dp/B0DMNF2R32,100,,,,1.13,0.941666667,13.99,2.0985,2.8,0.55,2.331666667,0.188333333,6.759833333,2.143333333,4.0665,272.6145251,6.5785,29.06719085
8.69741E+12,,B0DMNF2R32,Encore Silver Toilet Brush Set,"MR.SIGA Toilet Brush and Holder Set, Wall Mounted Toilet Bowl Brush, Compact Toilet Scrub Brush with Holder for Bathroom, Black, 2 Pack",https://www.poundwholesale.co.uk/encore-grey-toilet-brush-set,https://www.amazon.co.uk/dp/B0DMNF2R32,100,,,,1.13,0.941666667,13.99,2.0985,2.8,0.55,2.331666667,0.188333333,6.759833333,2.143333333,4.0665,272.6145251,6.5785,29.06719085
8.69741E+12,,B0DMNF2R32,Encore White Toilet Brush Set,"MR.SIGA Toilet Brush and Holder Set, Wall Mounted Toilet Bowl Brush, Compact Toilet Scrub Brush with Holder for Bathroom, Black, 2 Pack",https://www.poundwholesale.co.uk/encore-white-toilet-brush-set,https://www.amazon.co.uk/dp/B0DMNF2R32,100,,,,1.13,0.941666667,13.99,2.0985,2.8,0.55,2.331666667,0.188333333,6.759833333,2.143333333,4.0665,272.6145251,6.5785,29.06719085
,,B091TLWBJR,Prima Poly Rope Pulley Line 10m Assorted Colours,“The Strongest” Natural Cotton Clothesline Pulley by Smith’s® | 20m/66ft X 5.5mm | Soft Braided 130kgs Pulling Force Rope | Snag & Tear Resistant | 1 Year Guarantee!,https://www.poundwholesale.co.uk/prima-poly-rope-pulley-line-10m-assorted-colours,https://www.amazon.co.uk/dp/B091TLWBJR,500,,,,0.53,0.441666667,10.99,1.6485,2.8,0.55,1.831666667,0.088333333,4.709833333,1.743333333,2.4165,243.6806723,5.5285,21.98817106
,5.06032E+12,B004W052N4,Prima Deluxe Plastic Clothes Pegs 12 Pack,HANGERWORLD Pack of 48 Strong 8cm Plastic Clothes Washing Line Pegs Rubber Soft Grip Laundry Garment (48),https://www.poundwholesale.co.uk/prima-deluxe-plastic-clothes-pegs-12-pack,https://www.amazon.co.uk/dp/B004W052N4,,Available (see Keepa data),,1,0.68,0.566666667,9.99,1.5,2.65,0.55,1.665,0.113333333,4.175,1.551666667,2.073333333,185.6716418,5.38,20.75408742
5.03867E+12,7.36963E+11,B0DYV8W1YL,Extra Strength Rat Glue Traps 2 Pack CDU,"GroZythre 8 Pack Pest Sticky Pad Traps Boards, Multi Insects Sticky Pads, Undetectable Black & Extra Strong Glue Sticky Trap Pads, Used Indoors/Outdoor, At Homes And Offices etd",https://www.poundwholesale.co.uk/extra-strength-rat-glue-traps-2-pack-cdu,https://www.amazon.co.uk/dp/B0DYV8W1YL,300,Available (see Keepa data),,1,1.13,0.941666667,16.99,2.55,2.72,0.55,2.831666667,0.188333333,8.888333333,2.643333333,5.695,381.7877095,6.95,33.51971748
5.05618E+12,,B0D12WVWSK,Pest Police Quick Action Mouse Traps 3 Pack,DIY PEST Humane Mouse Traps for Indoors & Outdoors - 5 Pack Mouse Trap Boxes | Mouse Trap Box in Tamper-Resistant Station | Effective Mice Control | Versatile Mouse Traps for Indoor/Outdoor Use,https://www.poundwholesale.co.uk/pest-police-quick-action-mouse-traps-3-pack,https://www.amazon.co.uk/dp/B0D12WVWSK,,,,,1.13,0.941666667,15.49,2.3235,2.8,0.55,2.581666667,0.188333333,7.784833333,2.393333333,4.8415,324.5698324,6.8035,31.25564881
5.05325E+12,5.05325E+12,B0CGPF2FLL,Pestshield Flying Insect Mosquito Killer Coils 6 Pack,"12x Repellent Coil for Mosquito Midge Flies Insect for Outdoor use Such as Gardens, BBQ, Balconies and terraces",https://www.poundwholesale.co.uk/pestshield-flying-insect-mosquito-killer-coils-6-pack,https://www.amazon.co.uk/dp/B0CGPF2FLL,50,Available (see Keepa data),Available (see Keepa data),2,1.13,0.941666667,6.99,0.56,1.7,0.55,1.165,0.188333333,3.565,0.976666667,2.038333333,136.6480447,3.94,29.16070577
5.03867E+12,,B07VP2SQPM,Prima Kid's Waterproof Emergency Poncho,"Opret Disposable Rain Ponchos, 5/10 pcs Emergency Raincoats Waterproof Ponchos Lightweight for Men and Women with Hood and Sleeves",https://www.poundwholesale.co.uk/prima-kid-s-waterproof-emergency-poncho,https://www.amazon.co.uk/dp/B07VP2SQPM,100,Available (see Keepa data),,1,1.13,0.941666667,8.49,0.68,2.61,0.55,1.415,0.188333333,3.785,1.226666667,2.008333333,134.6368715,4.97,23.65528072
5.03867E+12,,B08ZGJT9J4,Ant Glue Traps 3 Pack,3pk Ant Traps | Home Bait Station | Stops and Glues Ants as an Insect Trapper,https://www.poundwholesale.co.uk/ant-glue-traps-3-pack,https://www.amazon.co.uk/dp/B08ZGJT9J4,50,,,,1.13,0.941666667,5.98,0.897,2.8,0.55,0.996666667,0.188333333,1.286333333,0.808333333,-0.072,-4.826815642,5.377,-1.204013378
5.05617E+12,5.05617E+12,B087YTXGW3,Beat It Ant Glue Traps 3 Pack CDU,BEAT IT Flying Catchers 3x Ant Glue Traps,https://www.poundwholesale.co.uk/beat-it-ant-glue-traps-3-pack-cdu,https://www.amazon.co.uk/dp/B087YTXGW3,,,Available (see Keepa data),5,1.13,0.941666667,3.44,0.52,1.5,0.55,0.573333333,0.188333333,0.846666667,0.385,-0.088333333,-5.921787709,3.7,-2.567829457
5.05038E+12,8.05902E+12,B0DG2QVKZL,Car Pride Interior Clean & Shine 300ml,"Hoover HF1 Plus Cordless Stick Vacuum Cleaner with Turbo Suction Mode, Up to 45 Min Runtime, LED Lights, Multi-Floor Nozzle, Anti Hair Wrap, Handheld Capability, 165w [HF1P10H]",https://www.poundwholesale.co.uk/interior-clean-shine-300ml,https://www.amazon.co.uk/dp/B0DG2QVKZL,400,,,18,0.95,0.791666667,99,14.85,6.45,0.55,16.5,0.158333333,60.25,16.34166667,43.35833333,3231.677019,22.8,43.7962963
5.05038E+12,,B0DG2QVKZL,Car Pride Luxury Natural Chamois Leather,"Hoover HF1 Plus Cordless Stick Vacuum Cleaner with Turbo Suction Mode, Up to 45 Min Runtime, LED Lights, Multi-Floor Nozzle, Anti Hair Wrap, Handheld Capability, 165w [HF1P10H]",https://www.poundwholesale.co.uk/car-pride-luxury-natural-chamois-leather,https://www.amazon.co.uk/dp/B0DG2QVKZL,400,,,,1.41,1.175,99,14.85,2.8,0.55,16.5,0.235,63.44,16.265,46.625,2702.898551,19.61,47.0959596
5.05325E+12,1.90781E+11,B075QDW3BF,Car Pride Under Body Seal Black 400ml,"HP CF541A 203A Original LaserJet Toner Cartridge, Cyan, Single Pack",https://www.poundwholesale.co.uk/carpride-under-body-seal-black,https://www.amazon.co.uk/dp/B075QDW3BF,100,Available (see Keepa data),Available (see Keepa data),31,1.73,1.441666667,64.99,9.75,3.06,0.55,10.83166667,0.288333333,39.61833333,10.54333333,28.525,1432.217573,15.09,43.8913679
5.05038E+12,5.05038E+12,B00IXMG80S,Car Pride Leather Cleaning Spray 250ml,"12 x Cans Of Leather cleaning spray, car cleaning, 300ml",https://www.poundwholesale.co.uk/leather-cleaning-spray-250ml,https://www.amazon.co.uk/dp/B00IXMG80S,,,Available (see Keepa data),3,0.97,0.808333333,19.95,2.9925,2.8,0.55,3.325,0.161666667,9.8625,3.163333333,6.149166667,452.6993865,7.3125,30.82289056
5.05258E+12,5.06079E+12,B0CKTH6LDT,Bettina Microfibre Car Cloths 2 Pack,CarMax® - Original Twisted Loop Car Drying Towel - Double-Sided XXL - 90cm x 60cm 1400gsm Microfibre Towel for fast streak-free drying and detailing.,https://www.poundwholesale.co.uk/3pc-micro-fibre-car-cloths-highly-effective-wet-or-dry,https://www.amazon.co.uk/dp/B0CKTH6LDT,,Available (see Keepa data),,2,0.79,0.658333333,17.99,2.7,3.48,0.55,2.998333333,0.131666667,8.021666667,2.866666667,4.605,381.1034483,7.52,25.5975542
5.05532E+12,6.97536E+12,B0C49F6NG6,Auto Extreme Professional Petrol-Resistant Lacquer Clear Spray 400ml,"Ozeino Wireless Gaming Headset, Compatible with PC Ps5 Ps4 Boasts 2.4GHz Lossless Audio, USB & Type-C, Flip Microphone and 40-Hr Battery - Suited for Switch, Laptop, Mac",https://www.poundwholesale.co.uk/auto-extreme-professional-petrol-resistant-lacquer-clear-spray-400ml,https://www.amazon.co.uk/dp/B0C49F6NG6,50,Available (see Keepa data),,9,1.89,1.575,23.11,3.47,3.15,0.55,3.851666667,0.315,10.74833333,3.536666667,6.661666667,313.4901961,9.06,28.82590509
5.05532E+12,5.05532E+12,B01FXX9AJA,Auto Extreme Automotive Black Matt Spray Paint 250ml,Black Matt Aerosol Spray Cans 250ml Car Auto Extreme Spray Paint (6),https://www.poundwholesale.co.uk/auto-extreme-automotive-black-matt-spray-paint-250ml,https://www.amazon.co.uk/dp/B01FXX9AJA,,,Available (see Keepa data),10,0.92,0.766666667,9.95,1.5,3.15,0.55,1.658333333,0.153333333,2.721666667,1.505,0.666666667,50.63291139,6.12,6.700167504
5.05258E+12,,B0DHXJ3Y9T,Bettina Car Sponges 3 Pack,"3 Pack Car Sponges,Jumbo Sponges For Car Cleaning,Anti Scratch Technology for Car Exterior & Window Washing- Perfect For Wheels, Windscreen & Bodywork (3 PCS (Yellow))",https://www.poundwholesale.co.uk/bettina-car-sponges-3-pack,https://www.amazon.co.uk/dp/B0DHXJ3Y9T,200,Available (see Keepa data),,1,0.84,0.7,7.99,1.2,2.61,0.55,1.331666667,0.14,2.008333333,1.191666667,0.266666667,21.33333333,5.2,3.337505215
5.05325E+12,5.05325E+12,B0BLLV2M74,Car Pride Clean & Polish Microfibre Cloth,CARPRIDE® Clean and Polish MicroFibre Cloth for Car Exterior and Interior | Streak Free | 30 x 30 cm,https://www.poundwholesale.co.uk/car-pride-clean-polish-microfibre-cloth,https://www.amazon.co.uk/dp/B0BLLV2M74,,Available (see Keepa data),Available (see Keepa data),3,0.76,0.633333333,5.29,0.79,1.52,0.55,0.881666667,0.126666667,1.338333333,0.755,0.033333333,2.816901408,3.62,0.630119723
