excel_row,ASIN,field,final_value,correct_value,correct_source_row
2,B0FG8J89T4,AmazonTitle,"Stretcherz Mini Stretch Squad 20 Pack Fidget Toys Set / Stress Relief, Anxiety Relief & Calming Squishy Fidget Toy / Sensory Toy Playset / Party Bag Fillers For Birthday, Parties, Schools / 3+","Stretcherz Mini Stretch Squad 20 Pack Fidget Toys Set | Stress Relief, Anxiety Relief & Calming Squishy Fidget Toy | Sensory Toy Playset | Party Bag Fillers For Birthday, Parties, Schools | 3+",402
2,B0FG8J89T4,Amazon EAN,-,,402
2,B0FG8J89T4,NetProfit,10.22,10.22125,402
2,B0FG8J89T4,ROI,6.814,6.81416666666666,402
3,B0CCJS5GKB,NetProfit,2.09,2.09333333333333,1729
3,B0CCJS5GKB,ROI,3.806,3.8060606060606,1729
4,B0DT71SSPT,NetProfit,3.9,3.905,1132
4,B0DT71SSPT,ROI,2.693,2.69310344827586,1132
5,B005XKFN0O,SupplierPrice,2.99,2.988,525
5,B005XKFN0O,NetProfit,8.0,8.00124999999999,525
5,B005XKFN0O,ROI,2.632,2.63199013157894,525
6,B087RLGF1Y,SupplierPrice,3.43,3.432,520
6,B087RLGF1Y,NetProfit,8.11,8.11166666666666,520
6,B087RLGF1Y,ROI,2.379,2.37878787878787,520
7,B073XQYNQT,SupplierPrice,3.35,3.348,600
7,B073XQYNQT,NetProfit,7.18,7.17833333333333,600
7,B073XQYNQT,ROI,2.149,2.14920159680638,600
8,B01MZARJ6G,NetProfit,1.59,1.595,1959
9,B09KCLYC1D,AmazonTitle,"Pan Aroma Orange Decorative Holder & Scented Candle, Salted Caramel, 85G POUND","Pan Aroma Orange Decorative Holder & Scented Candle, Salted Caramel, 85G",1545
9,B09KCLYC1D,SupplierPrice,1.3,1.296,1545
9,B09KCLYC1D,NetProfit,2.54,2.545,1545
9,B09KCLYC1D,ROI,1.561,1.56134969325153,1545
10,B07WDRQ4J7,SupplierPrice,13.43,13.428,214
10,B07WDRQ4J7,NetProfit,16.55,16.5533333333333,214
10,B07WDRQ4J7,ROI,1.41,1.40999432140829,214
11,B099H4D9TH,Amazon EAN,-,,1075
11,B099H4D9TH,SupplierPrice,4.16,4.164,1075
11,B099H4D9TH,NetProfit,4.12,4.12416666666666,1075
11,B099H4D9TH,ROI,1.026,1.02591210613598,1075
12,B0791ZQMMZ,Amazon EAN,-,,1637
12,B0791ZQMMZ,SupplierPrice,2.14,2.136,1637
12,B0791ZQMMZ,NetProfit,2.3,2.30083333333333,1637
12,B0791ZQMMZ,ROI,0.987,0.9874821173104429,1637
13,B07STZLCM6,Amazon EAN,-,,1048
13,B07STZLCM6,NetProfit,4.25,4.25458333333333,1048
13,B07STZLCM6,ROI,0.978,0.9780651340996169,1048
14,B09KCMWXQX,AmazonTitle,"PAN AROMAÂ® RED Decorative Holder & Scented Candle, RED Berry, 85g POUND","PAN AROMAÂ® RED Decorative Holder & Scented Candle, RED Berry, 85g",2002
14,B09KCMWXQX,SupplierPrice,1.3,1.296,2002
14,B09KCMWXQX,NetProfit,1.49,1.49166666666666,2002
14,B09KCMWXQX,ROI,0.915,0.915132924335378,2002
15,B083XH692T,SupplierPrice,1.3,1.296,2103
