category,Pack_Analysis_Verdict,Adjusted_Profit,Adjusted_ROI,Qty_Ratio,Sup_Qty,Amz_Qty,sales_numeric,SupplierTitle,AmazonTitle,EAN,ASIN,NetProfit,ROI,SupplierPrice_incVAT,SellingPrice_incVAT
UNCERTAIN,MATCH (1:1),673.01,15578.935185185184,1.0,1.0,1.0,0,Blue Ribbed Sleepsuit (NB-3 Months),HTC Vive Focus Vision — Mixed Reality and PC VR Headset + Controllers — Consumer Edition,75023797313102,B0DFWZCPZD,673.01,16217.108433734938,4.32,999.0
UNCERTAIN,MATCH (1:1),617.19,20491.035856573704,1.0,1.0,1.0,0,Felt Christmas Pompom Stocking (Assorted),"Ricoh (NEW) 360 Meeting Hub - 3-in-1, 360°, Plug-and-Play Conference Camera/Microphone/Speaker, 1920x1080, 3.6m/6m Video/Audio pickup range, 8Wx3 speakers",5053189047040,B0D7D75B8F,617.19,20169.60784313726,3.012,818.94
UNCERTAIN,MATCH (1:1),385.07333333333327,11501.592990840301,1.0,1.0,1.0,0,Ivory Velvet Ribbon (10mm x 20m),Extendable Modern Wooden TV Stand Living Room Storage Furniture Adjustable Width 200-262cm Rich Walnut Finish Without Coffee Table,5056349265537,B0FJ2N2JTV,385.07333333333327,11529.141716566864,3.348,598.9
UNCERTAIN,MATCH (1:1),379.8733333333333,3961.9663468224167,1.0,1.0,1.0,0,Red Velvet ribbon (100mm x 10yds),Extendable Modern Wooden TV Stand Living Room Storage Furniture Adjustable Width 200-262cm Rich Walnut Finish Without Coffee Table,5056349268682,B0FJ2N2JTV,379.8733333333333,4448.165495706478,9.588,598.9
UNCERTAIN,MATCH (1:1),366.4683333333333,5562.66444039668,1.0,1.0,1.0,0,Sage Green Velvet Ribbon (15mm x 20m),"Modern TV Stand for 75-Inch TVs, Contemporary Walnut Media Cabinet with Slatted Doors & Metal Legs - Extra Long Entertainment Unit for Living Room & Bedroom (240CM)",5056349265773,B0FCM8TJ39,366.4683333333333,6067.35651214128,6.588,569.05
UNCERTAIN,MATCH (1:1),361.145,21344.267139479904,1.0,1.0,1.0,0,Silver Bells on Wire (5cm),"Modern Wooden Media Console, Slatted Door Design, Walnut Finish, Black Metal Base (180CM)",5056349268743,B0FJ2QMSY7,361.145,18425.76530612245,1.692,540.45
UNCERTAIN,MATCH (1:1),351.595,27904.365079365085,1.0,1.0,1.0,0,6 3cm Bells on wire (Rusty),"Modern Wooden Media Console, Slatted Door Design, Walnut Finish, Black Metal Base (180CM)",5056349268767,B0FJ2QMSY7,351.595,21974.6875,1.26,540.45
UNCERTAIN,MATCH (1:1),331.6983333333333,1470.2940307328606,1.0,1.0,1.0,0,Chapel Candle (30cm x 50mm),"MAMMOTION YUKA mini 500 Robot Lawn Mowe Perimeter Wire Free, Recommended for 500 ㎡, Maximum 700 ㎡,3D Al Vision, 45% Slope Capability, Automatic Mapping, Equipped with 4G Module",4031052099236,B0DT48MQCL,331.6983333333333,1714.203273040482,22.56,499.0
MODERATE_CONFIDENCE,MATCH (1:1),300.5433333333333,5640.828328328327,1.0,1.0,1.0,0,Natural with Red Glitter Snowflakes Ribbon (63mm x 10yds),"Modern Extendable TV Stand with Storage, Walnut Wood Entertainment Centre, Black Accent Panels, 3 Drawers (Black Walnut)",5056349263175,B0FJDDBRTL,300.5433333333333,6022.912491649967,5.328,473.86
UNCERTAIN,MATCH (1:1),293.3533333333333,8762.046993229787,1.0,1.0,1.0,0,Dusky Purple Velvet Ribbon (10mm x 20m),"Modern Extendable TV Stand with Storage, Walnut Wood Entertainment Centre, Black Accent Panels, 3 Drawers (Black Walnut)",5056349265667,B0FJDDBRTL,293.3533333333333,8783.03393213573,3.348,473.86
