EAN,EAN_OnPage,ASIN,SupplierTitle,AmazonTitle,SupplierURL,AmazonURL,bought_in_past_month,fba_seller_count,fbm_seller_count,total_offer_count,SupplierPrice_incVAT,SupplierPrice_exVAT,SellingPrice_incVAT,ReferralFee,FBAFee,PrepHouseFee,OutputVAT,InputVAT,NetProceeds,HMRC,NetProfit,ROI,Breakeven,ProfitMargin
3800157263931,,B0F2JLVHZZ,Premium Harry Potter Standard Backpack,Blue Sky Studios Harry Potter Luxury Premium Bags – Order of the Phoenix Edition,https://angelwholesale.co.uk/occasions/back-to-school/school-bags/premium-baby-shark-standard-backpack/p1053521.html,https://www.amazon.co.uk/dp/B0F2JLVHZZ,,,,,5.484,4.57,49.99,6.24875,2.41,0.55,8.331666666666663,2.75575,28.429583333333333,-2.75575,27.879583333333333,544.5231119791666,16.5345,66.92438487697538
5038104653230,5400868011548,B08ZCYRZLR,Mickey and Minnie Sparkle (2 Assorted),"Disney Simba Official MICKEY MOUSE REFRESH CORE MINNIE, Pink, white, 25CM",https://angelwholesale.co.uk/toys/fancy-dress-role-play/all-roleplay-toys/princess-sparkle-beauty-set-2-assorted-/p1061236.html,https://www.amazon.co.uk/dp/B08ZCYRZLR,200.0,,Available (see Keepa data),13.0,1.5,1.25,11.99,1.8,2.67,0.55,1.998333333333333,1.254,4.2716666666666665,-1.254,3.7216666666666667,206.75925925925927,7.523999999999999,37.24770642201835
5023797501258,,B0F4QNCVHZ,Glitter Cosmetic Bag  by Soft Touch,"Shiny Glitter Makeup Bag - Sparkly Bling Double Layer Cosmetic Bag with Zipper, 19x26cm Portable Toiletry Pouch for Women, Waterproof Travel Makeup Organizer, Pink",https://angelwholesale.co.uk/Item/Childrens-PVC-Swim-Bag--by-Soft-Touch-bac01484,https://www.amazon.co.uk/dp/B0F4QNCVHZ,,Available (see Keepa data),,1.0,0.768,0.64,6.68,1.0,1.51,0.55,1.1133333333333333,0.74,2.4166666666666665,-0.74,1.8666666666666665,156.86274509803923,4.44,33.532934131736525
5038104634536,5012866069324,B0D49TPWDR,Soft Dart Gun Set,"SWAT Team Soft Dart Blaster Set, 2 Toy Guns with 8 Foam Darts, Blue and Green, Age 3+",https://angelwholesale.co.uk/toys/preschool-toys/police-action-twin-gun-set-19cm-/p1065227.html,https://www.amazon.co.uk/dp/B0D49TPWDR,,,Available (see Keepa data),2.0,0.9,0.75,6.82,1.02,2.61,0.55,1.1366666666666667,0.986,1.3033333333333341,-0.986,0.7533333333333341,57.94871794871801,5.9159999999999995,13.255131964809397
5022896623144,5022896623144,B00GB8DVFQ,Kids Animal Face Mask - Washable (4 Asst Designs) (Assorted Designs),PMS 3ASST LARGE WILDLIFE KIDS ANIMAL BACKPACK W/HANGTAG,https://angelwholesale.co.uk/Item/Kids-Animal-hardshell-backpack---Large-toy03067,https://www.amazon.co.uk/dp/B00GB8DVFQ,,,,1.0,11.34,9.45,25.0,3.75,3.4,0.55,4.166666666666664,3.4300000000000006,4.233333333333336,-3.4300000000000006,3.6833333333333362,36.833333333333364,20.58,17.680000000000014
5050565242051,5050565242051,B073522BB8,Set Of 3 Red Velvet Bows,"PMS 14.5"" INDIAN BOW & 3xARROWS W/QUIVER ON TIE ON CARD",https://angelwholesale.co.uk/toys/fancy-dress-role-play/all-roleplay-toys/western-bow-3-x-arrows-with-quiver-/p1057294.html,https://www.amazon.co.uk/dp/B073522BB8,,,Available (see Keepa data),2.0,1.62,1.35,6.72,0.84,2.41,0.55,1.12,1.03,0.9999999999999996,-1.03,0.4499999999999995,23.684210526315763,6.179999999999999,8.035714285714278
5010453366016,,B0B59YLS2L,Peter Rabbit Boot Bag,"Peter Storm Boot Bag, Green, One Size",https://angelwholesale.co.uk/sale/special-offers-occassions/-boot-bag-lb-mint-grn-4pcs/p1050755.html,https://www.amazon.co.uk/dp/B0B59YLS2L,,,,,4.632,3.86,10.95,1.36875,2.41,0.55,1.8249999999999993,1.63775,1.4862499999999996,-1.63775,0.9362499999999996,21.23015873015872,9.826500000000001,10.260273972602734
5050565471857,5056147065988,B07CBJF3KN,Knight Warrior Swords (Assorted Designs),Lizzy 2 x Children's Reusable Plastic Broad Toy Sword/Knight Warrior Toy Sword (62cm) 2 Assorted Colours Fancy dress Costume accessory Kids party Bookweek,https://angelwholesale.co.uk/toys/fancy-dress-role-play/all-roleplay-toys/ninja-style-sword-sheath-assorted-/p1057295.html,https://www.amazon.co.uk/dp/B07CBJF3KN,100.0,,Available (see Keepa data),2.0,1.2,1.0,9.09,1.36,4.5,0.55,1.5149999999999997,1.482,0.7149999999999999,-1.482,0.1649999999999998,10.64516129032257,8.892,2.1782178217821757
5036278077814,5036278077791,B07MCYB8BY,Harry Potter Fashion Backpack,Harry Potter Hogwarts Roxy Burgundy Children's Backpack,https://angelwholesale.co.uk/Item/Harry-Potter-Barrel-Gym-Bag-B19875,https://www.amazon.co.uk/dp/B07MCYB8BY,,,Available (see Keepa data),1.0,9.708,8.09,17.1,2.57,3.9,0.55,2.8499999999999996,3.0220000000000002,-0.3099999999999987,-3.0220000000000002,-0.8599999999999988,-9.953703703703688,18.132,-6.035087719298236
3800157238397,,B09RGDG454,Paw Patrol Stationery Set,Paw Patrol Kids Heroes Work Together Backpack – Adjustable Shoulder Strap – Perfect for School Time and Outdoor Use – Suitable for Young Children,https://angelwholesale.co.uk/gift/gifts-by-recipient/childrens-gifts/paw-patrol-41cm-arch-backpack/p1058446.html,https://www.amazon.co.uk/dp/B09RGDG454,,,,,6.167999999999999,5.14,9.99,1.24875,2.41,0.55,1.6649999999999991,1.8697499999999998,-0.473749999999999,-1.8697499999999998,-1.023749999999999,-17.992091388400688,11.2185,-12.297297297297284
5017224972209,,B006GUKW3S,Warner Bros Batman Xylophone,"New Classic Toys Wooden Xylophone Toy for Toddlers 2 Years Old Boys and Girls Baby Gifts, Kids Musical Instruments for Childrens Two Year Old,Multicolor,DeLuxe - 12 bars,10236",https://angelwholesale.co.uk/gift/gifts-by-recipient/childrens-gifts/warner-bros-batman-backpack/p1061312.html,https://www.amazon.co.uk/dp/B006GUKW3S,,,Available (see Keepa data),4.0,6.468,5.39,11.53,1.73,3.13,0.55,1.9216666666666669,2.16,-0.6416666666666675,-2.16,-1.1916666666666675,-20.061728395061746,12.96,-12.402428447528198
