EAN,EAN_OnPage,ASIN,SupplierTitle,AmazonTitle,SupplierURL,AmazonURL,bought_in_past_month,fba_seller_count,fbm_seller_count,total_offer_count,SupplierPrice_incVAT,SupplierPrice_exVAT,SellingPrice_incVAT,ReferralFee,FBAFee,PrepHouseFee,OutputVAT,InputVAT,NetProceeds,HMRC,NetProfit,ROI,Breakeven,ProfitMargin
5056295710464,,B07SXDPVZZ,BLUE CANYON FLATLINE ROBE HOOK,WOLVERINE 10-Sheet Super Micro Cut High Security Level P-5 Heavy Duty Paper/CD/Card Ultra Quiet Shredder for Home Office by 60 Mins Running Time and 22-Litre Pullout Waste Bin SD9112(Black),https://www.efghousewares.co.uk/blue-canyon-flatline-robe-hook-123849,https://www.amazon.co.uk/dp/B07SXDPVZZ,,Available (see Keepa data),,1.0,6.648,5.54,199.92,37.49,8.0,0.55,33.31999999999999,10.315999999999999,115.56999999999998,-10.315999999999999,115.01999999999998,1888.669950738916,61.895999999999994,69.03961584633853
742288768059,,B083FTH31R,PORCELAIN MUG 12OZ ASSORTED,"Sweese Porcelain Mugs - 12 Ounce for Coffee, Tea, Mocha and Mulled Drinks - Set of 6, Hot Assorted Colors",https://www.efghousewares.co.uk/porcelain-mug-12oz-assorted-123965,https://www.amazon.co.uk/dp/B083FTH31R,,,Available (see Keepa data),1.0,0.744,0.62,40.61,8.91,4.87,0.55,6.768333333333331,2.9900000000000007,19.441666666666666,-2.9900000000000007,18.891666666666666,1614.6723646723647,17.939999999999998,55.82368874661413
742288768066,,B09CP7ZNLX,PORCELAIN MUG 15OZ WHITE INNER,"SOUJOY Set of 4 Porcelain Coffee Mugs, 15 Oz Hand Painted Coffee Cups with Handles, Glazed Stoneware Mugs for Tea, Hot or Cold Drinks, Best Gifts for Birthday, Thanksgiving, Christmas,White",https://www.efghousewares.co.uk/porcelain-mug-15oz-white-inner-123966,https://www.amazon.co.uk/dp/B09CP7ZNLX,,,Available (see Keepa data),1.0,0.744,0.62,36.25,8.43,4.72,0.55,6.041666666666664,2.8640000000000003,16.438333333333336,-2.8640000000000003,15.888333333333335,1357.9772079772083,17.184,52.595862068965516
742288768073,,B0FN3TVZVL,PORCELAIN MUG 12OZ COLOURED,"vancasso SIMI Mugs Set, 12oz/360ml Porcelain Coffee Mug Set of 6, Bohemian Style Tea and Coffee Cups with Handle, Microwave & Dishwasher Safe, Suitable for All Kinds of Drinks",https://www.efghousewares.co.uk/porcelain-mug-12oz-coloured-123967,https://www.amazon.co.uk/dp/B0FN3TVZVL,300.0,Available (see Keepa data),,1.0,0.744,0.62,30.59,4.59,4.87,0.55,5.098333333333333,2.1260000000000003,15.411666666666667,-2.1260000000000003,14.861666666666666,1270.2279202279203,12.756,58.30009807126512
5056170351324,0729920105601,B0BKGQLN8Z,FOREVER BEAUTIFUL DETANGLING BRUSH,"SYLSTAR 30W Rechargeable Work Light, 3000 Lumen Magnetic Work Light Battery Powered, Waterproof Portable Cordless Job Site Lighting for Construction Site, Workshop, Garage, Camping, and Car Repairing",https://www.efghousewares.co.uk/forever-beautiful-detangling-brush-124032,https://www.amazon.co.uk/dp/B0BKGQLN8Z,800.0,Available (see Keepa data),,1.0,1.008,0.84,31.19,4.68,3.44,0.55,5.198333333333334,1.9020000000000001,17.031666666666666,-1.9020000000000001,16.481666666666666,1185.7314148681053,11.411999999999999,63.41134979159987
5060298503626,,B0CCTCVR4D,MASON TOOL HOOK SET 4 PIECES,"4 inch Wire Hook [10 Pack] Model 113 for Tool Wall Organization of Combination Wrenchs, Adjustable Wrenchs, Hammers, Paint Brushes, Merchandise, and More | Compatible with Wall Control",https://www.efghousewares.co.uk/mason-tool-hook-set-4-pieces-123862,https://www.amazon.co.uk/dp/B0CCTCVR4D,,,Available (see Keepa data),1.0,1.008,0.84,30.05,4.67,2.77,0.55,5.008333333333333,1.766,16.76166666666667,-1.766,16.21166666666667,1166.306954436451,10.596,64.738768718802
5036446818133,,B0FD9QXN2Q,FUJI 8PK LITHIUM BATTERIES,Strongthium Predator 212 Tune Up Parts Carb Kit for 196cc 200cc 212cc 224cc + Pull Start + Coil + Air Filter Assembly + Spark Plug + Throttle Springs + Gaskets,https://www.efghousewares.co.uk/ultramax-8pk-lithium-batteries-54383,https://www.amazon.co.uk/dp/B0FD9QXN2Q,,Available (see Keepa data),,1.0,1.416,1.18,33.99,5.1,3.34,0.55,5.664999999999999,2.034,18.705000000000002,-2.034,18.155,1049.421965317919,12.203999999999999,64.09532215357457
6923456822498,0762765667798,B0DHGVMVTJ,COLOUR GLASS SOAP DISPENSER WITH PUMP 400ML ASSORTED COLOURS,"PH4 Wireless Gaming Headset with Microphone, Game/Music Mode, 2.4GHz Bluetooth Gaming Headphones for PS5, PS4, PC, Switch, Low Latency Lossless Sound Foldable Noise Cancelling Black Green",https://www.efghousewares.co.uk/colour-glass-soap-dispenser-with-pump-400ml-assorted-colours-119707,https://www.amazon.co.uk/dp/B0DHGVMVTJ,100.0,Available (see Keepa data),,3.0,1.236,1.03,29.99,4.5,3.19,0.55,4.998333333333331,1.854,16.271666666666665,-1.854,15.721666666666664,995.0421940928268,11.124,62.9076358786262
6260573000867,0612409856760,B01N7T37LB,OPAL SQUARE SIDE PLATE,"MALACASA White Dinner Plates Set of 6, 7.4"" Small Porcelain Side Plates Square Dessert Plates Salad Plates, Microwave & Dishwasher Safe, Series Elisa",https://www.efghousewares.co.uk/opal-square-side-plate-123969,https://www.amazon.co.uk/dp/B01N7T37LB,,Available (see Keepa data),Available (see Keepa data),2.0,0.852,0.71,25.99,3.9,5.25,0.55,4.331666666666667,2.0820000000000003,11.798333333333332,-2.0820000000000003,11.248333333333331,892.7248677248675,12.491999999999999,51.93535975375144
0742288768127,9414056395392,B094FWYT8D,ELEGANCE BOWL GOLD LINE 12CM,"4Pack Thick 304 Stainless Steel Bowls, Small Double Wall Rice Bowl, Stainless Steel Soup Bowl, Metal Bowls for Salad Fruit Cereal Noodle (Gold, 12cm)",https://www.efghousewares.co.uk/elegance-bowl-gold-line-12cm-123991,https://www.amazon.co.uk/dp/B094FWYT8D,,Available (see Keepa data),,1.0,0.924,0.77,23.99,3.6,3.34,0.55,3.9983333333333313,1.6520000000000001,12.281666666666666,-1.6520000000000001,11.731666666666666,888.7626262626261,9.911999999999999,58.68278449353896
