EAN,EAN_OnPage,ASIN,SupplierTitle,AmazonTitle,SupplierURL,AmazonURL,bought_in_past_month,fba_seller_count,fbm_seller_count,total_offer_count,SupplierPrice_incVAT,SupplierPrice_exVAT,SellingPrice_incVAT,ReferralFee,FBAFee,PrepHouseFee,OutputVAT,InputVAT,HMRC,NetProfit,ROI,Breakeven,ProfitMargin,EAN_match
5.05325E+12,,B0D4N6R7YG,151 WHITE NO-DRIP GLOSS PAINT 300ML,"LG OLED48C45LA 48-Inch OLED Evo 4K UHD Smart TV, (α9 AI Processor Gen7, Dolby Atmos, Freeview Play and Amazon Alexa, 120Hz), Umber Brown [Model 2024]",https://www.efghousewares.co.uk/151-white-no-drip-gloss-paint-300ml-103931,https://www.amazon.co.uk/dp/B0D4N6R7YG,500,,,,2.9808,2.484,848,106,2.41,0.55,141.3333333,22.2888,-22.2888,595.2226667,19618.41354,133.7328,84.22962264,0
5.90063E+12,1.98154E+11,B0DRPCJDWW,AIRWICK CANDLE VANILLA & BROWN SUGAR 105G PK6,Lenovo Idea Tab Pro Android Tablet | 12.7 inch Full HD Display | MediaTek Dimensity 8300 | 128GB | Wi-Fi 6 | 8GB RAM | Luna Grey + Pen,https://www.efghousewares.co.uk/airwick-candle-vanilla-brown-sugar-105g-pk6-110640,https://www.amazon.co.uk/dp/B0DRPCJDWW,300,Available (see Keepa data),Available (see Keepa data),15,12.888,10.74,354.99,24.85,3.24,0.55,59.165,7.876,-7.876,256.445,2271.434898,47.256,86.68807572,0
8.00654E+12,4.242E+12,B0BXLRLC9T,FAIRY WASHING UP LIQUID MAX POWER ORIGINAL 440ML PK8,"SIEMENS EQ6 plus S300, Fully Automatic Bean to Cup Espresso Coffee Machine with Cappuccinatore milk system, 11 beverages, Ceramic Grinder, Large Touchscreen Display, TE653M11GB, Titanium",https://www.efghousewares.co.uk/fairy-washing-up-liquid-max-power-original-440ml-pk8-122305,https://www.amazon.co.uk/dp/B0BXLRLC9T,200,Available (see Keepa data),,17,14.772,12.31,381.65,57.25,6.92,0.55,63.60833333,15.406,-15.406,241.0116667,1874.118714,92.436,75.77990305,0
5.0336E+12,,B0F43JDYKX,EUROWRAP GIANT BIRTHDAY BADGE GIRL 3,"Motorola edge 60 fusion, Pantone Slipstream, Moto AI Smartphone, 50MP Sony LYTIA Camera, with Co2 offset",https://www.efghousewares.co.uk/eurowrap-giant-birthday-badge-girl-3,https://www.amazon.co.uk/dp/B0F43JDYKX,100,,,,0.744,0.62,299.99,37.49875,2.41,0.55,49.99833333,8.21575,-8.21575,208.9129167,17855.80484,49.2945,83.56795227,0
5.01287E+12,,B0DWFPRSQP,METAL GOLF SET,SKYMAX 2025 PRECISE M5 MENS COMPLETE GOLF SET - RIGHT HAND ,https://www.efghousewares.co.uk/metal-golf-set-120254,https://www.amazon.co.uk/dp/B0DWFPRSQP,100,,,,1.752,1.46,179,22.375,2.41,0.55,29.83333333,5.359,-5.359,122.3716667,6088.14262,32.154,82.03687151,0
5.0253E+12,,B0FJ1RGCSP,CHRISTMAS MUSICAL SNOW GLOBE CHRISTMAS SANTA,"Cordless Vacuum Cleaner, 600W 50KPA 65Mins Cordless Stick Vacuum with Touch Screen AUTO-Mode, Pet Tool &1M Hose, Wall-Charging, Fragrance Release, Powerful Vacuum for Floors/Carpets/Pet Hair UK Homes",https://www.efghousewares.co.uk/christmas-musical-snow-globe-christmas-santa-123403,https://www.amazon.co.uk/dp/B0FJ1RGCSP,900,,,,8.868,7.39,169.99,21.24875,2.41,0.55,28.33166667,6.31975,-6.31975,110.0595833,1386.140848,37.9185,77.69368786,0
4.89416E+12,,B09VPPS96M,FESTIVE MAGIC LED LIGHTS 500 CLEAR CABLE WHIT,"Andonstar AD246S-M HDMI Digital Microscope - 2000x, 3 Lens 2160P UHD Video Record, 7 Inch LCD Soldering Microscope",https://www.efghousewares.co.uk/festive-magic-led-lights-500-clear-cable-whit-102527,https://www.amazon.co.uk/dp/B09VPPS96M,50,,,,13.428,11.19,169.99,21.24875,2.41,0.55,28.33166667,7.07975,-7.07975,106.2595833,905.1071834,42.4785,75.01117713,0
5.0153E+12,5.05628E+12,B081JT9XRT,RSW BRIGHTS WASHING UP BOWL,"Hyundai Petrol Backpack Leaf Blower, 170mph, 52cc 2 Stroke Engine With Support Harnesses, Anti-vibration, 55 Mins Per Litre Of Fuel",https://www.efghousewares.co.uk/rsw-brights-washing-up-bowl,https://www.amazon.co.uk/dp/B081JT9XRT,100,,,1,1.368,1.14,158.8,23.82,8.99,0.55,26.46666667,6.9,-6.9,97.83333333,5788.954635,41.4,73.92947103,0
8.00365E+12,,B01KWWYF6A,TONKITA TOILET BRUSH & HOLDER,"Nespresso Citiz Coffee Machine by De'Longhi for Original Coffee Pods, Italian Inspired Espresso, Quality Coffee, Starter Capsule Set Included, EN167.B, Black",https://www.efghousewares.co.uk/tonkita-toilet-brush-holder,https://www.amazon.co.uk/dp/B01KWWYF6A,900,,,,2.112,1.76,139,17.375,2.41,0.55,23.16666667,4.419,-4.419,93.73833333,4057.936508,26.514,80.92517986,0
8.00365E+12,,B01KWWYF6A,TONTIKA BROOM & HANDLE MAXI OUTDOOR,"Nespresso Citiz Coffee Machine by De'Longhi for Original Coffee Pods, Italian Inspired Espresso, Quality Coffee, Starter Capsule Set Included, EN167.B, Black",https://www.efghousewares.co.uk/tontika-broom-handle-maxi-outdoor,https://www.amazon.co.uk/dp/B01KWWYF6A,900,,,,4.596,3.83,139,17.375,2.41,0.55,23.16666667,4.833,-4.833,91.66833333,2092.884323,28.998,79.1381295,0
5.03002E+12,,B0FB36DTHD,PANASONIC UPRIGHT   SDB113,"ElecKeys Cordless Vacuum Cleaner,65 Mins 580W 48KPa 1.8L Vacuum Cleaners for Home,Self-Standing Anti-Tangle Vacuum,Handheld Vacuum Cleaner Rechargeable Wall-Mounted for Carpets Floors Pet Hair",https://www.efghousewares.co.uk/panasonic-upright-sdb113,https://www.amazon.co.uk/dp/B0FB36DTHD,300,Available (see Keepa data),,2,2.616,2.18,144.99,21.75,5.84,0.55,24.165,6.064,-6.064,90.505,3315.201465,36.384,74.90585558,0
5.0153E+12,,B017N6IF5U,WORLD OF PETS TOY BALL LAUNCHER 62CM ASSORTED,PetSafe Automatic Ball Launcher Dog Toy – Tennis Ball Throwing Machine for Dogs – Indoor or Outside Play – Easy-Open Packaging,https://www.efghousewares.co.uk/world-of-pets-toy-ball-launcher-30-9,https://www.amazon.co.uk/dp/B017N6IF5U,50,,,,1.344,1.12,130,16.25,2.41,0.55,21.66666667,4.066,-4.066,88.00333333,5269.660679,24.396,81.23384615,0
5.0153E+12,7.1771E+11,B0FGHZB8FM,LUXURY CUPCAKE 100 CASES,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",https://www.efghousewares.co.uk/luxury-cupcake-100-cases,https://www.amazon.co.uk/dp/B0FGHZB8FM,50,Available (see Keepa data),,1,0.852,0.71,129,19.35,3.44,0.55,21.5,4.81,-4.81,83.45,6623.015873,28.86,77.62790698,0
5.05571E+12,7.1771E+11,B0FGHZB8FM,PROKLEEN SPUNLACE FLOOR MOP & HANDLE,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",https://www.efghousewares.co.uk/prokleen-spunlace-floor-mop-handle,https://www.amazon.co.uk/dp/B0FGHZB8FM,50,Available (see Keepa data),,1,2.088,1.74,129,19.35,3.44,0.55,21.5,5.016,-5.016,82.42,3599.126638,30.096,76.66976744,0
