ASIN,EAN,EAN_OnPage,SupplierTitle,AmazonTitle,NetProfit,ROI,ProfitMargin,bought_in_past_month,amazon_sales_badge,SupplierPrice_incVAT,SellingPrice_incVAT,fba_seller_count,total_offer_count
B0013LEMT0,5060298504456,5011402373413.0,MASON WOOD DRILL SET 5 PIECES,DEWALT DT6952-QZ Masonry drill bit-Set (5 Piece),1.4483333333333344,104.1966426858514,26.77966101694917,1000.0,,1.008,6.49,Available (see Keepa data),14.0
B001ILS3MW,5017403123026,5028734291940.0,BLACKSPUR UTILITY KNIFE BLADES PK10 BOTH,Blue Spot Tools 29194 100 PCE Utility Blades in Dispenser,1.0466666666666673,117.60299625468171,20.258064516129043,400.0,400.0,0.408,6.2,Available (see Keepa data),2.0
B002NVDTK2,5055566998389,5060067790301.0,BLOOME CANNISTER REFILLS PASSION/BERRY,"Schwabe Pharma - Kaloba Cough & Cold Relief Tablets - Pelargonium Sidoides Root Extract 20mg - Traditionally Used for Common Cold, Runny Nose, Sore Throat, Blocked Nose, Coughs - 30 Tablets",3.1883333333333344,212.5555555555556,40.316122233930464,1000.0,,1.14,9.49,Available (see Keepa data),1.0
B0035WJ52Y,5032759014408,5038210000348.0,AMTECH RATCHET PRUNER,"Darlac Compact Plus Pruner - Razor Sharp, Lightweight Bypass Secateurs - Ideal for General & Fine Pruning, Flower Arranging - SK5 High Carbon Japanese Steel - Easy Use Catch - 20mm Cut Capacity",7.646666666666669,122.34666666666672,39.180187873612304,100.0,100.0,6.84,23.42,,3.0
B0037M5Z5S,5053249251967,5010414327438.0,PAN AROMA DINNER CANDLES PK4 8 INCH WHITE,"Price's Candles Tapered Dinner Candles White Unscented Wax Pack of 50 | 7 Hour Burn Time Elegant Long Candles for Home Decor, Events, Celebrations & Dining",9.291666666666668,556.3872255489022,59.02593965060879,600.0,600.0,1.344,18.89,,26.0
B0056F762E,5056239471031,7317400015330.0,INTERDENTAL BRUSHES 5PK,"TePe Interdental Brush, Original, Red, 0.5mm/ISO 2, 8pcs, efficient Cleaning Between Teeth, Plaque Remover and Dental flosser for Narrow Gaps",0.1000000000000002,7.194244604316561,3.0303030303030365,10000.0,,1.008,3.96,Available (see Keepa data),15.0
B0073CHN2G,5017403136361,5028485020165.0,BLACKSPUR CHIPBOARD SCREWS 125G 50MM,ForgeFix Drywall Screws Coarse Thread | 3.5 x 50mm | Black Phosphate | Box 200,0.0183333333333336,1.318944844124723,0.3812824956672508,50.0,50.0,1.008,5.77,,9.0
B008PQDXLE,5032759043156,5032759033669.0,AMTECH HATCHET SPLITTING 1KG,Amtech A2970 1kg (40oz) Axe with fibreglass shaft,3.615000000000002,45.586380832282494,20.000000000000007,50.0,50.0,8.856,21.69,,1.0
B0095ILIDG,6261686802553,5028250434074.0,EXPRESS DECANTER SQUARE 1160ML,"BarCraft Wine Decanter, Wine Aeration Glass, Wide-Base Design, 1.5 Litre",1.0450000000000017,35.304054054054106,9.653579676674378,50.0,50.0,2.8920000000000003,12.99,,2.0
B00BT0MW4W,5050565395160,51131977969.0,STICKAHOOK REMOVEABLE POSTER STRIPS 12PCE,"Command Poster Hanging Strips Value Pack, Small, White, 60-Strips (17024-60ES)",4.800000000000001,345.32374100719426,50.26178010471205,200.0,300.0,1.008,11.46,Available (see Keepa data),11.0
B00BTFR3H8,5032759051748,5032759028160.0,AMTECH SWAN NECK PRY BAR 225MM,Amtech I9330 3 Piece go-Thru pry bar Set,0.3116666666666658,10.458612975391471,3.7587939698492367,50.0,50.0,2.9160000000000004,9.95,,3.0
B00C09WOT4,5050565757753,773490597489.0,FOOT EXFOLIATING FILE ON TIE COLOURS.,10 Lamarque Disposable foot file 18cm ROUGH DRY SKIN CALLUS DOUBLE SIDED,1.613333333333334,116.06714628297364,32.374581939799334,200.0,200.0,1.008,5.98,Available (see Keepa data),3.0
B00C7O2JHY,5030481993763,1600000256712.0,PPS 3PLY 33CM 20 NAPKINS ROYAL BLUE,SOP-HARMA 6 x Blue Paper Rolls - 2 Ply Embossed Centre Feed - Hand Towel Tissue Rolls,1.1883333333333324,101.56695156695147,12.97543221110099,500.0,,0.744,10.99,,2.0
