ASIN,EAN,EAN_OnPage,NetProfit,ROI,bought_in_past_month,amazon_sales_badge,SupplierTitle
B000O9IB9Y,5017403015192,5017403015192.0,-1.7483333333333335,-112.07264957264957,,,BLACKSPUR SCRAPER 3PC SET BOTH
B000O9K6IS,5017403015307,5017403015307.0,-0.7149999999999999,-44.40993788819875,,,BLACKSPUR PICTURE HANGING KIT BOTH
B000WIZM6C,5013748035420,5013748035420.0,-0.6716666666666657,-37.7340823970037,,,151 SUGAR SOAP 500ML
B00169JCA8,5032759031047,5032759031047.0,-1.4333333333333325,-35.21703521703519,50.0,50.0,AMTECH PIPE/TUBE CUTTER 15MM
B00175KIH2,5032759016990,5032759016990.0,-1.6733333333333322,-38.11693242217158,,,AMTECH DRILL FOR GLASS/MIRROR
B0017VU330,5032759031054,5032759031054.0,-2.086666666666666,-45.86080586080585,,,AMTECH PIPE/TUBE CUTTER 22MM
B00186RJMW,5032759003181,5032759003181.0,-6.394999999999998,-62.94291338582675,,,AMTECH DEEP METRIC SOCKETS 9PC 1/2 INCH
B001BVOLQG,5032759023363,5032759023363.0,-0.5266666666666657,-7.872446437468845,100.0,100.0,AMTECH COMBO SPANNER SET 11PCE 0425
B001CT8ERO,5017403040057,5017403040057.0,-1.2283333333333335,-88.36930455635492,,,BLACKSPUR DISPOSABLE SHOE COVERS 18PC
B001MN9686,5032759032495,5032759032495.0,-1.88,-32.69565217391305,50.0,50.0,AMTECH PIPE/TUBE CUTTER 28MM
B001MNC00M,5032759021512,5032759021512.0,-1.676666666666666,-28.660968660968656,,,AMTECH CORE DRILL 50MM
B001PHAUQG,5032759029310,5032759029310.0,-1.3266666666666664,-23.43934040047114,,,AMTECH FOLDBACK UTILITY KNIFE STAINLESS STEEL
B001R0MOFQ,5032759017546,5032759017546.0,-3.381666666666667,-51.005530417295134,,,AMTECH CHISEL SDS 4PC SET
B001RCHV5W,5030481930010,5030481930010.0,-1.3766666666666665,-117.66381766381768,,,PPS FOIL PLATTERS 2PCS 352X247X25MM
B001U1O9DW,5032759030248,5032759030248.0,-1.305,-38.1578947368421,,,AMTECH CLAMP MINI C
B002AXGH48,5017403851509,5017403851509.0,-0.9550000000000002,-68.70503597122303,,,BLACKSPUR HOSE CLAMP SET 10PCE
B002HHJDFW,5038673680644,5038673680644.0,-0.1875000000000003,-13.489208633093549,,,MARKSMAN SHARPENING STONE
