EAN,EAN_OnPage,ASIN,SupplierTitle,AmazonTitle,SupplierURL,AmazonURL,bought_in_past_month,amazon_sales_badge,fba_seller_count,fbm_seller_count,total_offer_count,SupplierPrice_incVAT,SupplierPrice_exVAT,SellingPrice_incVAT,ReferralFee,FBAFee,PrepHouseFee,OutputVAT,InputVAT,NetProceeds,HMRC,NetProfit,ROI,Breakeven,ProfitMargin
5017403136217.0,,B0G386HVVM,BLACKSPUR ROUND WIRE NAILS 110G 20MM,"RIAARIO 1/10 Brushless RC Cars, Rally Car, RTR for Beginner, 40+ MPH, 4WD, Waterproof Electronics, Carbon Fiber, Blue, Ages 14+",https://www.efghousewares.co.uk/blackspur-round-wire-nails-110g-20mm-109457,https://www.amazon.co.uk/dp/B0G386HVVM,,,Available (see Keepa data),,1.0,1.008,0.84,369.99,55.5,5.05,0.55,61.66499999999997,12.387999999999998,246.93500000000003,-12.387999999999998,246.385,17725.539568345324,74.32799999999999,79.91080840022703
5038673571690.0,,B07BLDTWVW,MARKSMAN KNIFE SNAP OFF UTILITY 4PC,"LEGO Harry Potter Hogwarts Castle Model, Big Collectable Set with the Great Hall, Sword of Gryffindor & Chamber of Secrets, Wizarding World Gift Idea for Fans 71043",https://www.efghousewares.co.uk/marksman-knife-snap-off-utility-4pc-79986,https://www.amazon.co.uk/dp/B07BLDTWVW,100.0,100.0,,Available (see Keepa data),18.0,1.14,0.95,324.99,48.75,6.15,0.55,54.16499999999997,11.28,214.97500000000005,-11.28,214.42500000000004,14295.000000000002,67.67999999999999,79.17474383827195
5017403136385.0,850055557116.0,B0FQCJNQLC,BLACKSPUR CHIPBOARD SCREWS 125G 70MM,Harry Potter Electronic Chess Board Game. GoChess Mini Wizard. Light-Up Chess Set for Adults & Kids. All Skill Levels & Online Play App for Harry Potter Fans Smart Board Games Lovers,https://www.efghousewares.co.uk/blackspur-chipboard-screws-125g-70mm-109474,https://www.amazon.co.uk/dp/B0FQCJNQLC,,,Available (see Keepa data),,1.0,1.008,0.84,248.95,37.34,4.75,0.55,41.491666666666646,8.696,164.52833333333334,-8.696,163.97833333333332,11797.002398081531,52.176,79.04157461337617
5022822223295.0,,B0G79V161L,STATUS 5.5W B/C ROUND DAY LIGHT FILAMENT LED LIGHT BULB SINGLE,"All-Weather Outdoor Storage Shed with Sliding Doors & Apex Roof – Heavy-Duty Galvanized Steel Garden Tool Shed, Bike Storage, Utility House for Backyard, Patio, Lawn (Grey, 8 Wide"" x 10 Depth"")",https://www.efghousewares.co.uk/status-5-5w-b/c-round-day-light-filament-led-light-bulb-single-106557,https://www.amazon.co.uk/dp/B0G79V161L,,,,,,1.752,1.46,305.99,38.24875,2.41,0.55,50.998333333333335,8.53375,212.87291666666667,-8.53375,212.32291666666663,10563.329187396354,51.2025,83.26661001993529
5056170305341.0,,B086M9HT6T,EPOXY GLUE 6PK (GG),WOLVERINE 18-Sheet 60 Mins Running Time Cross Cut High Security Level P-4 Heavy Duty Paper/CD/Card Ultra Quiet Shredder for Home Office with 22-Litre Pullout Waste Bin SD9113(White),https://www.efghousewares.co.uk/epoxy-glue-6pk-gg-,https://www.amazon.co.uk/dp/B086M9HT6T,,,Available (see Keepa data),Available (see Keepa data),2.0,1.008,0.84,224.99,33.75,7.5,0.55,37.498333333333335,8.527999999999999,145.40166666666667,-8.527999999999999,144.85166666666666,10420.983213429256,51.168,77.25765589581759
5061031651192.0,4048164119110.0,B0DPKV2H5N,FLORAL DEHUMIDIFIER GARDENIA,"COMFEE' 30L/DAY Dehumidifier for Home, Low Noise Level, Continuous Drainage with Drain Hose, Smart App Control, Side-Access Water Tank, Ideal for Bedroom, Bathroom, Laundry, Attic, Basement, Office",https://www.efghousewares.co.uk/floral-dehumidifier-gardenia-118781,https://www.amazon.co.uk/dp/B0DPKV2H5N,,,,,1.0,1.044,0.87,159.99,24.0,6.58,0.55,26.664999999999992,6.4,101.875,-6.4,101.32500000000002,7135.563380281691,38.4,75.99849990624415
6942178910238.0,,B0CZ78S8GJ,GLASS PLAIN JUG 0.5LTR,"AOC Q27G4XD 27 inch WQHD Gaming Monitor 180Hz, Fast IPS Panel, 0.5ms MPRT, Adaptive Sync, HDR400, G-Sync Compatible, Height Adjustment, (2560x1440 HDMI 2x 2.0 DP 1x 1.4) Black",https://www.efghousewares.co.uk/glass-plain-jug-0-5ltr,https://www.amazon.co.uk/dp/B0CZ78S8GJ,300.0,300.0,,,,0.936,0.78,134.99,16.87375,2.41,0.55,22.49833333333333,4.122750000000001,92.42791666666668,-4.122750000000001,91.87791666666668,6908.11403508772,24.736500000000003,81.67530928216905
5017403119524.0,,B0DNW8SNR5,ASHLEY SUCTION SOAP DISH,"DEERC 1:14 Fast Brushless RC Car for Adults, Max 46+ mph Off-Road Truck, 2 * 3S Lipo 4WD Waterproof, 7 Lighting Modes High Speed Remote Control, All Terrain Truggy for Snow, Sand & Mud",https://www.efghousewares.co.uk/ashley-suction-soap-dish,https://www.amazon.co.uk/dp/B0DNW8SNR5,,,Available (see Keepa data),,3.0,1.008,0.84,129.58,19.44,3.64,0.55,21.596666666666664,4.894000000000001,84.06333333333335,-4.894000000000001,83.51333333333335,6008.153477218226,29.364,77.33909553943509
5017403136248.0,7625864557779.0,B0CQPFV2GS,BLACKSPUR ROUND WIRE NAILS 130G 50MM,Worcester 28 Si II (GC No. 47-311-67) & RD628 RSF Fan 87161048150 Genuine Part - Hanicks,https://www.efghousewares.co.uk/blackspur-round-wire-nails-130g-50mm-109460,https://www.amazon.co.uk/dp/B0CQPFV2GS,,,,,1.0,1.008,0.84,125.0,18.75,5.1,0.55,20.83333333333333,5.048000000000001,79.47666666666667,-5.048000000000001,78.92666666666668,5678.177458033573,30.288,75.7696
50304811985118.0,,B0BVBHCSFL,PPS WOODEN ASST CUTLERY BIODEGRADABLE,"swift 40V 22cm Cordless Brushless Small Lawnmower, Lightweight and Compact, with Super-Mulching blade (Battery & Fast Charger Included)",https://www.efghousewares.co.uk/pps-wooden-asst-cutlery-biodegradable-106878,https://www.amazon.co.uk/dp/B0BVBHCSFL,50.0,50.0,Available (see Keepa data),,2.0,1.032,0.86,114.74,17.21,5.8,0.55,19.12333333333333,4.884,71.74666666666667,-4.884,71.19666666666667,5049.408983451536,29.304,74.4605194352449
