ASIN,EAN,SupplierTitle,AmazonTitle,NetProfit,ROI,ProfitMargin,bought_in_past_month,amazon_sales_badge,SupplierPrice_incVAT,SellingPrice_incVAT,fba_seller_count,total_offer_count
B0001P03UG,5056239432032,WOOD GLUE,EVO-STIK Wood Glue 500ml - Interior - Extra Strong - Fast Setting Glue - Dries Clear - Suitable for All Wood Types,1.1216666666666677,74.77777777777783,17.970627503337795,1000.0,,1.14,7.49,,15.0
B000V9KJXI,5014749141554,BEAUTY WOOD EFFECT BRUSH RADIAL,"Kent 60mm Volumising Round Brush PF03 - Brush for Curling, Adding Volume & Shine to Medium to Long Hair, Handmade Beechwood Bristle & Nylon Mix",4.834166666666667,300.25879917184267,46.408,200.0,200.0,1.272,12.5,,
B0013LEMT0,5060298504456,MASON WOOD DRILL SET 5 PIECES,DEWALT DT6952-QZ Masonry drill bit-Set (5 Piece),1.4483333333333344,104.1966426858514,26.77966101694917,1000.0,,1.008,6.49,Available (see Keepa data),14.0
B00186Q7XY,5055319515641,EXTRA STRONG 2.5 M STICK ON,"VELCRO Brand | Heavy Duty Stick On Tape | Cut-to-Length Industrial Extra Strong Double Sided Hook & Loop Self Adhesive Tape Perfect for Room Décor & Home, Office, Garage Use | Black | 50mm x 2.5m",4.025,96.06205250596656,32.2,500.0,500.0,4.368,15.0,,
B001GELIBO,5056239472380,NAIL DRYING SPRAY,Demert Nail Enamel Dryer Manicurist's Finishing Spra - 212g,0.8450000000000004,50.5988023952096,14.50643776824035,400.0,400.0,1.344,6.99,Available (see Keepa data),8.0
B001ILS3MW,5017403123026,BLACKSPUR UTILITY KNIFE BLADES PK10 BOTH,Blue Spot Tools 29194 100 PCE Utility Blades in Dispenser,1.0466666666666673,117.60299625468171,20.258064516129043,400.0,400.0,0.408,6.2,Available (see Keepa data),2.0
B002AGP52A,505565430533,INTERDENTAL BRUSHES 6 PACK ASSORTED,"Qualtex 9 Piece Tool Kit for Numatic Vacuum Cleaners: Fits Henry, Hetty, James, George, Basil & Edward Vacuum Cleaners-Black",7.148333333333331,514.2685851318943,42.91145572786392,200.0,200.0,1.008,19.99,,10.0
B002NVDTK2,5055566998389,BLOOME CANNISTER REFILLS PASSION/BERRY,"Schwabe Pharma - Kaloba Cough & Cold Relief Tablets - Pelargonium Sidoides Root Extract 20mg - Traditionally Used for Common Cold, Runny Nose, Sore Throat, Blocked Nose, Coughs - 30 Tablets",3.1883333333333344,212.5555555555556,40.316122233930464,1000.0,,1.14,9.49,Available (see Keepa data),1.0
B0031TFZRK,5060357992170,SUPERIOR FOIL 5 CONTAINERS & LID 2400ML,"FELIWAY Classic 30 Day Cat Calming Plug In Pheromone Diffuser Starter Kit, 48ml - Helps Solve Common Signs of Stress in Cats & Kittens, Veterinary Recommended, Clinically Proven",7.878333333333335,256.62323561346363,47.43602609131962,4000.0,,3.024,19.93,,4.0
B0035WJ52Y,5032759014408,AMTECH RATCHET PRUNER,"Darlac Compact Plus Pruner - Razor Sharp, Lightweight Bypass Secateurs - Ideal for General & Fine Pruning, Flower Arranging - SK5 High Carbon Japanese Steel - Easy Use Catch - 20mm Cut Capacity",7.646666666666669,122.34666666666672,39.180187873612304,100.0,100.0,6.84,23.42,,3.0
B0037M5Z5S,5053249251967,PAN AROMA DINNER CANDLES PK4 8 INCH WHITE,"Price's Candles Tapered Dinner Candles White Unscented Wax Pack of 50 | 7 Hour Burn Time Elegant Long Candles for Home Decor, Events, Celebrations & Dining",9.291666666666668,556.3872255489022,59.02593965060879,600.0,600.0,1.344,18.89,,26.0
B003KQ5EFM,5017403136125,BLACKSPUR STUBBY SCREWDRIVER SET 2PCE,STANLEY 066358 Multi-Bit Stubby Screwdriver,0.3950000000000001,28.41726618705037,6.781115879828328,400.0,400.0,1.008,6.99,Available (see Keepa data),18.0
B003MPEDFI,5055319529433,STRONG AS AN OX RAPID SET EPOXY RESIN,Araldite® Rapid 15ml x 2 Tubes Epoxy,2.966666666666667,197.77777777777777,41.108545034642034,1000.0,900.0,1.14,8.66,Available (see Keepa data),24.0
B003TT5WMU,5022458005678,CARRIERS BAGS CHEETAH PK100,"100 White Plastic Carrier Bags – Vest-Style with Handles for Groceries, Boutique Markets & Takeaways 13 x 19 x 23 Inch (Large)",0.8550000000000009,37.33624454148475,10.27027027027028,400.0,400.0,2.088,9.99,Available (see Keepa data),1.0
B003ZGEU70,5056239401014,CUDDLES CHILDREN'S SAFETY WRIST LINK ASSORTED,Harringtons Complete Dry Adult Dog Food Turkey & Veg 15kg - Made with All Natural Ingredients (Packaging may vary),12.651666666666666,910.1918465227816,50.122152525586,4000.0,,1.008,30.29,,10.0
B004RPZG8U,5053249217680,PAN AROMA CANDLE PRINTED GLASS JUICY BERRIES,St. Eval Bay & Rosemary Scented Tin Candle - Wax - Refreshing Fragrance - Refreshing Blend of Cool Bay Leaf and Herbal Rosemary - Made in Cornwall,4.55,313.7931034482758,40.44444444444444,500.0,500.0,1.08,13.5,Available (see Keepa data),1.0
B0056F762E,5056239471031,INTERDENTAL BRUSHES 5PK,"TePe Interdental Brush, Original, Red, 0.5mm/ISO 2, 8pcs, efficient Cleaning Between Teeth, Plaque Remover and Dental flosser for Narrow Gaps",0.1000000000000002,7.194244604316561,3.0303030303030365,10000.0,,1.008,3.96,Available (see Keepa data),15.0
B0064B428K,5053249250205,PAN AROMA VOTIVE CANDLES JUICY BERRIES SET OF 3,"St. Eval Bergamot & Nettle Scented Tin Candle - Wax - Refreshing Fragrance - an Uplifting, Herbal Aroma with Bergamot Accord and Nettle Leaves - Made in Cornwall",4.55,313.7931034482758,40.44444444444444,100.0,100.0,1.08,13.5,Available (see Keepa data),1.0
B0073CHN2G,5017403136361,BLACKSPUR CHIPBOARD SCREWS 125G 50MM,ForgeFix Drywall Screws Coarse Thread | 3.5 x 50mm | Black Phosphate | Box 200,0.0183333333333336,1.318944844124723,0.3812824956672508,50.0,50.0,1.008,5.77,,9.0
B0076VMFVI,5060298504579,MASON UTILITY KNIFE WITH 5 BLADES,"Stanley 211800 Carbide Knife Blades (Pack of 10), Silver",1.3070833333333336,94.03477218225422,21.75450762829404,500.0,500.0,1.008,7.21,,
B007L5V48Y,5032759001408,AMTECH VICE BABY,"Amtech D2600 150mm (6"") Woodworking vice",3.3516666666666666,84.0016708437761,22.5828186412128,100.0,100.0,4.128,17.81,,7.0
B008BI92EI,5053249220048,WAX WORKS PILLAR CANDLE 30 HOURS,"Ivyline S0073201037 Spaas Unscented Pillar Candle, ± 90 Hours, Ivory, 78mm Diameter, 200mm Height",0.3833333333333338,26.436781609195435,7.120743034055736,200.0,200.0,1.08,6.46,,1.0
B008PQDXLE,5032759043156,AMTECH HATCHET SPLITTING 1KG,Amtech A2970 1kg (40oz) Axe with fibreglass shaft,3.615000000000002,45.586380832282494,20.000000000000007,50.0,50.0,8.856,21.69,,1.0
B0095ILIDG,6261686802553,EXPRESS DECANTER SQUARE 1160ML,"BarCraft Wine Decanter, Wine Aeration Glass, Wide-Base Design, 1.5 Litre",1.0450000000000017,35.304054054054106,9.653579676674378,50.0,50.0,2.8920000000000003,12.99,,2.0
B00BT0MW4W,5050565395160,STICKAHOOK REMOVEABLE POSTER STRIPS 12PCE,"Command Poster Hanging Strips Value Pack, Small, White, 60-Strips (17024-60ES)",4.800000000000001,345.32374100719426,50.26178010471205,200.0,300.0,1.008,11.46,Available (see Keepa data),11.0
B00BTFR3H8,5032759051748,AMTECH SWAN NECK PRY BAR 225MM,Amtech I9330 3 Piece go-Thru pry bar Set,0.3116666666666658,10.458612975391471,3.7587939698492367,50.0,50.0,2.9160000000000004,9.95,,3.0
B00C09WOT4,5050565757753,FOOT EXFOLIATING FILE ON TIE COLOURS.,10 Lamarque Disposable foot file 18cm ROUGH DRY SKIN CALLUS DOUBLE SIDED,1.613333333333334,116.06714628297364,32.374581939799334,200.0,200.0,1.008,5.98,Available (see Keepa data),3.0
B00C7O2JHY,5030481993763,PPS 3PLY 33CM 20 NAPKINS ROYAL BLUE,SOP-HARMA 6 x Blue Paper Rolls - 2 Ply Embossed Centre Feed - Hand Towel Tissue Rolls,1.1883333333333324,101.56695156695147,12.97543221110099,500.0,,0.744,10.99,,2.0
B00F4L9GA0,5053249251981,PAN AROMA DINNER CANDLES PK4 8 INCH IVORY,"Price's Candles Tapered Dinner Candles Ivory Unscented Wax Pack of 50 | 7 Hour Burn Time Elegant Long Candles for Home Decor, Events, Celebrations & Dining",9.34,559.2814371257484,58.375,2000.0,,1.344,19.2,Available (see Keepa data),20.0
B00IBO5O6W,5056239428097,RYSONS ANTI SLIP BUBBLE BATH MAT,Munchkin Dandy Dots Non Slip Baby Bath Mat | Colourful Bubble Shower Mat | Bathmat with Skid-Resistant Suction Cups |Baby Essential Children's Bath Accessories,1.896666666666669,85.05231689088203,20.919117647058847,2000.0,,2.016,10.88,,4.0
B00ITX9BKA,5053249268729,PAN AROMA CANDLE PRINTED GLASS PINK ORCHID,"Gift Set with 3 Scented Aromatic Mood Wax Candles - Glass Plate Stones Candle | Aromatherapy Scented Fragrance Aroma | Home Office Decor, Ornament (Vanilla Orchid)",2.5079166666666666,172.9597701149425,33.47608453837597,100.0,100.0,1.08,8.99,,2.0
B00KKV9WNU,5060471890253,TURBO JET AIR FRESHENER / SANITISER SPRAY GREED 500ML,"Grandma's Secret Laundry Spray 16oz-, Other, Multicoloured",3.1083333333333325,101.24864277958736,29.7211155378486,100.0,100.0,3.024,12.55,Available (see Keepa data),3.0
B00KQ1ALKC,5061031651604,FLORAL FABRIC REFRESHER 500ML MAGNOLIA,"Archoil AR6400-D MAX Pro DPF Cleaner Diesel Fuel System, Diesel Injector Cleaner, Turbo, CAT Cleaner Concentrate - High Strength Carbon Removal & Exhaust Emissions Reduction for MOT Pass (400ml)",12.974583333333332,821.1761603375527,65.00835073068893,500.0,500.0,1.236,23.95,,
B00LXM7250,5032759014217,AMTECH SCRAPER DELUXE WALLPAPER BLADES 5PC,ProDec Advance 5 Pack 6 inch Heavy Duty Double Thickness Hardened Steel Replacement Scraper Blades Compatible with ProDec Titan Scraper and Other 6 inch Scrapers for Maximum Power,0.841666666666667,57.25623582766441,17.565217391304355,50.0,50.0,1.104,5.75,,1.0
B00NGQUUV4,5040481981202,PPS PLASTIC 100 PLATES 23CM,100 WHITE PLASTIC PLATES - 9 inch/23cm quality durable plates ideal for hot and cold food,1.8287500000000008,46.89102564102568,19.09921671018278,100.0,100.0,4.0200000000000005,11.49,,
B00NTZKZ3K,5030481981234,PPS PLASTIC 100 PLATES 18CM,100 WHITE PLASTIC PLATES - 7 inch/18cm quality durable plates ideal for hot and cold food,0.3295833333333335,11.287100456621014,4.949937421777224,100.0,100.0,2.8440000000000003,7.99,,
B00O2F0LT4,5033298000358,ESSENTIAL PLASTIC 12 GLASSES 1 PINT,"Set of 6 Unbreakable Polycarbonate Plastic Pint Glasses. Capacity (1 pint / 568ml / 20oz). Ideal for bbq's, camping, glamping, boats and general use.. Dishwasher safe.",2.7150000000000007,192.55319148936167,32.612612612612615,300.0,300.0,1.032,9.99,Available (see Keepa data),2.0
B00PH2Z7FO,5024418382560,SIL CANDLE 2 HOUR BURN BUDDHA 11x9CM,2 x Prices Ivory Altar Candle 250mm X 80mm 125 Hours Burn Time,5.479166666666667,394.1846522781775,50.190839694656496,400.0,400.0,1.008,13.1,,
