EAN,EAN_OnPage,ASIN,SupplierTitle,AmazonTitle,SupplierURL,AmazonURL,bought_in_past_month,fba_seller_count,fbm_seller_count,total_offer_count,SupplierPrice_incVAT,SupplierPrice_exVAT,SellingPrice_incVAT,ReferralFee,FBAFee,PrepHouseFee,OutputVAT,InputVAT,NetProceeds,HMRC,NetProfit,ROI,Breakeven,ProfitMargin
5032759038626,5702017824185,B0FPXFMGVT,AMTECH PADLOCK RHOMBIC IRON 25MM,"LEGO Star Wars 75419 Death Star Building Set for Adults - Interactive UCS Display Model Kit with 36 Minifigures incl. Luke Skywalker, Han Solo & Darth Vader - Collectible Gift for A New Hope Fans",https://www.efghousewares.co.uk/amtech-padlock-rhombic-iron-25mm,https://www.amazon.co.uk/dp/B0FPXFMGVT,200.0,,,3.0,1.188,0.99,899.99,135.0,7.5,0.55,149.9983333333333,28.808000000000003,606.5016666666667,-28.808000000000003,605.9516666666667,39347.51082251083,172.848,80.79445327170302
5032759002122,,B0FPXFMGVT,AMTECH SCRAPER W/HANDLE 1INCH,"LEGO Star Wars 75419 Death Star Building Set for Adults - Interactive UCS Display Model Kit with 36 Minifigures incl. Luke Skywalker, Han Solo & Darth Vader - Collectible Gift for A New Hope Fans",https://www.efghousewares.co.uk/amtech-scraper-w-handle-1inch,https://www.amazon.co.uk/dp/B0FPXFMGVT,200.0,,,,1.584,1.32,899.99,112.49875,2.41,0.55,149.9983333333333,23.35575,633.7629166666667,-23.35575,633.2129166666667,33861.65329768271,140.13449999999995,84.42932699252215
5032759033102,5702017824185,B0FPXFMGVT,AMTECH BUNGEE CORD+CLIPS 24INC,"LEGO Star Wars 75419 Death Star Building Set for Adults - Interactive UCS Display Model Kit with 36 Minifigures incl. Luke Skywalker, Han Solo & Darth Vader - Collectible Gift for A New Hope Fans",https://www.efghousewares.co.uk/amtech-bungee-cord-clips-24inc,https://www.amazon.co.uk/dp/B0FPXFMGVT,200.0,,,3.0,1.608,1.34,899.99,135.0,7.5,0.55,149.9983333333333,28.878000000000004,606.1516666666666,-28.878000000000004,605.6016666666667,32042.41622574956,173.268,80.74778608651208
5032759031078,5702017824185,B0FPXFMGVT,AMTECH LED MINI TORCH,"LEGO Star Wars 75419 Death Star Building Set for Adults - Interactive UCS Display Model Kit with 36 Minifigures incl. Luke Skywalker, Han Solo & Darth Vader - Collectible Gift for A New Hope Fans",https://www.efghousewares.co.uk/amtech-led-mini-torch,https://www.amazon.co.uk/dp/B0FPXFMGVT,200.0,,,3.0,1.668,1.39,899.99,135.0,7.5,0.55,149.9983333333333,28.888,606.1016666666667,-28.888,605.5516666666667,31214.003436426123,173.328,80.74111934577051
5032759015887,,B0FPXFMGVT,AMTECH MAGNETIC PICK UP TOOL 8LB,"LEGO Star Wars 75419 Death Star Building Set for Adults - Interactive UCS Display Model Kit with 36 Minifigures incl. Luke Skywalker, Han Solo & Darth Vader - Collectible Gift for A New Hope Fans",https://www.efghousewares.co.uk/amtech-magnetic-pick-up-tool-8lb,https://www.amazon.co.uk/dp/B0FPXFMGVT,200.0,,,,1.776,1.48,899.99,112.49875,2.41,0.55,149.9983333333333,23.38775,633.6029166666667,-23.38775,633.0529166666668,31184.872742200325,140.32649999999998,84.40799342214915
5032759043378,,B0FPXFMGVT,AMTECH FLOOR TILE ADHESIVE APPLICATOR,"LEGO Star Wars 75419 Death Star Building Set for Adults - Interactive UCS Display Model Kit with 36 Minifigures incl. Luke Skywalker, Han Solo & Darth Vader - Collectible Gift for A New Hope Fans",https://www.efghousewares.co.uk/amtech-floor-tile-adhesive-applicator,https://www.amazon.co.uk/dp/B0FPXFMGVT,200.0,,,,1.872,1.56,899.99,112.49875,2.41,0.55,149.9983333333333,23.40375,633.5229166666668,-23.40375,632.9729166666668,29998.716429699845,140.4225,84.39732663696266
5032759038138,5702017824185,B0FPXFMGVT,AMTECH TROWEL MARGIN - SOFT GRIP5X2,"LEGO Star Wars 75419 Death Star Building Set for Adults - Interactive UCS Display Model Kit with 36 Minifigures incl. Luke Skywalker, Han Solo & Darth Vader - Collectible Gift for A New Hope Fans",https://www.efghousewares.co.uk/amtech-trowel-margin-soft-grip5x2,https://www.amazon.co.uk/dp/B0FPXFMGVT,200.0,,,3.0,1.944,1.62,899.99,135.0,7.5,0.55,149.9983333333333,28.934000000000005,605.8716666666667,-28.934000000000005,605.3216666666667,27895.007680491555,173.604,80.71045233835932
5013478110091,,B0G386HVVM,KINGFISHER PLASTIC 8 SPIRIT GLASSES,"RIAARIO 1/10 Brushless RC Cars, Rally Car, RTR for Beginner, 40+ MPH, 4WD, Waterproof Electronics, Carbon Fiber, Blue, Ages 14+",https://www.efghousewares.co.uk/kingfisher-plastic-8-spirit-glasses,https://www.amazon.co.uk/dp/B0G386HVVM,,Available (see Keepa data),,1.0,0.852,0.71,369.99,55.5,5.05,0.55,61.66499999999997,12.361999999999998,247.06500000000003,-12.361999999999998,246.515,19564.68253968254,74.172,79.95297170193788
5032759001835,5702017824185,B0FPXFMGVT,AMTECH METRIC WOOD BIT SET 6PC,"LEGO Star Wars 75419 Death Star Building Set for Adults - Interactive UCS Display Model Kit with 36 Minifigures incl. Luke Skywalker, Han Solo & Darth Vader - Collectible Gift for A New Hope Fans",https://www.efghousewares.co.uk/amtech-metric-wood-bit-set-6pc,https://www.amazon.co.uk/dp/B0FPXFMGVT,200.0,,,3.0,3.228,2.69,899.99,135.0,7.5,0.55,149.9983333333333,29.148000000000003,604.8016666666666,-29.148000000000003,604.2516666666667,18649.742798353906,174.888,80.56778408648985
5032759051656,5702017824185,B0FPXFMGVT,AMTECH MULTI MATERIAL DRILL BIT 5PC SET,"LEGO Star Wars 75419 Death Star Building Set for Adults - Interactive UCS Display Model Kit with 36 Minifigures incl. Luke Skywalker, Han Solo & Darth Vader - Collectible Gift for A New Hope Fans",https://www.efghousewares.co.uk/amtech-multi-material-drill-bit-5pc-set-119130,https://www.amazon.co.uk/dp/B0FPXFMGVT,200.0,,,3.0,3.312,2.76,899.99,135.0,7.5,0.55,149.9983333333333,29.162000000000003,604.7316666666667,-29.162000000000003,604.1816666666667,18253.22255790534,174.972,80.55845064945166
5032759021567,,B0FPXFMGVT,AMTECH PADLOCK DISC 60MM,"LEGO Star Wars 75419 Death Star Building Set for Adults - Interactive UCS Display Model Kit with 36 Minifigures incl. Luke Skywalker, Han Solo & Darth Vader - Collectible Gift for A New Hope Fans",https://www.efghousewares.co.uk/amtech-padlock-disc-60mm,https://www.amazon.co.uk/dp/B0FPXFMGVT,200.0,,,,3.564,2.97,899.99,112.49875,2.41,0.55,149.9983333333333,23.68575,632.1129166666667,-23.68575,631.5629166666668,17942.12831439394,142.1145,84.20932454805055
