EAN,EAN_OnPage,ASIN,SupplierTitle,AmazonTitle,SupplierURL,AmazonURL,bought_in_past_month,fba_seller_count,fbm_seller_count,total_offer_count,SupplierPrice_incVAT,SupplierPrice_exVAT,SellingPrice_incVAT,ReferralFee,FBAFee,PrepHouseFee,OutputVAT,InputVAT,NetProceeds,HMRC,NetProfit,ROI,Breakeven,ProfitMargin
5060999171698,,B0DYNR7CCR,B!G JUICY GUMMY 150G DISPLAY BOX OF 10,Zeed Candy Fruit Flavoured Gummy Sweets Juicy Jems Box 140g – Chewy & Juicy Fruit Burst Gummies (10),https://www.efghousewares.co.uk/b-g-juicy-gummy-150g-display-box-of-10-124205,https://www.amazon.co.uk/dp/B0DYNR7CCR,,,Available (see Keepa data),1.0,8.064,6.72,29.99,3.74875,2.41,0.55,4.998333333333331,2.6857500000000005,12.112916666666669,-2.6857500000000005,11.562916666666666,159.04974782209996,16.1145,46.26708902967656
5056192408136,,B01M8P93SD,CANDY CASTLE CREW ICE CREAM TWIST & DIP 27G DISPLAY BOX OF 12,Crazy Candy Factory: Ice Cream Dips - 24 Box,https://www.efghousewares.co.uk/candy-castle-crew-ice-cream-twist-dip-27g-display-box-of-12-124088,https://www.amazon.co.uk/dp/B01M8P93SD,,,,,11.280000000000001,9.4,35.16,4.395,2.41,0.55,5.859999999999999,3.351000000000001,13.094999999999997,-3.351000000000001,12.544999999999996,126.0804020100502,20.105999999999998,42.81569965870307
5056192415219,,B0FGBF4D9C,CANDY CASTLE CREW GUMMY PIZZA 20G DISPLAY BOX OF 24,"Gummi Pizzas - Pack of 24 Full Box Pizza Candy 5 Slices In Every Pizza, Party Favors, Kids Candy, Snacks, Treats,Confectionery",https://www.efghousewares.co.uk/candy-castle-crew-gummy-pizza-20g-display-box-of-24-124099,https://www.amazon.co.uk/dp/B0FGBF4D9C,,,,,6.828,5.69,14.49,1.81125,2.41,0.55,2.414999999999999,2.09225,2.163750000000001,-2.09225,1.6137500000000011,25.861378205128226,12.5535,13.36438923395446
5056192413970,,B0D1KG3PZW,CANDY CASTLE CREW MR SQUEEZY DIPPER 85G DISPLAY BOX OF 12,Generic 12 x Crazyy Candy Factory Gummy Dippers 60g (Full Box) - Fruit flavour gummy sweets with a sour candy gel,https://www.efghousewares.co.uk/candy-castle-crew-mr-squeezy-dipper-85g-display-box-of-12-124091,https://www.amazon.co.uk/dp/B0D1KG3PZW,,,,,11.28,9.4,19.99,2.49875,2.41,0.55,3.331666666666667,2.971750000000001,2.349583333333332,-2.971750000000001,1.7995833333333315,18.0862646566164,17.8305,10.802901450725354
5056192411983,,B0DFCNRR4S,CANDY CASTLE CREW GUMMY BURGER 32G DISPLAY BOX OF 24,Yupi Gummy Candy Variety (Yupi Cola Burger (24 x 7g individually-wrapped pieces)),https://www.efghousewares.co.uk/candy-castle-crew-gummy-burger-32g-display-box-of-24-124096,https://www.amazon.co.uk/dp/B0DFCNRR4S,,,,,6.828,5.69,9.99,1.24875,2.41,0.55,1.6649999999999991,1.97975,-1.0237499999999995,-1.97975,-1.5737499999999998,-25.22035256410256,11.8785,-18.9039039039039
5060221247184,5060221247184.0,B01G5K5S2S,CANDY CASTLE CREW BONKERS BANANA SPRAY 50ML DISPLAY BOX OF 9,BONKERS BANANA SPRAY,https://www.efghousewares.co.uk/candy-castle-crew-bonkers-banana-spray-50ml-display-box-of-9-124105,https://www.amazon.co.uk/dp/B01G5K5S2S,,,Available (see Keepa data),3.0,8.472,7.06,12.59,1.89,3.26,0.55,2.0983333333333327,2.552,-1.7183333333333328,-2.552,-2.2683333333333326,-29.80727113447218,15.312,-21.62033359809372
5056192414571,,B0BN8RMJ4T,CANDY CASTLE CREW MINI GUMBALL MACHINE 35G DISPLAY BOX OF 12,Ebuzz Spiral Gumball Machine Sweet Dispenser - Kids Bubblegum Vending Fun Toy Chewing Gum,https://www.efghousewares.co.uk/candy-castle-crew-mini-gumball-machine-35g-display-box-of-12-124090,https://www.amazon.co.uk/dp/B0BN8RMJ4T,50.0,,,,11.280000000000001,9.4,12.99,1.62375,2.41,0.55,2.164999999999999,2.7967500000000007,-2.608749999999999,-2.7967500000000007,-3.1587499999999986,-31.746231155778876,16.7805,-29.180138568129316
5060999171728,,B09WYZPN9R,B!G FIZZY GUMMY 150G DISPLAY BOX OF 10,"Bebeto Big Fizzy Mix (150g), Real Fruit Juice + No Artificial Colours + Halal Certified Sweets, Pack of 10, 1.5 kg",https://www.efghousewares.co.uk/b-g-fizzy-gummy-150g-display-box-of-10-124206,https://www.amazon.co.uk/dp/B09WYZPN9R,,,,,8.064,6.72,9.8,1.225,2.41,0.55,1.6333333333333329,2.1810000000000005,-2.188333333333332,-2.1810000000000005,-2.7383333333333315,-37.66620816139383,13.086,-33.53061224489793
5056192415875,,B0F1NJHV51,CANDY CASTLE CREW GUMMY PIZZA 90G DISPLAY BOX OF 12,Gummi Zone Yummy Gummy Pizza – Fun & Fruity Pizza-Shaped Gummy Treats (Pack of 12 Boxes),https://www.efghousewares.co.uk/candy-castle-crew-gummy-pizza-90g-display-box-of-12-124109,https://www.amazon.co.uk/dp/B0F1NJHV51,,,,,11.616,9.68,9.99,1.24875,2.41,0.55,1.6649999999999991,2.77775,-5.013749999999999,-2.77775,-5.563749999999999,-54.386608015640256,16.6665,-66.8318318318318
84460592,8436589960992.0,B0C3CFGQGY,CANDY CASTLE CREW PAW PATROL SNACKING EGGS 18G DISPLAY BOX OF 24,"BONNYCO Wooden Spinning Top Animal Party Bag Fillers for Kids Pack 40, Kids' Party Favours. Pinata Fillers, End of Year Gifts for Children. Return Gifts Birthday Pre Filled, Jungle Classroom Prizes",https://www.efghousewares.co.uk/candy-castle-crew-paw-patrol-snacking-eggs-18g-display-box-of-24-124103,https://www.amazon.co.uk/dp/B0C3CFGQGY,50.0,Available (see Keepa data),,3.0,22.56,18.8,15.99,2.4,2.61,0.55,2.664999999999999,4.872000000000002,-10.485,-4.872000000000002,-11.035,-57.02842377260981,29.232,-82.81425891181988
