EAN,EAN_OnPage,InList?,ASIN,SupplierTitle,AmazonTitle,SupplierURL,AmazonURL,bought_in_past_month,fba_seller_count,fbm_seller_count,total_offer_count,SupplierPrice_incVAT,SupplierPrice_exVAT,SellingPrice_incVAT,ReferralFee,FBAFee,PrepHouseFee,OutputVAT,InputVAT,NetProceeds,HMRC,NetProfit,ROI,Breakeven,ProfitMargin,NEWproit,NEWROi
8.00365E+12,,FALSE,B01KWWYF6A,Tonkita Pipon White Toilet Brush Set,"Nespresso Citiz Coffee Machine by De'Longhi for Original Coffee Pods, Italian Inspired Espresso, Quality Coffee, Starter Capsule Set Included, EN167.B, Black",https://www.poundwholesale.co.uk/tonkita-pipon-white-toilet-brush-set,https://www.amazon.co.uk/dp/B01KWWYF6A,900,,,,2.196,1.83,139,17.375,2.8,0.55,23.16666667,4.511,93.82833333,-4.511,93.27833333,3919.257703,27.066,67.10671463,93.64433333,4649.668984
8.00365E+12,,FALSE,B01KWWYF6A,Tonkita Maxi Outdoor Broom With Handle 130cm,"Nespresso Citiz Coffee Machine by De'Longhi for Original Coffee Pods, Italian Inspired Espresso, Quality Coffee, Starter Capsule Set Included, EN167.B, Black",https://www.poundwholesale.co.uk/tonkita-maxi-outdoor-broom,https://www.amazon.co.uk/dp/B01KWWYF6A,900,,,,4.656,3.88,139,17.375,2.8,0.55,23.16666667,4.921,91.77833333,-4.921,91.22833333,2059.330324,29.526,65.63189448,92.00433333,2517.907316
5.03867E+12,,FALSE,B07RWM7SFZ,Roadster Car Safety Signs Set 2pc,"Philips Hair Clippers, Series 5000 Trim-n-Flow PRO Technology Hair Clipper, Fully Washable with Self-Sharpening Stainless Steel Blades, Corded, UK 3-Pin Plug - HC5630/13",https://www.poundwholesale.co.uk/roadster-car-safety-signs-set-2pc,https://www.amazon.co.uk/dp/B07RWM7SFZ,900,Available (see Keepa data),Available (see Keepa data),22,0.768,0.64,37.84,5.68,3.07,0.55,6.306666667,1.988,22.14333333,-1.988,21.59333333,1814.565826,11.928,57.06483439,21.72133333,2045.323289
5.03867E+12,,FALSE,B07RWM7SFZ,Marksman Funnel Set 4pc,"Philips Hair Clippers, Series 5000 Trim-n-Flow PRO Technology Hair Clipper, Fully Washable with Self-Sharpening Stainless Steel Blades, Corded, UK 3-Pin Plug - HC5630/13",https://www.poundwholesale.co.uk/marksman-funnel-set-4pc,https://www.amazon.co.uk/dp/B07RWM7SFZ,900,Available (see Keepa data),Available (see Keepa data),22,0.852,0.71,37.84,5.68,3.07,0.55,6.306666667,2.002,22.07333333,-2.002,21.52333333,1708.201058,12.012,56.87984496,21.66533333,1937.865236
5.03867E+12,,FALSE,B08HMZZLZT,White Double Ended Bottle Brush,"MR.SIGA Bottle Brush Cleaning Set with Storage Holder 5 Pack, Straw Cleaner Brush for Long Narrow Neck Bottles, Water Bottles, Baby Bottles, Tumblers, Drinking Glasses, Strews",https://www.poundwholesale.co.uk/white-double-ended-bottle-brush,https://www.amazon.co.uk/dp/B08HMZZLZT,900,,,,0.648,0.54,15.99,1.99875,2.8,0.55,2.665,1.17775,7.98625,-1.17775,7.43625,682.2247706,7.0665,46.50562852,7.54425,768.2535642
5.05258E+12,6.92583E+12,FALSE,B010N0N7PQ,Bettina Assorted Colour Multi Purpose Cloths 8 Pack,"MR.SIGA Microfibre Cleaning Cloth, Pack of 24, Size:12.6"" x 12.6"" (32X32CM)",https://www.poundwholesale.co.uk/10pc-multi-purpose-cloths,https://www.amazon.co.uk/dp/B010N0N7PQ,900,Available (see Keepa data),,1,0.912,0.76,17.99,2.34,3.26,0.55,2.998333333,1.382,8.631666667,-1.382,8.081666667,616.9211196,8.292,44.92310543,8.233666667,711.0247553
5.01392E+12,,FALSE,B004W6KHGU,Just Stationery Gel Pens Assorted Colours 6 Pack,"BIC 4 Colours Original Pens, Multi Coloured Pens All In One, Retractable Ballpoint Biro Pens, Green, Blue, Red, Black, 12 Pens Per Pack, 1 Pack",https://www.poundwholesale.co.uk/6-gel-pens,https://www.amazon.co.uk/dp/B004W6KHGU,900,,,,0.78,0.65,15.87,1.98375,2.8,0.55,2.645,1.19675,7.79125,-1.19675,7.24125,603.4375,7.1805,45.62854442,7.37125,688.9018692
5.06008E+12,5.01593E+12,FALSE,B082WD4MT7,Jumbo Colouring Book Assorted,abeec 180 Colouring Pencils | Bulk Coloured Pencil Set | Classroom & School Supplies | Art Pencils for Kids & Adults | Hexagonal Barrel | Pre-Sharpened Drawing & Sketching Pencils,https://www.poundwholesale.co.uk/jumbo-colouring-book-2-designs-no-vat,https://www.amazon.co.uk/dp/B082WD4MT7,900,Available (see Keepa data),Available (see Keepa data),4,0.72,0.6,15.99,2.4,3.05,0.55,2.665,1.32,7.275,-1.32,6.725,584.7826087,7.92,42.05753596,6.845,664.5631068
5.03867E+12,,FALSE,B074Z7SX2S,Marksman Plastic Artist's Brush Set 20pc,"Fine Detail Brushes with Triangular Handles,10 Miniature Brush for Fine Detailing & Art Painting,Acrylic&Nail, Models,Watercolour, Miniatures,Oil, Wargaming figures.(golden maple series）",https://www.poundwholesale.co.uk/marksman-plastic-artist-s-brush-set-20pc,https://www.amazon.co.uk/dp/B074Z7SX2S,900,Available (see Keepa data),,2,0.888,0.74,12.99,1.95,2.07,0.55,2.165,1.062,6.065,-1.062,5.515,427.5193798,6.372,42.45573518,5.663,495.8844133
5.06007E+12,7.55465E+11,FALSE,B071HDJH7W,Essence Ultra Slim Everyday Sanitary Pads 14 Pack,"Rael Organic Cotton Cover Sanitary Towels - Regular Absorbency, Ultra Thin Period Pads with Wings for Women, Unscented, Hypoallergenic, Vegan (Regular, 28 Count)",https://www.poundwholesale.co.uk/essence-ultra-slim-everyday-sanitary-pads-14-pack,https://www.amazon.co.uk/dp/B071HDJH7W,900,Available (see Keepa data),,1,0.852,0.71,13.29,2.1,3.04,0.55,2.215,1.28,5.225,-1.28,4.675,371.031746,7.68,35.17682468,4.817,430.8586762
