EAN,EAN_OnPage,InList?,ASIN,SupplierTitle,AmazonTitle,SupplierURL,AmazonURL,bought_in_past_month,fba_seller_count,fbm_seller_count,total_offer_count,SupplierPrice_incVAT,SupplierPrice_exVAT,SellingPrice_incVAT,ReferralFee,FBAFee,PrepHouseFee,OutputVAT,InputVAT,NetProceeds,HMRC,NetProfit,ROI,Breakeven,ProfitMargin
5.0153E+12,,FALSE,B0BWY3C6H6,Cookhouse Stainless Steel Paddle Grater 24cm,"DEERC 9206E 1:10 RC Car, Fast 4WD Off-Road Remote Control Truck with Extra Shell & 2 Batteries, 40+ Min Play, Hobby Toy Gift for Adults and Kids",https://www.poundwholesale.co.uk/cookhouse-stainless-steel-paddle-grater-24cm,https://www.amazon.co.uk/dp/B0BWY3C6H6,,,,,0.852,0.71,104.99,15.7485,2.8,0.55,17.49833333,0.142,68.23316667,17.35633333,50.32683333,3994.193122,19.9505,47.93488269
5052578017732,6925828218533,FALSE,B0B8JR1F9L,Bettina Assorted Colour Cellulose Highly Absorbent Sponge Cloths 3 Pack,"MR.SIGA Reusable Dish Cloths, Cellulose Sponge Cloth for Kitchen, Absorbent Cleaning Cloth, 10 Pack, Multi Colors",https://www.poundwholesale.co.uk/5pc-cellulose-highly-absorbent-sponge-cloths,https://www.amazon.co.uk/dp/B0B8JR1F9L,900,Available (see Keepa data),,1,0.9,0.75,9.99,1.3,2.4,0.55,1.665,0.15,3.875,1.515,1.81,139.2307692,5.15,18.11811812
5.41325E+12,6.97244E+12,TRUE,B087JBF4ZB,Airline Airplane Toy Assorted Colours,"BEZGAR HM161 RC Car - 4X4 RC Truck, High Speed 40+kmh All Terrain Electric Toy Off Road Remote Control Cars Monster Vehicle Crawler with Two Rechargeable Batteries for Boys and Adults",https://www.poundwholesale.co.uk/airline-airplane-toy-assorted-colours,https://www.amazon.co.uk/dp/B087JBF4ZB,,Available (see Keepa data),,1,0.972,0.81,89.99,13.5,5.26,0.55,14.99833333,0.162,55.42166667,14.83633333,40.03533333,2943.77451,20.282,44.48864689
5.05325E+12,,FALSE,B08VF5L5LF,Nuage Paraffin Daily Hydrating Cream 350g,Farmacy Honey Halo Ceramide Face Moisturiser Cream - Hydrating Facial Lotion for Dry Skin (1.7 Ounce),https://www.poundwholesale.co.uk/nuage-paraffin-daily-hydrating-cream-350g,https://www.amazon.co.uk/dp/B08VF5L5LF,50,,,,1.032,0.86,44,6.6,2.8,0.55,7.333333333,0.172,26.40666667,7.161333333,18.69533333,1325.910165,10.982,42.48939394
5.01392E+12,8.68412E+12,FALSE,B0C1FXWJDT,Artbox Coloured Pom Poms 2.5cm 40 Pack,"COMEOR Men's Thin Lightweight Breathable Cotton Straight Leg Jogging Pants, Long Sweatpants, Men's Jogger Training Trousers, Relaxing Tracksuit Bottoms",https://www.poundwholesale.co.uk/artbox-coloured-pom-poms-40-pack,https://www.amazon.co.uk/dp/B0C1FXWJDT,,,Available (see Keepa data),1,0.672,0.56,28,4.2,2.94,0.55,4.666666667,0.112,15.63333333,4.554666667,10.52866667,948.5285285,8.362,37.60238095
5055319530798,5065014644027,TRUE,B0BZQ9D3SS,Auto Extreme Ocean Breeze In-Car Fragrance Air Freshener Spray 100ml,Car Air Freshener for Men with Vent Clip | Strong Perfume Automotive Air Freshener | Odour Eliminating Technology with Vent Clip | Car Air Fresheners by Perfa,https://www.poundwholesale.co.uk/auto-extreme-ocean-breeze-in-car-fragrance-air-freshener-spray-100ml,https://www.amazon.co.uk/dp/B0BZQ9D3SS,800,Available (see Keepa data),,1,0.78,0.65,11.69,1.95,3.04,0.55,1.948333333,0.13,4.101666667,1.818333333,1.733333333,144.4444444,6.32,14.82748788
5053249246680,5055989162909,TRUE,B0DCKGMTYZ,151 Clear Packing Tape 48mm X 60m,"Goldstar Leisure GSL Heavy Duty Parcel Tape - 6 Rolls (48mm x 60m) - Strong Heavy Duty Clear Tape for Packing Boxes, Secure Packaging Tape for Moving House, long term storage, sticky (Clear, 6 rolls)",https://www.poundwholesale.co.uk/151-clear-packing-tape-48mm-x-60m,https://www.amazon.co.uk/dp/B0DCKGMTYZ,700,,Available (see Keepa data),1,0.804,0.67,6.99,0.91,2.65,0.55,1.165,0.134,1.595,1.031,0.014,1.147540984,4.914,0.200286123
5.01392E+12,,FALSE,B0B4K21CMD,Artbox Assorted Foam Animal Shapes 50 Pack,kraftd Mens Tracksuit Set Fleece Hooded Zipper Sweatshirt Top With Jogging Bottom 2pcs Sports Sweat Suit,https://www.poundwholesale.co.uk/artbox-assorted-foam-animal-shapes-50-pack,https://www.amazon.co.uk/dp/B0B4K21CMD,,,Available (see Keepa data),1,0.732,0.61,24.99,3.7485,2.8,0.55,4.165,0.122,13.6665,4.043,9.0735,782.1982759,7.8305,36.30852341
5060082934049,5061034930027,FALSE,B0CNS61G6Z,A4 Laminating Pouches 8pk,"Binding Bazaar A4 Laminating Pouches, Gloss Finish, 150 Micron, 100 Laminating Sheets - Laminating Pouches to Enhance Your Words and Colours - Compatible with All Laminating Machines",https://www.poundwholesale.co.uk/a4-laminating-pouches-10pk,https://www.amazon.co.uk/dp/B0CNS61G6Z,600,Available (see Keepa data),,1,0.72,0.6,9.4,1.48,3.05,0.55,1.566666667,0.12,2.703333333,1.446666667,0.706666667,61.44927536,5.8,7.517730496
5.06008E+12,,TRUE,B0CX5588V6,Cre8 Glitter Craft Set,"3000Pcs Arts and Crafts Supplies for Kids Crafts for Girls 8-12 Craft Kit with Pipe Cleaners Beads Crafts for Kids DIY School Supplies Set Crafting Box for Girls Boys Age 4-6, 6-8, 8-12 years Gifts",https://www.poundwholesale.co.uk/glitter-craft-set,https://www.amazon.co.uk/dp/B0CX5588V6,50,,,,0.6,0.5,21.99,3.2985,2.8,0.55,3.665,0.1,11.7265,3.565,7.6115,724.9047619,7.2485,34.61346066
5.0153E+12,7.9137E+11,FALSE,B08SM5FLTD,BBQ Basting Brushes 2 Pack,"LSHUZIYU, 2-PACK, 255x3mm-3T, Arbor 25.4mm with 22.23-20-16mm Washer, Brush Cutter Blade, Trimmer Weed Blade.",https://www.poundwholesale.co.uk/bbq-basting-brushes-2-pack,https://www.amazon.co.uk/dp/B08SM5FLTD,,Available (see Keepa data),,1,0.456,0.38,18.99,2.47,2.7,0.55,3.165,0.076,10.275,3.089,6.636,713.5483871,6.176,34.94470774
