EAN,EAN_OnPage,ASIN,SupplierTitle,AmazonTitle,SupplierURL,AmazonURL,bought_in_past_month,fba_seller_count,fbm_seller_count,total_offer_count,SupplierPrice_incVAT,SupplierPrice_exVAT,SellingPrice_incVAT,ReferralFee,FBAFee,PrepHouseFee,OutputVAT,InputVAT,NetProceeds,HMRC,NetProfit,ROI,Breakeven,ProfitMargin
5053249220949,,B0D4N6R7YG,151 White Furniture Touch Up Pen 7ml CDU,"LG OLED48C45LA 48-Inch OLED Evo 4K UHD Smart TV, (α9 AI Processor Gen7, Dolby Atmos, Freeview Play and Amazon Alexa, 120Hz), Umber Brown [Model 2024]",https://www.poundwholesale.co.uk/151-white-furniture-touch-up-pen-7ml-cdu,https://www.amazon.co.uk/dp/B0D4N6R7YG,500.0,,,,1.116,0.93,799.0,119.85,2.8,0.55,133.16666666666669,0.18600000000000003,542.2533333333334,132.98066666666668,408.7226666666667,27616.3963963964,124.31599999999999,51.154276178556536
5053249248073,,B0D4N6R7YG,151 White Gloss Non-Drip Paint 300ml,"LG OLED48C45LA 48-Inch OLED Evo 4K UHD Smart TV, (α9 AI Processor Gen7, Dolby Atmos, Freeview Play and Amazon Alexa, 120Hz), Umber Brown [Model 2024]",https://www.poundwholesale.co.uk/151-white-gloss-non-drip-paint-300ml,https://www.amazon.co.uk/dp/B0D4N6R7YG,500.0,,,,2.232,1.86,848.0,127.19999999999999,2.8,0.55,141.33333333333337,0.37200000000000005,574.8066666666667,140.96133333333336,433.29533333333336,17979.05947441217,132.782,51.096147798742145
5038673681566,,B0024H7UOQ,Marksman Clear Nylon Cable Ties Set 75pc,"K'NEX | 6 Foot Ferris Wheel | Kids Building Set for Creative Play, Hours of Fun Making Giant ferris wheel, Suitable for Boys and Girls Ages 9+ | Basic Fun 89790",https://www.poundwholesale.co.uk/marksman-clear-nylon-cable-ties-set-75pc,https://www.amazon.co.uk/dp/B0024H7UOQ,,,Available (see Keepa data),3.0,1.044,0.87,399.99,60.0,8.48,0.55,66.665,0.17400000000000002,263.975,66.491,196.93400000000003,13868.591549295777,70.074,49.23473086827171
5013922010953,,B0DRC6M55B,Artbox Assorted Colour Scented Markers 8 Pack,"CROBOLL RLAARLO 1/10 Brushless Carbon Fiber RC Drift Cars for Adults with Gyro, Max 50 mph Fast RC Rally Car, 2.4Ghz All Terrain Remote Control Car 4x4 Hobby RTR RC Truck with 3S Battery",https://www.poundwholesale.co.uk/artbox-8-scented-markers,https://www.amazon.co.uk/dp/B0DRC6M55B,,Available (see Keepa data),,1.0,0.78,0.65,303.99,51.0,5.73,0.55,50.665000000000006,0.13,195.94500000000002,50.535000000000004,144.86,12071.666666666666,58.06,47.65288331853022
5053249246741,,B003ICX6TE,151 Double Sided Tape 24mm X 8m 3 Pack,"HP CE505XD 05X High Yield Original LaserJet Toner Cartridges, Black, Multipack",https://www.poundwholesale.co.uk/151-double-sided-tape-24mm-x-8m-3-pack,https://www.amazon.co.uk/dp/B003ICX6TE,,Available (see Keepa data),Available (see Keepa data),8.0,0.8160000000000001,0.68,262.98,28.03,4.99,0.55,43.830000000000005,0.136,185.45000000000002,43.694,141.20600000000002,11480.162601626018,34.385999999999996,53.69457753441327
5038673410708,,B0D1K4TNKH,Car Air Fresheners Leaf Assorted CDU,"Telescopes for Adults Astronomy, 80mm Aperture 900mm Professional Refractor Telescope for Kids & Beginners, Compact and Portable Travel Telescopio with Carrying Bag and Designed Phone Adapter",https://www.poundwholesale.co.uk/car-air-fresheners-leaf-assorted-cdu,https://www.amazon.co.uk/dp/B0D1K4TNKH,,Available (see Keepa data),,1.0,0.396,0.33,179.99,12.6,6.35,0.55,29.99833333333334,0.066,130.71166666666667,29.93233333333334,100.22933333333334,11389.69696969697,19.896,55.686056632775895
5053249011080,,B003ICX6TE,Masterplast Blue Plasters Assorted 60 Pack,"HP CE505XD 05X High Yield Original LaserJet Toner Cartridges, Black, Multipack",https://www.poundwholesale.co.uk/blue-plasters-80-pack,https://www.amazon.co.uk/dp/B003ICX6TE,,Available (see Keepa data),Available (see Keepa data),8.0,0.852,0.71,262.98,28.03,4.99,0.55,43.830000000000005,0.142,185.42000000000002,43.688,141.18200000000002,11204.920634920636,34.422,53.68545136512283
5015302109134,,B0DRC6M55B,First Steps Baby Feeding Bottle 300ml Assorted,"CROBOLL RLAARLO 1/10 Brushless Carbon Fiber RC Drift Cars for Adults with Gyro, Max 50 mph Fast RC Rally Car, 2.4Ghz All Terrain Remote Control Car 4x4 Hobby RTR RC Truck with 3S Battery",https://www.poundwholesale.co.uk/first-steps-baby-feeding-bottle-300ml-assorted,https://www.amazon.co.uk/dp/B0DRC6M55B,,Available (see Keepa data),,1.0,1.104,0.92,303.99,51.0,5.73,0.55,50.665000000000006,0.18400000000000002,195.67500000000004,50.48100000000001,144.644,9839.72789115646,58.384,47.581828349616764
5038673414270,,B09QS4NTLC,Prima Travel Sewing Tool Kit S/21,"Greenworks Cordless Leaf Blower, Axial Brushless Motor Lightweight Leaf Blower 210km/h 15m3/min with 2x40V Batteries & Charger, Electric Leaf Blower Cordless Garden Blower, 3 Year Guarantee GD40ABK2X",https://www.poundwholesale.co.uk/prima-travel-sewing-tool-kit-s-21,https://www.amazon.co.uk/dp/B09QS4NTLC,,,,,0.8160000000000001,0.68,209.99,31.4985,2.8,0.55,34.99833333333334,0.136,140.01316666666665,34.86233333333334,104.60083333333331,8504.132791327911,35.6645,49.812292648856285
5056170379687,,B0D1K4TNKH,Forever Beautiful Toweling Bow Wrap Headband Assorted Colours,"Telescopes for Adults Astronomy, 80mm Aperture 900mm Professional Refractor Telescope for Kids & Beginners, Compact and Portable Travel Telescopio with Carrying Bag and Designed Phone Adapter",https://www.poundwholesale.co.uk/forever-beautiful-toweling-bow-wrap-headband-assorted-colours,https://www.amazon.co.uk/dp/B0D1K4TNKH,,Available (see Keepa data),,1.0,0.78,0.65,179.99,12.6,6.35,0.55,29.99833333333334,0.13,130.39166666666668,29.86833333333334,99.97333333333334,8331.11111111111,20.279999999999998,55.54382650888012
5056338336521,,B01MF6UC3Y,DID Travel Bottle Set 3pc,ELEGANT 1800 x 452 mm Designer Vertical Column Radiator White Double Flat Panel,https://www.poundwholesale.co.uk/did-travel-bottle-set-3pc,https://www.amazon.co.uk/dp/B01MF6UC3Y,,,,,0.852,0.71,208.99,31.3485,2.8,0.55,34.83166666666667,0.142,139.29983333333334,34.68966666666667,104.06016666666667,8258.743386243386,35.55049999999999,49.79193581830072
5038673681702,,B0D1K4TNKH,Marksman Assorted Emery Cloth Sheets 23cm X 28cm,"Telescopes for Adults Astronomy, 80mm Aperture 900mm Professional Refractor Telescope for Kids & Beginners, Compact and Portable Travel Telescopio with Carrying Bag and Designed Phone Adapter",https://www.poundwholesale.co.uk/marksman-assorted-emery-cloth-sheets-23cm-x-28cm,https://www.amazon.co.uk/dp/B0D1K4TNKH,,Available (see Keepa data),,1.0,0.804,0.67,179.99,12.6,6.35,0.55,29.99833333333334,0.134,130.3716666666667,29.864333333333338,99.95733333333337,8193.224043715849,20.304,55.534937126136654
5015302105495,,B0DSD8MTRX,First Steps Jungle Baby Feeding Bottle 250ml,RIAARIO 1/10 Rally Car Max 50mph Brushless RC Cars for Adults with Gyro 4WD RC Truck with Full Car Linkage Lighting Remote Control Trucks with 3S 2200mAh Rechargeable Battery Support 4400mAh Battery,https://www.poundwholesale.co.uk/first-steps-jungle-baby-feeding-bottle-250ml,https://www.amazon.co.uk/dp/B0DSD8MTRX,,Available (see Keepa data),,1.0,0.984,0.82,229.49,34.42,5.73,0.55,38.248333333333335,0.164,150.27166666666668,38.08433333333333,111.63733333333334,8148.710462287105,41.684,48.645837872383694
5056175992317,,B0D1K4TNKH,Bloome Assorted Fragrance Incense Sticks 32 Pack,"Telescopes for Adults Astronomy, 80mm Aperture 900mm Professional Refractor Telescope for Kids & Beginners, Compact and Portable Travel Telescopio with Carrying Bag and Designed Phone Adapter",https://www.poundwholesale.co.uk/bloome-assorted-fragrance-incense-sticks-32-pack,https://www.amazon.co.uk/dp/B0D1K4TNKH,,Available (see Keepa data),,1.0,0.888,0.74,179.99,12.6,6.35,0.55,29.99833333333334,0.148,130.30166666666668,29.85033333333334,99.90133333333334,7744.289405684755,20.388,55.50382428653444
6925146911116,8710103907459,B08965R1D7,Celebrat 3-Ply Disposable Protective Mask ≥95% Bfe 50pc,"Philips Beard Trimmer 9000 Series, Lift & Trim Pro System, Silver, Which Best Buy Winner 2023 (BT9810/13)",https://www.poundwholesale.co.uk/celebrat-3-ply-disposable-protective-mask-95-bfe-50pc,https://www.amazon.co.uk/dp/B08965R1D7,,,Available (see Keepa data),3.0,0.12000000000000001,0.1,102.99,15.45,3.07,0.55,17.165,0.020000000000000004,67.20500000000001,17.145,49.51000000000002,7616.923076923079,19.189999999999998,48.07262841052531
