EAN,EAN_OnPage,ASIN,SupplierTitle,AmazonTitle,SupplierURL,AmazonURL,bought_in_past_month,fba_seller_count,fbm_seller_count,total_offer_count,SupplierPrice_incVAT,SupplierPrice_exVAT,SellingPrice_incVAT,ReferralFee,FBAFee,PrepHouseFee,OutputVAT,InputVAT,NetProceeds,HMRC,NetProfit,ROI,Breakeven,ProfitMargin
5053249250236,,B00128V0NA,Elbow Grease Lemon Fresh Toilet Tablets 8 Pack,HP 12A Black LaserJet Toner Cartridge (2 Pack) Q2612AD,https://www.poundwholesale.co.uk/elbow-grease-lemon-fresh-toilet-tablets-8-pack,https://www.amazon.co.uk/dp/B00128V0NA,,Available (see Keepa data),Available (see Keepa data),16.0,1.46,1.2166666666666668,120.0,16.6,4.73,0.55,20.0,0.24333333333333332,77.21000000000001,19.756666666666668,56.90333333333334,3220.9433962264156,23.340000000000003,47.41944444444445
5055865495244,,B0DTJRRJJG,Craft Buddy Diy Crystal Art Space Superstars Sticker Set,"DERW Adjustable Shower Riser Rail Kit with 10"" Square Rainfall Shower Head, Handheld Shower with Rotating Bracket, Shower Set Without Tap, Anti-Leak Hose,Easy Install, Suitable for Bathrooms(Chrome)",https://www.poundwholesale.co.uk/craft-buddy-diy-crystal-art-space-superstars-sticker-set,https://www.amazon.co.uk/dp/B0DTJRRJJG,300.0,Available (see Keepa data),,1.0,0.71,0.5916666666666667,56.8,7.38,5.39,0.55,9.466666666666667,0.11833333333333333,33.853333333333325,9.348333333333333,23.95499999999999,2098.248175182481,14.030000000000001,42.174295774647874
5015302790349,,B0F33S6861,Assorted Metallic Temporary Gold Tattoos,Yatatu - Over 130 Temporary Tattoos for Weddings with Various Designs - Individual Pieces Ready to Use (English version),https://www.poundwholesale.co.uk/assorted-metallic-temporary-gold-tattoos,https://www.amazon.co.uk/dp/B0F33S6861,,Available (see Keepa data),,1.0,0.22,0.18333333333333335,25.95,3.89,1.87,0.55,4.325,0.036666666666666674,15.644999999999998,4.288333333333333,10.806666666666665,1473.6363636363633,6.53,41.64418754014129
5055566983828,,B0CX94SDHT,Prism Cistern Blocks Ocean 8pk,Eco & Biological CISTERN BLOCKS - 24 Blocks Per Tub Bio Productions ROYAL FLUSH,https://www.poundwholesale.co.uk/prism-cistern-blocks-ocean-8pk,https://www.amazon.co.uk/dp/B0CX94SDHT,,,Available (see Keepa data),2.0,0.74,0.6166666666666667,40.5,6.075,2.8,0.55,6.75,0.12333333333333334,24.134999999999998,6.626666666666667,16.958333333333332,1453.5714285714282,10.165000000000001,41.87242798353909
5012213549820,8445118054408,B0BW4B589V,Marvel Ultimate Spider-Man Gift Bag Large,"Marvel Spiderman Blackspider-FAN Fight Backpack 2.0, Red, 18 x 31 x 44 cm, Capacity 24 L",https://www.poundwholesale.co.uk/marvel-ultimate-spider-man-gift-bag-large,https://www.amazon.co.uk/dp/B0BW4B589V,,,Available (see Keepa data),3.0,0.71,0.5916666666666667,36.91,5.54,4.15,0.55,6.151666666666666,0.11833333333333333,20.35833333333333,6.033333333333333,13.774999999999997,1206.5693430656931,10.950000000000001,37.32050934706041
5056338353412,,B0CPPJRGJ6,DID Medium Foil Platters 3 Pack 35cm X 23.5cm,"UoYeet Football Display Case with Ball Holder, Clear Display Box for Full Size Football Soccer Volleyballs, Sports Memorabilia Showcase",https://www.poundwholesale.co.uk/did-medium-foil-platters-3-pack-35cm-x-23-5cm,https://www.amazon.co.uk/dp/B0CPPJRGJ6,,Available (see Keepa data),,1.0,0.75,0.625,35.99,5.4,3.48,0.55,5.998333333333334,0.12500000000000003,20.361666666666668,5.873333333333334,13.938333333333333,1186.241134751773,10.180000000000001,38.728350467722514
5056338353344,,B0CPPJRGJ6,"DID Foil Containers & Lids 2 Pack 9""","UoYeet Football Display Case with Ball Holder, Clear Display Box for Full Size Football Soccer Volleyballs, Sports Memorabilia Showcase",https://www.poundwholesale.co.uk/did-foil-containers-lids-2-pack-9,https://www.amazon.co.uk/dp/B0CPPJRGJ6,,Available (see Keepa data),,1.0,0.87,0.725,35.99,5.4,3.48,0.55,5.998333333333334,0.14500000000000002,20.241666666666667,5.8533333333333335,13.838333333333333,1085.359477124183,10.3,38.450495508011485
5056170364294,,B0FGQX6128,Hoot Squishy Shark Squish Toy CDU Assorted Colours,"Portable Air Conditioner Cooling, 2025 Upgraded 3 in 1 Small Mini Air Cooler Conditioner Unit with 2 Wind Speeds, 500ML Personal Mobile Desk Air Cooler Conditioner Fan for Home & Office Student,Green",https://www.poundwholesale.co.uk/hoot-squishy-shark-squish-toy-cdu-assorted-colours,https://www.amazon.co.uk/dp/B0FGQX6128,,,,1.0,0.68,0.5666666666666668,29.99,4.4985,2.8,0.55,4.998333333333334,0.11333333333333334,17.013166666666663,4.885000000000001,11.578166666666661,1036.8507462686562,8.5285,38.60675780815826
5056338353313,,B0FGQX6128,DID Foil Containers & Lids 5 Pack 20cm X 11cm X 5cm,"Portable Air Conditioner Cooling, 2025 Upgraded 3 in 1 Small Mini Air Cooler Conditioner Unit with 2 Wind Speeds, 500ML Personal Mobile Desk Air Cooler Conditioner Fan for Home & Office Student,Green",https://www.poundwholesale.co.uk/did-foil-container-lid-20cm-x-11cm-x-5cm,https://www.amazon.co.uk/dp/B0FGQX6128,,,Available (see Keepa data),1.0,0.72,0.6,29.99,4.4985,2.8,0.55,4.998333333333334,0.12,16.973166666666664,4.878333333333334,11.54483333333333,1003.8985507246375,8.5685,38.495609647660324
5056338353368,,B0FGQX6128,DID Deep Foil Roasting Trays 2 Pack 32cm X 26cm X 7cm,"Portable Air Conditioner Cooling, 2025 Upgraded 3 in 1 Small Mini Air Cooler Conditioner Unit with 2 Wind Speeds, 500ML Personal Mobile Desk Air Cooler Conditioner Fan for Home & Office Student,Green",https://www.poundwholesale.co.uk/did-deep-foil-roasting-trays-2-pack-32cm-x-26cm-x-7cm,https://www.amazon.co.uk/dp/B0FGQX6128,,,Available (see Keepa data),1.0,0.79,0.6583333333333334,29.99,4.4985,2.8,0.55,4.998333333333334,0.1316666666666667,16.903166666666664,4.866666666666667,11.486499999999996,950.6068965517237,8.6385,38.30110036678892
