EAN,EAN_OnPage,ASIN,SupplierTitle,AmazonTitle,SupplierURL,AmazonURL,MatchMethod,Confidence,CreatedAt,bought_in_past_month,fba_seller_count,fbm_seller_count,total_offer_count,SupplierPrice_incVAT,SupplierPrice_exVAT,SellingPrice_incVAT,ReferralFee,FBAFee,PrepHouseFee,OutputVAT,InputVAT,NetProceeds,HMRC,NetProfit,ROI,Breakeven,ProfitMargin
5.05E+12,,B0D4N6R7YG,151 White Furniture Touch Up Pen 7ml CDU,"LG OLED48C45LA 48-Inch OLED Evo 4K UHD Smart TV, (Î±9 AI Processor Gen7, Dolby Atmos, Freeview Play and Amazon Alexa, 120Hz), Umber Brown [Model 2024]",https://www.poundwholesale.co.uk/151-white-furniture-touch-up-pen-7ml-cdu,https://www.amazon.co.uk/dp/B0D4N6R7YG,EAN_cached,low,2025-08-03T15:07:00.211777,500,,,,1.116,0.93,799,99.875,2.8,0.55,133.1666667,20.831,675.79,112.3356667,561.6783333,379.5123874,124.986,84.3571965
5.05E+12,,B0D4N6R7YG,151 White Gloss Non-Drip Paint 300ml,"LG OLED48C45LA 48-Inch OLED Evo 4K UHD Smart TV, (Î±9 AI Processor Gen7, Dolby Atmos, Freeview Play and Amazon Alexa, 120Hz), Umber Brown [Model 2024]",https://www.poundwholesale.co.uk/151-white-gloss-non-drip-paint-300ml,https://www.amazon.co.uk/dp/B0D4N6R7YG,EAN,high,2025-08-07T05:01:17.185993,500,,,,2.232,1.86,848,106,2.8,0.55,141.3333333,22.242,717.44,119.0913333,595.4566667,247.077455,133.452,84.26273585
5.04E+12,,B0024H7UOQ,Marksman Clear Nylon Cable Ties Set 75pc,"K'NEX | 6 Foot Ferris Wheel | Kids Building Set for Creative Play, Hours of Fun Making Giant ferris wheel, Suitable for Boys and Girls Ages 9+ | Basic Fun 89790",https://www.poundwholesale.co.uk/marksman-clear-nylon-cable-ties-set-75pc,https://www.amazon.co.uk/dp/B0024H7UOQ,EAN,high,2025-07-23T12:40:49.356979,,,Available (see Keepa data),3,1.044,0.87,399.99,60,8.48,0.55,66.665,13.98,317.814,52.685,263.425,185.5105634,83.88,79.02947574
5.01E+12,,B0DRC6M55B,Artbox Assorted Colour Scented Markers 8 Pack,"CROBOLL RLAARLO 1/10 Brushless Carbon Fiber RC Drift Cars for Adults with Gyro, Max 50 mph Fast RC Rally Car, 2.4Ghz All Terrain Remote Control Car 4x4 Hobby RTR RC Truck with 3S Battery",https://www.poundwholesale.co.uk/artbox-8-scented-markers,https://www.amazon.co.uk/dp/B0DRC6M55B,EAN,high,2025-08-02T20:21:44.089083,,Available (see Keepa data),,1,0.78,0.65,303.99,51,5.73,0.55,50.665,11.586,235.914,39.079,195.395,162.8291667,69.516,77.1321425
LEL404,,B01MRZB1BH,Multi Marker Pack,HP 410X High Yield Black Laserjet Toner Cartridge CF410XD,https://www.poundwholesale.co.uk/multi-marker-pack,https://www.amazon.co.uk/dp/B01MRZB1BH,EAN,high,2025-07-25T20:39:49.595641,,,,,0.72,0.6,258,32.25,2.8,0.55,43,7.24,215.94,35.76,178.8,155.4782609,43.44,83.1627907
5.05E+12,,B003ICX6TE,151 Double Sided Tape 24mm X 8m 3 Pack,"HP CE505XD 05X High Yield Original LaserJet Toner Cartridges, Black, Multipack",https://www.poundwholesale.co.uk/151-double-sided-tape-24mm-x-8m-3-pack,https://www.amazon.co.uk/dp/B003ICX6TE,EAN,high,2025-08-06T16:26:14.448136,,Available (see Keepa data),Available (see Keepa data),8,0.816,0.68,262.98,28.03,4.99,0.55,43.83,6.85,223.356,36.98,184.9,150.3252033,41.1,84.37143509
5.04E+12,,B0D1K4TNKH,Car Air Fresheners Leaf Assorted CDU,"Telescopes for Adults Astronomy, 80mm Aperture 900mm Professional Refractor Telescope for Kids & Beginners, Compact and Portable Travel Telescopio with Carrying Bag and Designed Phone Adapter",https://www.poundwholesale.co.uk/car-air-fresheners-leaf-assorted-cdu,https://www.amazon.co.uk/dp/B0D1K4TNKH,EAN_cached,low,2025-08-03T15:13:24.520792,,Available (see Keepa data),,1,0.396,0.33,179.99,12.6,6.35,0.55,29.99833333,3.966,157.25,26.03233333,130.1616667,147.9109848,23.796,86.77926551
5.05E+12,,B003ICX6TE,Masterplast Blue Plasters Assorted 60 Pack,"HP CE505XD 05X High Yield Original LaserJet Toner Cartridges, Black, Multipack",https://www.poundwholesale.co.uk/blue-plasters-80-pack,https://www.amazon.co.uk/dp/B003ICX6TE,EAN_cached,low,2025-08-05T10:51:16.816986,,Available (see Keepa data),Available (see Keepa data),8,0.852,0.71,262.98,28.03,4.99,0.55,43.83,6.856,223.356,36.974,184.87,146.7222222,41.136,84.35774584
5.02E+12,,B0DRC6M55B,First Steps Baby Feeding Bottle 300ml Assorted,"CROBOLL RLAARLO 1/10 Brushless Carbon Fiber RC Drift Cars for Adults with Gyro, Max 50 mph Fast RC Rally Car, 2.4Ghz All Terrain Remote Control Car 4x4 Hobby RTR RC Truck with 3S Battery",https://www.poundwholesale.co.uk/first-steps-baby-feeding-bottle-300ml-assorted,https://www.amazon.co.uk/dp/B0DRC6M55B,EAN,high,2025-07-31T05:56:52.815028,,Available (see Keepa data),,1,1.104,0.92,303.99,51,5.73,0.55,50.665,11.64,235.914,39.025,195.125,132.7380952,69.84,77.02556005
5.04E+12,,B09QS4NTLC,Prima Travel Sewing Tool Kit S/21,"Greenworks Cordless Leaf Blower, Axial Brushless Motor Lightweight Leaf Blower 210km/h 15m3/min with 2x40V Batteries & Charger, Electric Leaf Blower Cordless Garden Blower, 3 Year Guarantee GD40ABK2X",https://www.poundwholesale.co.uk/prima-travel-sewing-tool-kit-s-21,https://www.amazon.co.uk/dp/B09QS4NTLC,EAN,high,2025-07-29T15:05:54.215375,,,,,0.816,0.68,209.99,26.24875,2.8,0.55,34.99833333,6.05575,175.1315,28.94258333,144.7129167,117.6527778,36.3345,82.69703319
