EAN,EAN_OnPage,ASIN,SupplierTitle,AmazonTitle,SupplierURL,AmazonURL,bought_in_past_month,fba_seller_count,fbm_seller_count,total_offer_count,SupplierPrice_incVAT,SupplierPrice_exVAT,SellingPrice_incVAT,ReferralFee,FBAFee,PrepHouseFee,OutputVAT,InputVAT,NetProceeds,HMRC,NetProfit,ROI,Breakeven,ProfitMargin
5038673682389,,B0DQP2FMSV,Marksman Butane Gas Cartridge Shrink Wrapped 4 Pack,"ECOVACS DEEBOT X8 PRO OMNI Robot Vacuum and Mop, 18000Pa, OZMO ROLLER Instant Self-Washing Mopping, 40-75℃ Hot Water Mop Washing, Auto Cleaning Solution Adding, Hot Air-Drying, Self-Emptying, Black",https://www.poundwholesale.co.uk/butane-gas-shrinked-wrap-pk4,https://www.amazon.co.uk/dp/B0DQP2FMSV,,,,,1.056,0.88,999.0,149.85,2.8,0.55,166.50000000000003,0.17600000000000002,678.794,166.32400000000004,511.9199999999999,35798.601398601386,154.25600000000003,51.24324324324323
5053249220949,,B0D4N6R7YG,151 White Furniture Touch Up Pen 7ml CDU,"LG OLED48C45LA 48-Inch OLED Evo 4K UHD Smart TV, (α9 AI Processor Gen7, Dolby Atmos, Freeview Play and Amazon Alexa, 120Hz), Umber Brown [Model 2024]",https://www.poundwholesale.co.uk/151-white-furniture-touch-up-pen-7ml-cdu,https://www.amazon.co.uk/dp/B0D4N6R7YG,500.0,,,,1.116,0.93,799.0,119.85,2.8,0.55,133.16666666666669,0.18600000000000003,542.0673333333334,132.98066666666668,408.5366666666667,27603.82882882883,124.31599999999999,51.13099707968294
5053249248073,,B0D4N6R7YG,151 White Gloss Non-Drip Paint 300ml,"LG OLED48C45LA 48-Inch OLED Evo 4K UHD Smart TV, (α9 AI Processor Gen7, Dolby Atmos, Freeview Play and Amazon Alexa, 120Hz), Umber Brown [Model 2024]",https://www.poundwholesale.co.uk/151-white-gloss-non-drip-paint-300ml,https://www.amazon.co.uk/dp/B0D4N6R7YG,500.0,,,,2.232,1.86,848.0,127.19999999999999,2.8,0.55,141.33333333333337,0.37200000000000005,574.4346666666667,140.96133333333336,432.9233333333333,17963.623789764868,132.782,51.05227987421384
5038673681566,,B0024H7UOQ,Marksman Clear Nylon Cable Ties Set 75pc,"K'NEX | 6 Foot Ferris Wheel | Kids Building Set for Creative Play, Hours of Fun Making Giant ferris wheel, Suitable for Boys and Girls Ages 9+ | Basic Fun 89790",https://www.poundwholesale.co.uk/marksman-clear-nylon-cable-ties-set-75pc,https://www.amazon.co.uk/dp/B0024H7UOQ,,,Available (see Keepa data),3.0,1.044,0.87,399.99,60.0,8.48,0.55,66.665,0.17400000000000002,263.801,66.491,196.76,13856.338028169015,70.074,49.191229780744514
5013922010953,,B0DRC6M55B,Artbox Assorted Colour Scented Markers 8 Pack,"CROBOLL RLAARLO 1/10 Brushless Carbon Fiber RC Drift Cars for Adults with Gyro, Max 50 mph Fast RC Rally Car, 2.4Ghz All Terrain Remote Control Car 4x4 Hobby RTR RC Truck with 3S Battery",https://www.poundwholesale.co.uk/artbox-8-scented-markers,https://www.amazon.co.uk/dp/B0DRC6M55B,,Available (see Keepa data),,1.0,0.78,0.65,303.99,51.0,5.73,0.55,50.665000000000006,0.13,195.81500000000003,50.535000000000004,144.73000000000002,12060.833333333334,58.06,47.610118753906384
5053249246741,,B003ICX6TE,151 Double Sided Tape 24mm X 8m 3 Pack,"HP CE505XD 05X High Yield Original LaserJet Toner Cartridges, Black, Multipack",https://www.poundwholesale.co.uk/151-double-sided-tape-24mm-x-8m-3-pack,https://www.amazon.co.uk/dp/B003ICX6TE,,Available (see Keepa data),Available (see Keepa data),8.0,0.8160000000000001,0.68,262.98,28.03,4.99,0.55,43.830000000000005,0.136,185.314,43.694,141.07,11469.10569105691,34.385999999999996,53.64286257510076
5038673410708,,B0D1K4TNKH,Car Air Fresheners Leaf Assorted CDU,"Telescopes for Adults Astronomy, 80mm Aperture 900mm Professional Refractor Telescope for Kids & Beginners, Compact and Portable Travel Telescopio with Carrying Bag and Designed Phone Adapter",https://www.poundwholesale.co.uk/car-air-fresheners-leaf-assorted-cdu,https://www.amazon.co.uk/dp/B0D1K4TNKH,,Available (see Keepa data),,1.0,0.396,0.33,179.99,12.6,6.35,0.55,29.99833333333334,0.066,130.6456666666667,29.93233333333334,100.16333333333337,11382.196969696972,19.896,55.64938792895904
LEL404,,B01MRZB1BH,Multi Marker Pack,HP 410X High Yield Black Laserjet Toner Cartridge CF410XD,https://www.poundwholesale.co.uk/multi-marker-pack,https://www.amazon.co.uk/dp/B01MRZB1BH,,,,,0.72,0.6,258.0,38.699999999999996,2.8,0.55,43.0,0.12,172.78,42.88,129.35,11247.826086956522,42.76999999999999,50.13565891472867
5053249011080,,B003ICX6TE,Masterplast Blue Plasters Assorted 60 Pack,"HP CE505XD 05X High Yield Original LaserJet Toner Cartridges, Black, Multipack",https://www.poundwholesale.co.uk/blue-plasters-80-pack,https://www.amazon.co.uk/dp/B003ICX6TE,,,Available (see Keepa data),8.0,0.852,0.71,262.98,28.03,4.99,0.55,43.830000000000005,0.142,185.278,43.688,141.03999999999996,11193.650793650791,34.422,53.631454863487704
5015302109134,,B0DRC6M55B,First Steps Baby Feeding Bottle 300ml Assorted,"CROBOLL RLAARLO 1/10 Brushless Carbon Fiber RC Drift Cars for Adults with Gyro, Max 50 mph Fast RC Rally Car, 2.4Ghz All Terrain Remote Control Car 4x4 Hobby RTR RC Truck with 3S Battery",https://www.poundwholesale.co.uk/first-steps-baby-feeding-bottle-300ml-assorted,https://www.amazon.co.uk/dp/B0DRC6M55B,,Available (see Keepa data),,1.0,1.104,0.92,303.99,51.0,5.73,0.55,50.665000000000006,0.18400000000000002,195.491,50.48100000000001,144.45999999999998,9827.210884353739,58.384,47.52130004276456
5053249218458,0632111339023,B092MFNWGJ,Pan Aroma Scented Candle Soothing Lavender,"TOPDON ArtiDiag600S OBD2 Scanner, Car Diagnostic Tool for Engine Transmission ABS SRS, 9 Service: Oil/Brake/BMS/SAS/DPF/TPMS/ETS Reset/ABS Bleeding/Injector Coding, Lifetime Free Wireless Update",https://www.poundwholesale.co.uk/pan-aroma-scented-candle-soothing-lavender,https://www.amazon.co.uk/dp/B092MFNWGJ,50.0,Available (see Keepa data),,1.0,0.936,0.78,209.99,21.61,3.15,0.55,34.99833333333334,0.15600000000000003,149.29566666666665,34.84233333333334,113.90333333333331,8564.160401002504,26.246,54.24226550470655
5038673414270,,B09QS4NTLC,Prima Travel Sewing Tool Kit S/21,"Greenworks Cordless Leaf Blower, Axial Brushless Motor Lightweight Leaf Blower 210km/h 15m3/min with 2x40V Batteries & Charger, Electric Leaf Blower Cordless Garden Blower, 3 Year Guarantee GD40ABK2X",https://www.poundwholesale.co.uk/prima-travel-sewing-tool-kit-s-21,https://www.amazon.co.uk/dp/B09QS4NTLC,,,,,0.8160000000000001,0.68,209.99,31.4985,2.8,0.55,34.99833333333334,0.136,139.87716666666665,34.86233333333334,104.46483333333332,8493.075880758806,35.6645,49.74752766004729
5056170379687,,B0D1K4TNKH,Forever Beautiful Toweling Bow Wrap Headband Assorted Colours,"Telescopes for Adults Astronomy, 80mm Aperture 900mm Professional Refractor Telescope for Kids & Beginners, Compact and Portable Travel Telescopio with Carrying Bag and Designed Phone Adapter",https://www.poundwholesale.co.uk/forever-beautiful-toweling-bow-wrap-headband-assorted-colours,https://www.amazon.co.uk/dp/B0D1K4TNKH,,Available (see Keepa data),,1.0,0.78,0.65,179.99,12.6,6.35,0.55,29.99833333333334,0.13,130.26166666666668,29.86833333333334,99.84333333333335,8320.277777777777,20.279999999999998,55.471600274089305
5056338336521,,B01MF6UC3Y,DID Travel Bottle Set 3pc,ELEGANT 1800 x 452 mm Designer Vertical Column Radiator White Double Flat Panel,https://www.poundwholesale.co.uk/did-travel-bottle-set-3pc,https://www.amazon.co.uk/dp/B01MF6UC3Y,,,,,0.852,0.71,208.99,31.3485,2.8,0.55,34.83166666666667,0.142,139.15783333333331,34.68966666666667,103.91816666666665,8247.473544973544,35.55049999999999,49.72398998357177
5038673681702,,B0D1K4TNKH,Marksman Assorted Emery Cloth Sheets 23cm X 28cm,"Telescopes for Adults Astronomy, 80mm Aperture 900mm Professional Refractor Telescope for Kids & Beginners, Compact and Portable Travel Telescopio with Carrying Bag and Designed Phone Adapter",https://www.poundwholesale.co.uk/marksman-assorted-emery-cloth-sheets-23cm-x-28cm,https://www.amazon.co.uk/dp/B0D1K4TNKH,,Available (see Keepa data),,1.0,0.804,0.67,179.99,12.6,6.35,0.55,29.99833333333334,0.134,130.23766666666668,29.864333333333338,99.82333333333335,8182.24043715847,20.304,55.46048854565995
5015302105495,,B0DSD8MTRX,First Steps Jungle Baby Feeding Bottle 250ml,RIAARIO 1/10 Rally Car Max 50mph Brushless RC Cars for Adults with Gyro 4WD RC Truck with Full Car Linkage Lighting Remote Control Trucks with 3S 2200mAh Rechargeable Battery Support 4400mAh Battery,https://www.poundwholesale.co.uk/first-steps-jungle-baby-feeding-bottle-250ml,https://www.amazon.co.uk/dp/B0DSD8MTRX,,Available (see Keepa data),,1.0,0.984,0.82,229.49,34.42,5.73,0.55,38.248333333333335,0.164,150.10766666666666,38.08433333333333,111.47333333333333,8136.739659367396,41.684,48.5743750635467
5056175992317,,B0D1K4TNKH,Bloome Assorted Fragrance Incense Sticks 32 Pack,"Telescopes for Adults Astronomy, 80mm Aperture 900mm Professional Refractor Telescope for Kids & Beginners, Compact and Portable Travel Telescopio with Carrying Bag and Designed Phone Adapter",https://www.poundwholesale.co.uk/bloome-assorted-fragrance-incense-sticks-32-pack,https://www.amazon.co.uk/dp/B0D1K4TNKH,,Available (see Keepa data),,1.0,0.888,0.74,179.99,12.6,6.35,0.55,29.99833333333334,0.148,130.15366666666668,29.85033333333334,99.75333333333334,7732.816537467701,20.388,55.42159749615719
5025416230044,,B07H8JPQRQ,Dr J's Just 4 Dogs Oatmeal & Vanilla 2-In-1 Sensitive Shampoo 500ml,"STEINER binoculars BluHorizons 10x26 - German Quality Optics, Reduces Reflections or Glare from Water, Sand or Snow, Compact and Light",https://www.poundwholesale.co.uk/dr-j-s-just-4-dogs-oatmeal-vanilla-2-in-1-sensitive-shampoo-500ml,https://www.amazon.co.uk/dp/B07H8JPQRQ,,Available (see Keepa data),Available (see Keepa data),8.0,1.044,0.87,188.8,13.16,3.04,0.55,31.466666666666672,0.17400000000000002,140.08933333333334,31.292666666666673,108.24666666666667,7623.004694835681,17.794,57.334039548022595
6925146911116,8710103907459,B08965R1D7,Celebrat 3-Ply Disposable Protective Mask ≥95% Bfe 50pc,"Philips Beard Trimmer 9000 Series, Lift & Trim Pro System, Silver, Which Best Buy Winner 2023 (BT9810/13)",https://www.poundwholesale.co.uk/celebrat-3-ply-disposable-protective-mask-95-bfe-50pc,https://www.amazon.co.uk/dp/B08965R1D7,,,Available (see Keepa data),3.0,0.12000000000000001,0.1,102.99,15.45,3.07,0.55,17.165,0.020000000000000004,67.185,17.145,49.49000000000001,7613.846153846155,19.189999999999998,48.053209049422286
5020535009489,4710681101564,B01N7X2J09,Dentiplus Double Strength Fresh Mint Fresh Breath Spray 25ml,Snowbee Diamond 2#6 4-Piece Fly Rod,https://www.poundwholesale.co.uk/dentiplus-double-strength-fresh-mint-fresh-breath-spray-25ml,https://www.amazon.co.uk/dp/B01N7X2J09,,Available (see Keepa data),Available (see Keepa data),3.0,0.876,0.73,196.99,29.55,4.67,0.55,32.83166666666667,0.146,129.06233333333333,32.68566666666667,95.82666666666667,7486.458333333333,35.646,48.64544731543056
5055319512213,,B0BP25DKB9,Auto Extreme Car Air Freshener Assorted Fragrances Clip Strip,"Ceeniu Smart Car Air Freshener, Waterless Ultrasonic, Auto ON/OFF, Plug-Free, Mint Ice Scent, French Natural Fragrance, 4-Month Supply, F26 Car Aroma Diffuser",https://www.poundwholesale.co.uk/auto-extreme-car-air-freshener-assorted-fragrances-clip-strip,https://www.amazon.co.uk/dp/B0BP25DKB9,,Available (see Keepa data),,1.0,0.324,0.27,115.99,13.14,3.07,0.55,19.331666666666667,0.054000000000000006,80.12433333333334,19.27766666666667,60.296666666666674,7353.252032520325,17.084,51.98436646837372
55055441421365,8711474106809,B0F541QBS8,Dekton 4 Piece Funnel Set,"2 Pack Shipping Container Wheels 5x4.5 Lug, May Moves 2700 kg 20ft-45ft Container, Shipping Container Wheels kit, with Ratchet Strap Tie Down J Hook, Quick disassembly Black (5)",https://www.poundwholesale.co.uk/dekton-4-piece-funnel-set,https://www.amazon.co.uk/dp/B0F541QBS8,,,Available (see Keepa data),1.0,1.008,0.84,189.0,28.349999999999998,2.8,0.55,31.500000000000004,0.168,125.342,31.332000000000004,93.46,6723.741007194243,32.70799999999999,49.44973544973545
