SupplierTitle,AmazonTitle,EAN,ASIN,SupplierURL,AmazonURL,SupplierPrice_exVAT,SellingPrice_incVAT,NetProfit,ROI,sales_count,total_offer_count,fba_seller_count,fbm_seller_count,investment_tier,reason,has_strong_brand,brand_detected,MatchMethod,Confidence
Robot Transformation Hero,"Drawing Robot for Kids,Montessori Educational Painting Toy for 5+ with Voice Interaction&16 Color Pens,Magic Drawing Robot with 100 Learning Word Cards,Ideal Gift for 5+ Year Old Boys Girls (Green)",5.00E+12,B0F134VW6R,https://www.poundwholesale.co.uk/robot-transformation-hero,https://www.amazon.co.uk/dp/B0F134VW6R,0.91,94.99,60.08833333,41.15639269,Unknown,1.0,,,REJECTED,['No sales data and no strong brand indicators'],False,,title,medium
Marksman Broom & Mop Holders Set 4 Pack,QTJH broom and mop holder put wet mops movable Commercial mop rack cleaning tool cart storage for garden garage organizer mop drain rack,5.04E+12,B0BWHHVGT6,https://www.poundwholesale.co.uk/marksman-broom-mop-holders-set-4-pack,https://www.amazon.co.uk/dp/B0BWHHVGT6,2.05,119.0,78.89166667,30.34294872,Unknown,,,,REJECTED,['No sales data and no strong brand indicators'],False,,title,medium
Rapide Mahogany Gloss Varnish 170ml,GUARD YV - Yacht Varnish Clear High Gloss Interior & Exterior For Wood Marine and Boats (5 Litre),5.06E+12,B0CD7M7BNY,https://www.poundwholesale.co.uk/rapide-mahogany-gloss-varnish-170ml,https://www.amazon.co.uk/dp/B0CD7M7BNY,0.67,54.95,34.90291667,28.60894809,Unknown,1.0,,,REJECTED,"['ROI 28.6% < 30.0%', 'No sales data and no strong brand indicators']",False,,title,medium
Auto Extreme Professional Engine Degreaser And Cleaner Spray 300ml (Expired Stock 2017),HLS Supplies DG-15 20L Degreaser Cleaner - Degreaser Kitchen Heavy Duty,5.06E+12,B09GMQ1BHK,https://www.poundwholesale.co.uk/auto-extreme-professional-engine-degreaser-and-cleaner-spray-300ml,https://www.amazon.co.uk/dp/B09GMQ1BHK,0.36,30.99,18.24125,20.04532967,Unknown,1.0,,,REJECTED,"['ROI 20.0% < 30.0%', 'No sales data and no strong brand indicators']",False,,title,medium
Cotton Tree Baby Oil 300ml,"Homefront XV2000 Toning Belt Muscle Stimulator, Abs Trainer Abdominal Toner Electronic Workout Home Fitness Device with Extension Belt Abdomen Arm Leg Men And Women - no gel required",5.05E+12,B003QPHBN0,https://www.poundwholesale.co.uk/baby-oil-355ml,https://www.amazon.co.uk/dp/B003QPHBN0,0.81,37.95,22.72125,16.70680147,Unknown,1.0,,,REJECTED,"['ROI 16.7% < 30.0%', 'No sales data and no strong brand indicators']",False,,EAN_cached,low
Magnetic Compact Games CDU Assorted,AOMIKS Magnet Blocks 173 Piece Mini Magnetic Building Tiles Macaron Color 3D Building Blocks Inspirational& Educational STEM Toys for Kids Ages 3 4 5 6 7 8 Years Old,5.01E+12,B09PNDS14V,https://www.poundwholesale.co.uk/magnetic-compact-games-cdu-assorted,https://www.amazon.co.uk/dp/B09PNDS14V,0.86,36.99,20.825,14.76950355,Unknown,1.0,,,REJECTED,"['ROI 14.8% < 30.0%', 'No sales data and no strong brand indicators']",False,,title,medium
"Prima Carving Knife 6.5""","PAUDIN Carving Knife 10 Inch, High Carbon Stainless Steel Slicing Knife, Kitchen Knife with Pakkawood Handle, Gift for Family and Friend",5.04E+12,B0DSDHVNH6,https://www.poundwholesale.co.uk/prima-carving-knife-6-5,https://www.amazon.co.uk/dp/B0DSDHVNH6,1.36,47.99,27.82166667,14.56631763,Unknown,1.0,,,REJECTED,"['ROI 14.6% < 30.0%', 'No sales data and no strong brand indicators']",False,,title,medium
Clear Plastic Wine Goblets 170ml 5 Pack,Party & Paper Solutions 100 WINE GOBLETS - Pack of 100 quality duarable disposable glasses,5.03E+12,B00P83V6N4,https://www.poundwholesale.co.uk/clear-plastic-wine-goblets-170ml-5-pack,https://www.amazon.co.uk/dp/B00P83V6N4,0.64,29.94,17.2175,14.46848739,Unknown,1.0,,,REJECTED,"['ROI 14.5% < 30.0%', 'No sales data and no strong brand indicators']",False,,EAN_cached,low
Hoot Plastic Golf Set 5pc,Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles 2 (Playstation 5),5.06E+12,B0DZ2ZYQHY,https://www.poundwholesale.co.uk/hoot-plastic-golf-set-5pc,https://www.amazon.co.uk/dp/B0DZ2ZYQHY,1.46,47.95,28.67833333,14.26782753,50.0,1.0,,,REJECTED,"['ROI 14.3% < 30.0%', 'Sales 50.0 ≤ 50']",False,,EAN,high
Speaker Wire 10 Meter,"12AWG Speaker Wire, GearIT Pro Series 12 AWG Gauge Speaker Wire Cable (100 Feet / 30.48 Meters) Great Use for Home Theater Speakers and Car Speakers Black",5.06E+12,B00HZWYJJO,https://www.poundwholesale.co.uk/speaker-wire-10-meter,https://www.amazon.co.uk/dp/B00HZWYJJO,0.61,27.99,15.86625,13.67780172,Unknown,,,,REJECTED,"['ROI 13.7% < 30.0%', 'No sales data and no strong brand indicators']",False,,title,medium
Pop Union Jack Printed Paper Cups 270ml 10 Pack,"THE PAPER CUP COMPANY Union Jack - 8oz, 12oz & 16oz, Double Wall Cups Insulated Disposable Takeaway Coffee Cups (200, 8oz)",5.06E+12,B0C346PQDL,https://www.poundwholesale.co.uk/pop-union-jack-printed-paper-cups-270ml-10-pack,https://www.amazon.co.uk/dp/B0C346PQDL,0.66,28.99,16.52458333,13.65668044,Unknown,1.0,,,REJECTED,"['ROI 13.7% < 30.0%', 'No sales data and no strong brand indicators']",False,,title,medium
