EAN,EAN_OnPage,ASIN,SupplierTitle,AmazonTitle,SupplierURL,AmazonURL,bought_in_past_month,fba_seller_count,fbm_seller_count,total_offer_count,SupplierPrice_incVAT,SupplierPrice_exVAT,SellingPrice_incVAT,ReferralFee,FBAFee,PrepHouseFee,OutputVAT,InputVAT,NetProceeds,HMRC,NetProfit,ROI,Breakeven,ProfitMargin
5052516113380,5070002691709,B0F4DT7TS5,Smart Choice Christmas Plush Rope Gonk Gang Dog Toy 44cm Assorted Colours,PLAY9 Roolo Dog Treat Dispenser Toy – Interactive Enrichment Puzzle Feeder for All Dog Sizes and Breeds – Durable Slow Feeder for Mental Stimulation & Boredom Relief,https://www.poundwholesale.co.uk/smart-choice-christmas-figure-of-8-rope-tug-dog-toy-25cm,https://www.amazon.co.uk/dp/B0F4DT7TS5,200.0,,Available (see Keepa data),2,0.756,0.63,18.79,3.21,3.26,0.55,3.131666666666666,1.5299999999999998,8.558333333333334,-1.5299999999999998,8.008333333333333,678.6723163841806,9.18,51.14422565194252
5052516115032,,B0CK1L3T42,Smart Choice Christmas Figure Of 8 Rope Tug Dog Toy 25cm,"LECHONG 5-PACK Squeaky Plush Dog Toys, Soft Chew Toys Bundle for Large Medium Small Dogs Puppy Boredom, Tough Dog Toys Woodland Series Stuffed Animals",https://www.poundwholesale.co.uk/smart-choice-squeaky-crinkle-plush-christmas-animal-dog-toy-assorted,https://www.amazon.co.uk/dp/B0CK1L3T42,50.0,Available (see Keepa data),,1,1.9080000000000001,1.59,16.99,2.55,3.05,0.55,2.831666666666665,1.548,6.968333333333334,-1.548,6.418333333333334,299.92211838006233,9.287999999999998,45.33254855797529
5052516115001,,B0DT72NNTF,Smart Choice Christmas Plush Rope Gonk Gang Dog Toy 44cm Assorted Colours,"Zeqeey Heavy Duty Strimmer Cord 2.4mm 0.095"" x 86m 282ft Nylon Grass Trimmer Line with Indentation Embossed Weed Trimming String Wire",https://www.poundwholesale.co.uk/smart-choice-squeaky-plush-festive-dog-toy-25cm-assorted,https://www.amazon.co.uk/dp/B0DT72NNTF,50.0,Available (see Keepa data),Available (see Keepa data),2,3.384,2.82,12.99,1.95,3.06,0.55,2.164999999999999,1.676,2.9950000000000014,-1.676,2.445000000000001,72.55192878338282,10.056000000000001,22.58660508083142
5056170350105,5056141068138,B09TL355K1,Pop Union Jack Paper Cupcake Cases 60 Pack,"SHATCHI 50pcs Union Jack Paper Cupcake Cases Baking Cups Muffin Cake Great Britain King Charles III Coronation Table Food Decorations, Red, White, Blue, SHATCHI",https://www.poundwholesale.co.uk/pop-union-jack-solid-colour-balloons-15-pack,https://www.amazon.co.uk/dp/B09TL355K1,,Available (see Keepa data),Available (see Keepa data),11,0.792,0.66,4.49,0.67,2.42,0.55,0.7483333333333331,0.86,-0.008333333333332749,-0.86,-0.5583333333333328,-46.14325068870519,5.159999999999999,-14.922048997772814
5056170350327,5056141068138,B09TL355K1,Pop Union Jack Paper Cupcake Cases 60 Pack,"SHATCHI 50pcs Union Jack Paper Cupcake Cases Baking Cups Muffin Cake Great Britain King Charles III Coronation Table Food Decorations, Red, White, Blue, SHATCHI",https://www.poundwholesale.co.uk/pop-union-jack-self-inflating-balloon-2-pack,https://www.amazon.co.uk/dp/B09TL355K1,,Available (see Keepa data),Available (see Keepa data),11,0.792,0.66,4.49,0.73,2.42,0.55,0.7483333333333331,0.8720000000000001,-0.0683333333333328,-0.8720000000000001,-0.6183333333333328,-51.101928374655614,5.232,-16.525612472160343
5056283850318,5056141068138,B09TL355K1,Pop Union Jack Paper Cupcake Cases 60 Pack,"SHATCHI 50pcs Union Jack Paper Cupcake Cases Baking Cups Muffin Cake Great Britain King Charles III Coronation Table Food Decorations, Red, White, Blue, SHATCHI",https://www.poundwholesale.co.uk/pop-union-jack-mason-jar-with-straw-500ml,https://www.amazon.co.uk/dp/B09TL355K1,,Available (see Keepa data),Available (see Keepa data),11,1.572,1.31,4.49,0.73,2.42,0.55,0.7483333333333331,1.0020000000000002,-0.7183333333333328,-1.0020000000000002,-1.2683333333333329,-68.18996415770606,6.012,-33.89755011135856
5056170350143,5056141068121,B09TFTMXPJ,Pop Union Jack Self-Inflating Balloon 2 Pack,"SHATCHI 18"" Large Union Jack Foil Balloon Helium Fill Great Britain King Charles III Coronation BBQ Street Party Sports Royal Events Decorations",https://www.poundwholesale.co.uk/pop-union-jack-bunting-6m,https://www.amazon.co.uk/dp/B09TFTMXPJ,,,Available (see Keepa data),3,0.8160000000000001,0.68,2.27,0.21,1.46,0.55,0.3783333333333332,0.58,-0.45833333333333315,-0.58,-1.0083333333333333,-81.97831978319783,3.4800000000000004,-53.303964757709245
5052516114271,5060253800289,B004UB2Q2K,Smart Choice Christmas Figure Of 8 Rope Tug Dog Toy 25cm,Petface (Seriously Strong by Petface) Figure of 8 Rope Dog Toy,https://www.poundwholesale.co.uk/smart-choice-christmas-plush-rope-gonk-gang-dog-toy-44cm-assorted-colours,https://www.amazon.co.uk/dp/B004UB2Q2K,,,,1,3.54,2.95,2.5,0.38,2.7,0.55,0.4166666666666665,1.3159999999999998,-3.9466666666666668,-1.3159999999999998,-4.496666666666667,-128.47619047619048,7.896,-215.83999999999997
5052516113250,5060253800289,B004UB2Q2K,Smart Choice Christmas Figure Of 8 Rope Tug Dog Toy 25cm,Petface (Seriously Strong by Petface) Figure of 8 Rope Dog Toy,https://www.poundwholesale.co.uk/smart-choice-festive-pet-hat-scarf-set,https://www.amazon.co.uk/dp/B004UB2Q2K,,,,1,0.9720000000000001,0.81,2.5,0.38,2.7,0.55,0.4166666666666665,0.888,-1.8066666666666666,-0.888,-2.3566666666666665,-173.28431372549016,5.328,-113.11999999999998
5056170350099,5056170350099,B09XLNNGPX,Pop Union Jack Mason Jar With Straw 500ml,Cupcake Cases |Union Jack Design | Platinum Jubilee| Jubilee | Cupcakes | Muffins | Baking,https://www.poundwholesale.co.uk/pop-union-jack-paper-cupcake-cases-60-pack,https://www.amazon.co.uk/dp/B09XLNNGPX,,,Available (see Keepa data),1,0.756,0.63,1.99,0.24875,2.41,0.55,0.33166666666666655,0.76775,-1.6304166666666666,-0.76775,-2.180416666666667,-184.7810734463277,4.6065,-131.4824120603015
