SupplierTitle,AmazonTitle,match_type,EAN,EAN_OnPage,ASIN,bought_in_past_month,NetProfit,ROI,SellingPrice_incVAT,SupplierPrice_exVAT,bucket,inclusion_reason,confidence,verification_status,title_similarity,asin_product_count,supplier_category,SupplierURL,AmazonURL,ProfitMargin,Breakeven,fba_seller_count,fbm_seller_count,total_offer_count,validation_required,priority,price_ratio
ADDIS LONG HANDLE DUSTPAN & BRUSH,"Powerful 2200W Premium Garment Steamer with 3L Water Tank, Dual Steam Settings for Rapid Wrinkle Release, Suitable for All Fabrics Including Delicates, Updated Design, Fridja f1200 Clothes Steamer Pro",T1,5010303031057,5065018907005.0,B0D3M53JGG,100.0,73.89500000000001,734.5427435387675,132.99,9.51,A,Proven demand with positive profit,HIGH,VERIFIED,0.0,2,unknown,https://www.efghousewares.co.uk/addis-long-handle-dustpan-brush,https://www.amazon.co.uk/dp/B0D3M53JGG,66.67719377396797,44.316,,,8.0,NO,HIGH,13.98422712933754
LONDON FRAGRANCES FOR HER ENGLISH PEAR & FREESIA 100ML EACH,Jo Malone English Pear & Freesia For Women 3.4 oz Cologne Spray,T2,5055170252068,,B0849B9DXR,300.0,73.34566666666669,1361.7836365886872,119.75,4.836,A,Proven demand with positive profit,MEDIUM,LIKELY_VALID,0.3,1,unknown,https://www.efghousewares.co.uk/london-fragrances-for-her-english-pear-freesia-100ml-each-112718,https://www.amazon.co.uk/dp/B0849B9DXR,73.49878914405012,31.7352,,,11.0,NO,HIGH,24.76220016542597
APOLLO WOOD NAIL BRUSH PK24,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",T1,5026180062084,717710483480.0,B0FGHZB8FM,50.0,73.13000000000001,631.5198618307427,129.0,11.03,A,Proven demand with positive profit,HIGH,VERIFIED,0.0,9,unknown,https://www.efghousewares.co.uk/apollo-wood-nail-brush-pk24-4-2-23,https://www.amazon.co.uk/dp/B0FGHZB8FM,68.02790697674419,41.24399999999999,,,1.0,NO,HIGH,11.695376246600182
ONYA DINNER SET 16 PIECES 4 MUGS 4 BOWLS 4 DINNER PLATES 4 SIDE PLATES SEIZE THE DAY POPPY,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",T1,5055490625818,717710483480.0,B0FGHZB8FM,50.0,69.88000000000001,471.2070128118679,129.0,14.28,A,Proven demand with positive profit,HIGH,VERIFIED,0.0,9,unknown,https://www.efghousewares.co.uk/onya-dinner-set-16-pieces-4-mugs-4-bowls-4-dinner-plates-4-side-plates-seize-the-day-poppy-118033,https://www.amazon.co.uk/dp/B0FGHZB8FM,65.00465116279071,45.144,,,1.0,NO,HIGH,9.033613445378151
LONDON FRAGRANCES FOR HIM POMEGRANATE NOIR 100ML EACH,Jo Malone Pomegranate Noir Limited Edition Cologne 100ml,T1,5055170251023,9787426969180.0,7426969185,400.0,68.65733333333336,1274.7369723975744,112.9,4.836,A,Proven demand with positive profit,HIGH,VERIFIED,0.375,1,unknown,https://www.efghousewares.co.uk/london-fragrances-for-him-pomegranate-noir-100ml-each-112697,https://www.amazon.co.uk/dp/7426969185,72.97502214348984,30.51120000000001,,,7.0,NO,HIGH,23.345740281224153
SABICHI  SLIMLINE PEDAL BIN 5LT,"Mould King V8 Engine Building Blocks Set, 2250 PCS Combustion Engine Model Kit That Runs, Mini Engine for Adults with Battery, Engineering Construction STEM Toy for Boys Girls",T1,5021961172587,705736912404.0,B0DN6BWS36,50.0,54.64500000000001,627.382319173364,99.99,8.16,A,Proven demand with positive profit,HIGH,VERIFIED,0.0,17,unknown,https://www.efghousewares.co.uk/sabichi-slimline-pedal-bin-5lt,https://www.amazon.co.uk/dp/B0DN6BWS36,65.5805580558056,34.416,,,1.0,NO,HIGH,12.253676470588234
DR BECKMANN COFFEE MACH TABS 6S PK6,"Mould King V8 Engine Building Blocks Set, 2250 PCS Combustion Engine Model Kit That Runs, Mini Engine for Adults with Battery, Engineering Construction STEM Toy for Boys Girls",T1,4008455546322,705736912404.0,B0DN6BWS36,50.0,52.275000000000006,471.79602888086646,99.99,10.53,A,Proven demand with positive profit,HIGH,VERIFIED,0.0,17,unknown,https://www.efghousewares.co.uk/dr-beckmann-coffee-mach-tabs-6s-pk6,https://www.amazon.co.uk/dp/B0DN6BWS36,62.736273627362735,37.26,,,1.0,NO,HIGH,9.495726495726496
KITCHEN KING ALUMINIUM POT GLORIOUS SET 5PC,Stainless Steel Pots and Pans Set – 17pcs Cookware with Glass Lids – Induction Hob Pot Set – Cooking Saucepan Pots & Frying Pan Set – by Nuovva,T1,3840125120262,5060913008857.0,B0FDLDHZTC,100.0,51.69100000000002,73.66118505429363,189.99,69.62400000000001,A,Proven demand with positive profit,HIGH,VERIFIED,0.0555555555555555,1,unknown,https://www.efghousewares.co.uk/kitchen-king-aluminium-pot-glorious-set-5pc-115288,https://www.amazon.co.uk/dp/B0FDLDHZTC,32.648665719248385,127.9608,,,1.0,NO,HIGH,2.728800413650465
RUSSELL HOBBS COLOGNE CUTLERY SET 16 PIECE,"Mould King V8 Engine Building Blocks Set, 2250 PCS Combustion Engine Model Kit That Runs, Mini Engine for Adults with Battery, Engineering Construction STEM Toy for Boys Girls",T1,5054061446623,705736912404.0,B0DN6BWS36,50.0,44.00500000000001,227.41602067183467,99.99,18.8,A,Proven demand with positive profit,HIGH,VERIFIED,0.0,17,unknown,https://www.efghousewares.co.uk/russell-hobbs-cologne-cutlery-set-16-piece-112012,https://www.amazon.co.uk/dp/B0DN6BWS36,52.81128112811282,47.18399999999999,,,1.0,NO,HIGH,5.318617021276595
REVITALISE ELIXIR EDT 85ML POUR FEMME EACH,"Versace Eros Pour Femme Eau De Parfum For Women, 100 ml",T1,5055170283062,8011003823536.0,B00QAIV7V2,500.0,38.72266666666666,2044.4913762759584,63.98,1.344,A,Proven demand with positive profit,HIGH,VERIFIED,0.2,2,unknown,https://www.efghousewares.co.uk/revitalise-elixir-edt-85ml-pour-femme-each-110068,https://www.amazon.co.uk/dp/B00QAIV7V2,72.62769615504845,17.5128,,,28.0,NO,HIGH,47.604166666666664
