SupplierTitle,AmazonTitle,match_type,EAN,EAN_OnPage,ASIN,bought_in_past_month,NetProfit,ROI,SellingPrice_incVAT,SupplierPrice_exVAT,bucket,inclusion_reason,confidence,verification_status,title_similarity,asin_product_count,supplier_category,SupplierURL,AmazonURL,ProfitMargin,Breakeven,fba_seller_count,fbm_seller_count,total_offer_count,validation_required,priority
EUROWRAP GIANT BIRTHDAY BADGE GIRL 14,"Motorola razr 60 ultra, Pantone Scarab, Moto AI Flip Smartphone, Dual Display, 50MP Triple Camera with Co2 Offset",T3,5033601694236,,B0F68KJD43,,472.20041666666674,40359.00997150999,671.69,0.62,B,"Strong absolute profit (>5 GBP); High ROI (40359%); Higher price point, possible demand; Match needs validation",MEDIUM,VALIDATION_REQUIRED,0.0,4,unknown,https://www.efghousewares.co.uk/eurowrap-giant-birthday-badge-girl-14,https://www.amazon.co.uk/dp/B0F68KJD43,84.36041924101892,105.04950000000002,,,,YES,MEDIUM
EUROWRAP GIANT BIRTHDAY BADGE GIRL 13,"Motorola razr 60 ultra, Pantone Scarab, Moto AI Flip Smartphone, Dual Display, 50MP Triple Camera with Co2 Offset",T3,5033601694250,,B0F68KJD43,,472.20041666666674,40359.00997150999,671.69,0.62,B,"Strong absolute profit (>5 GBP); High ROI (40359%); Higher price point, possible demand; Match needs validation",MEDIUM,VALIDATION_REQUIRED,0.0,4,unknown,https://www.efghousewares.co.uk/eurowrap-giant-birthday-badge-girl-13,https://www.amazon.co.uk/dp/B0F68KJD43,84.36041924101892,105.04950000000002,,,,YES,MEDIUM
ESSENTIAL PLASTIC 6 ICE CREAM BOWL,"Motorola razr 60 ultra, Pantone Scarab, Moto AI Flip Smartphone, Dual Display, 50MP Triple Camera with Co2 Offset",T1,5033298003199,5056489799244.0,B0F68KJD43,,512.9400000000002,27577.41935483872,713.52,1.31,B,"Strong absolute profit (>5 GBP); High ROI (27577%); Higher price point, possible demand; EAN-confirmed match",HIGH,VERIFIED,0.0,4,unknown,https://www.efghousewares.co.uk/essential-plastic-6-ice-cream-bowl,https://www.amazon.co.uk/dp/B0F68KJD43,86.26639757820385,97.992,,,3.0,NO,HIGH
ESSENTIAL PLASTIC SALAD BOWL CLEAR REUSABLE 176 OZ,"Motorola razr 60 ultra, Pantone Scarab, Moto AI Flip Smartphone, Dual Display, 50MP Triple Camera with Co2 Offset",T1,5033298010852,5056489799244.0,B0F68KJD43,,512.8800000000001,26712.500000000007,713.52,1.37,B,"Strong absolute profit (>5 GBP); High ROI (26713%); Higher price point, possible demand; EAN-confirmed match",HIGH,VERIFIED,0.0,4,unknown,https://www.efghousewares.co.uk/essential-plastic-salad-bowl-clear-reusable-176-oz-119160,https://www.amazon.co.uk/dp/B0F68KJD43,86.25630676084765,98.064,,,3.0,NO,HIGH
NORTHPOLE SILVER METALLIC BOWS 16PK,Osee GoStream Duet Live Streaming Switcher Multiple Camera SDI and HDMI Live Stream Video Mixer Switcher with SD Record and NDI HX Supported,T2,5033601024484,,B0CZ97V8D9,,219.9908333333333,18032.03551912568,315.7,0.67,B,"Strong absolute profit (>5 GBP); High ROI (18032%); Higher price point, possible demand; Match needs validation",MEDIUM,VALIDATION_REQUIRED,0.0,1,unknown,https://www.efghousewares.co.uk/northpole-silver-metallic-bows-16pk-122626,https://www.amazon.co.uk/dp/B0CZ97V8D9,83.62020905923345,51.711,,,,YES,MEDIUM
MARKSMAN NYLON CABLE TIES WHITE,"K'NEX | 6 Foot Ferris Wheel | Kids Building Set for Creative Play, Hours of Fun Making Giant ferris wheel, Suitable for Boys and Girls Ages 9+ | Basic Fun 89790",T2,5038673681566,,B0024H7UOQ,,263.15500000000003,15571.30177514793,399.99,1.14,B,"Strong absolute profit (>5 GBP); High ROI (15571%); Higher price point, possible demand; Match needs validation",MEDIUM,VALIDATION_REQUIRED,0.0,1,unknown,https://www.efghousewares.co.uk/marksman-nylon-cable-ties-white,https://www.amazon.co.uk/dp/B0024H7UOQ,78.9484737118428,84.204,,,3.0,YES,MEDIUM
KILNER HEXAGONAL TWIST TOP BOTTLE GLASS 250ML,"LEGO Icons The Lord of the Rings: Barad-dûr Model, Movie Memorabilia Building Set for Adults, Gift Idea for Men & Women, Includes Sauron, Gothmog, Orc, Frodo, Sam and Gollum Minifigures 10333",T1,5010853191447,5702017589909.0,B0D5W8J5YV,,258.37500000000006,14934.9710982659,390.99,1.18,B,"Strong absolute profit (>5 GBP); High ROI (14935%); Higher price point, possible demand; EAN-confirmed match",HIGH,VERIFIED,0.0,1,unknown,https://www.efghousewares.co.uk/kilner-hexagonal-twist-top-bottle-glass-250ml,https://www.amazon.co.uk/dp/B0D5W8J5YV,79.29870329164429,80.94,,,3.0,NO,HIGH
151 TAPE DOUBLE SIDED 8m PK3,"HP CE505XD 05X High Yield Original LaserJet Toner Cartridges, Black, Multipack",T2,5053249246741,,B003ICX6TE,,184.44000000000003,10913.609467455624,262.98,1.14,B,"Strong absolute profit (>5 GBP); High ROI (10914%); Higher price point, possible demand; Match needs validation",MEDIUM,VALIDATION_REQUIRED,0.0,1,unknown,https://www.efghousewares.co.uk/151-tape-double-sided-10m-pk3,https://www.amazon.co.uk/dp/B003ICX6TE,84.1615331964408,41.652,,,8.0,YES,MEDIUM
WORK OF ART ACRYLIC PAINT PASTEL GREEN,Huepar 4x360 Laser Level Self-Leveling 16 Lines 4D Green Lazer Level Cross Lines Tiling Floor Laser Tool-2 x 360 Horizontal & 2 x 360 Vertical Lazer Lines with Two Li-ion Batteries and Hard Carry Case,T2,5013922073552,,B0DHVMZ22W,,148.353,10581.526390870184,219.99,0.852,B,"Strong absolute profit (>5 GBP); High ROI (10582%); Higher price point, possible demand; Match needs validation",MEDIUM,VALIDATION_REQUIRED,0.041666666666666664,1,unknown,https://www.efghousewares.co.uk/work-of-art-acrylic-paint-pastel-green-116795,https://www.amazon.co.uk/dp/B0DHVMZ22W,80.92349652256921,41.9664,,,3.0,YES,MEDIUM
BALL TOILET BOWL CLIP CLEANER,VLAND Tail Lights for Mini Cooper R56 R57 R58 R59 2007-2013 Rear Lights Lamp Assembly With Sequential Indicator and Welcome Lights(Smoked),T2,5050565706034,,B0BWJP3R3N,,153.15699999999998,9830.3594351733,219.99,1.008,B,"Strong absolute profit (>5 GBP); High ROI (9830%); Higher price point, possible demand; Match needs validation",MEDIUM,VALIDATION_REQUIRED,0.0,2,unknown,https://www.efghousewares.co.uk/ball-toilet-bowl-clip-cleaner-108316,https://www.amazon.co.uk/dp/B0BWJP3R3N,83.54397927178506,36.2016,,,1.0,YES,MEDIUM
