EAN,EAN_OnPage,ASIN,SupplierTitle,AmazonTitle,SupplierURL,AmazonURL,bought_in_past_month,fba_seller_count,fbm_seller_count,total_offer_count,SupplierPrice_incVAT,SupplierPrice_exVAT,SellingPrice_incVAT,ReferralFee,FBAFee,PrepHouseFee,OutputVAT,InputVAT,NetProceeds,HMRC,NetProfit,ROI,Breakeven,ProfitMargin,Unit_Qty_Flag,NetProfit_num,Sales_num,Bucket,Category_URL
5020133138062.0,653391672419.0,B0734R66B4,MENS BASEBALL CAP STONEWASHED OLIVE (2022),"Tevlaphee Steering Wheel Lock, Steering Lock, Car Anti-Theft Device, Adjustable, Universal Fit, Heavy Duty Secure, 3 Keys, Emergency Hammer Window Breaker(Black)",https://www.efghousewares.co.uk/mens-baseball-cap-stonewashed-olive,https://www.amazon.co.uk/dp/B0734R66B4,100.0,Available (see Keepa data),Available (see Keepa data),4.0,2.616,2.18,39.89,2.79,3.45,0.55,6.648333333333333,1.794,24.82166666666667,-1.794,24.27166666666667,889.0720390720389,10.764000000000005,73.01579343193784,MATCH,24.27166666666667,100.0,A,https://www.efghousewares.co.uk/mens-baseball-cap-stonewashed-olive
5033849928230.0,,B073F7VRBT,MAGNETIC DRAWING BOARD,"SGILE Large Magnetic Drawing Board - Erasable Scribble Board Colorful Magna Doodles Writing Pad Learning toys for Kids Children Toddlers, 41.5×32.5 cm, Blue",https://www.efghousewares.co.uk/magnetic-drawing-board-116834,https://www.amazon.co.uk/dp/B073F7VRBT,900.0,,,,1.332,1.11,25.99,3.24875,2.41,0.55,4.331666666666667,1.46375,14.88958333333333,-1.46375,14.33958333333333,863.8303212851403,8.782499999999999,66.20815698345517,MATCH,14.33958333333333,900.0,A,https://www.efghousewares.co.uk/magnetic-drawing-board-116834
5015934769133.0,,B09S64687W,JUNIOR ART EASEL,"Dripex Kids Easel, Children's Wooden Art Easel Foldable, Double-Sided Magnetic Blackboard & Whiteboard for Kids and Toddlers, Chalkboard with Painting Art Supplies",https://www.efghousewares.co.uk/junior-art-easel-112937,https://www.amazon.co.uk/dp/B09S64687W,100.0,,Available (see Keepa data),1.0,3.54,2.95,44.99,5.62375,2.41,0.55,7.498333333333335,2.30675,26.507916666666667,-2.30675,25.957916666666662,741.6547619047619,13.8405,69.23649699933318,MATCH,25.957916666666662,100.0,A,https://www.efghousewares.co.uk/junior-art-easel-112937
5050837674641.0,,B0FG8J89T4,STRETCHERZ MINIS STRETCH SQUAD,"Stretcherz Mini Stretch Squad 20 Pack Fidget Toys Set | Stress Relief, Anxiety Relief & Calming Squishy Fidget Toy | Sensory Toy Playset | Party Bag Fillers For Birthday, Parties, Schools | 3+",https://www.efghousewares.co.uk/stretcherz-minis-stretch-squad-111169,https://www.amazon.co.uk/dp/B0FG8J89T4,50.0,,,,1.14,0.95,19.95,2.49375,2.41,0.55,3.3249999999999997,1.28075,10.77125,-1.28075,10.22125,681.4166666666666,7.684499999999999,61.48120300751879,MATCH,10.22125,50.0,A,https://www.efghousewares.co.uk/stretcherz-minis-stretch-squad-111169
5055170252020.0,3386460097338.0,B07FYLS2DC,LONDON FRAGRANCES FOR HER RED ROSES100ML EACH,Jimmy Choo Fever Eau de Parfum,https://www.efghousewares.co.uk/london-fragrances-for-her-red-roses100ml-each-112714,https://www.amazon.co.uk/dp/B07FYLS2DC,200.0,,,1.0,4.836,4.03,54.6,8.19,3.19,0.55,9.1,3.192,30.090000000000003,-3.192,29.540000000000003,644.9781659388647,19.152,64.92307692307693,MATCH,29.540000000000003,200.0,A,https://www.efghousewares.co.uk/london-fragrances-for-her-red-roses100ml-each-112714
898806408003.0,,B0FG2YBGLC,SOCK MEN HEATED SOX THERMAL SOCKS,"Electric Heated Socks,Rechargeable 6000mAh Battery Heating Sox for Men & Women - 3 Heating Levels Washable Thermal Foot Warmers for Outdoor Sports (Black rechargeable socks)",https://www.efghousewares.co.uk/sock-men-heated-sox-thermal-socks-2020-,https://www.amazon.co.uk/dp/B0FG2YBGLC,50.0,Available (see Keepa data),,1.0,1.272,1.06,19.99,2.0,3.14,0.55,3.331666666666667,1.35,10.45833333333333,-1.35,9.90833333333333,615.4244306418217,8.1,59.47973986993495,MATCH,9.90833333333333,50.0,A,https://www.efghousewares.co.uk/sock-men-heated-sox-thermal-socks-2020-
9781788246095.0,5056503873776.0,B0CFYSF8F2,COLOURING SET SONIC PRIME,"Sonic The Hedgehog Arts & Crafts Set for Kids, 34 Pcs Colouring & Art Supplies, Crayons Pencils Notepad & Accessories, Stationary Supplies for Kids",https://www.efghousewares.co.uk/colouring-set-sonic-prime-124252,https://www.amazon.co.uk/dp/B0CFYSF8F2,700.0,Available (see Keepa data),Available (see Keepa data),5.0,1.272,1.06,21.39,3.21,3.13,0.55,3.5649999999999977,1.59,10.425000000000002,-1.59,9.875000000000002,613.3540372670808,9.54,55.39971949509116,MATCH,9.875000000000002,700.0,A,https://www.efghousewares.co.uk/colouring-set-sonic-prime-124252
4210201193616.0,8006540774823.0,B0C143F196,ORAL B TOOTHBRUSH KIDS STAR WARS EACH,"Oral-B Pro Junior Kids Electric Toothbrush, 1 Star Wars Mandalorian Handle, 1 Toothbrush Head, 3 Modes with Kid-Friendly Sensitive Mode, For Ages 6+, 2 Pin UK Plug",https://www.efghousewares.co.uk/oral-b-star-wars-t/brush-each-109340,https://www.amazon.co.uk/dp/B0C143F196,100.0,Available (see Keepa data),,1.0,4.692,3.91,49.99,7.5,3.19,0.55,8.331666666666663,3.03,27.058333333333337,-3.03,26.508333333333336,594.357249626308,18.18,63.63272654530906,MATCH,26.508333333333336,100.0,A,https://www.efghousewares.co.uk/oral-b-star-wars-t/brush-each-109340
5050788081222.0,,B0FG7H8X82,PRINTED FROG 3D 10CM,"6PCS 3D Printed Animals, Joint Articulated 3D Printed Fidget Toys Animal Collectable for Home and Office Decoration Gift (Blue Green Purple)",https://www.efghousewares.co.uk/printed-frog-3d-10cm-124924,https://www.amazon.co.uk/dp/B0FG7H8X82,300.0,,,,1.152,0.96,17.99,2.24875,2.41,0.55,2.998333333333333,1.23375,9.372916666666663,-1.23375,8.822916666666664,584.2991169977923,7.4025,58.852140077821005,MATCH,8.822916666666664,300.0,A,https://www.efghousewares.co.uk/printed-frog-3d-10cm-124924
742288767939.0,6971697854495.0,B07GDLD7WF,BAMBOO STRAW MATS 3PCS 7INCH,"LOVECASA, Bamboo Placemat 6 Pcs, Washable Placemats, Non-Slip, Heat Resistant Table Mat",https://www.efghousewares.co.uk/bamboo-straw-mats-3pcs-7inch-112445,https://www.amazon.co.uk/dp/B07GDLD7WF,50.0,Available (see Keepa data),,2.0,1.572,1.31,22.97,3.45,3.1,0.55,3.828333333333333,1.6820000000000002,11.281666666666666,-1.6820000000000002,10.731666666666666,576.9713261648744,10.092,56.06443186765346,MATCH,10.731666666666666,50.0,A,https://www.efghousewares.co.uk/bamboo-straw-mats-3pcs-7inch-112445
8412765795275.0,,B074CN4PNX,CLIPPER GAS LIGHTER MINI TUBE,Genuine CLIPPER Universal Lighter Fuel Fluid Refill 300ML Pack of 12,https://www.efghousewares.co.uk/clipper-gas-lighter-mini-tube,https://www.amazon.co.uk/dp/B074CN4PNX,50.0,,,,0.852,0.71,15.35,1.91875,2.41,0.55,2.5583333333333336,1.11775,7.752916666666667,-1.11775,7.202916666666667,571.660052910053,6.7065,56.30944625407166,MISMATCH_CHECK,7.202916666666667,50.0,A,https://www.efghousewares.co.uk/clipper-gas-lighter-mini-tube
5055170283024.0,,B09QMD52WR,LAGHMANIS OUD 100ML FOR HER PURPLE EACH,"Badee Al Oud Amethyst Unisex For men and Women Eau De parfum 100ml - Fresh Fruity, Floral And Woody Frangrance - Sleek Bottle With Spray Nozzle",https://www.efghousewares.co.uk/laghmanis-oud-100ml-for-her-purple-each-110072,https://www.amazon.co.uk/dp/B09QMD52WR,100.0,Available (see Keepa data),Available (see Keepa data),9.0,1.344,1.12,20.59,3.09,3.23,0.55,3.431666666666665,1.598,9.718333333333334,-1.598,9.168333333333331,549.001996007984,9.588,53.43370568237008,MATCH,9.168333333333331,100.0,A,https://www.efghousewares.co.uk/laghmanis-oud-100ml-for-her-purple-each-110072
5050565486004.0,,B00OYYOOEQ,FUN SNAPS IN HANGING BOX 200 4X50PACK,Henbrandt 50 boxes of fun snaps in a display,https://www.efghousewares.co.uk/fun-snaps-in-hanging-box-200-4x50pack-117327,https://www.amazon.co.uk/dp/B00OYYOOEQ,50.0,,,,0.924,0.77,15.49,1.93625,2.41,0.55,2.581666666666667,1.13325,7.792083333333334,-1.13325,7.242083333333334,548.6426767676768,6.799499999999999,56.10393802453196,MATCH,7.242083333333334,50.0,A,https://www.efghousewares.co.uk/fun-snaps-in-hanging-box-200-4x50pack-117327
5013922073569.0,,B0CPPXBHTW,WORK OF ART ACRYLIC PAINT PASTEL PEACH,"5X Full Page Magnifying Glass for Reading, Lightweight Rectangular Magnifier Provides Large Book Page Viewing Area, Upgraded Handheld Magnifier for Reading Small Prints for Seniors Low Vision",https://www.efghousewares.co.uk/work-of-art-acrylic-paint-pastel-peach-116796,https://www.amazon.co.uk/dp/B0CPPXBHTW,400.0,Available (see Keepa data),,1.0,0.852,0.71,14.99,2.25,2.1,0.55,2.498333333333333,1.122,7.4316666666666675,-1.122,6.881666666666668,546.1640211640212,6.732,55.09006004002669,MATCH,6.881666666666668,400.0,A,https://www.efghousewares.co.uk/work-of-art-acrylic-paint-pastel-peach-116796
5012866012962.0,,B0FL7SG5TG,AIR STORM SLING SHOT WITH 4 BALLS ASSORTED,#winning Air Shot Hovering Ball Foam Dart One Player Skill Shooting Blaster Game,https://www.efghousewares.co.uk/air-storm-sling-shot-with-4-balls-assorted-120252,https://www.amazon.co.uk/dp/B0FL7SG5TG,500.0,,,,1.548,1.29,20.0,2.5,2.41,0.55,3.333333333333332,1.35,10.466666666666669,-1.35,9.916666666666668,538.9492753623189,8.1,59.5,MATCH,9.916666666666668,500.0,A,https://www.efghousewares.co.uk/air-storm-sling-shot-with-4-balls-assorted-120252
5015934789308.0,,B0CYT6D2ZS,NEON FLLUFFY SLIME,"LAWOHO 6 Packs Gradient Pink Slime Kit - Cloud, Clear & Butter Slime Making Kit for Kids, Soft & Non Sticky Fluffy Slimes Kits for Girls & Boys with Cute Charms & Add-ins, 360ml Slimes Party Favors",https://www.efghousewares.co.uk/neon-flluffy-slime-120329,https://www.amazon.co.uk/dp/B0CYT6D2ZS,900.0,,,,0.804,0.67,13.99,1.74875,2.41,0.55,2.331666666666667,1.0757500000000002,6.829583333333334,-1.0757500000000002,6.279583333333334,514.7199453551912,6.4545,53.86347390993568,MATCH,6.279583333333334,900.0,A,https://www.efghousewares.co.uk/neon-flluffy-slime-120329
