SupplierTitle,AmazonTitle,ASIN,EAN_fixed,match_method,Tier,confidence_level,bought_in_past_month,amazon_sales_badge,NetProfit,ROI,SupplierPrice_exVAT,SellingPrice_incVAT,Bucket,Unit_Qty_Flag,Unit_Qty_Note,SupplierURL,AmazonURL,fba_seller_count,total_offer_count
DART BOARD 10INCH,"Ruthless Home Darts Centre With or Without LED Light Options | Home Dart Board Centre Including Cabinet, Dartboard and 2 Sets of Darts (USB)",B0CJCGJMP4,5063440000000,title,T2_TITLE_MATCH,medium,5000,,24.225,1459.337349,1.11,46.95,A,MATCH,,https://www.efghousewares.co.uk/dart-board-10inch-124961,https://www.amazon.co.uk/dp/B0CJCGJMP4,Available (see Keepa data),13
NORTHERN LIGHTS LAMP,"Christmas Lights Sensory Lights Gifts for Girls Women, 18 Colors Bedside Lamps Northern Lights Projector, Remote Timer Galaxy Light, Soothing-for-Sleep Mood Lighting, Galaxy Projector, Aurora Decor",B0D14XDDHC,5010790000000,title,T2_TITLE_MATCH,medium,8000,,7.581666667,80.2292769,8.9,29.99,A,MATCH,,https://www.efghousewares.co.uk/northern-lights-lamp-114696,https://www.amazon.co.uk/dp/B0D14XDDHC,Available (see Keepa data),1
FESTIVE MAGIC LED LIGHTS 100 MULTI,"Hand Operated Flying Toy Drone for Kids, 360° Hands Free Motion Sensors Mini Drone with Cool LED Lights, Easy Indoor Small UFO Toy Flying Ball Drone for 6 7 8 9 10+ Year Old Boys and Girls",B0D83GCC8H,4894160000000,EAN,T1_EAN_EXACT,high,5000,,7.588333333,151.1620186,4.47,22.99,A,MATCH,,https://www.efghousewares.co.uk/festive-magic-100-led-lights-multi-colour-105338,https://www.amazon.co.uk/dp/B0D83GCC8H,Available (see Keepa data),1
FINISH TABS ULIMATE PLUS DISHWASHER 45'S EACH,"Finish Dishwasher Tablet, Ultimate Plus Infinity Shine, 105 Detergent Tablets, Lemon Sparkle, Tough on Grease, For our Most Intensive Clean & Diamond Shine, Effective for Short Eco Cycle",B0CB4L3BLX,5999110000000,title,T2_TITLE_MATCH,medium,10000,,2.956666667,45.69809377,5.92,18.14,A,MATCH,,https://www.efghousewares.co.uk/finish-tabs-ulimate-plus-dishwasher-45-s-each-120413,https://www.amazon.co.uk/dp/B0CB4L3BLX,Available (see Keepa data),29
GEM AND CRYSTAL DIG KIT 3 IN 1,"Mega Gemstones Dig Kit - Dig Up 15 Real Gems and Crystals, Geology Educational Excavation Kit for Boys and Girls Ages 6+, Science Digging Set with Crystals, Rocks, and Stones",B0C9LM6QSD,5015930000000,title,T2_TITLE_MATCH,medium,4000,,6.721666667,275.4781421,1.89,17.99,A,MATCH,,https://www.efghousewares.co.uk/gem-and-crystal-dig-kit-3-in-1-124125,https://www.amazon.co.uk/dp/B0C9LM6QSD,Available (see Keepa data),2
RYSONS KITCHEN KNIFE SHARPENER,"Diamond Edge No.1 Knife Sharpener – Safe & Compact Manual Knife Sharpener for Any Knife - Knives Sharpener Suitable for Serrated & Outdoor Blades – Professional Quality, Black",B09LZ7CBDS,5056240000000,title,T2_TITLE_MATCH,medium,9000,,2.617,167.9717587,1.008,9.99,A,MATCH,,https://www.efghousewares.co.uk/rysons-kitchen-knife-sharpener,https://www.amazon.co.uk/dp/B09LZ7CBDS,Available (see Keepa data),1
PRO TEA SPOON 6PC STAINLESS STEEL,"nuoshen Guitar Coffee Teaspoons, 6pcs Stainless Steel Musical Coffee Gifts for Man Cute Tea Spoons Set Ice Cream/Dessert/Stirring/Sugar Spoon",B0825WPLF4,5055490000000,title,T2_TITLE_MATCH,medium,4000,,4.871666667,399.3169399,0.67,11.99,A,MATCH,,https://www.efghousewares.co.uk/pro-tea-spoon-6pc-s-s-1-9,https://www.amazon.co.uk/dp/B0825WPLF4,Available (see Keepa data),1
BLACKSPUR SIGNAL BLOCKING POUCH,"lanpard Faraday Pouch for car Keys,2 Pack Faraday Bag | Car Key Signal Blocking Pouch | Keyless Entry Car Keys Case | RFID Blocker Bag for Car Security | Anti-Theft Remote Entry Keyless Protect(M)",B07PP1X4MJ,5017400000000,title,T2_TITLE_MATCH,medium,10000,,1.875,84.45945946,1.67,7.59,A,MATCH,,https://www.efghousewares.co.uk/blackspur-signal-blocking-pouch-109420,https://www.amazon.co.uk/dp/B07PP1X4MJ,Available (see Keepa data),1
PRO COOK ULTIMATE CARBON STEEL WOK 28CM,"Jobin 13Inch/33cm Wok Non Stick with Lid Carbon Steel Wok and Large Capacity for Cook Asian Dishes for 4-6 People, Ideal for Induction, Gas, All Hobs",B0DP8CZ9ZC,5055490000000,title,T2_TITLE_MATCH,medium,1000,900,18.635,399.8927039,4.11,36.99,A,MATCH,,https://www.efghousewares.co.uk/pro-cook-ultimate-carbon-steel-wok-28cm-1-9,https://www.amazon.co.uk/dp/B0DP8CZ9ZC,Available (see Keepa data),7
KIDS CREATE PAINT WITH WATER,Coodoo Water Marbling Paint for Kids - Arts and Crafts for Girls & Boys Crafts Kits Ideal Gifts for Kids Age 6+ 8-12,B091TVHTD3,5012130000000,report_reconstruction,T2_TITLE_MATCH,high,5000,,3.529666667,251.7593913,0.852,11.27,A,MATCH,,https://www.efghousewares.co.uk/kids-create-paint-with-water-119255,https://www.amazon.co.uk/dp/B091TVHTD3,Available (see Keepa data),4
