SupplierTitle,AmazonTitle,ASIN,EAN_fixed,match_method,Tier,confidence_level,bought_in_past_month,amazon_sales_badge,NetProfit,ROI,SupplierPrice_exVAT,SellingPrice_incVAT,Bucket,Unit_Qty_Flag,Unit_Qty_Note,SupplierURL,AmazonURL,fba_seller_count,total_offer_count
DUNLOP LED LIGHT SE SC 2PC,"Betopper 4x100W LED Satge Lights, Upgraded Amber+Cool White COB Blinder Light, High CRI/RA(>95) DMX512 Spotlight, 4 Eye Matrix Disco Lights for Wedding Party Photostudio Theater, 1S",B0DYJKPDK5,871125000000,EAN,T1_EAN_EXACT,high,,,134.2883333,5307.839262,1.98,199.99,B,MATCH,,https://www.efghousewares.co.uk/dunlop-led-light-se-sc-2pc-116130,https://www.amazon.co.uk/dp/B0DYJKPDK5,Available (see Keepa data),2
BRIGHT & HOMELY STAINLESS STEEL SCOURER 6 PIECES,OLEVS Men Automatic Watch Skeleton 5 Hands Mechanical Classic Luxury Multi Calendar Stainless Steel Waterproof Wrist Watch for Men,B0B5D4LCY8,5050800000000,EAN,T1_EAN_EXACT,high,,,90.11,8191.818182,0.55,138,B,MATCH,,https://www.efghousewares.co.uk/bright-homely-stainless-steel-scourer-6-pieces-121531,https://www.amazon.co.uk/dp/B0B5D4LCY8,Available (see Keepa data),1
CHURCHILL ALGRAVE BLUE SPENCER SIDE PLATE 20CM,Churchill Blue Willow Dinner Plates Salad Plates and Coupe Bowls 12 Piece Dinnerware Set 12 Piece Set,B07B2ZR55S,5011110000000,title,T2_TITLE_MATCH,medium,,,78.95291667,2175.011478,3.08,119.99,B,MISMATCH_CHECK,"Amazon pack of 12, supplier single unit",https://www.efghousewares.co.uk/algrave-blue-spencer-side-plate-20cm-114852,https://www.amazon.co.uk/dp/B07B2ZR55S,,
CHURCHILL WILLOW  PLATE 26CM,Churchill Blue Willow Dinner Plates Salad Plates and Coupe Bowls 12 Piece Dinnerware Set 12 Piece Set,B07B2ZR55S,5011110000000,title,T2_TITLE_MATCH,medium,,,70.63166667,1345.365079,4.7,119.99,B,MISMATCH_CHECK,"Amazon pack of 12, supplier single unit",https://www.efghousewares.co.uk/willow-plate-plate-26cm,https://www.amazon.co.uk/dp/B07B2ZR55S,Available (see Keepa data),2
PRIMA KNIFE SET 13PCE,"Sabatier 13pce Kitchen Knife Block Set - 5 Premium Knives, 6 Steak Knives, Scissors & Sharpening Steel, Beech Wood Block, Full Tang Chrome Molybdenum Vanadium Stainless Steel Blades, 25 Year Guarantee",B0DJC3S39V,5038670000000,title,T2_TITLE_MATCH,medium,,,70.24166667,1020.954457,6.33,119.99,B,MATCH,,https://www.efghousewares.co.uk/prima-knife-set-13pce,https://www.amazon.co.uk/dp/B0DJC3S39V,Available (see Keepa data),1
GARDEN PLANTER 3D FLOWERS OVAL 240X19,"2Pcs Raised Garden Bed 8x4x1 FT Galvanized Boxes Outdoor Planter Box Plant for Vegetables Flowers Herb (Oval, 8x4x1 FT/240x120x29 CM)",B0DT6Z45TT,8720570000000,title,T2_TITLE_MATCH,medium,,,64.63625,1709.953704,3.23,99.99,B,MATCH,,https://www.efghousewares.co.uk/garden-planter-3d-flowers-oval-240x19,https://www.amazon.co.uk/dp/B0DT6Z45TT,,
VINTAGE WALL CLOCK METAL RED 21.5CM,"DORBOKER Real Moving Gears Wall Clock Large Modern Metal Clocks for Living Room Decor,Industrial Steampunk Unique Vintage Decorative Clock for Home Farmhouse Office, 46cm/18 inch Red Copper Arabic",B0FPFPR35Y,5018710000000,title,T2_TITLE_MATCH,medium,,,64.40833333,1108.577166,5.26,109.99,B,MATCH,,https://www.efghousewares.co.uk/vintage-wall-clock-metal-red-21-5cm-118279,https://www.amazon.co.uk/dp/B0FPFPR35Y,Available (see Keepa data),1
LONDON FRAGRANCES FOR HIM BLACKBERRY & BAY 100ML EACH,Blackberry & Bay cologne 30ml,B007WCNA6K,5055170000000,report_reconstruction,T2_TITLE_MATCH,high,,,62.089,1152.784998,4.836,103.41,B,MATCH,,https://www.efghousewares.co.uk/london-fragrances-for-him-blackberry-bay-100ml-each-112695,https://www.amazon.co.uk/dp/B007WCNA6K,,5
TAYLORS EYE SYRACUSE SANTOKU KNIFE 18CM,"Taylor's Eye Witness Premier 9 Piece Kitchen Knife Wooden Block Set- Paring, All Purpose, Cook's, Santoku, Bread & 4 Steak Knives in Acacia Wood Holder. Full-Tang Triple Rivet. 15 Year Guarantee",B00CLS5F4A,5014770000000,title,T2_TITLE_MATCH,medium,,,56.13125,737.5985545,7.06,93.39,B,MISMATCH_CHECK,"Amazon pack of 9, supplier single unit",https://www.efghousewares.co.uk/taylors-eye-syracuse-santoku-knife-18cm,https://www.amazon.co.uk/dp/B00CLS5F4A,,
PRIMA 7PC KNIFE & CHOPPING BOARD SET,"Joseph Joseph Folio Icon, 8-Piece Colour coded Knife and Chopping Board Set, Slimline case for organised Kitchen Storage - Large, Multicolour",B0C9N3TB1K,5038670000000,title,T2_TITLE_MATCH,medium,,,55.83,1958.947368,2.3,93,B,MATCH,,https://www.efghousewares.co.uk/prima-7pc-knife-chopping-board-set-13080c,https://www.amazon.co.uk/dp/B0C9N3TB1K,,1
MIRROR WOOD 24x12,"Tanmicoshomy Dark Brown Wood Framed Arched Bathroom Mirror 24x36 Inch, Wooden Wall Mirror for Living Room, Bedroom or Entryway",B0FQ4PCQXN,,title,T2_TITLE_MATCH,medium,,,50.58166667,637.8520387,7.38,117.29,B,MATCH,,https://www.efghousewares.co.uk/mirror-wood-white-24x12-inch,https://www.amazon.co.uk/dp/B0FQ4PCQXN,,1
VFM  TRADE CONT MATT PAINT MAGNOLIA 10L,Dulux Trade Magnolia Matt Emulsion Paint 10L,B01N94QKZJ,5023610000000,title,T2_TITLE_MATCH,medium,,,49.46416667,510.9934573,9.13,86.9,B,MATCH,,https://www.efghousewares.co.uk/vfm-trade-cont-matt-paint-magnolia-10l,https://www.amazon.co.uk/dp/B01N94QKZJ,,2
MIRROR WOOD 36x12,"Tanmicoshomy Dark Brown Wood Framed Arched Bathroom Mirror 24x36 Inch, Wooden Wall Mirror for Living Room, Bedroom or Entryway",B0FQ4PCQXN,,title,T2_TITLE_MATCH,medium,,,48.50166667,484.5321345,9.46,117.29,B,MATCH,,https://www.efghousewares.co.uk/mirror-wood-white-36x12-inch,https://www.amazon.co.uk/dp/B0FQ4PCQXN,,1
HAMMERED FRYING PAN 11CM,"Titanium Hammered Pan Pro with Lid, 2025 New Upgrade Non Stick Titanium Pans for Cooking, Ultra-Durable, Scratch-Resistant, Even Heating Frying pans, Compatible With All Cooktops (11 inch)",B0FNL667LB,8720570000000,title,T2_TITLE_MATCH,medium,,,45.35166667,2816.873706,1.06,79.61,B,MATCH,,https://www.efghousewares.co.uk/hammered-frying-pan-11cm-110990,https://www.amazon.co.uk/dp/B0FNL667LB,,1
STEEL GRATIN DISH 6.5INCH,"Hestan OvenBond Provisions - Oval au Gratin Dishes Stainless Steel, Set of 2, (13 Ounce), Small (6.5"" x 5.5"")",B0F3KCNV9Y,742289000000,title,T2_TITLE_MATCH,medium,,,42.32,1646.692607,2.02,72.72,B,MISMATCH_CHECK,"Amazon pack of 2, supplier single unit",https://www.efghousewares.co.uk/steel-gratin-dish-6-5inch-d000-112557,https://www.amazon.co.uk/dp/B0F3KCNV9Y,,1
HOBBY WHIRLPOOL BIN NO:0 - 2LTR,sparefixd Suitable for Whirlpool Art Series Freezer Drawer Bin Container Upper or Middle fits List Belo,B0F8W4634F,8694060000000,title,T2_TITLE_MATCH,medium,,,41.04791667,2230.865036,1.29,63.95,B,MATCH,,https://www.efghousewares.co.uk/hobby-whirlpool-bin-no-0-2ltr-110575,https://www.amazon.co.uk/dp/B0F8W4634F,,1
