Supplier_Title,Amazon_Title,ASIN,EAN,Match_Type,Tier,Confidence_Score,EAN_Exact_Match,Sales,Net_Profit,ROI,Supplier_Price,Amazon_Price,Bucket,Inclusion_Reason,Confidence,Validation_Required,Priority,Similarity,Unit_Qty_Flag,Unit_Qty_Note,Category,Supplier_URL,Amazon_URL,FBA_Sellers,Dashboard_Flags
STATUS LUGGAGE SCALE 16.06,"STATUS Mechanical Luggage Scale with 1 m Tape Measure, Portable Analog Travel Weighing Scale up to 32 kg Capacity for Suitcases & Bags, (SMLSCALE1PK4)",B010LFSDL6,5022822185012,EAN,T1,60,TRUE,500.0,-0.04,-1.314217443,2.688,7.9,A,"UPGRADED: Price increased since Jan 8, now profitable",HIGH,No,HIGH,0.25,MATCH,,Electrical Accessories,https://www.efghousewares.co.uk/status-luggage-scale-16-06-104607,https://www.amazon.co.uk/dp/B010LFSDL6,,"UNPROFITABLE | PRICE FLIPPED: Current 6.69, Delta +1.28"
AMTECH STUBBY SCREWDRIVER 2PC SET,"Amtech Stubby Screwdriver Set - Hand Tools for Home DIY, Durable CRV Tips, Comfortable Soft Grip, Easy to Use in Confined Spaces, Magnetic, Small and Portable, Flathead and POZI 2 (PZ2)",B07K544FNT,5032759049332,EAN,T1,60,TRUE,200.0,-0.12,-6.318681319,1.524,4.89,A,"UPGRADED: Price increased since Jan 8, now profitable",HIGH,No,HIGH,0.27,MATCH,,Amtech Tools,https://www.efghousewares.co.uk/amtech-stubby-screwdriver-2pc-set-116622,https://www.amazon.co.uk/dp/B07K544FNT,Available (see Keepa data),"UNPROFITABLE | PRICE FLIPPED: Current 4.99, Delta +0.69"
ROLSON COPPER PIPE CUTTER 15MM,Rolson 22406 15 mm Copper Pipe Cutter,B001KOTNM6,5029594224062,EAN,T1,95,TRUE,200.0,-0.3,-8.356676004,3.624,8.09,A,"UPGRADED: Price increased since Jan 8, now profitable",HIGH,No,HIGH,0.75,MATCH,,Rolson Tools,https://www.efghousewares.co.uk/rolson-copper-pipe-cutter-15mm,https://www.amazon.co.uk/dp/B001KOTNM6,Available (see Keepa data),"UNPROFITABLE | PRICE FLIPPED: Current 7.78, Delta +1.23"
AMTECH HAMMER CLAW STEEL 8OZ,"Amtech - Straight Claw Hammer, Framing Hammer for General DIY and Construction Work, Durable Tempered Steel, Lightweight Hand Tool with Comfortable Non-Slip Grip (8oz/ 225g)",B003XKMSAE,5032759011148,EAN,T1,60,TRUE,500.0,-0.36,-12.76223776,2.772,6.99,A,"UPGRADED: Price increased since Jan 8, now profitable",HIGH,No,HIGH,0.26,MATCH,,Amtech Tools,https://www.efghousewares.co.uk/amtech-hammer-claw-steel-8oz,https://www.amazon.co.uk/dp/B003XKMSAE,,"UNPROFITABLE | PRICE FLIPPED: Current 6.99, Delta +0.7"
LYNX GIFT SET SUNSET FRESH 3PC EACH,"Lynx Sunset Fresh Trio Gift Set with a body spray, a body wash and an anti-perspirant perfect for any occasion 3 piece",B0FG32Q5GB,8720181651953,EAN,T1,60,TRUE,2000.0,-0.39,-4.939050021,8.856,14.29,A,"UPGRADED: Price increased since Jan 8, now profitable",HIGH,No,HIGH,0.29,MATCH,,Other,https://www.efghousewares.co.uk/lynx-gift-set-sunset-fresh-3pc-each-124973,https://www.amazon.co.uk/dp/B0FG32Q5GB,Available (see Keepa data),"UNPROFITABLE | PRICE FLIPPED: Current 14.29, Delta +8.0"
AMTECH LED MINI TORCH,Amtech S1532 9 LED mini Torch,B003XKPUSQ,5032759031078,EAN,T1,95,TRUE,200.0,-0.43,-21.63299663,1.716,4.37,A,"UPGRADED: Price increased since Jan 8, now profitable",HIGH,No,HIGH,0.84,MATCH,,Amtech Tools,https://www.efghousewares.co.uk/amtech-led-mini-torch,https://www.amazon.co.uk/dp/B003XKPUSQ,,"UNPROFITABLE | PRICE FLIPPED: Current 5.7, Delta +0.91"
EVERREADY T8 4FT 36W TUBE LIGHT,Eveready T8 Tube 4ft 36w White 3500k,B005XKFN0O,5050028016069,EAN,T1,60,TRUE,50.0,8.0,263.1990132,2.988,18.99,A,Proven Demand: positive profit + confirmed sales,HIGH,No,MEDIUM,0.69,MATCH,,Light Bulbs,https://www.efghousewares.co.uk/everready-t8-4ft-36w-tube-light-110739,https://www.amazon.co.uk/dp/B005XKFN0O,,BRAND_MISMATCH
ELBOW GREASE TOILET CLEANER FOAM LEMON FRESH 500G,"3 x Elbow Grease Foaming Toilet Cleaner, Deep Cleaning Action, Lemon Fresh Fragrance 500g",B0CCJS5GKB,5053249253183,EAN,T1,75,TRUE,200.0,2.09,380.6060606,0,8.38,A,Proven Demand: positive profit + confirmed sales,LOW,Yes,MEDIUM,0.67,MISMATCH_CONFIRMED,,Household Cleaning,https://www.efghousewares.co.uk/elbow-grease-toilet-cleaner-lemon-104099,https://www.amazon.co.uk/dp/B0CCJS5GKB,,BRAND_MISMATCH
EXTRA SELECT FISH FOOD BLEND BUCKET 5L,"Extra Select Complete Fish Food Blend Tub, 5 Litre",B00X5D4SE8,5022245006710,Title,T2,45,FALSE,50.0,1.71,27.91123779,6.708,14.49,A,Proven Demand: positive profit + confirmed sales,MEDIUM,Yes,MEDIUM,0.75,MATCH,,Fish Product,https://www.efghousewares.co.uk/extra-select-fish-food-blend-bucket-5l-115001,https://www.amazon.co.uk/dp/B00X5D4SE8,,AMAZON_EAN_MISSING
151 ADHESIVE SPRAY HEAVY DUTY 500ML,3 Spray Glue Adhesive Contact Glue Heavy Duty Mount DIY Craft Upholstery 500ml,B098P62161,5053249215044,EAN,T1,60,TRUE,200.0,1.42,46.19978284,3.024,10.99,A,Proven Demand: positive profit + confirmed sales,HIGH,No,MEDIUM,0.5,MATCH,,Diy   Tools,https://www.efghousewares.co.uk/151-adhesive-spray-heavy-duty-500ml,https://www.amazon.co.uk/dp/B098P62161,Available (see Keepa data),BRAND_MISMATCH
