supplier_product_title,amazon_target_title,match_type,tier,ean_status,ean,ean_on_page,asin,sales_value,net_profit,roi,selling_price,supplier_price_ex_vat,supplier_price_inc_vat,fba_fee,referral_fee,fba_seller_count,fbm_seller_count,total_offer_count,bucket,inclusion_reason,rationale,confidence,validation_required,priority,match_similarity,match_verification_result,supplier_url,amazon_url
INTERDENTAL BRUSHES 5PK,"TePe Interdental Brush, Original, Red, 0.5mm/ISO 2, 8pcs, efficient Cleaning Between Teeth, Plaque Remover and Dental flosser for Narrow Gaps",Title,T3,Not matched,5056239471031.0,7317400015330.0,B0056F762E,10000.0,0.1000000000000002,7.194244604316561,3.96,0.84,1.008,1.46,0.35,Available (see Keepa data),Available (see Keepa data),15.0,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,low,Yes,MEDIUM,0.27,Low similarity (0.27) but category match - re-check candidate,https://www.efghousewares.co.uk/interdental-brushes-5pk,https://www.amazon.co.uk/dp/B0056F762E
CONTACT ADHESIVE GLUE,Gorilla Contact Adhesive Clear 75g,Title,T2,Not matched,5056239432049.0,5704947005467.0,B07KWHW9SN,5000.0,0.0266666666666669,1.918465227817766,5.6,0.84,1.008,2.52,0.73,,Available (see Keepa data),16.0,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,medium,Yes,MEDIUM,0.65,High title similarity (0.65) - category uncertain,https://www.efghousewares.co.uk/contact-adhesive-glue,https://www.amazon.co.uk/dp/B07KWHW9SN
ASHLEY 65PCE GUTTER CLIPS,Christmas S Mini Gutter Hooks Weatherproof Plastic for Hanging String Lights/Rope Lights Gutter Clips (Black Pack of 50),Title,T3,Not matched,5017403135944.0,5050746028535.0,B09G73B7B6,4000.0,1.5066666666666677,108.3932853717027,6.5,0.84,1.008,1.67,0.85,Available (see Keepa data),,5.0,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,low,Yes,MEDIUM,0.27,Low similarity (0.27) but category match - re-check candidate,https://www.efghousewares.co.uk/ashley-65pce-gutter-clips-109562,https://www.amazon.co.uk/dp/B09G73B7B6
SIL ADHESIVE HOOKS 12PC ASSORTED,AOMEES Adhesive Hooks Heavy Duty Wall Hooks 8kg (Max) Self Adhesive Hook 12pcs,Title,T3,Not matched,5024418549680.0,604270977897.0,B07CTB6PK5,4000.0,1.401666666666667,100.83932853717027,5.99,0.84,1.008,1.72,0.48,Available (see Keepa data),,1.0,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,medium-low,Yes,MEDIUM,0.41,Moderate similarity (0.41) + category match,https://www.efghousewares.co.uk/sil-adhesive-hooks-12pc-assorted-114571,https://www.amazon.co.uk/dp/B07CTB6PK5
FALSE NAILS W/GLUE FRENCH,EONFAVE 24 Pcs French False Nails - Press On Nails - Full Cover Nude White Square Stick On Nails - French Fake Nails for Women and Girls - Nail Art,Title,T3,Not matched,5025572017596.0,,B0C9WBGWBL,3000.0,0.8350000000000002,60.07194244604317,4.89,0.84,1.008,1.46,0.39,Available (see Keepa data),,1.0,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,low,Yes,MEDIUM,0.27,Low similarity (0.27) but category match - re-check candidate,https://www.efghousewares.co.uk/false-nails-w/glue-french-108764,https://www.amazon.co.uk/dp/B0C9WBGWBL
SIL WOODEN NAIL BRUSHES PK2,"Wooden Nail Brush, Double-Sided Nail Scrubbing Brush with Firm Plastic Bristles (Set of 3)",Title,T3,Not matched,5024418539513.0,5060633661417.0,B09315CTCY,3000.0,0.7016666666666669,50.47961630695445,5.99,0.84,1.008,2.42,0.48,Available (see Keepa data),Available (see Keepa data),2.0,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,medium-low,Yes,MEDIUM,0.35,Moderate similarity (0.35) + category match,https://www.efghousewares.co.uk/sil-wooden-nail-brushes-pk2-112655,https://www.amazon.co.uk/dp/B09315CTCY
ASHLEY TOILET ROLL HOLDER,"Ibergrif MK34052 Chrome Toilet Roll Holder Wall Mounted, Self Adhesive Toilet Paper Holder for Bathroom & Kitchen, Waterproof, No Drilling",Title,T3,Not matched,5017403153788.0,8436560669753.0,B0CH85YRTN,3000.0,0.211666666666667,15.22781774580338,5.99,0.84,1.008,2.61,0.78,,Available (see Keepa data),3.0,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,low,Yes,MEDIUM,0.27,Low similarity (0.27) but category match - re-check candidate,https://www.efghousewares.co.uk/ashley-toilet-roll-holder-122010,https://www.amazon.co.uk/dp/B0CH85YRTN
ASHLEY HAIRDRESSING SPRAY BOTTLE 450ML UP,"Lockable Empty Spray Bottle 300ml Plastic Bottles Spray Bottles for Plants,Gardening, Cleaning, Hairdressing Essential Oil Air Freshening Mist Spray Bottle (pack of 1)",Title,T3,Not matched,5017403115649.0,5061094350582.0,B0FPTG72RG,3000.0,0.1550000000000003,11.151079136690672,3.99,0.84,1.008,1.46,0.32,Available (see Keepa data),,1.0,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,low,Yes,MEDIUM,0.32,Low similarity (0.32) but category match - re-check candidate,https://www.efghousewares.co.uk/ashley-hairdressing-spray-bottle-450ml-up,https://www.amazon.co.uk/dp/B0FPTG72RG
PAN AROMA DINNER CANDLES PK4 8 INCH IVORY,"Price's Candles Tapered Dinner Candles Ivory Unscented Wax Pack of 50 | 7 Hour Burn Time Elegant Long Candles for Home Decor, Events, Celebrations & Dining",Title,T3,Not matched,5053249251981.0,5010414327391.0,B00F4L9GA0,2000.0,9.34,559.2814371257484,19.2,1.12,1.344,3.49,1.5,Available (see Keepa data),Available (see Keepa data),20.0,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,low,Yes,HIGH,0.28,Low similarity (0.28) but category match - re-check candidate,https://www.efghousewares.co.uk/pan-aroma-dinner-candles-pk4-8-inch-ivory,https://www.amazon.co.uk/dp/B00F4L9GA0
SIL MAKEUP BRUSHES ROSE GOLD ASSORTED,"HEYMKGO Makeup Brushes, 15 Pcs Make Up Brushes Set Professional Champagne Gold Makeup Brush Pack, Foundation Blending Powder Blush Concealers Eyeshadow Eyeliner Make-up Brush Kits with Cosmetics Bag",Title,T3,Not matched,5024418552741.0,740306567417.0,B086YR5KY4,2000.0,2.200000000000001,158.27338129496408,7.98,0.84,1.008,2.42,0.64,Available (see Keepa data),,2.0,A,Proven demand: Sales > 0 and Profit > 0,Product has demonstrated sales and positive profit margin.,low,Yes,HIGH,0.28,Low similarity (0.28) but category match - re-check candidate,https://www.efghousewares.co.uk/sil-makeup-brushes-rose-gold-assorted-126791,https://www.amazon.co.uk/dp/B086YR5KY4
