supplier_product_title,amazon_target_title,match_type,tier,ean_status,ean,ean_on_page,asin,sales_value,net_profit,roi,selling_price,supplier_price_ex_vat,supplier_price_inc_vat,fba_fee,referral_fee,fba_seller_count,fbm_seller_count,total_offer_count,bucket,inclusion_reason,rationale,confidence,validation_required,priority,match_similarity,match_verification_result,supplier_url,amazon_url
SIL MANICURE SET 5 PIECES,ZWILLING Travel Size Manicure Set 5 Pieces with Nail Clippers in 100% Leather Case Black,Title,T3,Not matched,5024418544463.0,,B013ZLIMEQ,,51.06041666666667,3673.411270983213,77.45,0.84,1.008,2.41,9.68125,,,,B,Strong profit margin (GBP51.06); Very high ROI (3673%); Low FBA competition (0 sellers); Low source cost (GBP0.84) vs Amazon price (GBP77.45),Possible match but profit is attractive enough to warrant validation. Re-check recommended.,low,Yes,HIGH,0.43,Moderate similarity (0.43) only - needs manual verification,https://www.efghousewares.co.uk/sil-manicure-set-5-pieces-126787,https://www.amazon.co.uk/dp/B013ZLIMEQ
151 GORILLA ALL PURPOSE FILLER,"Compatible For Samsung, Washing Machine Drain Pump Assembly 0022150033660401A Drainage Motor Washer Parts",Title,T3,Not matched,5053249240992.0,7797370103570.0,B0G1TS53VT,,27.461666666666662,1265.5145929339478,46.13,1.62,1.944,1.89,6.92,,Available (see Keepa data),1.0,B,Strong profit margin (GBP27.46); Very high ROI (1266%); Low FBA competition (0 sellers); Low source cost (GBP1.62) vs Amazon price (GBP46.13),Possible match but profit is attractive enough to warrant validation. Re-check recommended.,low,Yes,HIGH,0.25,Low similarity (0.25) but category match - re-check candidate,https://www.efghousewares.co.uk/151-gorilla-all-purpose-filler,https://www.amazon.co.uk/dp/B0G1TS53VT
151 WHITE LITHIUM GREASE 400ML,"Suitable For Siemens, IQ500 IQ300 Drum Washing Machine Bosch Drain Pump Motor",Title,T3,Not matched,5053249281377.0,7797370102290.0,B0G1TH3FM3,,22.10833333333333,843.8295165394402,38.95,2.07,2.484,1.89,5.84,,Available (see Keepa data),1.0,B,Strong profit margin (GBP22.11); Very high ROI (844%); Low FBA competition (0 sellers),Possible match but profit is attractive enough to warrant validation. Re-check recommended.,low,Yes,HIGH,0.26,Low similarity (0.26) but category match - re-check candidate,https://www.efghousewares.co.uk/151-white-lithium-grease-400ml-121928,https://www.amazon.co.uk/dp/B0G1TH3FM3
CAROLINE FOIL TART 40 CASES 1047,10 x Caroline Foil Mince Pie Case x 40 = 400 cases,EAN,T1,Confirmed,5012145000246.0,5012145000246.0,B00P5R8OKQ,,13.348333333333334,684.5299145299145,25.0,1.4,1.68,2.41,3.1250000000000004,,Available (see Keepa data),3.0,B,Strong profit margin (GBP13.35); Very high ROI (685%); Low FBA competition (0 sellers); High-demand category (food_wrap); Low source cost (GBP1.40) vs Amazon price (GBP25.00),"EAN-verified product with positive profit. Zero sales may reflect data timing, new listing, or seasonal dormancy.",high,No,HIGH,0.60,Exact EAN match (title sim=0.60),https://www.efghousewares.co.uk/caroline-foil-tart-40-cases-1047,https://www.amazon.co.uk/dp/B00P5R8OKQ
URBAN LIVING DESSERT PLATE JOSEPH,"Urban Lifestyle Dessert Plates Set of 4 Ronda, Ø15cm Small Stoneware Plates, Side Plates for Cake, Breakfast & Snacks, 4 Colours, Reactive Glaze, Dishwasher & Microwave Safe, Scratch Resistant",Title,T3,Not matched,5414886292346.0,9120119770999.0,B0D47LHC8T,,13.32333333333333,1200.3003003003,25.9,0.56,0.672,3.26,3.89,Available (see Keepa data),,1.0,B,Strong profit margin (GBP13.32); Very high ROI (1200%); Low FBA competition (0 sellers); High-demand category (kitchen); Low source cost (GBP0.56) vs Amazon price (GBP25.90),Possible match but profit is attractive enough to warrant validation. Re-check recommended.,low,Yes,HIGH,0.25,Low similarity (0.25) but brand+category match - re-check candidate,https://www.efghousewares.co.uk/urban-living-dessert-plate-glass-19cm-101846,https://www.amazon.co.uk/dp/B0D47LHC8T
PPS BANQUETING ROLL WHITE 25M,White Damask Banquet Roll 25m,EAN,T1,Confirmed,5030481940217.0,5030481940217.0,B00D1W6832,,12.907916666666663,339.6820175438596,26.99,3.25,3.9,2.41,3.37375,,Available (see Keepa data),1.0,B,Strong profit margin (GBP12.91); Very high ROI (340%); Low FBA competition (0 sellers),"EAN-verified product with positive profit. Zero sales may reflect data timing, new listing, or seasonal dormancy.",high,No,HIGH,0.62,Exact EAN match (title sim=0.62),https://www.efghousewares.co.uk/pps-banqueting-roll-white-25m,https://www.amazon.co.uk/dp/B00D1W6832
SIL ADHESIVE HOOKS 8PC ASSORTED,"Kingfisher Interior Brick & Dust Sealer- Matt Finish (1 Litre) | Dust Control and Surface Protection for Internal Brick Work, Porous Stone, Mortar Joints & Concrete",EAN,T1,Not matched,5024418539056.0,644161631385.0,B0F745SDXM,,12.845,924.1007194244604,25.29,0.84,1.008,3.05,3.79,,,1.0,B,Strong profit margin (GBP12.85); Very high ROI (924%); Low FBA competition (0 sellers); Low source cost (GBP0.84) vs Amazon price (GBP25.29),"EAN-verified product with positive profit. Zero sales may reflect data timing, new listing, or seasonal dormancy.",high,No,HIGH,0.21,Exact EAN match (title sim=0.21),https://www.efghousewares.co.uk/sil-adhesive-hooks-8pc-112667,https://www.amazon.co.uk/dp/B0F745SDXM
GLITTER SILVER OVAL BOWL LARGE 3PCS,"Elegance 72650 Hammered Stainless Steel Oval Bowl, Silver",Title,T3,Not matched,5060068749360.0,,B078H7XLT1,,12.586666666666666,673.0837789661318,27.44,1.32,1.584,3.13,5.28,,Available (see Keepa data),1.0,B,Strong profit margin (GBP12.59); Very high ROI (673%); Low FBA competition (0 sellers); High-demand category (kitchen); Low source cost (GBP1.32) vs Amazon price (GBP27.44),Possible match but profit is attractive enough to warrant validation. Re-check recommended.,medium-low,Yes,HIGH,0.40,Moderate similarity (0.40) + category match,https://www.efghousewares.co.uk/glitter-silver-oval-bowl-large-110306,https://www.amazon.co.uk/dp/B078H7XLT1
PHOODS LARGE ROASTER FOIL TRAY PK2 43X31CM,"Disposable Aluminum Foil Baking Trays - Food Storage Catering Aluminum Foil Tray 30-Pack - Containers for Meal Prep, Cooking, Baking, Roasting, Freezer Storage - 32cm x 20cm x 3.3cm",Title,T3,Not matched,5060357990138.0,,B0CN1MD8PT,,12.44875,587.2051886792452,23.97,1.57,1.884,2.41,2.9962500000000003,,,,B,Strong profit margin (GBP12.45); Very high ROI (587%); Low FBA competition (0 sellers); High-demand category (food_wrap); Low source cost (GBP1.57) vs Amazon price (GBP23.97),Possible match but profit is attractive enough to warrant validation. Re-check recommended.,low,Yes,HIGH,0.27,Low similarity (0.27) but category match - re-check candidate,https://www.efghousewares.co.uk/phoods-large-roaster-foil-tray-pk2-43x31cm,https://www.amazon.co.uk/dp/B0CN1MD8PT
PPS CHAMPAGNE FLUTE CLEAR STEM 140ML 5 PIECES,"US Acrylic Plastic Reusable Champagne Flute (Set of 12) Clear 5oz Stems | BPA-Free, Shatterproof, Made in USA | Top-Rack Dishwasher Safe",Title,T3,Not matched,5030481960253.0,80844092614.0,B01CRHXUY6,,12.431666666666665,1062.5356125356125,28.31,0.62,0.744,3.58,6.41,,Available (see Keepa data),1.0,B,Strong profit margin (GBP12.43); Very high ROI (1063%); Low FBA competition (0 sellers); Low source cost (GBP0.62) vs Amazon price (GBP28.31),Possible match but profit is attractive enough to warrant validation. Re-check recommended.,medium-low,Yes,HIGH,0.43,Moderate similarity (0.43) + category match,https://www.efghousewares.co.uk/pps-champagne-flute-clear-stem-140ml-5-pieces-123574,https://www.amazon.co.uk/dp/B01CRHXUY6
