Supplier_Title,Amazon_Title,Match_Type,Tier,EAN_Status,Sales,Net_Profit,ROI,Bucket,Inclusion_Reason,Rationale,Confidence,Validation_Required,Priority,Similarity
LONDON FRAGRANCES FOR HER ENGLISH PEAR & FREESIA 100ML EACH,Jo Malone English Pear & Freesia For Women 3.4 oz Cologne Spray,Title,T3,Not matched,300.0,73.34566666666669,1361.7836365886872,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.52
LONDON FRAGRANCES FOR HIM POMEGRANATE NOIR 100ML EACH,Jo Malone Pomegranate Noir Limited Edition Cologne 100ml,Title,T3,Not matched,400.0,68.65733333333336,1274.7369723975744,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.5
REVITALISE ELIXIR EDT 85ML POUR FEMME EACH,"Versace Eros Pour Femme Eau De Parfum For Women, 100 ml",Title,T3,Not matched,500.0,38.72266666666666,2044.4913762759586,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.41
RED CROWN EDT100ML POUR FEMME EACH,"Versace Eros Pour Femme Eau De Parfum For Women, 100 ml",Title,T3,Not matched,500.0,38.72266666666666,2044.4913762759586,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.43
QUEST EXPRESSO COFFEE EXPRESSO MACHINE WITH MILK FROTHER,Quest 36569 Espresso Coffee Machine With Milk Frother / 1.2L Water Tank and Drip Tray/Steam Ready and Temperature Indicator/For Ground Coffee Beans / 15 Bars of Pressure,Title,T3,Not matched,500.0,33.62624999999999,248.34748892171334,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.41
WENKEN FOOD PROCESSOR & BLENDER 2 IN 1,"Kenwood FDP65.180SI 2 in 1 Food Processor Multipro Express, Silver",Title,T3,Not matched,300.0,33.43833333333333,681.0251188051595,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.44
ORNATE EDT 100ML POUR HOMME EACH,Versace Eau De Toilette Spray pour homme 100ml,Title,T3,Not matched,100.0,32.988666666666674,1222.7081788979492,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.41
AMTECH RECHARGEABLE WORK LIGHT WITH MAGNETIC STAND 3W,"T-SUN Rechargeable LED Work Light with Metal Stand,4100Lumen Portable Magnetic Camping Light,10400Ah Battery,Job Site Lighting for Outdoor Barbecue Golf Fishing Indoor Workshop Garage",Title,T3,Not matched,100.0,32.02166666666667,684.2236467236468,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.4
EVERBUILD SEALANT STRIPOUT TOOL,Everbuild Super Flow Sealant/Adhesive Cartridge Applicator Gun with Rotating Barrel – Soft Grip Handle – For Cartridges Up to 310 ml,Title,T3,Not matched,400.0,28.788750000000004,725.1574307304787,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.36
OUD DIAMOND PERFUME 100ML EACH,Giorgio Armani - Emporio Diamonds EDP 100 ml,Title,T3,Not matched,500.0,27.01566666666667,501.5905433840823,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.46
