Supplier_Title,Amazon_Title,Match_Type,Tier,EAN_Status,Sales,Net_Profit,ROI,Bucket,Inclusion_Reason,Rationale,Confidence,Validation_Required,Priority,Similarity
CHURCHILL ALGRAVE BLUE MINT COUPE BOWL 20CM,Algarve Blue Coupe Bowl 20cm - Pack of 6,EAN,T1,Confirmed,Unknown,36.220000000000006,997.7961432506889,B,Confirmed Match Margin,High margin EAN match; zero sales may be missing data or timing.,HIGH,No,MEDIUM,0.65
GORILLA WOOD GLUE 236ML,Gorilla Wood Glue 236ml (Pack of 12),EAN,T1,Confirmed,Unknown,31.569999999999997,689.301310043668,B,Confirmed Match Margin,High margin EAN match; zero sales may be missing data or timing.,HIGH,No,MEDIUM,0.78
PLASPLUGS CONCRETE & BRICK WALL FIX H/D(SINGLE),Plasplug Bjp700 Heavy Duty Plasplugs (50 X 20 Strips),EAN,T1,Confirmed,Unknown,28.338333333333335,2213.932291666667,B,Confirmed Match Margin,High margin EAN match; zero sales may be missing data or timing.,HIGH,No,MEDIUM,0.3
DEKTON MASONARY BRICK LINE 70M,"Dekton 24pc Masonary Brick Line 225ft (70m) Hi Vis Green- Strong Build Quality Avoids Breakage| Provides High Visibility And Greater Accuracy| Used For Building Plans, Masonry Tools, Crafting, Marking",EAN,T1,Confirmed,Unknown,25.65666666666667,1441.3857677902622,B,Confirmed Match Margin,High margin EAN match; zero sales may be missing data or timing.,HIGH,No,MEDIUM,0.09
PLASPLUGS CONCRETE & BRICK MULTI FIX STANDARD(SINGLE),Plasplugs PLAGP600 Plastic & Nylon Wall Plugs,EAN,T1,Confirmed,Unknown,15.748333333333331,1230.3385416666665,B,Confirmed Match Margin,High margin EAN match; zero sales may be missing data or timing.,HIGH,No,MEDIUM,0.35
DURACELL BATTERIES RECHARGEABLE AA 1300 MAH,12 x Duracell AAA Rechargeable 900mAh (3 Blister Packs of 4 Batteries) 12 Rechargeable Batteries,EAN,T1,Confirmed,Unknown,14.696666666666665,194.6578366445916,B,Confirmed Match Margin,High margin EAN match; zero sales may be missing data or timing.,HIGH,No,MEDIUM,0.42
CASA & CASA CLASSICO STAINLESS STEEL SINK ORGANISER WITH TRAY,"Casa & Casa Classico Stainless Steel Kitchen Sink Organiser with Tray, Caddy Sponge Holder, Tidy Utensil Holder, Drains Water for Kitchen & Bathroom, Fingerprint-Proof Coating, Sink Area Organiser",EAN,T1,Confirmed,Unknown,13.91,241.49305555555557,B,Confirmed Match Margin,High margin EAN match; zero sales may be missing data or timing.,HIGH,No,MEDIUM,0.47
FIRE BASKET METAL WITH HANDLE *,"Ambiance Decorative basket black with hanging possibility, metal",EAN,T1,Confirmed,Unknown,12.825000000000005,95.49516008935221,B,Confirmed Match Margin,High margin EAN match; zero sales may be missing data or timing.,HIGH,No,MEDIUM,0.48
LITTLE TREES CAR FRESHENER SUPERNOVA,"12x Wunderbaum Supernova Car Air Freshener Fragrance Tree +/- 45 Days Fresh Fragrance in the Car, Wardrobe, Drawer, Kitchen and Household. Also Ideal for the Sports Bag!",EAN,T1,Confirmed,Unknown,11.843333333333335,890.4761904761905,B,Confirmed Match Margin,High margin EAN match; zero sales may be missing data or timing.,HIGH,No,MEDIUM,0.23
A-Z TRY ME MUSICAL CAR,"AtoZ My 1st Musical Car Keys Baby Toy with Light and Sound, 0+ Months, for Little Hands",EAN,T1,Confirmed,Unknown,10.773333333333332,257.1201272871916,B,Confirmed Match Margin,High margin EAN match; zero sales may be missing data or timing.,HIGH,No,MEDIUM,0.31
TRAVEL TOOTHBRUSHES 5PC,Health & Beauty Toothbrushes with Travel Cases 5 pc,EAN,T1,Confirmed,Unknown,10.359583333333331,745.2937649880095,B,Confirmed Match Margin,High margin EAN match; zero sales may be missing data or timing.,HIGH,No,MEDIUM,0.51
SUPER GLUE BOTTLE 3PC,Rysons Super Glue Bottle Set 3 piece,EAN,T1,Confirmed,Unknown,10.19158333333333,654.1452717158747,B,Confirmed Match Margin,High margin EAN match; zero sales may be missing data or timing.,HIGH,No,MEDIUM,0.74
BIRTHDAY CANDLES 50PC,RYSONS Birthday Candles 50 PCS,EAN,T1,Confirmed,Unknown,10.19158333333333,654.1452717158747,B,Confirmed Match Margin,High margin EAN match; zero sales may be missing data or timing.,HIGH,No,MEDIUM,0.82
