Supplier_Title,Amazon_Title,Match_Type,Tier,EAN_Status,Sales,Net_Profit,ROI,Bucket,Inclusion_Reason,Rationale,Confidence,Validation_Required,Priority,Similarity
QUEST EXPRESSO COFFEE EXPRESSO MACHINE WITH MILK FROTHER,Quest 36569 Espresso Coffee Machine With Milk Frother / 1.2L Water Tank and Drip Tray/Steam Ready and Temperature Indicator/For Ground Coffee Beans / 15 Bars of Pressure,Title,T3,Not matched,500.0,33.62624999999999,248.34748892171334,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.41
ORNATE EDT 100ML POUR HOMME EACH,Versace Eau De Toilette Spray pour homme 100ml,Title,T3,Not matched,100.0,32.988666666666674,1222.7081788979492,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.41
AMTECH RECHARGEABLE WORK LIGHT WITH MAGNETIC STAND 3W,"T-SUN Rechargeable LED Work Light with Metal Stand,4100Lumen Portable Magnetic Camping Light,10400Ah Battery,Job Site Lighting for Outdoor Barbecue Golf Fishing Indoor Workshop Garage",Title,T3,Not matched,100.0,32.02166666666667,684.2236467236468,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.4
EXTRASTAR PROFESSIONAL CLIPPER RECHAREABLE USB-C BLACK,"Ufree Hair Clippers for Men, Professional Clippers and Trimmers Set, Cordless Clippers for Hair Cutting, Beard Trimmer, Barber Clippers, Rechargeable Electric Shaver, Gifts for Men, Black Gold",Title,T3,Not matched,200.0,18.551666666666666,381.721536351166,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.37
VFM  TRADE CONT MATT PAINT WHT 10L,Johnstone'S Trade 10 Litre Covaplus Vinyl Matt Brilliant White,Title,T3,Not matched,100.0,17.82291666666666,184.1210399449035,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.48
AIRWICK REED DIFFUSER MULLED WINE 33ML PK5,"Air Wick Essential Oils Reed Diffuser Air Freshener Mulled Wine Scent, 5 Bottles X 30 ml",EAN,T1,Confirmed,200.0,16.553333333333338,140.9994321408291,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,HIGH,No,HIGH,0.57
WORLD OF PETS CAT LITTER SCENTED 3LT,World's Best Cat Litter 28lb (12.7kg) Lavender Scented,Title,T2,Not matched,800.0,16.138333333333332,566.2573099415205,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,MEDIUM,Yes,HIGH,0.6
APOLLO CHROME TOILET BRUSH & HOLDER,BGL 304 Stainless Steel Toilet Brush Long Bucket Stand Round Toilet Brush with Holder Chrome,Title,T3,Not matched,200.0,12.08958333333333,309.19650468883196,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.38
BRIGHT & HOMELY BYPASS LOPPER,Spear & Jackson 8090RS Razorsharp Telescopic Ratchet Bypass Lopper,Title,T3,Not matched,300.0,11.621666666666666,452.20492866407255,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.44
BF ACTIVE MOUTHWASH ORIGINAL 500ML PK12,"UltraDEX Daily Oral Rinse Original, 6 x 500ml, Clear",Title,T3,Not matched,100.0,10.962000000000005,78.42323651452286,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.44
BRIGHT & HOMELY PILLAR CANDLE IVORY 100 HOUR BURN 20CM X 8CM,simpa Unscented Ivory Pillar Candles Smokeless Burn 100 Hour Burn Time 80mm x 200mm - Set of 4,Title,T3,Not matched,100.0,10.616249999999999,416.3235294117647,A,Proven Demand,Product has confirmed positive profit and active monthly sales.,LOW,Yes,HIGH,0.52
