Supplier_Title,Amazon_Title,ASIN,EAN,Match_Type,Tier,Confidence_Score,EAN_Exact_Match,Sales,Net_Profit,ROI,Supplier_Price,Amazon_Price,Bucket,Inclusion_Reason,Confidence,Validation_Required,Priority,Similarity,Unit_Qty_Flag,Unit_Qty_Note,Category,Supplier_URL,Amazon_URL,FBA_Sellers,Dashboard_Flags,Evidence_Status,External_Check_Status,Availability,Scraped_At,Category_URL,Priority_Score
Prima Magnetic Can Opener CDU,Can Opener Magnetic White Handle - CDU,B00842371A,5038673183404,EAN,T1,60,True,0,18.471666666666668,691.8227215980025,2.544,38.99,B,Opportunity: positive profit with zero/unknown sales,HIGH,No,MEDIUM,0.5714,MATCH,,Wholesale Kitchen Utensils Cutlery,https://www.poundwholesale.co.uk/prima-magnetic-can-opener-cdu,https://www.amazon.co.uk/dp/B00842371A,,BRAND_MISMATCH,STALE_SOURCE,NOT_CHECKED,In stock,2025-08-22T22:28:14.972291,https://www.poundwholesale.co.uk/kitchenware/wholesale-kitchen-utensils-cutlery,21.242416666666667
White Paper Banqueting Roll 25m X 118cm,White Damask Banquet Roll 25m,B00D1W6832,5030481940217,EAN,T1,80,True,0,11.767916666666665,238.21693657219973,5.268,26.99,B,Opportunity: positive profit with zero/unknown sales,HIGH,No,MEDIUM,0.3333,MATCH,,Wholesale Partyware,https://www.poundwholesale.co.uk/white-paper-banqueting-roll-25m-x-118cm,https://www.amazon.co.uk/dp/B00D1W6832,,,STALE_SOURCE,NOT_CHECKED,In stock,2025-07-21T09:26:12.639574,https://www.poundwholesale.co.uk/party-gift/wholesale-partyware,13.533104166666662
Kitchen Krazy Silver Swing Top Bin 30L,Swing Bin,B01NB1JX0H,5022092002019,EAN,T1,40,True,0,7.730416666666668,156.48616734143053,5.268,21.29,B,Opportunity: positive profit with zero/unknown sales,HIGH,No,MEDIUM,0.2857,MATCH,,Wholesale Home Accessories,https://www.poundwholesale.co.uk/kitchen-krazy-silver-swing-top-bin-30l,https://www.amazon.co.uk/dp/B01NB1JX0H,,BRAND_MISMATCH,STALE_SOURCE,NOT_CHECKED,In stock,2025-07-29T04:35:02.963010,https://www.poundwholesale.co.uk/homeware/wholesale-home-accessories,8.889979166666667
Tidyz Wheelie Bin Liners 5 Pack 300L,"TIDYZ 300L WHEELIE BIN LINERS 5 PACK, (Pack Of 1)",B0CBVVF5TB,5025364005824,EAN,T1,80,True,0,7.390000000000002,671.818181818182,0.66,16.8,B,Opportunity: positive profit with zero/unknown sales,HIGH,No,MEDIUM,0.875,MATCH,,Bin Liners Refuse Sacks,https://www.poundwholesale.co.uk/tidyz-wheelie-bin-liners-5-pack-300l,https://www.amazon.co.uk/dp/B0CBVVF5TB,,EXTREME_PRICE_RATIO,STALE_SOURCE,NOT_CHECKED,In stock,2025-08-22T14:59:11.961806,https://www.poundwholesale.co.uk/kitchenware/wholesale-household-bags/bin-liners-refuse-sacks,8.498500000000002
Typist Address Labels 100 Pack,"6 Rolls of Typist Address Labels 180 Per Roll Size: 90 X 35mm (3"" x 1"")",B00VVGA4XA,5012128022661,EAN,T1,60,True,0,5.3866666666666685,456.497175141243,0.756,14.0,B,Opportunity: positive profit with zero/unknown sales,HIGH,No,MEDIUM,0.1875,MATCH,,Stationery Pound Lines,https://www.poundwholesale.co.uk/typist-address-labels-180-pack,https://www.amazon.co.uk/dp/B00VVGA4XA,,BRAND_MISMATCH,STALE_SOURCE,NOT_CHECKED,In stock,2025-08-07T00:02:53.864963,https://www.poundwholesale.co.uk/pound-lines/stationery-pound-lines,6.194666666666668
Prima Metal Strainer 12cm,12cm Metal Tea Strainer,B0CDCNW6ZS,5038673185088,EAN,T1,60,True,0,4.841666666666668,345.8333333333334,1.02,13.43,B,Opportunity: positive profit with zero/unknown sales,HIGH,No,MEDIUM,0.6,MATCH,,Wholesale Baking,https://www.poundwholesale.co.uk/prima-metal-strainer-12cm,https://www.amazon.co.uk/dp/B0CDCNW6ZS,,BRAND_MISMATCH,STALE_SOURCE,NOT_CHECKED,In stock,2025-07-21T13:57:18.928207,https://www.poundwholesale.co.uk/kitchenware/wholesale-baking,5.567916666666667
Bello Plastic Dimple Champagne Glass 220ml,Set of Bello Dimple Effect Plastic 200ml Champagne Sparkling Wine Flute Glass (6),B08BHZWR3M,5015302427429,EAN,T1,60,True,0,4.493333333333333,279.08902691511383,1.272,14.02,B,Opportunity: positive profit with zero/unknown sales,HIGH,No,MEDIUM,0.3846,MATCH,,Wholesale Partyware,https://www.poundwholesale.co.uk/bello-plastic-dimple-champagne-glass-220ml,https://www.amazon.co.uk/dp/B08BHZWR3M,,BRAND_MISMATCH,STALE_SOURCE,NOT_CHECKED,In stock,2025-07-21T09:15:54.770288,https://www.poundwholesale.co.uk/party-gift/wholesale-partyware,5.167333333333333
Prima Wooden Clothes Hangers 2pc,Wooden Clothes Hanger (2pk),B0CF2N7YVN,5038673230467,EAN,T1,40,True,0,4.458333333333335,237.14539007092205,1.596,17.71,B,Opportunity: positive profit with zero/unknown sales,HIGH,No,MEDIUM,0.2857,MATCH,,Wholesale Home Accessories,https://www.poundwholesale.co.uk/prima-wooden-clothes-hangers-2pc,https://www.amazon.co.uk/dp/B0CF2N7YVN,,BRAND_MISMATCH,STALE_SOURCE,NOT_CHECKED,In stock,2025-07-29T04:30:35.957683,https://www.poundwholesale.co.uk/homeware/wholesale-home-accessories,5.127083333333335
Guard And Pride Teak Oil Protects And Enhances All Exterior Hardware Spray 250ml (Ideal For Outdoor Furniture),250ml Teak Oil Exterior Hardwood/Softwood Garden Furniture Spray Can protection,B008DV3MIU,5055319557054,EAN,T1,60,True,0,4.154583333333333,340.5396174863387,0.804,10.99,B,Opportunity: positive profit with zero/unknown sales,HIGH,No,MEDIUM,0.3158,MATCH,,Other,https://www.poundwholesale.co.uk/guard-and-pride-teak-oil-protects-and-enhances-all-exterior-hardware-spray-250ml-ideal-for-outdoor-furniture,https://www.amazon.co.uk/dp/B008DV3MIU,,BRAND_MISMATCH,STALE_SOURCE,NOT_CHECKED,,,,4.777770833333332
Leonardo Desire Aroma Lovebird Warmer LED Lamp Wax Burner,bgc Large Porcelain Etched Aroma Lamp - Love Birds,B0BLHNDKKT,5010792476445,EAN,T1,40,True,0,3.824583333333335,97.31764206955052,4.056,14.35,B,Opportunity: positive profit with zero/unknown sales,HIGH,No,MEDIUM,0.1333,MATCH,,Wholesale Home Accessories,https://www.poundwholesale.co.uk/leonardo-desire-aroma-lovebird-warmer-led-lamp-wax-burner,https://www.amazon.co.uk/dp/B0BLHNDKKT,,BRAND_MISMATCH,STALE_SOURCE,NOT_CHECKED,Out of stock,2025-07-29T04:50:25.791006,https://www.poundwholesale.co.uk/homeware/wholesale-home-accessories,4.398270833333335
