SupplierTitle,AmazonTitle,EAN,EAN_OnPage,ASIN,SupplierPrice_incVAT,SellingPrice_incVAT,NetProfit,ROI,bought_in_past_month,amazon_sales_badge,sales_value,tier,confidence_score,flags,reasons,ean_exact_match,SupplierURL,AmazonURL,fba_seller_count,Category,Unit_Qty_Flag,Unit_Qty_Note,Bucket
Smart Choice Chicken & Beef Scented Pet Bubble Wand 118ml 2 Pack,Smart Choice Scented Pet Bubbles Chicken and Beef,5052516313780,5052516313780.0,B0D8R7NKF9,1.272,8.99,1.5216666666666676,94.51345755693588,50.0,50.0,50,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.64, shared=6),Brand match: smart",True,https://www.poundwholesale.co.uk/smart-choice-chicken-beef-scented-pet-bubble-wand-118ml-2-pack,https://www.amazon.co.uk/dp/B0D8R7NKF9,Available (see Keepa data),Wholesale Pet Toys Treats,UNCLEAR,,A
Cooper & Pals Squawking Chicken Dog Toy,Cooper & Pals Squawking Chicken Toy For Dogs,5055566927495,5055566927495.0,B08ZL14VNR,0.828,6.11,0.5116666666666669,41.26344086021508,50.0,50.0,50,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.84, shared=5),Brand match: cooper",True,https://www.poundwholesale.co.uk/cooper-pals-squawking-chicken-dog-toy,https://www.amazon.co.uk/dp/B08ZL14VNR,,Wholesale Pet Toys Treats,MATCH,,A
Escenti Tea Tree Cream 28g,Escenti Tea Tree Cream 28g,5020535013998,5020535013998.0,B0995W6PHP,0.912,4.12,0.2933333333333334,22.391857506361333,100.0,100.0,100,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=1.00, shared=5),Brand match: escenti",True,https://www.poundwholesale.co.uk/escenti-tea-tree-cream-28g,https://www.amazon.co.uk/dp/B0995W6PHP,Available (see Keepa data),Wholesale Skin Care,MATCH,,A
Elmer's Colour Changing Liquid Glue 147ml,Elmer's Colour Changing PVA Glue | Blue to Purple | 147 ml | Washable & Kid Friendly| Great for Making Slime | 1 Count,3026981095078,3026981095078.0,B084LC9S5L,0.72,5.4,0.2300000000000007,20.000000000000068,100.0,100.0,100,TIER_1_VERIFIED,80,,"Exact EAN match (checksum verified),Moderate title match (sim=0.45, shared=4),Brand match: elmer's",True,https://www.poundwholesale.co.uk/elmer-s-colour-changing-liquid-glue-147ml,https://www.amazon.co.uk/dp/B084LC9S5L,Available (see Keepa data),Stationery Pound Lines,MATCH,,A
Dr Johnson's Sterilising Fluid 1L,Dr Jonsons Baby Sterilising Fluid Highly Concentrated - 1 Litre,5025416330034,5025416330034.0,B00KQHJKTY,1.044,7.52,1.196666666666667,84.2723004694836,50.0,50.0,50,TIER_1_VERIFIED,60,,"Exact EAN match (checksum verified),Weak title match (sim=0.66, shared=2),Brand match: dr",True,https://www.poundwholesale.co.uk/dr-johnson-s-sterilising-fluid-1l,https://www.amazon.co.uk/dp/B00KQHJKTY,,Multi Purpose Cleaners,MATCH,,A
151 Heavy Duty Multipurpose Adhesive Spray 500ml,3 Spray Glue Adhesive Contact Glue Heavy Duty Mount DIY Craft Upholstery 500ml,5053249215044,5053249215044.0,B098P62161,2.508,10.99,1.8483333333333327,70.01262626262627,200.0,200.0,200,TIER_1_VERIFIED,60,BRAND_MISMATCH,"Exact EAN match (checksum verified),Moderate title match (sim=0.41, shared=5)",True,https://www.poundwholesale.co.uk/151-heavy-duty-multipurpose-adhesive-spray-500ml,https://www.amazon.co.uk/dp/B098P62161,Available (see Keepa data),Wholesale Glue Adhesives Tape,MATCH,,A
DID Hot Water Bottle & Cover Assorted 2l,"Hot Water Bottle 2 Litre – Assorted Colours, Teddy Plush Soft Fleece Cover, Long-Lasting Warmth, BS 1970:2012, by DID",5056338341778,5056338341778.0,B0GGLXBQJV,3.108,8.99,1.2116666666666676,38.58811040339706,50.0,50.0,50,TIER_1_VERIFIED,60,BRAND_MISMATCH,"Exact EAN match (checksum verified),Moderate title match (sim=0.40, shared=6)",True,https://www.poundwholesale.co.uk/did-soft-teddy-plush-cover-hot-water-bottle-2l-assorted,https://www.amazon.co.uk/dp/B0GGLXBQJV,,Other,MATCH,,A
Kids Spring-Form Non-Stick Cake Tin,"Royle Kids 2 Mini Springform Cake Tin Kids Round 5Inch Non Stick Springform Baking Tin 12cm,Black",5015302472535,5015302472535.0,B01APK7CDC,1.752,7.99,0.7683333333333342,38.22553897180768,50.0,50.0,50,TIER_1_VERIFIED,60,BRAND_MISMATCH,"Exact EAN match (checksum verified),Moderate title match (sim=0.37, shared=5)",True,https://www.poundwholesale.co.uk/kids-spring-form-cake-tin,https://www.amazon.co.uk/dp/B01APK7CDC,,Wholesale Cooking,MATCH,,A
"Christmas Who Am I Game Crackers 6 Pack 9""","RSW Who Am I? Christmas Games Crackers 6 Fun Family Dinner Table Game Cracker 9 Inch, Blue & White",5015302164539,5015302164539.0,B0BH884CJ8,3.06,8.74,0.2033333333333347,6.559139784946281,50.0,50.0,50,TIER_1_VERIFIED,60,BRAND_MISMATCH,"Exact EAN match (checksum verified),Moderate title match (sim=0.43, shared=4)",True,https://www.poundwholesale.co.uk/christmas-who-am-i-game-crackers-6-pack-9,https://www.amazon.co.uk/dp/B0BH884CJ8,,Wholesale Christmas,UNCLEAR,,A
Wholesale Dekton Carbon Steel Single Edge Scraper Blades 10 Pack | Pound Wholesale,"DEKTON 10 PCS Razor Single Edge Blade Set – Premium Stainless Steel Replacement Blades for Scraping, Cutting, Crafts, Home Projects, and Professional Use",5055441458786,5055441458786.0,B0F5HSZ2K3,0.72,3.76,0.0333333333333335,2.8985507246377,100.0,100.0,100,TIER_1_VERIFIED,60,BRAND_MISMATCH,"Exact EAN match (checksum verified),Moderate title match (sim=0.40, shared=5)",True,https://www.poundwholesale.co.uk/dekton-carbon-steel-single-edge-scraper-blades-10-pack,https://www.amazon.co.uk/dp/B0F5HSZ2K3,,Filling Scraping,UNCLEAR,,A
Pestshield Flying Insect Mosquito Killer Coils 6 Pack,"12x Repellent Coil for Mosquito Midge Flies Insect for Outdoor use Such as Gardens, BBQ, Balconies and terraces",5053249250922,5053249250922.0,B0CGPF2FLL,0.588,6.99,2.5250000000000004,242.7884615384616,50.0,50.0,50,TIER_1_VERIFIED,40,BRAND_MISMATCH,"Exact EAN match (checksum verified),Weak title match (sim=0.30, shared=2)",True,https://www.poundwholesale.co.uk/pestshield-flying-insect-mosquito-killer-coils-6-pack,https://www.amazon.co.uk/dp/B0CGPF2FLL,Available (see Keepa data),Pest Killers Deterrents,UNCLEAR,,A
Ant Glue Traps 3 Pack,3pk Ant Traps | Home Bait Station | Stops and Glues Ants as an Insect Trapper,5038673210100,5038673210100.0,B08ZGJT9J4,0.72,3.99,0.3550000000000003,30.869565217391333,50.0,50.0,50,TIER_1_VERIFIED,40,BRAND_MISMATCH,"Exact EAN match (checksum verified),Weak title match (sim=0.29, shared=2)",True,https://www.poundwholesale.co.uk/ant-glue-traps-3-pack,https://www.amazon.co.uk/dp/B08ZGJT9J4,,Pest Killers Deterrents,MATCH,,A
