EAN_Supplier,EAN_Amazon,ASIN,SupplierTitle,AmazonTitle,SupplierURL,AmazonURL,Sales,NetProfit,ROI,SupplierPrice,AmazonPrice,MatchCategory,MatchScore,MatchReason
5055977370903.0,4004025095153.0,B07PQT8F2B,Tintagel Wild Berry Spray Yellow,"WAGNER Airless Control 150 M Paint Sprayer Wall Paints, Lacquers & Varnishes, Wood And Corrosion Protection - Interior And Exterior Usage, 0-900 Ml/min, Container Volume 5500 Ml, 7.5 M Hose",https://angelwholesale.co.uk/craft/floristry/silk-flowers/tintagel-wild-berry-spray-green/p948473.html,https://www.amazon.co.uk/dp/B07PQT8F2B,50.0,201.9933333333333,5754.795821462489,3.552,299.98,FALSE_MATCH,13.20754716981132,Very low title similarity
5050565665836.0,4820184122314.0,B0D9W1S3Y5,Assorted Puppy with Love Heart Plush (26cm),"UGEARS V8 Engine 3D Wooden Puzzles for Adults - Wooden Model Kits for Adults to Build DIY Craft, for Engineers, 3D Puzzle Model Engine Kit, 3D Puzzles Adult Hobby Kit, Brain Teaser",https://angelwholesale.co.uk/occasions/valentines-day/-bears-plush-toys/plush-love-heart-with-clip-12cm-assorted-/p1059421.html,https://www.amazon.co.uk/dp/B0D9W1S3Y5,100.0,49.425,3530.357142857143,1.02,78.99,FALSE_MATCH,0.0,Category mismatch detected
5056117203297.0,5056399111228.0,B08DL72YJP,A New Star - Rocking Horse Pink,"HOMCOM Kids Rocking Rabbit, Plush Rocking Horse Ride-On w/Sound, Wood Base, Seatbelt, for Ages 18-36 Months, Pink",https://angelwholesale.co.uk/Item/A-New-Star---Rocking-Horse-Blue-toy07794,https://www.amazon.co.uk/dp/B08DL72YJP,50.0,23.47833333333334,2795.039682539683,0.348,49.09,FALSE_MATCH,32.11678832116788,Very low title similarity
5056721865577.0,,B0F82ZJCVQ,Hortus Vienna Matt Pink Ceramic Pot (15cm),"ELFORDSON LED Gaming Chair with 8-Point Massage, Home Office Chairs with Head Pillow Lumbar Support, Video Game Chairs with Armrests Footrest, PU Leather, Black",https://angelwholesale.co.uk/home/indoor-planters/hortus-vienna-matt-white-ceramic-pot-15cm-/p1065784.html,https://www.amazon.co.uk/dp/B0F82ZJCVQ,100.0,80.31500000000003,2448.6280487804884,3.276,138.99,FALSE_MATCH,20.408163265306122,Very low title similarity
742554363230.0,,B0DB5MZKN1,14 inch  Number Balloon - 7 - Hot Pink,"5in1 STEM Building Toys for Kids 6-14, Remote & APP Controlled Mech Robots/Heavy Tanks/Tracked Racer STEM Building Kit for Kid Science Learning, 552 Pcs DIY Building Blocks Set Gifts for Boys & Girls",https://angelwholesale.co.uk/Item/14-inch--Number-Balloon---0---Hot-Pink-msc04448,https://www.amazon.co.uk/dp/B0DB5MZKN1,100.0,22.965,2050.4464285714284,0.6839999999999999,39.99,FALSE_MATCH,0.0,Category mismatch detected
2663520595.0,5702017817941.0,B0DWF1V6CT,Blue Foil Circle Balloon (18 Inch),"LEGO ǀ Marvel Avengers: Endgame Thor vs. Chitauri - Building Toy with a Mech, Gorilla Figure & 7 Minifigures incl. Thor, Rocket & Iron Patriot - Super Hero Gift for 8+ Year Old Boys - 76322",https://angelwholesale.co.uk/occasions/anniversary/white-foil-circle-balloon-18-inch-/p1067575.html,https://www.amazon.co.uk/dp/B0DWF1V6CT,600.0,20.37166666666667,1868.9602446483184,0.648,35.99,FALSE_MATCH,0.0,Category mismatch detected
5023797405617.0,5702017824864.0,B01MSZQ37V,Grey \'Adorable\' Knee Length Socks w/Satin Bow,"LEGO Classic Creative Build-and-Play Box - Colourful Bricks Set - Build a House, Dog, Fire Engine Toy, Piano Keyboard, Clouds & Rainbow - Arts and Crafts Kit for 5+ Year Old Boys & Girls - 11044",https://angelwholesale.co.uk/clothing/shop-by-department/socks-tights/girls-socks/rose-gold-adorable-knee-length-socks-w/satin-bow-/p1065583.html,https://www.amazon.co.uk/dp/B01MSZQ37V,200.0,24.441666666666663,1709.207459207459,1.056,44.99,FALSE_MATCH,0.0,Category mismatch detected
5060251955882.0,5702017817941.0,B0DWF1V6CT,Plain Blue 100% cotton velcro bibs by Soft Touch,"LEGO ǀ Marvel Avengers: Endgame Thor vs. Chitauri - Building Toy with a Mech, Gorilla Figure & 7 Minifigures incl. Thor, Rocket & Iron Patriot - Super Hero Gift for 8+ Year Old Boys - 76322",https://angelwholesale.co.uk/Item/Fuchsia---Plain-Velcro-Cotton-Interlock-Bib-by-Soft-Touch-bac03099,https://www.amazon.co.uk/dp/B0DWF1V6CT,500.0,19.971666666666668,1340.380313199105,1.128,35.99,FALSE_MATCH,0.0,Category mismatch detected
5025572149068.0,,B08MZRBNRT,Wheel Barrow and Accessories Sand Set,"Delex Pull along Kids Wagon Wheelbarrow and Gardening, Beach and Tools Play Set With Water Pail and Spray Includes 10 Accessories and 4 Plant Pots",https://angelwholesale.co.uk/Item/Crocodile-Tail-Loom-Set---100bands--accessories-toy03237,https://www.amazon.co.uk/dp/B08MZRBNRT,100.0,13.5,1238.532110091743,0.648,24.0,FALSE_MATCH,36.26373626373626,Very low title similarity
5050565396129.0,,B08XW592VP,Stainless Steel BBQ Tool Set,"ROMANTICIST 26pcs Extra Thick Stainless Steel Grill Tool Set for Men,Heavy Duty Grilling Accessories Kit for Backyard, BBQ Utensils Gift Set with Meat Thermometer in Aluminum Case for Birthday Black",https://angelwholesale.co.uk/sale/special-offers-occassions/bbq-steel-tongs-/p1052037.html,https://www.amazon.co.uk/dp/B08XW592VP,50.0,12.968333333333332,1071.763085399449,0.792,25.99,FALSE_MATCH,37.22222222222222,Very low title similarity
