category,EAN,EAN_OnPage,ASIN,SupplierTitle,AmazonTitle,title_match,sales_numeric,NetProfit,ROI,SupplierPrice_incVAT,SellingPrice_incVAT
MODERATE_CONFIDENCE,5055579167444.0,,B09FLDD3CM,Kraft With Moss Handle  Hand Tie Bag  (19x25cm),"HAUSPROFI 25pcs Kraft Paper Bags for Gifts, Food & Sweets, Strong Carrier Bags with Twisted Handles for Kid Parties, Weddings, 27x21x11cm, Thicken 130gsm",0.33,900.0,3.1083333333333334,298.8782051282051,0.588,10.99
UNCERTAIN,5056721848570.0,721691974479.0,B0DCVZ4SDM,Round Natural Seagrass Basket (H15.5cm x D21cm),"Novelty Gifts For Men Funny Socks, Gamer Stocking Fillers For Teenage Boys Christmas Stocking Fillers Gift Ideas For Men Birthday",0.18181818181818182,900.0,2.211666666666667,72.75219298245614,2.9880000000000004,8.99
UNCERTAIN,5056283821394.0,,B0CLSHKHM1,Red Deer Toys Archery Set 3pc,"JOYIN 6 PCS 4oz/118ml Big Bubble Wands Age 3+ for Kids, 14.6""/37cm Bubble Wand with Bubbles Refill Solution for Summer Toy Party Favor, Outdoors Activity, Easter Basket Stuffers, Birthday Gift",0.18099547511312217,900.0,1.561666666666666,108.44907407407402,1.068,7.64
UNCERTAIN,5029316510152.0,,B0F3XCDKZY,Lavender PomPom Spray (72cm),"Cleangor Crevice Cleaning Brushes UK, Serrated Bristle Grouting Cleaning Brush for Small Spaces, Magic Brush, Bathroom Accessory, Cleaning Tools, Cleaning Supplies for Shower, Toilet, Sink(2, Black)",0.168141592920354,900.0,0.531666666666667,26.451077943615275,1.752,5.99
MODERATE_CONFIDENCE,5056188242683.0,5055866213632.0,B00P2GUNUY,Mens 3 Pack Christmas Design Socks,6x Pairs of Mens or Ladies Christmas Novelty Design Socks **Fantastic Gift Idea** (Mens),0.4918032786885246,900.0,0.4516666666666671,21.10591900311528,1.908,6.95
UNCERTAIN,5012866017936.0,718819656188.0,B0DBZNM49R,3D Wood Puzzle,"ROKR 3D Puzzle Racing Car Wooden Model Kits for Adults Children, Mechanical Gear Models DIY Gifts for Men Women, Racing Car, LK505",0.125,800.0,13.731666666666666,490.4166666666667,2.7,28.79
MODERATE_CONFIDENCE,5056170332392.0,,B0BN8NBJFT,Baubles & Bow Christmas Tinsel Wreath (Assorted),"GloBrite 40cm Christmas Wreath with Bows, Baubles & Lantern | Wreaths for Front Door | Door Wreaths Home Decor Christmas Decorations for Outdoor Decorations - Silver",0.3004694835680751,800.0,11.86625,912.7884615384614,0.9,21.99
UNCERTAIN,5015302170486.0,,B0D7ZQ3NW9,6 Tree Novelty Crackers,"KreativeKraft Luxury Christmas Crackers, Set of 6 Deluxe Xmas Crackers, Plushies Hanging Xmas Tree Ornaments, Fun Novelty Party Gifts Christmas Decor (Green)",0.2222222222222222,800.0,11.469583333333327,253.19168506254587,4.776,25.99
UNCERTAIN,5015302718961.0,810040572609.0,B0CDNT3PH2,Manicure Set (5 Piece),"MANSCAPED® Shears 3.0, 5-Piece Precision Men’s Nail Grooming Travel Kit, Stainless Steel Manicure Set with Fingernail & Toenail Clippers, Nail File, Slant Tip Tweezers, Cuticle Scissors, Travel Case",0.17272727272727273,800.0,7.820000000000001,528.3783783783784,1.116,18.0
UNCERTAIN,5015302118037.0,,B0B92RD41C,Rattle & Teether (2pcs),Infant Toys 0-3 Months Infant Rattles AIVIAI Baby Rattle Teether Toy Set with Storage Box Musical rattles for Newborn Girl Boy 5 6 8 9 12 Month (11pcs),0.2413793103448276,800.0,6.394999999999999,185.3623188405797,3.48,18.99
UNCERTAIN,,,B0FBWDVL5P,Red Tealight Cone,"LETINE Soywax Tea Lights Candles Bulk 24 Pack, 4 Hour White Tea Lights Long Burning, Unscented Tealights for Wedding, Party Centerpieces Halloween Christmas",0.18497109826589594,800.0,5.342916666666667,722.0157657657659,0.228,11.99
MODERATE_CONFIDENCE,5016064113247.0,5014475020178.0,B0BHWXGK9Z,Christmas Musical Plush (Assorted),"Rainbow Designs Christmas Snowman Toy - Super Soft Musical Plush with Green Hat & Scarf, plays 'We're Walking in the Air', 19d x 14.5w x 20.5h",0.3522727272727273,800.0,4.938333333333333,88.34227787716159,6.048,19.99
UNCERTAIN,5027148039094.0,,B0CJCNH17G,Keeleco Christmas Tree (40cm),"Deyaah 40cm Mini Christmas Tree with Lights, Desktop Christmas Tree, Battery Powered Tabletop Christmas Tree for Christmas Holiday Table Decor (Red)",0.22598870056497175,800.0,4.258333333333335,103.86178861788622,4.26,16.99
UNCERTAIN,28503050278.0,,B0D2H5FPWX,Giant Play Food Set (2 Assorted),"Play Food Sets for Kids Kitchen-80PC Pretend Food with 2 Kids Picnic Basket, Toy Food with Pizza Toy, Plastic Food Cutting Toys, Play Kitchen Accessories - Fake Food, Boys Girls Gifts",0.20465116279069767,800.0,3.490000000000001,67.11538461538463,5.58,17.76
UNCERTAIN,5052516111775.0,,B0CJCNH17G,Keeleco Christmas Tree (40cm),"Deyaah 40cm Mini Christmas Tree with Lights, Desktop Christmas Tree, Battery Powered Tabletop Christmas Tree for Christmas Holiday Table Decor (Red)",0.22598870056497175,800.0,3.4683333333333346,70.92706203135654,5.208,16.99
UNCERTAIN,5015302147396.0,199284475953.0,B0FRSL7JXV,Party Glass Stickers Golden,"Large Christmas Window Stickers, 106 PCS Gold Tree Xmas Window Stickers Reusable, Double-Side Visible PVC Christmas Window Clings for Home Shop Party Holiday Xmas Decorations Glass Decals",0.22429906542056074,800.0,2.6450000000000005,172.87581699346407,1.176,9.99
UNCERTAIN,8717847200594.0,,B0C6TV38T2,Cloudy White Bolsius Pillar Candle (150x 58mm),Bolsius Smooth Pillar Candles - White - 4-Pack - 15 x 6 cm - Length Burning Time 42 Hours - Unscented - Includes Natural Plant Wax - Without Palm Oil,0.28717948717948716,800.0,2.5045833333333345,135.38288288288294,1.56,9.55
UNCERTAIN,8717847200631.0,,B0C6TV38T2,Cloudy White Bolsius Pillar Candle (150x 58mm),Bolsius Smooth Pillar Candles - White - 4-Pack - 15 x 6 cm - Length Burning Time 42 Hours - Unscented - Includes Natural Plant Wax - Without Palm Oil,0.28717948717948716,800.0,2.0045833333333345,85.30141843971636,2.16,9.55
UNCERTAIN,5012866322139.0,,B0D2H5FPWX,Giant Play Food Set (2 Assorted),"Play Food Sets for Kids Kitchen-80PC Pretend Food with 2 Kids Picnic Basket, Toy Food with Pizza Toy, Plastic Food Cutting Toys, Play Kitchen Accessories - Fake Food, Boys Girls Gifts",0.20465116279069767,800.0,1.980000000000001,29.50819672131149,7.392,17.76
