category,Pack_Verdict,Adjusted_Profit,Adjusted_ROI,Qty_Ratio,Sup_Qty,Amz_Qty,sales,SupplierTitle,AmazonTitle,EAN,ASIN,SupplierPrice_incVAT,SellingPrice_incVAT
HIGH_CONFIDENCE,MATCH (1:1),19.540000000000003,571.3450292397662,1.0,1.0,1.0,50.0,Pomegranate Noir Body Care,Jo Malone Pomegranate Noir Body Creme 1.7oz/50ml New,5010792754697,B07924ZBS1,3.42,38.1
EXACT_EAN_MATCH,PROFITABLE SPLIT (1/20),17.4636,1820.262664165103,0.05,20.0,1.0,50.0,Oasis Ideal Foam Maxlife Brick (20 pk),OASIS BIO Foam Shrink WRAP Brick,5024242073030,B07BY6QFQL,19.188,27.69
MODERATE_CONFIDENCE,MATCH (1:1),16.032916666666665,593.8117283950616,1.0,1.0,1.0,50.0,Badminton Two Player Set,"Carlton Nanomax Pro Ti Badminton Set, 2 Player Set with Rackets, Carry Cover & Shuttles",5050565546265,B0FQK4M4VR,2.7,29.99
MODERATE_CONFIDENCE,MATCH (1:1),14.002916666666664,272.642458463136,1.0,1.0,1.0,50.0,Medium Round Basket with Liner,"Natural Finish Round Laundry Wicker Basket Cotton Liner with Lid Bathroom Storage (Brown, Medium)",5051211241565,B082MPZMZT,5.136,29.99
MODERATE_CONFIDENCE,MATCH (1:1),13.5,2083.333333333333,1.0,1.0,1.0,100.0,Wheel Barrow and Accessories Sand Set,"Delex Pull along Kids Wagon Wheelbarrow and Gardening, Beach and Tools Play Set With Water Pail and Spray Includes 10 Accessories and 4 Plant Pots",5025572149068,B08MZRBNRT,0.648,24.0
MODERATE_CONFIDENCE,MATCH (1:1),12.095000000000004,168.26655537006127,1.0,1.0,1.0,50.0,Metallic Reindeer Head Hanging Decoration - Silver (30cm),Taylor & Brown 85cm Light Up Reindeer Stag Head Metal Framed Deer Stags Head Christmas Xmas Wall Decoration Plug in with 80 LED's for Indoor Outdoor (Warm White),nan,B09LR315WH,7.188000000000001,34.95
MODERATE_CONFIDENCE,MATCH (1:1),11.407916666666669,1901.3194444444448,1.0,1.0,1.0,200.0,Christmas Felt Santa Hat,100 x Festive/Christmas/Xmas Felt Santa Hats - Bulk Buy - Traditional Holiday Party Costume Accessories,5012128621277,B00P6MO4U4,0.6,20.99
MODERATE_CONFIDENCE,MATCH (1:1),10.539583333333333,1330.7554713804714,1.0,1.0,1.0,50.0,Double Bubble Solution Bottle 70ml CDU Assorted Colours,"Bramble - Pack 9"" Frisbee Flying Disc Saucers for Kids & Adults Outdoor Fun Play Activity - 3 Assorted Colours, 23cm",5056283828300,B079FV4K43,0.792,19.99
MODERATE_CONFIDENCE,MATCH (1:1),8.578333333333337,159.9241859308974,1.0,1.0,1.0,50.0,Christmas Holly China Gravy Boat,"Portmeirion Home & Gifts The Holly & Ivy Gravy Boat and Stand, Ceramic, Multi-Colour",5022896110125,B0000X1MEK,5.364,22.6
MODERATE_CONFIDENCE,MATCH (1:1),5.838333333333332,114.47712418300652,1.0,1.0,1.0,50.0,Younger Girls Polo Brush Back Hooded Summer Onesie (2-5 Years),Ceruwum Girls Unicorn Sleepsuit Kids Unicorn Onesie Pyjamas,5055442140567,B09VFJGKCZ,5.1,19.99
MODERATE_CONFIDENCE,MATCH (1:1),5.633333333333334,215.3414882772681,1.0,1.0,1.0,50.0,Colorful Christmas Dome Light-Up Spinner,Premier 32cm Battery Operated Light up Water Spinner Christmas Tree with Warm White LEDs with Timer,5015934921555,B01L3WZJY0,2.616,16.84
MODERATE_CONFIDENCE,PROFITABLE SPLIT (1/25),5.633236666666668,17781.6813973064,0.04,25.0,1.0,50.0,Pack of 25 Small Pale Orange Rose Happy Mothers Day Cards,"Blank Cards with Envelopes - 48 Floral Blank Note Cards with Envelopes – 4 Assorted Cards for All Occasions! Blank Notecards Stationary Set for Happy Mothers Day Cards-4x5.5""",5056721892825,B07XQQT2QJ,0.792,11.99
MODERATE_CONFIDENCE,MATCH (1:1),5.515000000000001,170.21604938271605,1.0,1.0,1.0,200.0,Botanica Fern Plant (35cm),Stunning Boston Fern | Indoor Home or Office Plant | 25-35cm (Incl. Pot),5056721841786,B0869HF9ZR,3.24,15.99
MODERATE_CONFIDENCE,PROFITABLE BUNDLE (1x),5.4182,239.65852795470633,1.2,5.0,6.0,400.0,Ladies 5 Pack Trainer Socks with Mesh Insert and Arch Support (Assorted Designs),"Bamboo Trainer Socks Womens 6 Pairs, Breathable Cushioned Ladies Ankle Socks, Anti Blister Short Athletic Sports Running Sock, Low Cut Summer Walking Sock",5055442193280,B0DRVQ6ZQD,1.884,12.99
MODERATE_CONFIDENCE,MATCH (1:1),5.27125,549.0885416666667,1.0,1.0,1.0,50.0,Paint your Own Marble Bear Set (Assorted Designs),Craft Hub Marble Bear Creative Marble Pouring Kit Design/Paint Your Own Bear Childrens Kids Art & Craft (Pastel Edition),5053189097120,B0FR4ZXGQF,0.96,12.75
MODERATE_CONFIDENCE,MATCH (1:1),5.093333333333334,252.64550264550266,1.0,1.0,1.0,100.0,Summit Prolite 3W Aluminium Torch,"Sealey Aluminium Mini Hand Torch, 3W COB LED, 500lm, Super Beam - LED500SB",5035288137563,B09BFFWJM6,2.016,14.5
MODERATE_CONFIDENCE,MATCH (1:1),4.938333333333333,81.65233686067019,1.0,1.0,1.0,800.0,Christmas Musical Plush (Assorted),"Rainbow Designs Christmas Snowman Toy - Super Soft Musical Plush with Green Hat & Scarf, plays 'We're Walking in the Air', 19d x 14.5w x 20.5h",5016064113247,B0BHWXGK9Z,6.048,19.99
MODERATE_CONFIDENCE,MATCH (1:1),4.784999999999998,105.21108179419521,1.0,1.0,1.0,50.0,Light Willow Oval Tray Basket with Handles,Woodluv Oval Antique Wash Willow Wicker Picnic Hamper Shopping Storage Basket W/Handle - 39.5cm x 30cm x 37.5(H) cm,5056721862040,B00F2KN25S,4.548,21.99
MODERATE_CONFIDENCE,PROFITABLE BUNDLE (3x),4.766500000000001,121.4704383282365,3.0,1.0,3.0,50.0,Black & Gold Tree Pattern Glass Votive Candle Holder (8cm),"Christmas Candle Holder, Black and Gold Tea Light Candle Holders Set of 3, Xmas Glass Candle Holders with Stag Christmas Tree, Votive Candle Holder for Christmas, Party Table Decorations",5029316524333,B0DBQLV4P5,1.308,16.14
MODERATE_CONFIDENCE,MATCH (1:1),4.7600000000000025,124.3469174503658,1.0,1.0,1.0,200.0,Natural Trug Basket,Selections Natural Willow Garden Trug Storage Harvesting Basket with Folding Handles,5055398300831,B0BVGG136Y,3.828,19.98
MODERATE_CONFIDENCE,PROFITABLE SPLIT (1/2),4.713666666666667,534.4293272864701,0.5,2.0,1.0,50.0,Daytime Soother & Steriliser Box (2 Pack) (Assorted Designs),BIBS Pacifier Box with Strap. Soother Holder and Steriliser case. 100% BPA Free Food-Grade Material. Made in Denmark. Ivory,5015302108533,B0BFB8GLXJ,1.764,12.95
HIGH_CONFIDENCE,MATCH (1:1),4.676250000000002,105.60636856368568,1.0,1.0,1.0,50.0,Scented Pine Cones  (500grams),Milford Collection Scented Pine Cones - Winter Spice 2 x Bags 500g,nan,B075XQ4D13,4.428,15.99
MODERATE_CONFIDENCE,MATCH (1:1),4.345,362.0833333333333,1.0,1.0,1.0,300.0,Wooden Shape Sorter  by AtoZ Toys,Jaques of London Wooden Shape Sorter for 1 Year Old | Montessori Wooden Toys | Toddler Learning Toys | Premium Gifts Since 1795,5012866625094,B07NCZKFSJ,1.2,13.23
HIGH_CONFIDENCE,MATCH (1:1),4.0945833333333335,467.4181887366819,1.0,1.0,1.0,100.0,2 Metre Printed Foil Christmas Wrapping Paper (Assorted Designs),4 X 10M ROLLS CHRISTMAS XMAS WRAPPING PAPER ASSORTED DESIGNS ASOS SANTA BELL XMAS TREES STOCKING RUDOLPH TRADITIONAL,5053189098653,B0FXB6ZWJ4,0.876,10.99
MODERATE_CONFIDENCE,MATCH (1:1),4.04625,39.3450991831972,1.0,1.0,1.0,400.0,Blue Wreath with Cones & Baubles (36cm),"Christmas Wreath Blue Pine Cone Front Door Wreath with Gold Fern Leaf & Bauble Decorations Indoor/Outdoor Xmas Winter Wreath 13""",5056814422243,B0DHZNLZ7J,10.284,21.99
MODERATE_CONFIDENCE,MATCH (1:1),3.7229166666666673,171.40500306936772,1.0,1.0,1.0,50.0,LED Ceramic Christmas Ornament (Assorted Designs),16cm White Ceramic LED Christmas House Ornament | Light Up Christmas Village House Night Light Decoration - Design Varies One Supplied,5707167975756,B0BHF1R2R6,2.172,11.99
MODERATE_CONFIDENCE,MATCH (1:1),3.578333333333336,68.55044699872292,1.0,1.0,1.0,100.0,Highland Cow Candle,"Highland Cow Gifts - Luxury Soy Wax Candle - Vanilla, Jasmine, Sugared Almond - Makester",5010792544298,B0F6G2XLYP,5.22,16.99
MODERATE_CONFIDENCE,MATCH (1:1),3.521666666666669,497.41054613936006,1.0,1.0,1.0,100.0,Polystyrene Ball - 6cm.  Great for Sweetie Trees!,"Creativ Company Polystyrene Balls – 25 White Foam Balls (Ø 8 cm) for Crafting, Model-Making & School Projects – 8 cm Diameter Each",5707167451519,B002T21CC2,0.708,14.63
MODERATE_CONFIDENCE,MATCH (1:1),3.4262500000000005,413.79830917874403,1.0,1.0,1.0,400.0,Ladies Novelty Christmas Socks (Assorted Designs),Ladies Christmas Socks | Sock Snob | Womens Colourful Novelty Design Xmas Socks | Gift for Her,5056170317696,B0BCWQ4DXL,0.828,9.99
MODERATE_CONFIDENCE,PROFITABLE SPLIT (1/1),3.311666666666667,103.48958333333336,0.6666666666666666,3.0,2.0,300.0,3 Piece I Love My Daddy Gift Set (0-9 Months),Unisex Baby Sleepsuits 2 Pack – I Love Mummy & Daddy Cotton Footed Rompers – Newborn to 24 Months Baby Bodysuits for Boys and Girls,5050750063348,B0F9YLW28K,4.8,11.99
MODERATE_CONFIDENCE,MATCH (1:1),3.2600000000000007,274.4107744107745,1.0,1.0,1.0,300.0,Unpeeled Willow Ring (30cm),"RAYHER Willow Wreath, Ø 30cm x 7cm",5056721861296,B00LW3G5LW,1.188,11.94
MODERATE_CONFIDENCE,MATCH (1:1),3.168333333333333,334.21237693389594,1.0,1.0,1.0,300.0,Dog Harness (Assorted Designs),"Dog Harness Mesh Breathable Comfortable Pet Vest No Pull Adjustable Soft Padded Dog Power Strap (S, Red)",5015302203962,B075D4XNFV,0.948,10.99
MODERATE_CONFIDENCE,MATCH (1:1),3.116250000000001,259.68750000000006,1.0,1.0,1.0,50.0,Mint Imperials Candy Jar,Mint Imperial Sweets | 2kg Bulk Jar | Traditional Peppermint Flavoured Hard Candy | Vegetarian,nan,B0FVFXVFQ8,1.2,9.99
HIGH_CONFIDENCE,PROFITABLE SPLIT (1/2),3.105000000000001,98.5714285714286,0.5,2.0,1.0,50.0,Booja-Booja Hazelnut Crunch Chocolate Truffles (2 Pack),"Booja - Booja, Hazelnut Crunch Chocolate Truffle Loglets 115g",nan,B0CFXVT43L,6.3,11.49
MODERATE_CONFIDENCE,PROFITABLE SPLIT (1/2),3.105000000000001,98.5714285714286,0.5,2.0,1.0,500.0,Chrysal Plastic Backed Foam Ring 12inch (2 pk),"2 x Foam Rings with Plastic Backed Wreath Ring - 10"" 12"" 14"" (14"" Foam Ring x 2 - Plastic Back)",8719400015300,B07764GYBY,6.3,14.49
MODERATE_CONFIDENCE,MATCH (1:1),2.8516666666666666,114.2494658119658,1.0,1.0,1.0,300.0,Jelly Beans Mini Jar,Traditional Jelly Beans Gift Jar from The A-Z Retro Sweet Shop Collection…,nan,B017V1CNNM,2.496,12.59
MODERATE_CONFIDENCE,MATCH (1:1),2.7904166666666663,280.16231593038816,1.0,1.0,1.0,50.0,Christmas Wrapping Paper Disney Princess (50.2x69cm),Disney Princess Christmas Wrapping Paper 3 x 2M Rolls Gift Wrap for Boys or Girls - UK Made,5012213565646,B0FV4W8MF5,0.996,9.29
HIGH_CONFIDENCE,PROFITABLE BUNDLE (2x),2.789666666666667,664.2063492063493,2.5,20.0,50.0,200.0,Chupa Chups x20,Chupa Chups The Best of x50 Lollipops,nan,B0059G2S8M,0.168,8.99
MODERATE_CONFIDENCE,PROFITABLE SPLIT (1/3),2.765000000000001,601.0869565217395,0.3333333333333333,3.0,1.0,50.0,Kids 3pk Plain Sock - Navy 37-40 / 4-6,A2Z 4 Kids Boy's Socks-970 Socks,5055442154519,B0CJMMYHLC,1.38,6.99
MODERATE_CONFIDENCE,MATCH (1:1),2.691250000000002,63.17488262910803,1.0,1.0,1.0,100.0,Grey Cellular Cotton Baby Blanket (70 x 90cm),"Soft Touch Newborn Essentials 70 x 90cm Cotton Baby Cellular Blanket for Pram, Car Seat and Cot Bedding",5056188236934,B0DZDV3P74,4.26,12.99
MODERATE_CONFIDENCE,PROFITABLE BUNDLE (3x),2.6089166666666683,84.26733419465982,3.0,1.0,3.0,200.0,Christmas Stud Earrings (2 Designs) (Assorted Designs),YADOCA 3 Pairs Sterling Silver Christmas Stud Earrings for Women Girls Hypoallergenic Elk Christmas Tree Snowflake Xmas Earrings Christmas Jewelry,5012128621284,B0BK7QYNH5,1.032,11.99
MODERATE_CONFIDENCE,MATCH (1:1),2.5716666666666663,56.100930773705635,1.0,1.0,1.0,100.0,Suki - Small Sitting Realistic Dog - Border Terrier,Suki Gifts International Yomiko Classics Dogs Small Border Terrier Plush Toy,5053154121867,B07MPRXVZZ,4.584,14.69
MODERATE_CONFIDENCE,MATCH (1:1),2.5650000000000013,194.3181818181819,1.0,1.0,1.0,200.0,Pink Polka Dot Pattern Cotton Unbranded Velcro Bib,Baby's 0-6 Months 7 Pics of Soft Double Layers Cotton Absorbent Bandana 7 Bibs Set,5060251958586,B07KVT1LG2,1.32,9.99
HIGH_CONFIDENCE,PROFITABLE SPLIT (1/2),2.5483333333333347,339.77777777777794,0.5,2.0,1.0,200.0,Booja-Booja Almond Salted Caramel Chocolate Truffles (2 Pack),"Booja - Booja, Almond Salted Caramel Vegan Chocolate Truffles 92g",5060002043868,B086T58NJK,1.5,7.99
MODERATE_CONFIDENCE,PROFITABLE SPLIT (1/2),2.3578000000000006,1002.4659863945582,0.4,25.0,10.0,50.0,Christmas Nutcracker Florist Card (Pack of 25),Marie Curie Charity Christmas Cards Nutcracker Watercolour Design 14 x 14 cm Pack of 10 with Envelopes Traditional,5056721892573,B0FMKN1DM6,0.588,6.99
HIGH_CONFIDENCE,MATCH (1:1),2.338333333333334,231.97751322751324,1.0,1.0,1.0,50.0,Impressions Silverplated Photo Frame Flat Edge - 4 Inch  X 6 Inch,"Silver Plated Flat Edge Picture Photo Frame - 4"" x 6""",5056170378185,B0032XFIGS,1.008,9.01
MODERATE_CONFIDENCE,PROFITABLE BUNDLE (4x),2.3309166666666643,29.975780178326445,4.0,1.0,4.0,50.0,Pretty Flower Bone China Embossed Mug 12oz by Modena (Assorted Designs),Set Of 4 Mugs Bohemian Modern Design Embossed Mugs New Bone China Coffee Tea Cups Mug Set Stylish Trendy Boho,5015302417864,B0BBVPLGGL,1.944,17.99
MODERATE_CONFIDENCE,MATCH (1:1),2.325000000000002,64.58333333333339,1.0,1.0,1.0,100.0,Grey Cellular Cotton Baby Blanket (70 x 90cm),"Soft Touch Newborn Essentials 70 x 90cm Cotton Baby Cellular Blanket for Pram, Car Seat and Cot Bedding",5056188213256,B0DZDY6ZKG,3.6,12.99
HIGH_CONFIDENCE,MATCH (1:1),2.2733333333333343,52.91744258224708,1.0,1.0,1.0,50.0,Miyoni Westie 8inch,"MiYoni Dogs 13127 8-inch Westie, White",5050565207258,B007HLKFBO,4.296,13.9
MODERATE_CONFIDENCE,PROFITABLE SPLIT (1/12),2.2703333333333333,434.92975734355053,0.08333333333333333,12.0,1.0,900.0,Happy Birthday Female Banner (pack Of 12),"Happy Birthday Banner, Birthday Decorations for Girls and Women with 12 inch Balloons Banner Bunting Decorations Green Pink.",5055579157995,B0BHLFLZ29,6.263999999999999,5.89
MODERATE_CONFIDENCE,PROFITABLE SPLIT (1/2),2.2515833333333335,335.0570436507937,0.5,2.0,1.0,200.0,Kids Christmas Socks (Pack of 2),Kids Christmas Socks | Sock Snob | Novelty Fun Pattern Xmas Gift Socks for Boys & Girls,5017224828667,B0BCWVQSMD,1.344,7.99
HIGH_CONFIDENCE,MATCH (1:1),2.2383333333333333,121.91358024691357,1.0,1.0,1.0,100.0,19cm Round Two Tone Seagrass and Green Paper Basket,JVL Natural Round Seagrass Waste Paper Basket,5056721861975,B005NG8E0E,1.836,13.99
MODERATE_CONFIDENCE,PROFITABLE BUNDLE (6x),2.2283333333333335,57.313100137174224,6.0,1.0,6.0,50.0,Farm Tractor  (Assorted Designs),Toyland® Pack of 6 Die Cast Metal Farm Tractor & Implements Set - Approx. 5cm - 4 Assorted Designs - 1 Chosen at Random,5016064058685,B084YTSGR5,0.648,13.99
MODERATE_CONFIDENCE,MATCH (1:1),2.22375,223.26807228915663,1.0,1.0,1.0,100.0,Christmas Wrapping Paper Peppa Pig (50.2x69cm),Peppa Pig Christmas Wrapping Paper 3 x 2M Rolls Gift Wrap for Boys or Girls - UK Made,5012213565653,B0FV4K2GWL,0.996,8.49
MODERATE_CONFIDENCE,PROFITABLE SPLIT (1/5),2.2150000000000007,461.4583333333335,0.2,5.0,1.0,50.0,Girls Underwear Briefs Packs (5 packs) (2-6 yrs) (Assorted Designs),New Girls Underwear | Cotton Mix Young Girls Pants | Kids Briefs | Multipack Knickers,5056188229387,B0CCNZWGF5,2.4,6.99
MODERATE_CONFIDENCE,PROFITABLE BUNDLE (2x),2.099000000000002,61.15967365967372,2.0,1.0,2.0,100.0,Navy Ribbed Knee Length Socks with satin Flower & Diamonte  by Soft Touch,Sock Snob - Womens Long Knee High Bamboo Socks | 2 Pair Pack | Plain & Patterned | Gift for Ladies,5023797402081,B095CR44YJ,1.716,9.99
MODERATE_CONFIDENCE,PROFITABLE SPLIT (1/3),2.085000000000001,453.26086956521766,0.3333333333333333,3.0,1.0,100.0,Kids 3pk Plain Sock - Grey 27-30 / 9-12,A2Z 4 Kids Boy's Socks-970 Socks,5055442154496,B0CG3J5ZP8,1.38,6.99
MODERATE_CONFIDENCE,PROFITABLE SPLIT (1/10),2.0466666666666673,379.0123456790124,0.1,10.0,1.0,300.0,Green Birdhouse Bloomy (Pack of 10),2 X Wooden Nesting Box Bird House Nesting Box Small Birds Bluetit Robin Sparrow,nan,0545563704,5.4,10.4
HIGH_CONFIDENCE,MATCH (1:1),1.9912500000000013,39.044117647058854,1.0,1.0,1.0,50.0,Push Along Bus Shape Sorter,"Fun Time Time Shape Sorter Bus, 55889",5015302118105,B00O0YKYP8,5.1,12.99
EXACT_EAN_MATCH,MATCH (1:1),1.974999999999998,67.7297668038408,1.0,1.0,1.0,400.0,4 Metre Christmas Wrapping Paper Roll 6 Designs,Christmas Wrapping Paper 3 Rolls x 20M Presents Gift Wrap Xmas Party - 60 Metres Total,5015302127152,B08HV6BNM9,2.9160000000000004,14.79
MODERATE_CONFIDENCE,MATCH (1:1),1.9566666666666657,60.390946502057574,1.0,1.0,1.0,100.0,Ragdoll Plush Toy Assortment (6 Assorted),Ice King Bear Little Ragdoll Cat Stuffed Animal Kitten Plush Toy (Lying),5038104480409,B0D17FDNF2,3.24,12.2
MODERATE_CONFIDENCE,PROFITABLE BUNDLE (3x),1.8970000000000025,54.32416953035517,3.0,1.0,3.0,100.0,Black & White Christmas Tree Gift Bag (Extra Large),KAHEIGN 3Pcs Christmas Bag Santa Sack Canvas Bag with White Drawstrings - Christmas Elk Express Delivery Bags Gift Bags Extra Large Size 70 x 50cm,5056519287017,B08FR3SQYV,1.164,12.99
HIGH_CONFIDENCE,MATCH (1:1),1.815416666666668,11.247934737711697,1.0,1.0,1.0,50.0,Pink Sugared Almonds,Bulk Bag Sugared Almonds,5038168016965,B00T3JFY1Y,16.14,25.73
HIGH_CONFIDENCE,MATCH (1:1),1.7983333333333344,119.88888888888896,1.0,1.0,1.0,200.0,Booja-Booja Chocolate Orange Chocolate Truffles (92g),"Booja - Booja, Chocolate Orange Vegan Chocolate Truffles 92g",5060002043851,B08X7GVZ2B,1.5,7.99
HIGH_CONFIDENCE,MATCH (1:1),1.7983333333333344,119.88888888888896,1.0,1.0,1.0,200.0,Booja-Booja Honeycomb Caramel Chocolate Truffles (92g),"Booja - Booja, Honeycomb Caramel Vegan Chocolate Truffles 92g",5060002043875,B08X7F72B6,1.5,7.99
MODERATE_CONFIDENCE,MATCH (1:1),1.7566666666666677,102.36985236985244,1.0,1.0,1.0,50.0,Cotton-Rich Tights (Age 7-8),I.L.C.K Girls Back To School Plain Cotton Rich Tights,5055442154861,B07GZT5MQC,1.716,8.48
MODERATE_CONFIDENCE,MATCH (1:1),1.738333333333334,170.42483660130725,1.0,1.0,1.0,100.0,Soft Touch Blue Mittens (NB-12 Months),"Soft Touch Baby Boys Girls Pom Pom Hat Unisex Cable Knit Twist Hat Mittens Set 0-12 Months H648 (Blue), One Size",5023797303173,B09LTKDZZZ,1.02,7.69
MODERATE_CONFIDENCE,MATCH (1:1),1.735,190.24122807017545,1.0,1.0,1.0,600.0,Christmas Robins Christmas Cards (Pack 25),"Christmas cards pack - Robins on branch, 10 Christmas cards 2025 with 10 white envelopes - Designed, printed and hand-packed in the UK, by Just Cards Direct",5012213441261,B09CHL8TFG,0.912,6.99
MODERATE_CONFIDENCE,PROFITABLE SPLIT (1/3),1.7236666666666671,271.0167714884697,0.3333333333333333,3.0,1.0,900.0,Mens 3 Pack Christmas Design Socks,6x Pairs of Mens or Ladies Christmas Novelty Design Socks **Fantastic Gift Idea** (Mens),5056188242683,B00P2GUNUY,1.908,6.95
MODERATE_CONFIDENCE,MATCH (1:1),1.6795833333333337,137.22086056644883,1.0,1.0,1.0,200.0,Floral Tray Green,3 x Florists Plastic Green Single Brick Trays.,5055141667068,6042669850,1.224,7.99
MODERATE_CONFIDENCE,MATCH (1:1),1.5170833333333336,30.10085978835979,1.0,1.0,1.0,100.0,10 Family Gingerbread Crackers (12inch),"RSW 10 Family Gingerbread 12"" Crackers – Fun Christmas Crackers with Gingerbread Man & Candy Cane Designs – Includes Hats, Mottos & Festive Gifts",5015302170318,B0FQCRCQKD,5.04,12.25
MODERATE_CONFIDENCE,MATCH (1:1),1.5016666666666671,658.6257309941521,1.0,1.0,1.0,50.0,Polystyrene Ball - 6cm.  Great for Sweetie Trees!,10 x Modelling Craft Polystyrene Foam Ball Sphere 6cm-White,5056117227545,B0CP9CZSLB,0.228,7.19
MODERATE_CONFIDENCE,MATCH (1:1),1.4433333333333322,17.20712128437449,1.0,1.0,1.0,700.0,Orange Zog Dragon Toy,"Zog the dragon 9inch Plush Soft Toy, Orange",5034566615717,B07DY2H1JJ,8.388,17.74
MODERATE_CONFIDENCE,MATCH (1:1),1.4366666666666683,120.93153759820441,1.0,1.0,1.0,50.0,Natural & Silver Hogla Basket With Liner (14 x 14cm),Compactor Cosmos Etna Basket - Stylish Black Woven Paper and Metal Frame Organizer - Medium Size (31X24X14 cm),5056721895734,B00G69NEN4,1.188,11.48
MODERATE_CONFIDENCE,PROFITABLE BUNDLE (3x),1.396250000000001,48.48090277777782,3.0,1.0,3.0,200.0,Christmas Kids Santa Plates (Pk6),"Christmas Xmas 3pcs Kids Childrens Micro Dinner Lunch Santa Festive Tableware Set Plate, Bowl & Cup, BPA Free",5012128606311,B0BN5V28TN,0.96,9.99
MODERATE_CONFIDENCE,MATCH (1:1),1.2616666666666674,35.16350798959497,1.0,1.0,1.0,200.0,Snowies 500g,Just Treats White Chocolate Snowies (500g Share Bag)…,nan,B01CEOAPF4,3.588,9.59
MODERATE_CONFIDENCE,MATCH (1:1),1.208333333333334,529.9707602339183,1.0,1.0,1.0,100.0,Card of 4 Deco Ribbon (Assorted Designs),10M Bundles of Mixed Ribbon off cuts Assorted Colours / sizes Premium Quality,5055139017936,B00V5FK3UG,0.228,4.99
MODERATE_CONFIDENCE,MATCH (1:1),1.1858333333333335,11.97811447811448,1.0,1.0,1.0,50.0,8 Premium Wreath Crackers (12.5inch),"RSW 8 Premium Burgundy Joy 12.5"" Christmas Crackers Luxury Festive Party Gold",5015302170196,B0FHBHV536,9.9,17.5
MODERATE_CONFIDENCE,MATCH (1:1),1.1366666666666665,94.72222222222221,1.0,1.0,1.0,100.0,Blue Plain Fleece Baby Blanket By First Steps,"Genuine""First Steps"" Luxury Soft Fleece Baby Blanket in Cute Elephant Design 75 x 100cm for Babies from Newborn",5015302106874,B00EXPGYOE,1.2,7.88
MODERATE_CONFIDENCE,MATCH (1:1),1.1116666666666666,99.6117084826762,1.0,1.0,1.0,600.0,Cute 'My 1st Xmas' Velcro Bib by Soft Touch,BabyPrem Baby Bib My 1st Christmas Spoil Me Feeding Clothes Boy Girl Unisex Red,5023797201264,B0764F73LZ,1.116,5.99
MODERATE_CONFIDENCE,PROFITABLE SPLIT (1/3),1.1109166666666668,322.94089147286826,0.3333333333333333,3.0,1.0,100.0,Christmas Earrings (Pack of 3) (Assorted Designs),"Multicolor Flashing Christmas Earrings - Assorted Designs, 1 Pc - Perfect For Uplifting Celebrations & Xmas Gift",5012128606953,B0CXFY442Q,1.032,5.99
HIGH_CONFIDENCE,MATCH (1:1),1.0466666666666693,20.42674993494671,1.0,1.0,1.0,300.0,Dried Whole Green Oranges,Dried Whole Green Oranges,5056814451977,B00PXRUN8Y,5.124,12.98
EXACT_EAN_MATCH,MATCH (1:1),0.9650000000000004,53.61111111111113,1.0,21.0,21.0,100.0,Gold & Silver Kraft Ribbon Bow Set (Pack of 21),RSW Christmas 21 Piece Ribbon & Bow Set – 18 Gold & Silver Foil Bows with 3 x 7m Foil Ribbons – Luxury Festive Gift Wrapping Pack,5015302172121,B0FQCTLPKK,1.8,7.95
