category,is_exact_ean,Pack_Verdict,Adjusted_Profit,NetProfit,ROI,Qty_Ratio,Sup_Qty,Amz_Qty,title_match,sales,SupplierTitle,AmazonTitle,EAN,EAN_OnPage,ASIN,SupplierPrice_incVAT,SellingPrice_incVAT
UNCERTAIN,False,1:1 Match,46.47833333333334,46.47833333333334,5809.791666666667,1.0,1.0,1.0,0.21052631578947367,100.0,Metallic Gold Galaxy Bow On Header,"UGEARS Sky Watcher Tourbillon Table Clock - 3D Wooden Puzzles For Adults, Wooden Model Kits for Adults to Build - Astronomical Mechanical DIY 3D Puzzle Clock, 3D Puzzles Adult",5055579129145,4820184121324,B09LGTWHKF,0.3,74.11
UNCERTAIN,False,1:1 Match,201.9933333333333,201.9933333333333,5754.795821462489,1.0,1.0,1.0,0.12669683257918551,50.0,Tintagel Wild Berry Spray Yellow,"WAGNER Airless Control 150 M Paint Sprayer Wall Paints, Lacquers & Varnishes, Wood And Corrosion Protection - Interior And Exterior Usage, 0-900 Ml/min, Container Volume 5500 Ml, 7.5 M Hose",5055977370903,4004025095153,B07PQT8F2B,3.552,299.98
UNCERTAIN,False,1:1 Match,48.94833333333335,48.94833333333335,3652.860696517414,1.0,1.0,1.0,0.1794871794871795,50.0,Frosted Pine Cone & Greenery Pick (22cm),"Aigostar Smart WiFi Glass Panel Heater, Alexa Heating Control - 1500W Ultra-Thin Space Heater, Wall Mount or Floor Use, Quiet Touch Control with Timer & Eco Mode for Bedroom/Office - Holly Smart",5056814426777,8433325221911,B0F8Q44Z4T,0.948,83.59
UNCERTAIN,False,1:1 Match,49.425,49.425,3530.357142857143,1.0,1.0,1.0,0.18834080717488788,100.0,Assorted Puppy with Love Heart Plush (26cm),"UGEARS V8 Engine 3D Wooden Puzzles for Adults - Wooden Model Kits for Adults to Build DIY Craft, for Engineers, 3D Puzzle Model Engine Kit, 3D Puzzles Adult Hobby Kit, Brain Teaser",5050565665836,4820184122314,B0D9W1S3Y5,1.02,78.99
UNCERTAIN,False,1:1 Match,27.628333333333337,27.628333333333337,3453.541666666667,1.0,1.0,1.0,0.14285714285714285,50.0,Galaxy Bow Holographic Silver Bulk Pack,"Toy Clean-Up Vacuum for Children – Works with LEGO Bricks, LOL Doll Accessories & More – For Boys and Girls Aged 4–9 (PB-2101-UK)",5055579129701,nan,B0DM6RSVB4,0.3,49.99
MODERATE_CONFIDENCE,False,1:1 Match,23.47833333333334,23.47833333333334,2795.039682539683,1.0,1.0,1.0,0.3055555555555556,50.0,A New Star - Rocking Horse Pink,"HOMCOM Kids Rocking Rabbit, Plush Rocking Horse Ride-On w/Sound, Wood Base, Seatbelt, for Ages 18-36 Months, Pink",5056117203297,5056399111228,B08DL72YJP,0.348,49.09
UNCERTAIN,False,1:1 Match,34.572916666666664,34.572916666666664,2743.882275132275,1.0,1.0,1.0,0.18502202643171806,100.0,Capella Glass Votive (7cm x 8cm),"Aigostar 2000W Electric Fan Heater, Energy Efficient Space Heater with Remote Control, 70° Oscillation, 4 Modes, 24H Timer, Overheat & Tip-Over Protection - Silent Ceramic Heater for Home/Bedroom",5056519276349,nan,B0F7R9GN9X,0.852,53.99
UNCERTAIN,False,1:1 Match,27.65125,27.65125,2560.300925925926,1.0,1.0,1.0,0.15789473684210525,100.0,Sledging Snowman Gift Bag (Large),"Aigostar 2000W Electric Fan Heater, Energy Efficient Space Heater with Remote Control, 70° Oscillation, 4 Modes, 24H Timer, Overheat & Tip-Over Protection - Silent Ceramic Heater for Home/Bedroom",5056519287246,8433325182915,B0F7R9GN9X,0.636,48.99
UNCERTAIN,False,1:1 Match,80.31500000000003,80.31500000000003,2448.6280487804884,1.0,1.0,1.0,0.16831683168316833,100.0,Hortus Vienna Matt Pink Ceramic Pot (15cm),"ELFORDSON LED Gaming Chair with 8-Point Massage, Home Office Chairs with Head Pillow Lumbar Support, Video Game Chairs with Armrests Footrest, PU Leather, Black",5056721865577,nan,B0F82ZJCVQ,3.276,138.99
UNCERTAIN,False,1:1 Match,26.425,26.425,2446.759259259259,1.0,1.0,1.0,0.05333333333333334,100.0,Forest Lights Gift Bag (Large),"Aigostar 2000W Electric Fan Heater, Energy Efficient Space Heater with Remote Control, 70° Oscillation, 4 Modes, 24H Timer, Overheat & Tip-Over Protection - Silent Ceramic Heater for Home/Bedroom",5056519287185,8433325182915,B0F7R9GN9X,0.636,48.99
UNCERTAIN,False,1:1 Match,28.390000000000004,28.390000000000004,2426.495726495727,1.0,1.0,1.0,0.1784037558685446,200.0,Skating Scene Gift Bag (Large),Belaco Oil Filled Radiators 11 Fins Portable Electric Heater Adjustable Thermostat Control 3 Heat Settings Portable Heater Overheat Protection 2500W Energy Efficient Heavy-Duty Castor,5056519286768,5060598911466,B09MZDW551,0.744,52.86
UNCERTAIN,False,1:1 Match,27.52125,27.52125,2274.4834710743803,1.0,1.0,1.0,0.11864406779661017,100.0,Merry Christmas Reindeer Gift Bag (Large),"Aigostar 2000W Electric Fan Heater, Energy Efficient Space Heater with Remote Control, 70° Oscillation, 4 Modes, 24H Timer, Overheat & Tip-Over Protection - Silent Ceramic Heater for Home/Bedroom",5056519287123,8433325182915,B0F7R9GN9X,0.792,48.99
UNCERTAIN,False,SPLIT (1/4) - OK,28.94000000000001,28.31000000000001,2264.8,0.25,4.0,1.0,0.1004566210045662,200.0,Pack of 4 Silver Disco Bauble (10cm),Belaco Oil Filled Radiators 11 Fins Portable Electric Heater Adjustable Thermostat Control 3 Heat Settings Portable Heater Overheat Protection 2500W Energy Efficient Heavy-Duty Castor,5056170340700,5060598911466,B09MZDW551,0.84,52.86
UNCERTAIN,False,1:1 Match,27.51125,27.51125,2255.020491803278,1.0,1.0,1.0,0.06060606060606061,100.0,Forest Lights Gift Bag (Extra Large),"Aigostar 2000W Electric Fan Heater, Energy Efficient Space Heater with Remote Control, 70° Oscillation, 4 Modes, 24H Timer, Overheat & Tip-Over Protection - Silent Ceramic Heater for Home/Bedroom",5056519287178,8433325182915,B0F7R9GN9X,0.804,48.99
UNCERTAIN,False,1:1 Match,26.335,26.335,2250.854700854701,1.0,1.0,1.0,0.11403508771929824,100.0,Christmas Jumper Gift Bag (Small),"Aigostar 2000W Electric Fan Heater, Energy Efficient Space Heater with Remote Control, 70° Oscillation, 4 Modes, 24H Timer, Overheat & Tip-Over Protection - Silent Ceramic Heater for Home/Bedroom",5056519200733,8433325182915,B0F7R9GN9X,0.744,48.99
UNCERTAIN,False,1:1 Match,26.285,26.285,2154.508196721311,1.0,1.0,1.0,0.15517241379310345,100.0,Hanging Bauble Gift Bag (Extra Large),"Aigostar 2000W Electric Fan Heater, Energy Efficient Space Heater with Remote Control, 70° Oscillation, 4 Modes, 24H Timer, Overheat & Tip-Over Protection - Silent Ceramic Heater for Home/Bedroom",5056519287208,8433325182915,B0F7R9GN9X,0.804,48.99
UNCERTAIN,False,1:1 Match,22.965,22.965,2050.4464285714284,1.0,1.0,1.0,0.17721518987341772,100.0,14 inch  Number Balloon - 7 - Hot Pink,"5in1 STEM Building Toys for Kids 6-14, Remote & APP Controlled Mech Robots/Heavy Tanks/Tracked Racer STEM Building Kit for Kid Science Learning, 552 Pcs DIY Building Blocks Set Gifts for Boys & Girls",742554363230,nan,B0DB5MZKN1,0.6839999999999999,39.99
UNCERTAIN,False,1:1 Match,38.71666666666667,38.71666666666667,1995.704467353952,1.0,1.0,1.0,0.14018691588785046,100.0,Eggshell Curling Ribbon 5mm x 500m,"UGEARS V8 Engine 3D Wooden Puzzles for Adults - Wooden Model Kits for Adults to Build DIY Craft, for Engineers, 3D Puzzle Model Engine Kit, 3D Puzzles Adult Hobby Kit, Brain Teaser",8001565204010,nan,B0D9W1S3Y5,1.668,60.8
UNCERTAIN,False,1:1 Match,26.175,26.175,1968.045112781955,1.0,1.0,1.0,0.1504424778761062,100.0,Christmas Tree Gift Bag (Large),"Aigostar 2000W Electric Fan Heater, Energy Efficient Space Heater with Remote Control, 70° Oscillation, 4 Modes, 24H Timer, Overheat & Tip-Over Protection - Silent Ceramic Heater for Home/Bedroom",5056519286669,8433325182915,B0F7R9GN9X,0.936,48.99
UNCERTAIN,False,1:1 Match,26.175,26.175,1968.045112781955,1.0,1.0,1.0,0.22764227642276422,100.0,Black & White Christmas Tree Gift Bag (Extra Large),"Aigostar 2000W Electric Fan Heater, Energy Efficient Space Heater with Remote Control, 70° Oscillation, 4 Modes, 24H Timer, Overheat & Tip-Over Protection - Silent Ceramic Heater for Home/Bedroom",5056519286997,8433325182915,B0F7R9GN9X,0.936,48.99
UNCERTAIN,False,1:1 Match,26.165000000000003,26.165000000000003,1952.6119402985075,1.0,1.0,1.0,0.15702479338842976,100.0,Merry Christmas Reindeer Gift Bag (Extra Large),"Aigostar 2000W Electric Fan Heater, Energy Efficient Space Heater with Remote Control, 70° Oscillation, 4 Modes, 24H Timer, Overheat & Tip-Over Protection - Silent Ceramic Heater for Home/Bedroom",5056519287116,8433325182915,B0F7R9GN9X,0.948,48.99
UNCERTAIN,False,1:1 Match,26.125000000000004,26.125000000000004,1893.115942028986,1.0,1.0,1.0,0.05333333333333334,100.0,Forest Lights Gift Bag (Large),"Aigostar 2000W Electric Fan Heater, Energy Efficient Space Heater with Remote Control, 70° Oscillation, 4 Modes, 24H Timer, Overheat & Tip-Over Protection - Silent Ceramic Heater for Home/Bedroom",5056519287161,8433325182915,B0F7R9GN9X,0.996,48.99
UNCERTAIN,False,1:1 Match,26.125000000000004,26.125000000000004,1893.115942028986,1.0,1.0,1.0,0.11504424778761062,100.0,Hanging Bauble Gift Bag (Large),"Aigostar 2000W Electric Fan Heater, Energy Efficient Space Heater with Remote Control, 70° Oscillation, 4 Modes, 24H Timer, Overheat & Tip-Over Protection - Silent Ceramic Heater for Home/Bedroom",5056519287192,8433325182915,B0F7R9GN9X,0.996,48.99
