category,is_exact_ean,Pack_Verdict,Adjusted_Profit,NetProfit,Adjusted_ROI,ROI,Qty_Ratio,Sup_Qty,Amz_Qty,title_match,sales,SupplierTitle,AmazonTitle,EAN,EAN_OnPage,ASIN,SupplierPrice_incVAT,SellingPrice_incVAT
MODERATE_CONFIDENCE,False,1:1 Match,278.66333333333336,278.66333333333336,34659.61857379768,22841.25683060109,1.0,1.0,1.0,0.3,0.0,Shopkins Jumbo Eraser On       Blister Card                   (Assorted Designs),Osee GoStream Duet Live Streaming Switcher Multiple Camera SDI and HDMI Live Stream Video Mixer Switcher with SD Record and NDI HX Supported,8712916087472,769293552763,B0CZ97V8D9,0.804,385.0
UNCERTAIN,False,1:1 Match,351.595,351.595,27904.365079365085,21974.6875,1.0,1.0,1.0,0.1896551724137931,0.0,6 3cm Bells on wire (Rusty),"Modern Wooden Media Console, Slatted Door Design, Walnut Finish, Black Metal Base (180CM)",5056349268767,nan,B0FJ2QMSY7,1.26,540.45
UNCERTAIN,False,1:1 Match,617.19,617.19,20491.035856573704,20169.60784313726,1.0,1.0,1.0,0.11282051282051282,0.0,Felt Christmas Pompom Stocking (Assorted),"Ricoh (NEW) 360 Meeting Hub - 3-in-1, 360°, Plug-and-Play Conference Camera/Microphone/Speaker, 1920x1080, 3.6m/6m Video/Audio pickup range, 8Wx3 speakers",5053189047040,4961311987144,B0D7D75B8F,3.012,818.94
UNCERTAIN,False,1:1 Match,361.145,361.145,21344.267139479904,18425.76530612245,1.0,1.0,1.0,0.22608695652173913,0.0,Silver Bells on Wire (5cm),"Modern Wooden Media Console, Slatted Door Design, Walnut Finish, Black Metal Base (180CM)",5056349268743,nan,B0FJ2QMSY7,1.692,540.45
UNCERTAIN,False,1:1 Match,673.01,673.01,15578.935185185184,16217.108433734938,1.0,1.0,1.0,0.2601626016260163,0.0,Blue Ribbed Sleepsuit (NB-3 Months),HTC Vive Focus Vision — Mixed Reality and PC VR Headset + Controllers — Consumer Edition,75023797313102,4718487723607,B0DFWZCPZD,4.32,999.0
UNCERTAIN,False,1:1 Match,199.60833333333332,199.60833333333332,20792.534722222223,14785.802469135802,1.0,1.0,1.0,0.10810810810810811,0.0,Essential Vintage Nude Garden Rose,"TOPDON Thermal Camera TC002C for IOS 15/16 with Type-C Port, 512x384 TISR Resolution, -20-550℃, 25Hz, Video Recording, Infrared Test Report for Electric, House Maintenance, Pest lnspection",5056721852119,850050886365,B0D419BWHR,0.96,289.99
UNCERTAIN,False,1:1 Match,161.40999999999997,161.40999999999997,21694.892473118274,13795.726495726492,1.0,1.0,1.0,0.17467248908296942,0.0,Christmas & Poinsettia Gift Bag (Medium),WOLVERINE 10-Sheet Super Micro Cut High Security Level P-5 Heavy Duty Paper/CD/Card Ultra Quiet Shredder for Home Office by 60 Mins Running Time and 22-Litre Pullout Waste Bin SD9112(White),5056519200573,nan,B07SWB992S,0.744,249.9
UNCERTAIN,False,1:1 Match,161.40999999999997,161.40999999999997,21694.892473118274,13795.726495726492,1.0,1.0,1.0,0.14479638009049775,0.0,Christmas Tree Gift Bag (Medium),WOLVERINE 10-Sheet Super Micro Cut High Security Level P-5 Heavy Duty Paper/CD/Card Ultra Quiet Shredder for Home Office by 60 Mins Running Time and 22-Litre Pullout Waste Bin SD9112(White),5056519286676,nan,B07SWB992S,0.744,249.9
UNCERTAIN,False,1:1 Match,161.36,161.36,20069.65174129353,13226.22950819672,1.0,1.0,1.0,0.13445378151260504,0.0,Blue & Gold Christmas Tree Gift Bag (Extra Large),WOLVERINE 10-Sheet Super Micro Cut High Security Level P-5 Heavy Duty Paper/CD/Card Ultra Quiet Shredder for Home Office by 60 Mins Running Time and 22-Litre Pullout Waste Bin SD9112(White),5056519287147,nan,B07SWB992S,0.804,249.9
UNCERTAIN,False,1:1 Match,161.23999999999998,161.23999999999998,17008.438818565402,12032.83582089552,1.0,1.0,1.0,0.14479638009049775,0.0,Christmas Tree Gift Bag (Medium),WOLVERINE 10-Sheet Super Micro Cut High Security Level P-5 Heavy Duty Paper/CD/Card Ultra Quiet Shredder for Home Office by 60 Mins Running Time and 22-Litre Pullout Waste Bin SD9112(White),5056519287154,nan,B07SWB992S,0.948,249.9
UNCERTAIN,False,1:1 Match,120.07999999999998,120.07999999999998,20847.22222222222,11658.252427184463,1.0,1.0,1.0,0.11059907834101383,0.0,Traditional Santa Large  Bag,WOLVERINE 10-Sheet Super Micro Cut High Security Level P-5 Heavy Duty Paper/CD/Card Ultra Quiet Shredder for Home Office by 60 Mins Running Time and 22-Litre Pullout Waste Bin SD9112(Black),5056022178529,nan,B07SXDPVZZ,0.576,199.92
