category,Pack_Analysis_Verdict,Adjusted_Profit,Qty_Ratio,Sup_Qty,Amz_Qty,sales_numeric,SupplierTitle,AmazonTitle,EAN,ASIN
HIGH_CONFIDENCE,MATCH (1:1),19.54,1,1,1,50,Pomegranate Noir Body Care,Jo Malone Pomegranate Noir Body Creme 1.7oz/50ml New,5.01079E+12,B07924ZBS1
MODERATE_CONFIDENCE,MATCH (1:1),10.53958333,1,1,1,50,Double Bubble Solution Bottle 70ml CDU Assorted Colours,"Bramble - Pack 9"" Frisbee Flying Disc Saucers for Kids & Adults Outdoor Fun Play Activity - 3 Assorted Colours, 23cm",5.05628E+12,B079FV4K43
HIGH_CONFIDENCE,MATCH (1:1),4.75,1,1,1,200,Natural Trug With Folding Handle,Selections Natural Willow Garden Trug Storage Harvesting Basket with Folding Handles,5.05558E+12,B0BVGG136Y
HIGH_CONFIDENCE,MATCH (1:1),4.28,1,1,1,200,Natural Trug With Folding Handle,Selections Natural Willow Garden Trug Storage Harvesting Basket with Folding Handles,5.05558E+12,B0BVGG136Y
MODERATE_CONFIDENCE,MATCH (1:1),3.42625,1,1,1,400,Ladies Novelty Chistmas Socks (Assorted Designs),Ladies Christmas Socks | Sock Snob | Womens Colourful Novelty Design Xmas Socks | Gift for Her,5.05617E+12,B0BCWQ4DXL
MODERATE_CONFIDENCE,MATCH (1:1),3.42625,1,1,1,400,Ladies Novelty Christmas Socks (Assorted Designs),Ladies Christmas Socks | Sock Snob | Womens Colourful Novelty Design Xmas Socks | Gift for Her,5.05617E+12,B0BCWQ4DXL
MODERATE_CONFIDENCE,MATCH (1:1),2.61625,1,1,1,400,Ladies Novelty Chistmas Socks (Assorted Designs),Ladies Christmas Socks | Sock Snob | Womens Colourful Novelty Design Xmas Socks | Gift for Her,5.05544E+12,B0BCWQ4DXL
MODERATE_CONFIDENCE,MATCH (1:1),2.565,1,1,1,200,Pink Polka Dot Pattern Cotton Unbranded Velcro Bib,Baby's 0-6 Months 7 Pics of Soft Double Layers Cotton Absorbent Bandana 7 Bibs Set,5.06025E+12,B07KVT1LG2
MODERATE_CONFIDENCE,MATCH (1:1),2.565,1,1,1,200,Pink Stripe Pattern Cotton Unbranded Velcro Bib,Baby's 0-6 Months 7 Pics of Soft Double Layers Cotton Absorbent Bandana 7 Bibs Set,5.05612E+12,B07KVT1LG2
HIGH_CONFIDENCE,PROFITABLE SPLIT (1/2),2.548333333,0.5,2,1,200,Booja-Booja Almond Salted Caramel Chocolate Truffles (2 Pack),"Booja - Booja, Almond Salted Caramel Vegan Chocolate Truffles 92g",5.06E+12,B086T58NJK
MODERATE_CONFIDENCE,MATCH (1:1),2.465,1,1,1,200,Supersoft Plain cotton jersey Pink Pop On Bibs  by Soft Touch,Baby's 0-6 Months 7 Pics of Soft Double Layers Cotton Absorbent Bandana 7 Bibs Set,5.05612E+12,B07KVT1LG2
MODERATE_CONFIDENCE,PROFITABLE SPLIT (1/2),2.3578,0.4,25,10,50,Christmas Nutcracker Florist Card (Pack of 25),Marie Curie Charity Christmas Cards Nutcracker Watercolour Design 14 x 14 cm Pack of 10 with Envelopes Traditional,5.05672E+12,B0FMKN1DM6
MODERATE_CONFIDENCE,PROFITABLE SPLIT (1/2),2.251583333,0.5,2,1,200,Kids Christmas Socks (Pack of 2),Kids Christmas Socks | Sock Snob | Novelty Fun Pattern Xmas Gift Socks for Boys & Girls,5.01722E+12,B0BCWVQSMD
HIGH_CONFIDENCE,MATCH (1:1),2.238333333,1,1,1,100,19cm Round Two Tone Seagrass and Green Paper Basket,JVL Natural Round Seagrass Waste Paper Basket,5.05672E+12,B005NG8E0E
HIGH_CONFIDENCE,MATCH (1:1),2.175,1,1,1,200,Double layer cotton jersey blank bandana bib - navy,Baby's 0-6 Months 7 Pics of Soft Double Layers Cotton Absorbent Bandana 7 Bibs Set,,B07KVT1LG2
HIGH_CONFIDENCE,MATCH (1:1),2.175,1,1,1,200,Double layer cotton jersey blank bandana bib - baby pink,Baby's 0-6 Months 7 Pics of Soft Double Layers Cotton Absorbent Bandana 7 Bibs Set,5.05612E+12,B07KVT1LG2
HIGH_CONFIDENCE,MATCH (1:1),2.175,1,1,1,200,Double layer cotton jersey blank bandana bib  - Hot pink,Baby's 0-6 Months 7 Pics of Soft Double Layers Cotton Absorbent Bandana 7 Bibs Set,,B07KVT1LG2
HIGH_CONFIDENCE,MATCH (1:1),1.99125,1,1,1,50,Push Along Bus Shape Sorter,"Fun Time Time Shape Sorter Bus, 55889",5.0153E+12,B00O0YKYP8
MODERATE_CONFIDENCE,MATCH (1:1),1.756666667,1,1,1,50,Cotton-Rich Tights (Age 7-8),I.L.C.K Girls Back To School Plain Cotton Rich Tights,5.05544E+12,B07GZT5MQC
MODERATE_CONFIDENCE,MATCH (1:1),1.738333333,1,1,1,100,Soft Touch Blue Mittens (NB-12 Months),"Soft Touch Baby Boys Girls Pom Pom Hat Unisex Cable Knit Twist Hat Mittens Set 0-12 Months H648 (Blue), One Size",5.0238E+12,B09LTKDZZZ
MODERATE_CONFIDENCE,PROFITABLE SPLIT (1/3),1.723666667,0.333333333,3,1,900,Mens 3 Pack Christmas Design Socks,6x Pairs of Mens or Ladies Christmas Novelty Design Socks **Fantastic Gift Idea** (Mens),5.05619E+12,B00P2GUNUY
