EAN,EAN_OnPage,ASIN,SupplierTitle,AmazonTitle,bought_in_past_month,SupplierPrice_incVAT,SupplierPrice_exVAT,SellingPrice_incVAT,NetProceeds,NetProfit,ROI,ProfitMargin,match_type,matching_score
5010453365309,5060541944442,B0B4JTRWRG,Peter Rabbit Wheelbarrow,"Peter Rabbit Wheelbarrow Toy - Kids Wooden Toddler Garden Toys, Pretend Play - Childrens Toy Tools, Indoor Outdoor Gardening Set, Girls Boys - Official Licensed Peter Rabbit Gifts by Orange Tree Toys",,10.884,9.07,54.99,24.355,23.805,247.4532225,51.94762684,title_match,100.0
5010453005557,5060541944442,B0B4JTRWRG,Peter Rabbit Wheelbarrow,"Peter Rabbit Wheelbarrow Toy - Kids Wooden Toddler Garden Toys, Pretend Play - Childrens Toy Tools, Indoor Outdoor Gardening Set, Girls Boys - Official Licensed Peter Rabbit Gifts by Orange Tree Toys",,15.48,12.9,54.99,20.525,19.975,148.5130112,43.58974359,title_match,100.0
5056283878541,,B0CJQQPBH8,Garden Tool Set,"Garden Tools Set, 9 Pieces Gardening Hand Tool Gift Kit, Stainless Steel Gardening Gifts for Women & Men with Heavy Duty Tool Bag for Easy Storage",400,2.544,2.12,19.99,8.398333333,7.848333333,293.9450687,47.11355678,title_match,100.0
5012866659068,,B0C2Y9V3CF,Wooden Jigsaw Puzzle,"Wooden Puzzles for Adults and Kids, Mandala Hummingbird Jigsaw Puzzle, 300 Pieces, Colorful with Exquisite Box, Suitable for Home Decor and Gifts",200,2.52,2.1,16.99,6.508333333,5.958333333,224.8427673,42.08357858,title_match,100.0
5055579118200,5055141666252,B09QCT3VM2,Stained Softwood Trug Basket,Stained Softwood Trug Basket with Lining - Flower Plant Herb Gift,,0.84,0.7,12.65,5.850416667,5.300416667,424.0333333,50.28063241,title_match,100.0
5017224833999,5017224834026,B07T7HRZQX,Bambino Grey Plush Rabbit Large (31cm),Bambino Grey Soft Plush Bunny Rabbit Soft Toy Large 31cm,,5.748,4.79,19.9,5.233333333,4.683333333,87.70287141,28.24120603,title_match,100.0
5027148008014,655366052004,B08P9KTJN2,Bulldog Soft Toy (50cm),"Bulldog Plush Toy, 50cm Stuffed Animal Throw Plushie Pillow Doll, Soft Fluffy Puppy Dog Hugging Cushion - Present for Every Age & Occasion",,2.004,1.67,16.99,5.068333333,4.518333333,203.5285285,31.91288994,title_match,100.0
5056117265554,5065014374160,B0BLHWJRHF,Fluffy Bear 2 Piece Beige Hooded Set with Applique Design (9-12 Months),Fluffy Bear 2 Piece Beige Hooded Set with Applique Design (9-12 Months),,14.328,11.94,26.99,4.767916667,4.217916667,33.77034961,18.75324194,title_match,100.0
5012866658269,,B0C2Y9V3CF,Wooden Jigsaw Puzzle,"Wooden Puzzles for Adults and Kids, Mandala Hummingbird Jigsaw Puzzle, 300 Pieces, Colorful with Exquisite Box, Suitable for Home Decor and Gifts",200,4.98,4.15,16.99,4.458333333,3.908333333,83.15602837,27.60447322,title_match,100.0
5053154146372,5053154146389,B0CV83XKMY,Suki - Medium Oakley Otter,"Suki Gifts International, Medium Otter Oakley (14638)",,4.08,3.4,13.99,4.099583333,3.549583333,89.8628692,30.44674768,title_match,100.0
5050565582324,5050565649621,B0CPLM8D7Q,3 Ring Blue Paddling Pool (34 inch x 8 inch),"3 RING PADDLING POOL 34"" X 8"" BLUE",,5.676,4.73,14.16,2.89,2.34,44.31818182,19.83050847,title_match,100.0
5055141665415,5055141666252,B09QCT3VM2,Stained Softwood Trug Basket,Stained Softwood Trug Basket with Lining - Flower Plant Herb Gift,,4.404,3.67,12.65,2.880416667,2.330416667,55.22314376,22.10671937,title_match,100.0
