EAN_Supplier,EAN_Amazon,ASIN,SupplierTitle,AmazonTitle,SupplierURL,AmazonURL,Sales,NetProfit,ROI,SupplierPrice,AmazonPrice,MatchCategory,MatchScore,MatchReason
5010792754697.0,690251058983.0,B07924ZBS1,Pomegranate Noir Body Care,Jo Malone Pomegranate Noir Body Creme 1.7oz/50ml New,https://angelwholesale.co.uk/gift/gifts-by-recipient/gifts-for-her/all-gifts-for-women/pomegranate-noir-hand-lip-care-set/p1070517.html,https://www.amazon.co.uk/dp/B07924ZBS1,50.0,19.540000000000003,574.7058823529412,3.42,38.1,GROUP_3_UNCERTAIN,64.1025641025641,Moderate similarity - needs verification
5050565546265.0,,B0FQK4M4VR,Badminton Two Player Set,"Carlton Nanomax Pro Ti Badminton Set, 2 Player Set with Rackets, Carry Cover & Shuttles",https://angelwholesale.co.uk/sale/special-offers-occassions/badminton-set-assorted-/p1057492.html,https://www.amazon.co.uk/dp/B0FQK4M4VR,50.0,16.032916666666665,572.6041666666666,2.7,29.99,GROUP_3_UNCERTAIN,41.1214953271028,Moderate similarity - needs verification
5051211241565.0,5060618625595.0,B082MPZMZT,Medium Round Basket with Liner,"Natural Finish Round Laundry Wicker Basket Cotton Liner with Lid Bathroom Storage (Brown, Medium)",https://angelwholesale.co.uk/new/latest-hamper-supplies/round-basket-with-zigzag-design/p1064299.html,https://www.amazon.co.uk/dp/B082MPZMZT,50.0,14.002916666666664,289.915458937198,5.136,29.99,GROUP_3_UNCERTAIN,53.70967741935484,Product type match: basket
,5059799141987.0,B09LR315WH,Metallic Reindeer Head Hanging Decoration - Silver (30cm),Taylor & Brown 85cm Light Up Reindeer Stag Head Metal Framed Deer Stags Head Christmas Xmas Wall Decoration Plug in with 80 LED's for Indoor Outdoor (Warm White),https://angelwholesale.co.uk/Item/Mumbles-Reindeer.-30cm-toy022714,https://www.amazon.co.uk/dp/B09LR315WH,50.0,12.095000000000004,184.93883792048936,7.188000000000001,34.95,GROUP_3_UNCERTAIN,52.142857142857146,Product type match: decoration
5015302108465.0,,B0BCDRW9RY,Ragdoll Plush Toy Assortment (6 Assorted),CU-MATE 20 Inch Grey Ragdoll Cat Stuffed Toy Dolls Cute Handmade Plush Toy Ann Baker Cat Birthday Gift for Boys Girls,https://angelwholesale.co.uk/gift/gifts-by-recipient/baby-gifts/large-3d-plush-elephant-assorted-/p1053479.html,https://www.amazon.co.uk/dp/B0BCDRW9RY,100.0,10.768333333333334,210.31901041666669,5.484,27.85,GROUP_3_UNCERTAIN,45.769230769230774,"Product type match: plush, toy, doll"
5056283828300.0,,B079FV4K43,Double Bubble Solution Bottle 70ml CDU Assorted Colours,"Bramble - Pack 9"" Frisbee Flying Disc Saucers for Kids & Adults Outdoor Fun Play Activity - 3 Assorted Colours, 23cm",https://www.poundwholesale.co.uk/hoot-awesome-frisbee-assorted-colours-cdu,https://www.amazon.co.uk/dp/B079FV4K43,50.0,10.539583333333333,871.0399449035812,0.792,19.99,GROUP_3_UNCERTAIN,42.944785276073624,Moderate similarity - needs verification
,5060738831623.0,B08F7SKNP6,Natural Wood Adjustable Rocking Moses Basket Stand,"ELEGANT BABY Beary Nice Cream Palm Moses Basket with Deluxe Natural Rocking Stand, Adjustable Hood, Fibre Mattress & Padded Liner",https://angelwholesale.co.uk/baby/nursery/moses-baskets-stands/grey-wood-adjustable-rocking-moses-basket-stand/p1048120.html,https://www.amazon.co.uk/dp/B08F7SKNP6,50.0,9.095000000000002,50.38781163434904,21.0,54.99,GROUP_3_UNCERTAIN,42.42857142857143,Product type match: basket
,5060738831623.0,B08F7SKNP6,Natural Wood Adjustable Rocking Moses Basket Stand,"ELEGANT BABY Beary Nice Cream Palm Moses Basket with Deluxe Natural Rocking Stand, Adjustable Hood, Fibre Mattress & Padded Liner",https://angelwholesale.co.uk/baby/nursery/moses-baskets-stands/white-wood-adjustable-rocking-moses-basket-stand/p1048121.html,https://www.amazon.co.uk/dp/B08F7SKNP6,50.0,9.095000000000002,50.38781163434904,21.0,54.99,GROUP_3_UNCERTAIN,42.42857142857143,Product type match: basket
5056117210035.0,,B0CV5J77K3,Polka Dot Short Sleeve Unbranded Cotton Bodysuit (3-6m),"Bramble & Bear 3/6 Pack Short/Long Sleeve Baby Vests - Organic Cotton Unisex Baby Bodysuit Vests for 0-3 Years - Comfortable Bodysuits for Boys & Girls - Soft, Cosy, Cute",https://angelwholesale.co.uk/Item/Baby-Blue-Short-Sleeve-Unbranded-Cotton-Bodysuit-3-6m-bac01838,https://www.amazon.co.uk/dp/B0CV5J77K3,50.0,8.611249999999998,354.37242798353907,2.256,18.99,GROUP_3_UNCERTAIN,52.91469194312796,Product type match: bodysuit
5022896110125.0,,B0000X1MEK,Christmas Holly China Gravy Boat,"Portmeirion Home & Gifts The Holly & Ivy Gravy Boat and Stand, Ceramic, Multi-Colour",https://angelwholesale.co.uk/Item/Boat-Oars--O10126,https://www.amazon.co.uk/dp/B0000X1MEK,50.0,8.578333333333337,170.88313413014615,5.364,22.6,GROUP_3_UNCERTAIN,41.81818181818181,Moderate similarity - needs verification
5050565758200.0,,B09FLJJZCV,28cm Plush Handing Reindeer (Assorted),Christmas Stuffed Animal Cute Plush Moose Reindeer Stuffed Animal for Baby Boys Girls Home Bedroom Party Decoration,https://angelwholesale.co.uk/occasions/summer-holidays/travel/hand-fan-assorted-/p1064629.html,https://www.amazon.co.uk/dp/B09FLJJZCV,50.0,8.434583333333332,708.7885154061623,0.768,16.99,GROUP_3_UNCERTAIN,46.78807947019868,Product type match: plush
5056721895802.0,5060938436086.0,B0FTMP2WZP,Natural & Black Seagrass Basket (14cm x 15cm),"Straame Seagrass Storage Baskets Set of 4 - Handwoven Wicker Organisers with Handles, Steel-Reinforced Frame, Nesting Design - 30 x 22 x 15 cm, Natural seagrass material for Shelves, Bathroom and Home",https://angelwholesale.co.uk/home/all-home-and-decor/natural-black-seagrass-basket-with-liner-14-x-14cm-/p1067336.html,https://www.amazon.co.uk/dp/B0FTMP2WZP,300.0,6.478333333333332,352.0833333333332,1.548,19.99,GROUP_3_UNCERTAIN,41.60944206008584,Product type match: basket
5056721849270.0,5060938436086.0,B0FTMP2WZP,Natural & Black Seagrass Basket (14cm x 15cm),"Straame Seagrass Storage Baskets Set of 4 - Handwoven Wicker Organisers with Handles, Steel-Reinforced Frame, Nesting Design - 30 x 22 x 15 cm, Natural seagrass material for Shelves, Bathroom and Home",https://angelwholesale.co.uk/packaging/baskets-containers/natural-seagrass-braided-jute-basket-14cm-x-14cm-/p1064306.html,https://www.amazon.co.uk/dp/B0FTMP2WZP,300.0,6.278333333333332,307.76143790849665,1.788,19.99,GROUP_3_UNCERTAIN,41.60944206008584,Product type match: basket
5055442193280.0,,B0DRVQ6ZQD,Ladies 5 Pack Trainer Socks with Mesh Insert and Arch Support (Assorted Designs),"Bamboo Trainer Socks Womens 6 Pairs, Breathable Cushioned Ladies Ankle Socks, Anti Blister Short Athletic Sports Running Sock, Low Cut Summer Walking Sock",https://angelwholesale.co.uk/Item/Ladies-5-Pack-Assorted-Workout-Mesh-Insert-Trainer-Socks--S14169,https://www.amazon.co.uk/dp/B0DRVQ6ZQD,400.0,5.795,273.34905660377353,1.884,12.99,GROUP_3_UNCERTAIN,52.55458515283843,Product type match: sock
5056117230002.0,5056565043605.0,B0F8BTVNY8,White 100% Organic Cotton Unbranded Short Sleeve Bodysuit (0-3 Months),Baby Bodysuits Cotton 6 Pack Short Sleeve White Vests Tops Boy Girl,https://angelwholesale.co.uk/Item/Pink-Organic-Cotton-Unbranded-Short-Sleeve-Bodysuit-0-3-Months-gdr0714,https://www.amazon.co.uk/dp/B0F8BTVNY8,200.0,5.531666666666667,197.55952380952385,2.7,14.99,GROUP_3_UNCERTAIN,58.28358208955223,Product type match: bodysuit
