SupplierTitle,AmazonTitle,EAN_clean,EAN_OnPage_clean,ASIN,SupplierPrice_incVAT,SellingPrice_incVAT,NetProfit,ROI,sales,TitleMatch,MatchCategory
Gold Table Number Cards (12 Pack),John Deere Ride-on Tractor with Loader and Detachable Trailer,5055977003702,,B0002HZPUG,0.564,109.99,74.47958333333334,7301.919934640523,100,0.2553191489361702,LOW_CONFIDENCE
Metallic Gold Galaxy Bow On Header,"UGEARS Sky Watcher Tourbillon Table Clock - 3D Wooden Puzzles For Adults, Wooden Model Kits for Adults to Build - Astronomical Mechanical DIY 3D Puzzle Clock, 3D Puzzles Adult",5055579129145,4820184121324,B09LGTWHKF,0.3,74.11,46.47833333333334,5809.791666666667,100,0.21052631578947367,LOW_CONFIDENCE
Tintagel Wild Berry Spray Yellow,"WAGNER Airless Control 150 M Paint Sprayer Wall Paints, Lacquers & Varnishes, Wood And Corrosion Protection - Interior And Exterior Usage, 0-900 Ml/min, Container Volume 5500 Ml, 7.5 M Hose",5055977370903,4004025095153,B07PQT8F2B,3.552,299.98,201.9933333333333,5754.795821462489,50,0.12669683257918551,LOW_CONFIDENCE
Frosted Pine Cone & Greenery Pick (22cm),"Aigostar Smart WiFi Glass Panel Heater, Alexa Heating Control - 1500W Ultra-Thin Space Heater, Wall Mount or Floor Use, Quiet Touch Control with Timer & Eco Mode for Bedroom/Office - Holly Smart",5056814426777,8433325221911,B0F8Q44Z4T,0.948,83.59,48.94833333333335,3652.860696517414,50,0.1794871794871795,LOW_CONFIDENCE
Assorted Puppy with Love Heart Plush (26cm),"UGEARS V8 Engine 3D Wooden Puzzles for Adults - Wooden Model Kits for Adults to Build DIY Craft, for Engineers, 3D Puzzle Model Engine Kit, 3D Puzzles Adult Hobby Kit, Brain Teaser",5050565665836,4820184122314,B0D9W1S3Y5,1.02,78.99,49.425,3530.357142857143,100,0.18834080717488788,LOW_CONFIDENCE
Galaxy Bow Holographic Silver Bulk Pack,"Toy Clean-Up Vacuum for Children – Works with LEGO Bricks, LOL Doll Accessories & More – For Boys and Girls Aged 4–9 (PB-2101-UK)",5055579129701,,B0DM6RSVB4,0.3,49.99,27.628333333333337,3453.541666666667,50,0.14285714285714285,LOW_CONFIDENCE
Farm Animals (Assorted),"Farm Animals Toys for Kids with 120x80cm large Play Mat,38 Piece Farm Toys Play Sets with Jumbo Animals Figures,Tractor Toy and Farm Tools,Educational Farm Role Play for Kids 3 4 5 Years Olds",5016064056018,,B0F8BL96RP,0.18,34.99,21.67458333333333,3096.369047619048,200,0.17757009345794392,LOW_CONFIDENCE
Princess Party Invitations 20pk,"Mould King V8 Engine Building Blocks Sets, 10171 MOC Scale Model Kit with Battery and Motor, Collectible Set for Adults, Construction Toys for Teens(487 Pcs)",5050565139429,,B0DL47ZJR2,0.66,48.99,31.191250000000004,2835.568181818182,100,0.20212765957446807,LOW_CONFIDENCE
A New Star - Rocking Horse Pink,"HOMCOM Kids Rocking Rabbit, Plush Rocking Horse Ride-On w/Sound, Wood Base, Seatbelt, for Ages 18-36 Months, Pink",5056117203297,5056399111228,B08DL72YJP,0.348,49.09,23.47833333333334,2795.039682539683,50,0.3055555555555556,MODERATE_CONFIDENCE
Capella Glass Votive (7cm x 8cm),"Aigostar 2000W Electric Fan Heater, Energy Efficient Space Heater with Remote Control, 70° Oscillation, 4 Modes, 24H Timer, Overheat & Tip-Over Protection - Silent Ceramic Heater for Home/Bedroom",5056519276349,,B0F7R9GN9X,0.852,53.99,34.572916666666664,2743.882275132275,100,0.18502202643171806,LOW_CONFIDENCE
Sledging Snowman Gift Bag (Large),"Aigostar 2000W Electric Fan Heater, Energy Efficient Space Heater with Remote Control, 70° Oscillation, 4 Modes, 24H Timer, Overheat & Tip-Over Protection - Silent Ceramic Heater for Home/Bedroom",5056519287246,8433325182915,B0F7R9GN9X,0.636,48.99,27.65125,2560.300925925926,100,0.15789473684210525,LOW_CONFIDENCE
Hortus Vienna Matt Pink Ceramic Pot (15cm),"ELFORDSON LED Gaming Chair with 8-Point Massage, Home Office Chairs with Head Pillow Lumbar Support, Video Game Chairs with Armrests Footrest, PU Leather, Black",5056721865577,,B0F82ZJCVQ,3.276,138.99,80.31500000000003,2448.6280487804884,100,0.16831683168316833,LOW_CONFIDENCE
Forest Lights Gift Bag (Large),"Aigostar 2000W Electric Fan Heater, Energy Efficient Space Heater with Remote Control, 70° Oscillation, 4 Modes, 24H Timer, Overheat & Tip-Over Protection - Silent Ceramic Heater for Home/Bedroom",5056519287185,8433325182915,B0F7R9GN9X,0.636,48.99,26.425,2446.759259259259,100,0.05333333333333334,LOW_CONFIDENCE
Skating Scene Gift Bag (Large),Belaco Oil Filled Radiators 11 Fins Portable Electric Heater Adjustable Thermostat Control 3 Heat Settings Portable Heater Overheat Protection 2500W Energy Efficient Heavy-Duty Castor,5056519286768,5060598911466,B09MZDW551,0.744,52.86,28.390000000000004,2426.495726495727,200,0.1784037558685446,LOW_CONFIDENCE
Merry Christmas Reindeer Gift Bag (Large),"Aigostar 2000W Electric Fan Heater, Energy Efficient Space Heater with Remote Control, 70° Oscillation, 4 Modes, 24H Timer, Overheat & Tip-Over Protection - Silent Ceramic Heater for Home/Bedroom",5056519287123,8433325182915,B0F7R9GN9X,0.792,48.99,27.52125,2274.4834710743803,100,0.11864406779661017,LOW_CONFIDENCE
Pack of 4 Silver Disco Bauble (10cm),Belaco Oil Filled Radiators 11 Fins Portable Electric Heater Adjustable Thermostat Control 3 Heat Settings Portable Heater Overheat Protection 2500W Energy Efficient Heavy-Duty Castor,5056170340700,5060598911466,B09MZDW551,0.84,52.86,28.31000000000001,2264.8,200,0.1004566210045662,LOW_CONFIDENCE
Forest Lights Gift Bag (Extra Large),"Aigostar 2000W Electric Fan Heater, Energy Efficient Space Heater with Remote Control, 70° Oscillation, 4 Modes, 24H Timer, Overheat & Tip-Over Protection - Silent Ceramic Heater for Home/Bedroom",5056519287178,8433325182915,B0F7R9GN9X,0.804,48.99,27.51125,2255.020491803278,100,0.06060606060606061,LOW_CONFIDENCE
Christmas Jumper Gift Bag (Small),"Aigostar 2000W Electric Fan Heater, Energy Efficient Space Heater with Remote Control, 70° Oscillation, 4 Modes, 24H Timer, Overheat & Tip-Over Protection - Silent Ceramic Heater for Home/Bedroom",5056519200733,8433325182915,B0F7R9GN9X,0.744,48.99,26.335,2250.854700854701,100,0.11403508771929824,LOW_CONFIDENCE
Hanging Bauble Gift Bag (Extra Large),"Aigostar 2000W Electric Fan Heater, Energy Efficient Space Heater with Remote Control, 70° Oscillation, 4 Modes, 24H Timer, Overheat & Tip-Over Protection - Silent Ceramic Heater for Home/Bedroom",5056519287208,8433325182915,B0F7R9GN9X,0.804,48.99,26.285,2154.508196721311,100,0.15517241379310345,LOW_CONFIDENCE
14 inch  Number Balloon - 7 - Hot Pink,"5in1 STEM Building Toys for Kids 6-14, Remote & APP Controlled Mech Robots/Heavy Tanks/Tracked Racer STEM Building Kit for Kid Science Learning, 552 Pcs DIY Building Blocks Set Gifts for Boys & Girls",742554363230,,B0DB5MZKN1,0.6839999999999999,39.99,22.965,2050.4464285714284,100,0.17721518987341772,LOW_CONFIDENCE
Eggshell Curling Ribbon 5mm x 500m,"UGEARS V8 Engine 3D Wooden Puzzles for Adults - Wooden Model Kits for Adults to Build DIY Craft, for Engineers, 3D Puzzle Model Engine Kit, 3D Puzzles Adult Hobby Kit, Brain Teaser",8001565204010,,B0D9W1S3Y5,1.668,60.8,38.71666666666667,1995.704467353952,100,0.14018691588785046,LOW_CONFIDENCE
Black & White Christmas Tree Gift Bag (Extra Large),"Aigostar 2000W Electric Fan Heater, Energy Efficient Space Heater with Remote Control, 70° Oscillation, 4 Modes, 24H Timer, Overheat & Tip-Over Protection - Silent Ceramic Heater for Home/Bedroom",5056519286997,8433325182915,B0F7R9GN9X,0.936,48.99,26.175,1968.045112781955,100,0.22764227642276422,LOW_CONFIDENCE
Christmas Tree Gift Bag (Large),"Aigostar 2000W Electric Fan Heater, Energy Efficient Space Heater with Remote Control, 70° Oscillation, 4 Modes, 24H Timer, Overheat & Tip-Over Protection - Silent Ceramic Heater for Home/Bedroom",5056519286669,8433325182915,B0F7R9GN9X,0.936,48.99,26.175,1968.045112781955,100,0.1504424778761062,LOW_CONFIDENCE
Merry Christmas Reindeer Gift Bag (Extra Large),"Aigostar 2000W Electric Fan Heater, Energy Efficient Space Heater with Remote Control, 70° Oscillation, 4 Modes, 24H Timer, Overheat & Tip-Over Protection - Silent Ceramic Heater for Home/Bedroom",5056519287116,8433325182915,B0F7R9GN9X,0.948,48.99,26.165000000000003,1952.6119402985075,100,0.15702479338842976,LOW_CONFIDENCE
Hanging Bauble Gift Bag (Large),"Aigostar 2000W Electric Fan Heater, Energy Efficient Space Heater with Remote Control, 70° Oscillation, 4 Modes, 24H Timer, Overheat & Tip-Over Protection - Silent Ceramic Heater for Home/Bedroom",5056519287192,8433325182915,B0F7R9GN9X,0.996,48.99,26.125000000000004,1893.115942028986,100,0.11504424778761062,LOW_CONFIDENCE
Forest Lights Gift Bag (Large),"Aigostar 2000W Electric Fan Heater, Energy Efficient Space Heater with Remote Control, 70° Oscillation, 4 Modes, 24H Timer, Overheat & Tip-Over Protection - Silent Ceramic Heater for Home/Bedroom",5056519287161,8433325182915,B0F7R9GN9X,0.996,48.99,26.125000000000004,1893.115942028986,100,0.05333333333333334,LOW_CONFIDENCE
Blue Foil Circle Balloon (18 Inch),"LEGO ǀ Marvel Avengers: Endgame Thor vs. Chitauri - Building Toy with a Mech, Gorilla Figure & 7 Minifigures incl. Thor, Rocket & Iron Patriot - Super Hero Gift for 8+ Year Old Boys - 76322",2663520595,5702017817941,B0DWF1V6CT,0.648,35.99,20.37166666666667,1868.9602446483184,600,0.16143497757847533,LOW_CONFIDENCE
Purple Velvet Velvet Ribbon (38mm x 20m),"WAGNER Airless Control 150 M Paint Sprayer Wall Paints, Lacquers & Varnishes, Wood And Corrosion Protection - Interior And Exterior Usage, 0-900 Ml/min, Container Volume 5500 Ml, 7.5 M Hose",5056519230174,4004025095153,B07PQT8F2B,11.988,299.98,194.9633333333333,1849.7469955724223,50,0.13973799126637554,LOW_CONFIDENCE
