ASIN,EAN,SupplierTitle,AmazonTitle,TitleMatch,Verdict,Reasons,Sales,NetProfit,ROI
B00P2GUNUY,5056188242683.0,Mens 3 Pack Christmas Design Socks,6x Pairs of Mens or Ladies Christmas Novelty Design Socks **,0.4918032786885246,[OK] TRUE MATCH,Type match: sock,900.0,0.4516666666666671,21.10591900311528
B07DY2H1JJ,5034566615717.0,Orange Zog Dragon Toy,"Zog the dragon 9inch Plush Soft Toy, Orange",0.4375,[OK] TRUE MATCH,Brand match: zog; Type match: toy,700.0,1.4433333333333322,19.14235190097257
B0DWF1V6CT,5060251955882.0,Plain Blue 100% cotton velcro bibs by Soft Touch,LEGO ǀ Marvel Avengers: Endgame Thor vs. Chitauri - Building,0.17721518987341772,[??] NEEDS VERIFICATION,"Type MISMATCH: supplier=bib, amazon=different",500.0,19.971666666666668,1340.380313199105
B0CLP1DDVK,5035320531236.0,Baby large sleeved Nylon bibs by Nursery Time,Long Sleeve Bibs 5 Pack Waterproof Sleeved Bib Baby Toddler ,0.34108527131782945,[??] POSSIBLE MATCH,Type match: bib; Type match: baby,500.0,3.305000000000001,183.6111111111112
B0764F73LZ,5023797201264.0,Cute 'My 1st Xmas' Velcro Bib by Soft Touch,BabyPrem Baby Bib My 1st Christmas Spoil Me Feeding Clothes ,0.36065573770491804,[??] POSSIBLE MATCH,Type match: bib,600.0,1.1116666666666666,75.11261261261261
B0764F73LZ,,Cute 'My 1st Xmas' Velcro Bib by Soft Touch,BabyPrem Baby Bib My 1st Christmas Spoil Me Feeding Clothes ,0.36065573770491804,[??] POSSIBLE MATCH,Type match: bib,600.0,0.4716666666666667,22.248427672955977
B0DWF1V6CT,2663520595.0,Blue Foil Circle Balloon (18 Inch),LEGO ǀ Marvel Avengers: Endgame Thor vs. Chitauri - Building,0.16143497757847533,[??] NEEDS VERIFICATION,"Type MISMATCH: supplier=balloon, amazon=different",600.0,20.37166666666667,1868.9602446483184
B09FLDD3CM,5055579167444.0,Kraft With Moss Handle  Hand Tie Bag  (19x25cm),"HAUSPROFI 25pcs Kraft Paper Bags for Gifts, Food & Sweets, S",0.33,[??] POSSIBLE MATCH,Similarity only,900.0,3.1083333333333334,298.8782051282051
B004N9BSQE,5038451076485.0,Jungle Party Bowls,Spear & Jackson 8290RS Razorsharp Advance Heavy Duty Telesco,0.19607843137254902,[??] NEEDS VERIFICATION,Similarity only,600.0,15.638333333333332,903.9499036608864
B0B92RD41C,5015302118037.0,Rattle & Teether (2pcs),Infant Toys 0-3 Months Infant Rattles AIVIAI Baby Rattle Tee,0.2413793103448276,[??] NEEDS VERIFICATION,Similarity only,800.0,6.394999999999999,185.3623188405797
B0C2433ZJW,5012866021988.0,Football Trainer Set,YISSVIC Football Training Equipment Speed Agility Ladder Foo,0.25316455696202533,[??] NEEDS VERIFICATION,Similarity only,500.0,5.009583333333333,99.3964947089947
B0CS3TFMXQ,5050750046143.0,Watch Me Grow Hooded Pink Teddy Robe,"OHS Womens Dressing Gowns Teddy Fleece, Warm Cosy Fluffy Dre",0.23076923076923078,[??] NEEDS VERIFICATION,Similarity only,700.0,6.474583333333334,205.54232804232805
B08B5S51S2,5015302105105.0,Backpack Changing Bag and Mat,"Dikaslon Changing Bag Backpack, Large Nappy Back Pack Multif",0.22340425531914893,[??] NEEDS VERIFICATION,Similarity only,700.0,6.611666666666667,74.62377727614748
B0D7HVJH21,5034123100014.0,'Exclusive' Don't Panic its only a Baby Mug - Pink - Gift Bo,Eletorot Mum Christmas Gifts from Daughter Son Personalised ,0.23423423423423423,[??] NEEDS VERIFICATION,"Type MISMATCH: supplier=baby, amazon=different",600.0,5.088333333333334,379.726368159204
B0B5S4FT5H,5056721854311.0,Essential Yellow Daffodil Plant,Yellow Narcissus Daffodil Bulbs | Big Buy Value Pack | 40 Bu,0.24,[??] NEEDS VERIFICATION,Similarity only,500.0,3.9783333333333335,163.04644808743168
B0CBNGXNVT,5012866630081.0,Fabulous Wash Time Pals Bath Toy (4 Assrtd Designs) (Assorte,Glo Pals Original Water-Activated Light-up Sensory Bath Toy ,0.26765799256505574,[??] NEEDS VERIFICATION,Type match: toy,600.0,0.9350000000000016,21.395881006865025
B0BGFN7D4K,5053154296220.0,Reindeer Blanks Christmas Decoration - Personalisable,40 Pieces Wooden Baubles Wooden Christmas Decorations to Pai,0.2716049382716049,[??] NEEDS VERIFICATION,Similarity only,600.0,0.2012499999999997,8.600427350427339
B072PY36GF,5025192002866.0,Manhattan Display Basket (17 inch),Woodluv Grey Wicker Rectangular Storage Gift Hamper Basket W,0.26229508196721313,[??] NEEDS VERIFICATION,Type match: basket,500.0,0.7416666666666669,16.12318840579711
B09DYF462V,5015302107697.0,Soother And Holder (Assorted Designs),"6 PcsCase for Baby Dummy Case, Pacifier Case, Pacifier Holde",0.26136363636363635,[??] NEEDS VERIFICATION,Similarity only,500.0,0.3733333333333335,21.832358674463947
B0DBZNM49R,5012866017936.0,3D Wood Puzzle,ROKR 3D Puzzle Racing Car Wooden Model Kits for Adults Child,0.125,[XX] LIKELY FALSE,Similarity only,800.0,13.731666666666666,490.4166666666667
B0CDNT3PH2,5015302718961.0,Manicure Set (5 Piece),"MANSCAPED® Shears 3.0, 5-Piece Precision Men’s Nail Grooming",0.17272727272727273,[??] NEEDS VERIFICATION,Similarity only,800.0,7.820000000000001,528.3783783783784
B0D6RK49W8,5050565362438.0,Preschool Vehicles (6 Asstd),Wooden Toys Car Transporter Toy with 4 Cars Wooden Toys 2 3 ,0.17218543046357615,[??] NEEDS VERIFICATION,Similarity only,700.0,7.542500000000001,509.6283783783785
B0D2H5FPWX,28503050278.0,Giant Play Food Set (2 Assorted),Play Food Sets for Kids Kitchen-80PC Pretend Food with 2 Kid,0.20465116279069767,[??] NEEDS VERIFICATION,Similarity only,800.0,3.490000000000001,67.11538461538463
B0FFH7RY3R,5022896180494.0,Assorted England Gel Window Stickers (15x55cm),"Vicloon Baby Bandana Dribble Bibs Drool Bibs, 10pc Infant Te",0.2318840579710145,[??] NEEDS VERIFICATION,Similarity only,700.0,0.5283333333333344,41.93121693121702
B0D2H5FPWX,5012866322139.0,Giant Play Food Set (2 Assorted),Play Food Sets for Kids Kitchen-80PC Pretend Food with 2 Kid,0.20465116279069767,[??] NEEDS VERIFICATION,Similarity only,800.0,1.980000000000001,29.50819672131149
B0D8BHFLX2,5015302106478.0,Rubber Ducks (Pack of 3),Henbrandt 12 x Mini Christmas Rubber Ducks 12 Assorted Xmas ,0.2028985507246377,[??] NEEDS VERIFICATION,Similarity only,500.0,1.4200000000000004,91.02564102564104
B07WLLXKXR,742554361403.0,Letter Balloon - F - Silver (34 Inch),Dermaplaning Tool (9 Count) – Easy to Use Dermaplane Razor f,0.16521739130434782,[??] NEEDS VERIFICATION,"Type MISMATCH: supplier=balloon, amazon=different",700.0,4.738333333333333,379.06666666666666
B0DCVZ4SDM,5056721848570.0,Round Natural Seagrass Basket (H15.5cm x D21cm),"Novelty Gifts For Men Funny Socks, Gamer Stocking Fillers Fo",0.18181818181818182,[??] NEEDS VERIFICATION,"Type MISMATCH: supplier=basket, amazon=different",900.0,2.211666666666667,72.75219298245614
