RowID,bucket,MLS,MLS_band,title_match,sales,is_exact_ean_strict,EAN_digits,EAN_OnPage_digits,EAN_digits_normalized,EAN_OnPage_digits_normalized,EAN_strict_valid,EAN_OnPage_strict_valid,Supplier EAN,Amazon EAN,pack_supplier_count,pack_amazon_count,pack_supplier_evidence,pack_amazon_evidence,Qty_Ratio,Adjusted_Profit_baseline,NetProfit,NetProfit_num,ROI,ASIN,SupplierTitle,AmazonTitle,SupplierPrice_incVAT,SellingPrice_incVAT,ip_risk
1,OTHER,8,UNLIKELY_OTHER,0.11162790697674418,50.0,False,5015302477202,717710483480,5015302477202,717710483480,True,True,5015302477202,717710483480,,,,,,,83.45,83.45,6623.01587301587,B0FGHZB8FM,LUXURY CUPCAKE 100 CASES,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",0.852,129.0,False
2,OTHER,10,UNLIKELY_OTHER,0.1414141414141414,50.0,False,5050565845627,,5050565845627,,True,False,5050565845627,-,,,,,,,67.19625,67.19625,5507.88934426229,B0DN6BWS36,I LOVE YOU BALLOON 40CM,"Mould King V8 Engine Building Blocks Set, 2250 PCS Combustion Engine Model Kit That Runs, Mini Engine for Adults with Battery, Engineering Construction STEM Toy for Boys Girls",0.804,99.99,False
3,OTHER,2,UNLIKELY_OTHER,0.026905829596412557,100.0,False,5010353328800,5065018907005,5010353328800,5065018907005,True,True,5010353328800,5065018907005,,,,,,,82.135,82.135,4512.91208791208,B0D3M53JGG,MINKY CURVE SCOURER 2PC,"Powerful 2200W Premium Garment Steamer with 3L Water Tank, Dual Steam Settings for Rapid Wrinkle Release, Suitable for All Fabrics Including Delicates, Updated Design, Fridja f1200 Clothes Steamer Pro",1.524,132.99,False
4,OTHER,11,UNLIKELY_OTHER,0.1565217391304348,500.0,False,5022822226623,889328733407,5022822226623,889328733407,True,True,5022822226623,889328733407,,,,,,,64.85,64.85,4323.33333333333,B086ZJ8N2T,STATUS LED G9 2W LED CAPSULE BULB EACH,"17.5"" Portable DVD Player with 15.6"" Large HD Swivel Screen, 6 Hours Rechargeable Battery, Support USB/SD Card/Sync TV and Multiple Disc Formats, No Region Restrict, High Volume Speaker, Black",1.14,94.02,False
5,OTHER,14,UNLIKELY_OTHER,0.1981981981981982,50.0,False,4894158018552,,4894158018552,,True,False,4894158018552,-,,,,,,,41.565,41.565,3744.59459459459,B0DNSWBYMZ,FESTIVE MAGIC BELLS 8PC ASSORTED,"Hazel Quinn x Eduardo Recife 2-Slice Toaster, 6 Browning Levels, Defrost/Reheat/Cancel Functions, Removable Crumb Tray for Easy Cleaning, 1.5-Inch Extra-Wide Slots, Retro Style Collaboration",0.672,69.99,False
6,OTHER,18,UNLIKELY_OTHER,0.2631578947368421,100.0,False,5050565743725,,5050565743725,,True,False,5050565743725,-,,,,,,,44.6016666666666,44.6016666666666,3655.87431693989,B0FGCSDMBW,CEMENT FLOWER POT WITH SUCCULENT CIRCLE 3 ASSORTED,"Sewing Machine for Beginners â€“ Portable Electric with 12 Built-In Stitch Patterns, 6 Presser Feet, Foot Pedal, 2-Speed Control, Fast Sewing for Clothes, Fabrics, DIY & Home Use",0.804,74.99,False
7,OTHER,7,UNLIKELY_OTHER,0.09691629955947137,50.0,False,5055706641151,717710483480,5055706641151,717710483480,True,True,5055706641151,717710483480,,,,,,,82.42,82.42,3599.12663755458,B0FGHZB8FM,PROKLEEN SPUNLACE FLOOR MOP & HANDLE,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",2.088,129.0,False
8,OTHER,9,UNLIKELY_OTHER,0.1278538812785388,50.0,False,5055297302240,717710483480,5055297302240,717710483480,True,True,5055297302240,717710483480,,,,,,,82.33,82.33,3459.24369747899,B0FGHZB8FM,PLUNGER BUFFALO MINI PLUNGER,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",2.196,129.0,False
9,OTHER,6,UNLIKELY_OTHER,0.09174311926605505,300.0,False,5030017011138,,5030017011138,,True,False,5030017011138,-,,,,,,,90.505,90.505,3315.20146520146,B0FB36DTHD,PANASONIC UPRIGHT   SDB113,"ElecKeys Cordless Vacuum Cleaner,65 Mins 580W 48KPa 1.8L Vacuum Cleaners for Home,Self-Standing Anti-Tangle Vacuum,Handheld Vacuum Cleaner Rechargeable Wall-Mounted for Carpets Floors Pet Hair",2.616,144.99,False
10,OTHER,18,UNLIKELY_OTHER,0.25301204819277107,50.0,False,5012213580601,,5012213580601,,True,False,5012213580601,-,,,,,,,69.50125,69.50125,3116.64798206278,B08KYJWQPV,TOM SMITH CHRISTMAS CARDS LUXURY SLIM FOLIAGE TEXT,Nilfisk Core 130 Bar High Pressure Washer with Power Control - Mini Power Washer for Patios and Car Cleaner (1500 W),2.016,104.67,False
