RowID,SupplierTitle,AmazonTitle,EAN,EAN_OnPage,ASIN,NetProfit,Adjusted_Profit,ROI,sales,title_match,is_exact_ean_strict,Brand_Match,RSU,Pack_Verdict,Category,SubCategory,Filter_Reason
1,151 WHITE NO-DRIP GLOSS PAINT 300ML,"LG OLED48C45LA 48-Inch OLED Evo 4K UHD Smart TV, (Î±9 AI Processor Gen7, Dolby Atmos, Freeview Play and Amazon Alexa, 120Hz), Umber Brown [Model 2024]",5053249248073,nan,B0D4N6R7YG,595.636666666666,595.636666666666,2.2734223918575,500,0.20540540540540542,False,,1.0,1:1 Match,EXCLUDED,WEAK,Weak evidence
2,EUROWRAP GIANT BIRTHDAY BADGE GIRL 3,"Motorola edge 60 fusion, Pantone Slipstream, Moto AI Smartphone, 50MP Sony LYTIA Camera, with Co2 offset",5033601010654,nan,B0F43JDYKX,208.912916666666,208.912916666666,1.78558048433048,100,0.17142857142857143,False,,1.0,1:1 Match,EXCLUDED,WEAK,Weak evidence
3,LUXURY CUPCAKE 100 CASES,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",5015302477202,717710483480,B0FGHZB8FM,83.45,83.45,0.6623015873015871,50,0.11162790697674418,False,,1.0,1:1 Match,EXCLUDED,WEAK,Weak evidence
4,I LOVE YOU BALLOON 40CM,"Mould King V8 Engine Building Blocks Set, 2250 PCS Combustion Engine Model Kit That Runs, Mini Engine for Adults with Battery, Engineering Construction STEM Toy for Boys Girls",5050565845627,nan,B0DN6BWS36,67.19625,67.19625,0.550788934426229,50,0.1414141414141414,False,,1.0,1:1 Match,EXCLUDED,WEAK,Weak evidence
5,DLUX PEGS WITH SOFT RUBBER GRIP PLASTIC LARGE 12 PIECES,"Mould King V8 Engine Building Blocks Set, 2250 PCS Combustion Engine Model Kit That Runs, Mini Engine for Adults with Battery, Engineering Construction STEM Toy for Boys Girls",5060082728921,705736912404,B0DN6BWS36,62.165,62.165,0.522394957983193,50,0.20869565217391303,False,,1.0,1:1 Match,EXCLUDED,WEAK,Weak evidence
6,MINKY CURVE SCOURER 2PC,"Powerful 2200W Premium Garment Steamer with 3L Water Tank, Dual Steam Settings for Rapid Wrinkle Release, Suitable for All Fabrics Including Delicates, Updated Design, Fridja f1200 Clothes Steamer Pro",5010353328800,5065018907005,B0D3M53JGG,82.135,82.135,0.451291208791208,100,0.026905829596412557,False,,1.0,1:1 Match,EXCLUDED,WEAK,Weak evidence
7,STARWASH CLOTHES LINE 30M,"Mould King V8 Engine Building Blocks Set, 2250 PCS Combustion Engine Model Kit That Runs, Mini Engine for Adults with Battery, Engineering Construction STEM Toy for Boys Girls",5060082727214,705736912404,B0DN6BWS36,61.965,61.965,0.44579136690647403,50,0.08,False,,1.0,1:1 Match,EXCLUDED,WEAK,Weak evidence
8,STATUS LED G9 2W LED CAPSULE BULB EACH,"17.5"" Portable DVD Player with 15.6"" Large HD Swivel Screen, 6 Hours Rechargeable Battery, Support USB/SD Card/Sync TV and Multiple Disc Formats, No Region Restrict, High Volume Speaker, Black",5022822226623,889328733407,B086ZJ8N2T,64.85,64.85,0.43233333333333307,500,0.1565217391304348,False,,1.0,1:1 Match,EXCLUDED,WEAK,Weak evidence
9,CHEF AID LANC PEELER PLASTIC HAND,"NiwNiw Heavy Duty Trailer Hitch Lock with Forged Steel Safety Ball Ifor Williams Knott Avonride 50mm Head (575003/575004/575005/575008),High Security Anti-Theft Caravan Tow Bar Coupling Lock",5012904079582,nan,B0FLXV5TG6,54.3991666666666,54.3991666666666,0.43173941798941795,50,0.11659192825112108,False,,1.0,1:1 Match,EXCLUDED,WEAK,Weak evidence
10,ADORN PLACEMAT GOLD EMBOSSED 37CM ASSORTED,EVER ADVANCED Luxury Camping Chairs for Adults Heavy Duty Loadable 150kg High Back Oversized Folding Garden Chair Padded 6cm Comfy with Cup Holder Side Pocket Dining Chairs 4-Position Recliner,6923456819818,nan,B0DK877SSC,45.9462499999999,45.9462499999999,0.376608606557376,100,0.23076923076923078,False,,1.0,1:1 Match,EXCLUDED,WEAK,Weak evidence
11,FESTIVE MAGIC BELLS 8PC ASSORTED,"Hazel Quinn x Eduardo Recife 2-Slice Toaster, 6 Browning Levels, Defrost/Reheat/Cancel Functions, Removable Crumb Tray for Easy Cleaning, 1.5-Inch Extra-Wide Slots, Retro Style Collaboration",4894158018552,nan,B0DNSWBYMZ,41.565,41.565,0.374459459459459,50,0.1981981981981982,False,,1.0,1:1 Match,EXCLUDED,WEAK,Weak evidence
12,EASY STORAGE VACUUM BAG 70X100CM,John Deere Ride-on Tractor with Loader and Detachable Trailer,5414886287533,nan,B0002HZPUG,65.675,65.675,0.368960674157303,100,0.1935483870967742,False,,1.0,1:1 Match,EXCLUDED,WEAK,Weak evidence
13,CEMENT FLOWER POT WITH SUCCULENT CIRCLE 3 ASSORTED,"Sewing Machine for Beginners â€“ Portable Electric with 12 Built-In Stitch Patterns, 6 Presser Feet, Foot Pedal, 2-Speed Control, Fast Sewing for Clothes, Fabrics, DIY & Home Use",5050565743725,nan,B0FGCSDMBW,44.6016666666666,44.6016666666666,0.365587431693989,100,0.2631578947368421,False,,1.0,1:1 Match,EXCLUDED,WEAK,Weak evidence
14,CHEF AID MINI SPOUT BRUSH,"NiwNiw Heavy Duty Trailer Hitch Lock with Forged Steel Safety Ball Ifor Williams Knott Avonride 50mm Head (575003/575004/575005/575008),High Security Anti-Theft Caravan Tow Bar Coupling Lock",5012904000425,659381335623,B0FLXV5TG6,51.4166666666666,51.4166666666666,0.36465721040189103,50,0.10232558139534884,False,,1.0,1:1 Match,EXCLUDED,WEAK,Weak evidence
