EAN,EAN_OnPage,ASIN,SupplierTitle,AmazonTitle,SupplierURL,AmazonURL,bought_in_past_month,fba_seller_count,fbm_seller_count,total_offer_count,SupplierPrice_incVAT,SupplierPrice_exVAT,SellingPrice_incVAT,ReferralFee,FBAFee,PrepHouseFee,OutputVAT,InputVAT,NetProceeds,HMRC,NetProfit,ROI,Breakeven,ProfitMargin
5.05598E+12,,B0002HZPUG,Gold Table Number Cards (12 Pack),John Deere Ride-on Tractor with Loader and Detachable Trailer,https://angelwholesale.co.uk/Item/Square-Table-Number-Cards-1-12--msc07029,https://www.amazon.co.uk/dp/B0002HZPUG,100,,,,0.564,0.47,109.99,13.74875,2.41,0.55,18.33166667,3.43575,75.02958333,-3.43575,74.47958333,7301.919935,20.6145,81.25784162
5.05558E+12,4.82018E+12,B09LGTWHKF,Metallic Gold Galaxy Bow On Header,"UGEARS Sky Watcher Tourbillon Table Clock - 3D Wooden Puzzles For Adults, Wooden Model Kits for Adults to Build - Astronomical Mechanical DIY 3D Puzzle Clock, 3D Puzzles Adult",https://angelwholesale.co.uk/Item/Holographic-Gold-Galaxy-Bow-On-Header-msc07994,https://www.amazon.co.uk/dp/B09LGTWHKF,100,Available (see Keepa data),Available (see Keepa data),8,0.3,0.25,74.11,11.12,3.36,0.55,12.35166667,3.056,47.02833333,-3.056,46.47833333,5809.791667,18.336,75.25839968
5.05598E+12,4.00403E+12,B07PQT8F2B,Tintagel Wild Berry Spray Yellow,"WAGNER Airless Control 150 M Paint Sprayer Wall Paints, Lacquers & Varnishes, Wood And Corrosion Protection - Interior And Exterior Usage, 0-900 Ml/min, Container Volume 5500 Ml, 7.5 M Hose",https://angelwholesale.co.uk/craft/floristry/silk-flowers/tintagel-wild-berry-spray-green/p948473.html,https://www.amazon.co.uk/dp/B07PQT8F2B,50,,Available (see Keepa data),9,3.552,2.96,299.98,39,5.48,0.55,49.99666667,9.598,202.5433333,-9.598,201.9933333,5754.795821,57.588,80.80272018
5.05681E+12,8.43333E+12,B0F8Q44Z4T,Frosted Pine Cone & Greenery Pick (22cm),"Aigostar Smart WiFi Glass Panel Heater, Alexa Heating Control - 1500W Ultra-Thin Space Heater, Wall Mount or Floor Use, Quiet Touch Control with Timer & Eco Mode for Bedroom/Office - Holly Smart",https://angelwholesale.co.uk/-/new/latest-christmas/pine-cone-greenery-pick-22cm-/p1068856.html,https://www.amazon.co.uk/dp/B0F8Q44Z4T,50,,Available (see Keepa data),1,0.948,0.79,83.59,12.54,6.83,0.55,13.93166667,4.142,49.49833333,-4.142,48.94833333,3652.860697,24.852,70.26917095
5.05057E+12,4.82018E+12,B0D9W1S3Y5,Assorted Puppy with Love Heart Plush (26cm),"UGEARS V8 Engine 3D Wooden Puzzles for Adults - Wooden Model Kits for Adults to Build DIY Craft, for Engineers, 3D Puzzle Model Engine Kit, 3D Puzzles Adult Hobby Kit, Brain Teaser",https://angelwholesale.co.uk/occasions/valentines-day/-bears-plush-toys/plush-love-heart-with-clip-12cm-assorted-/p1059421.html,https://www.amazon.co.uk/dp/B0D9W1S3Y5,100,Available (see Keepa data),Available (see Keepa data),5,1.02,0.85,78.99,11.85,3.15,0.55,13.165,3.28,49.975,-3.28,49.425,3530.357143,19.68,75.08545385
5.05558E+12,,B0DM6RSVB4,Galaxy Bow Holographic Silver Bulk Pack,"Toy Clean-Up Vacuum for Children – Works with LEGO Bricks, LOL Doll Accessories & More – For Boys and Girls Aged 4–9 (PB-2101-UK)",https://angelwholesale.co.uk/Item/Holographic-Silver-Galaxy-Bow-msc07995,https://www.amazon.co.uk/dp/B0DM6RSVB4,50,Available (see Keepa data),,1,0.3,0.25,49.99,7.5,5.73,0.55,8.331666667,2.806,28.17833333,-2.806,27.62833333,3453.541667,16.836,66.32126425
5.01606E+12,,B0F8BL96RP,Farm Animals (Assorted),"Farm Animals Toys for Kids with 120x80cm large Play Mat,38 Piece Farm Toys Play Sets with Jumbo Animals Figures,Tractor Toy and Farm Tools,Educational Farm Role Play for Kids 3 4 5 Years Olds",https://angelwholesale.co.uk/Item/Farm-Animal-Face-Stickers-S10142,https://www.amazon.co.uk/dp/B0F8BL96RP,200,,,,0.18,0.15,34.99,4.37375,2.41,0.55,5.831666667,1.49675,22.22458333,-1.49675,21.67458333,3096.369048,8.9805,74.33409546
5.05057E+12,,B0DL47ZJR2,Princess Party Invitations 20pk,"Mould King V8 Engine Building Blocks Sets, 10171 MOC Scale Model Kit with Battery and Motor, Collectible Set for Adults, Construction Toys for Teens(487 Pcs)",https://angelwholesale.co.uk/Item/Pirate-Party-Invitations---20pk-toy01854,https://www.amazon.co.uk/dp/B0DL47ZJR2,100,,,,0.66,0.55,48.99,6.12375,2.41,0.55,8.165,1.92675,31.74125,-1.92675,31.19125,2835.568182,11.5605,76.40232701
5.05612E+12,5.0564E+12,B08DL72YJP,A New Star - Rocking Horse Pink,"HOMCOM Kids Rocking Rabbit, Plush Rocking Horse Ride-On w/Sound, Wood Base, Seatbelt, for Ages 18-36 Months, Pink",https://angelwholesale.co.uk/Item/A-New-Star---Rocking-Horse-Blue-toy07794,https://www.amazon.co.uk/dp/B08DL72YJP,50,,Available (see Keepa data),1,0.348,0.29,49.09,7.36,9.23,0.55,8.181666667,3.486,24.02833333,-3.486,23.47833333,2795.039683,20.916,57.39254431
5.05652E+12,,B0F7R9GN9X,Capella Glass Votive (7cm x 8cm),"Aigostar 2000W Electric Fan Heater, Energy Efficient Space Heater with Remote Control, 70° Oscillation, 4 Modes, 24H Timer, Overheat & Tip-Over Protection - Silent Ceramic Heater for Home/Bedroom",https://angelwholesale.co.uk/occasions/wedding/wedding-table-decorations/halo-glass-votive-3-5cm-x-8cm-/p1059270.html,https://www.amazon.co.uk/dp/B0F7R9GN9X,100,,,,0.852,0.71,53.99,6.74875,2.41,0.55,8.998333333,2.08375,35.12291667,-2.08375,34.57291667,2743.882275,12.5025,76.84293388
