category,is_exact_ean,Pack_Verdict,Adjusted_Profit,NetProfit,ROI,Qty_Ratio,Sup_Qty,Amz_Qty,title_match,sales,SupplierTitle,AmazonTitle,Supplier EAN,Amazon EAN,ASIN,SupplierPrice_incVAT,SellingPrice_incVAT,manual_group,manual_pack_count_supplier,manual_pack_count_amazon,manual_size_tokens_supplier,manual_size_tokens_amazon,ip_risk
UNCERTAIN,False,1:1 Match,83.45,83.45,6623.01587301587,1.0,1.0,1.0,0.11162790697674418,50,LUXURY CUPCAKE 100 CASES,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",5015302477202,717710483480,B0FGHZB8FM,0.852,129.0,,100.0,,,"1.60kg,64mm",False
UNCERTAIN,False,1:1 Match,82.135,82.135,4512.91208791208,1.0,1.0,1.0,0.026905829596412557,100,MINKY CURVE SCOURER 2PC,"Powerful 2200W Premium Garment Steamer with 3L Water Tank, Dual Steam Settings for Rapid Wrinkle Release, Suitable for All Fabrics Including Delicates, Updated Design, Fridja f1200 Clothes Steamer Pro",5010353328800,5065018907005,B0D3M53JGG,1.524,132.99,,,,,"2200w,3l",False
UNCERTAIN,False,1:1 Match,64.85,64.85,4323.33333333333,1.0,1.0,1.0,0.1565217391304348,500,STATUS LED G9 2W LED CAPSULE BULB EACH,"17.5"" Portable DVD Player with 15.6"" Large HD Swivel Screen, 6 Hours Rechargeable Battery, Support USB/SD Card/Sync TV and Multiple Disc Formats, No Region Restrict, High Volume Speaker, Black",5022822226623,889328733407,B086ZJ8N2T,1.14,94.02,,,,2w,,False
UNCERTAIN,False,1:1 Match,41.565,41.565,3744.59459459459,1.0,1.0,1.0,0.1981981981981982,50,FESTIVE MAGIC BELLS 8PC ASSORTED,"Hazel Quinn x Eduardo Recife 2-Slice Toaster, 6 Browning Levels, Defrost/Reheat/Cancel Functions, Removable Crumb Tray for Easy Cleaning, 1.5-Inch Extra-Wide Slots, Retro Style Collaboration",4894158018552,-,B0DNSWBYMZ,0.672,69.99,,,,,,False
UNCERTAIN,False,1:1 Match,44.6016666666666,44.6016666666666,3655.87431693989,1.0,1.0,1.0,0.2631578947368421,100,CEMENT FLOWER POT WITH SUCCULENT CIRCLE 3 ASSORTED,"Sewing Machine for Beginners â€“ Portable Electric with 12 Built-In Stitch Patterns, 6 Presser Feet, Foot Pedal, 2-Speed Control, Fast Sewing for Clothes, Fabrics, DIY & Home Use",5050565743725,-,B0FGCSDMBW,0.804,74.99,,,,,,False
UNCERTAIN,False,1:1 Match,82.42,82.42,3599.12663755458,1.0,1.0,1.0,0.09691629955947137,50,PROKLEEN SPUNLACE FLOOR MOP & HANDLE,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",5055706641151,717710483480,B0FGHZB8FM,2.088,129.0,,,,,"1.60kg,64mm",False
UNCERTAIN,False,1:1 Match,82.33,82.33,3459.24369747899,1.0,1.0,1.0,0.1278538812785388,50,PLUNGER BUFFALO MINI PLUNGER,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",5055297302240,717710483480,B0FGHZB8FM,2.196,129.0,,,,,"1.60kg,64mm",False
UNCERTAIN,False,1:1 Match,90.505,90.505,3315.20146520146,1.0,1.0,1.0,0.09174311926605505,300,PANASONIC UPRIGHT   SDB113,"ElecKeys Cordless Vacuum Cleaner,65 Mins 580W 48KPa 1.8L Vacuum Cleaners for Home,Self-Standing Anti-Tangle Vacuum,Handheld Vacuum Cleaner Rechargeable Wall-Mounted for Carpets Floors Pet Hair",5030017011138,-,B0FB36DTHD,2.616,144.99,,,,,"1.8l,580w",False
UNCERTAIN,False,1:1 Match,69.50125,69.50125,3116.64798206278,1.0,1.0,1.0,0.25301204819277107,50,TOM SMITH CHRISTMAS CARDS LUXURY SLIM FOLIAGE TEXT,Nilfisk Core 130 Bar High Pressure Washer with Power Control - Mini Power Washer for Patios and Car Cleaner (1500 W),5012213580601,-,B08KYJWQPV,2.016,104.67,,,,,1500w,False
UNCERTAIN,False,BUNDLE (487x) - LOSS,-329.0460833333334,32.5379166666666,2781.01851851851,487.0,1.0,487.0,0.10752688172043011,100,PAPER EASTER 10 PLATES 7 INCH,"Mould King V8 Engine Building Blocks Sets, 10171 MOC Scale Model Kit with Battery and Motor, Collectible Set for Adults, Construction Toys for Teens(487 Pcs)",5050565569936,-,B0DL47ZJR2,0.744,50.99,,,487.0,7inch,,False
UNCERTAIN,False,1:1 Match,81.64,81.64,2659.28338762215,1.0,1.0,1.0,0.13445378151260504,50,PROKLEEN CHENILLE FLOOR MOP & EXTENDABLE HANDLE,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",5055706641182,717710483480,B0FGHZB8FM,3.024,129.0,,,,,"1.60kg,64mm",False
UNCERTAIN,False,1:1 Match,35.0733333333333,35.0733333333333,2637.09273182957,1.0,1.0,1.0,0.058823529411764705,100,CAPPUCCINO CUP,"Tevlaphee Steering Wheel Lock with Alarm, 120dB, Wheel Spoke Width â‰¤2.75in, Battery Required, Crook Locks for Cars, Car Lock Anti-Theft Device, Heavy Duty",6923456804005,-,B09WDKDVZC,0.936,57.64,,,,,2.75in,False
