idx,brand,supplier,amazon,profit,sales
727,QUEST,QUEST EXPRESSO COFFEE EXPRESSO MACHINE WITH MILK FROTHER,Quest 36569 Espresso Coffee Machine With Milk Frother / 1.2L,33.6262499999999,500
188,EVERBUILD,EVERBUILD SEALANT STRIPOUT TOOL,Everbuild Super Flow Sealant/Adhesive Cartridge Applicator G,28.78875,400
451,CLIPPER,EXTRASTAR PROFESSIONAL CLIPPER RECHAREABLE USB-C BLACK,"Ufree Hair Clippers for Men, Professional Clippers and Trimm",18.5516666666666,200
1700,QUEST,QUEST TURBO BLENDER 2 IN 1 32129,"Quest Food Processor, 6-in-1 Chopper, Blender, Grinder, 2 Li",14.0825,200
748,WHAM,WHAM CRYSTAL 60LTR SMOKE BOX & LID,Wham Crystal 5 x 60L Stackable Plastic Storage Boxes with Li,13.8099999999999,50
1505,SPONTEX,SPONTEX QUICK SPRAY MOP DUO,Spontex Quick Spray Duo Flat Spray Mop with Washable Microfi,12.735,50
741,FAIRY,THE CHRISTMAS WORKSHOP 40 FAIRY LIGHTS  CLEAR,40M 800 LED Fairy Lights Outdoor Christmas Lights Plug in Cl,9.31166666666666,200
733,KILNER,KILNER 1LTR SQUARE CLIP TOP JAR (SP),6 x Kilner Clip Top Glass Storage Jar - Square 1 Litre,8.49333333333333,50
973,MASON CASH,MASON CASH MIXING BOWL IN THE MEADOW DAFFODIL 21CM,Mason Cash in The Forest Hedgehog Mixing Bowl 1.1 Litre | 21,7.96,100
261,CLIPPER,CLIPPER GAS LIGHTER MINI TUBE,Genuine CLIPPER Universal Lighter Fuel Fluid Refill 300ML Pa,7.20291666666666,50
832,SCHOTT ZWIESEL,SCHOTT ZWIESEL WHITE WINE GLASS 407ML SET OF 2,Schott Zwiesel Pure Glassware - White Wine Glasses - Set of ,7.17833333333333,200
972,VINERS,VINERS EVERYDAY PURITY 4PC DINNER KNIFE,Viners Everyday Breeze 16 Piece 18/0 Silver Stainless Steel ,6.77333333333333,50
1375,MASON CASH,MASON CASH MIXING BOWL OWL STONE 26CM,Mason Cash in The Forest Owl Mixing Bowl 4 Litre | 26cm Dark,6.53833333333333,300
581,FAIRY,DRESS UP CHILD FAIRY WINGS,"EQLEF Fairy Wings Costume Kids, Princess Fairy Costume Butte",5.915,100
350,SUPERIOR,SUPERIOR ROUND 10 CONTAINER & LID 4 OZ,Superior 32oz Food Containers With Lids â€“ 20-Pack Durable ,5.645,100
976,SOUDAL,SOUDAL EXPANDING FOAM HAND HELD 150ML,Soudal 750ml Champagne Gap Filler Expanding Foam Handheld Sp,5.47458333333333,400
1788,EVERBUILD,EVERBUILD BITUMEN TROWEL MASTIC 1 LITRE,"Everbuild 103 Premium Trowel Mastic, Stone, 6 kg",5.33583333333333,50
333,SUPERIOR,SUPERIOR ROUND 10 CONTAINER & LID 2 OZ,Superior 20-Pack 16oz Microwave Containers With Lids â€“ Dur,5.30166666666666,100
376,DRAPER,DRAPER HSS DRILL BIT 1.5 MM,"Draper 18551 Combined HSS and Masonry Drill Bit Set, Blue, 1",5.155,100
1690,MASON CASH,MASON CASH MIXING BOWL CREAM 29CM,Mason Cash Colour Mix Cream Mixing Bowl | 4 Litre Capacity |,5.11499999999999,200
486,BAKER,PENDEFORD POTATO BAKER,"Microwave Potato Baker, Red",5.07083333333333,50
1338,WHAM,WHAM CRYSTAL 32LTR SMOKE BOX & LID,Wham Crystal 5 x 32L Stackable Plastic Storage Boxes with Li,5.01833333333333,100
1055,SUPERIOR,SUPERIOR FOIL 5 CONTAINERS & LID 2400ML,Superior Foil Containers with Lids â€“ 9x13 Inches Sturdy De,4.99625,200
1142,EXTRA SELECT,EXTRA SELECT PREMIUM RABBIT FOOD BUCKET 5L,Extra Select Premium Rabbit Mix Bucket 5L - Balanced Complem,4.85791666666666,300
1470,SOUDAL,SOUDAL EXPANDING FOAM HANDHELD 750ML,Soudal 750ml Champagne Gap Filler Expanding Foam Handheld Sp,4.25458333333333,400
1404,SUPERIOR,SUPERIOR FOIL 5 CONTAINERS & LID 9X13IN,Superior Foil Containers with Lids â€“ 9x13 Inches Sturdy De,4.15625,200
1433,KILROCK,KILROCK BATHROOM & KITCHEN DRAIN UNBLOCKER 1 LITRE(SOLD EACH,Kilrock SLAM - Sink and Plughole Bathroom Drain Unblocker - ,4.12416666666666,50
1731,PYREX,PYREX CLASSIC CASSEROLE 1.3LTR,Pyrex Essentials Glass Round Casserole Dish with Lid 1.0L Tr,3.69833333333333,50
1225,SUPERIOR,SUPERIOR FOIL 10 CONTAINERS & LID 1 LTR,"Superior 10-Pack Aluminium Foil Trays with Paper Lids, Heavy",3.27833333333333,700
2222,PYREX,PYREX ESSENTIALS CASSEROLE 6.7LTR RECT,Pyrex Essentials - Set of 3 glass casseroles high resistance,3.18666666666666,300
1556,SUPERIOR,SUPERIOR FOIL 5 CONTAINERS & LID 4.5LTR,Superior Foil Containers with Lids â€“ 9x13 Inches Sturdy De,3.06499999999999,200
1716,AMTECH,AMTECH VICE BABY,"Amtech D2600 150mm (6"") Woodworking vice",3.04166666666666,100
1378,SUPERIOR,SUPERIOR FOIL 10 CONTAINERS & LID 1 LTR,"Superior 10-Pack Aluminium Foil Trays with Paper Lids, Heavy",2.99833333333333,700
864,BACOFOIL,BACOFOIL ZIPPER BAGS ALL PURPOSE 12 PACK 1L (PM Â£2.19),Bacofoil 3 x Zipper Small All Purpose Bags Food Freezing Sto,2.93,500
1053,PASABAHCE,PASABAHCE CIHANGIR TEA GLASS 95 CC 6PC,"Pasabahce Istanbul tea glass, set of 6, drinking glasses wit",2.86166666666666,100
756,TIDYZ,TIDYZ WHEELY BIN LINERS 5 BAGS 300L,Tidyz 30 Extra Large Wheelie Bin Liners Waste Rubbish Bags 3,2.76666666666666,500
1138,PASABAHCE,PASABAHCE KANDILLI OPTIC TEA GLASS 90CC 6PC,"Pasabahce Istanbul tea glass, set of 6, drinking glasses wit",2.73166666666666,100
809,TIDYZ,TIDYZ PEDAL BIN LINERS 40 WHITE TIE HANDLE 15L,Tidyz 6 Packs Of 40 White Plastic Bin Bags - Fits 15L Pedal ,2.72666666666666,500
810,TIDYZ,TIDYZ COMPOSTABLE 15 BAGS 10LTR,Tidyz 6 Packs Of 40 White Plastic Bin Bags - Fits 15L Pedal ,2.72666666666666,500
929,PAN AROMA,PAN AROMA JAR CANDLE 85GM SALTED CARAMEL,"Pan Aroma Orange Decorative Holder & Scented Candle, Salted ",2.725,50
927,PAN AROMA,PAN AROMA CANDLE 85G LEMONGRASS,"Pan Aroma Orange Decorative Holder & Scented Candle, Salted ",2.725,50
928,PAN AROMA,PAN AROMA CANDLE 85G PURE JASMINE,"Pan Aroma Orange Decorative Holder & Scented Candle, Salted ",2.725,50
1103,CURVER,CURVER RATTAN ROUND LARGE ORGANISER GREY,"CURVER Style Rattan Effect Kitchen, Living room, Bathroom, B",2.71,50
1452,DRAPER,DRAPER HEX KEY SET METRIC DIY 8 PC,Draper 10 Piece T-Handle Hexagon Allen Key Set | Metric Long,2.65833333333333,500
1097,AMTECH,AMTECH DRAIN CLEANER,Amtech S1895 Flexible Drain Auger & Waste Pipe Unblocker,2.60208333333333,200
1069,PAN AROMA,PAN AROMA CANDLE 85G LIME GINGER,"Pan Aroma Orange Decorative Holder & Scented Candle, Salted ",2.565,50
1312,AMTECH,AMTECH LED MINI TORCH,Amtech S1532 9 LED mini Torch,2.34833333333333,200
1456,KILROCK,KILROCK DAMP CLEAR MOULD REMOVER ACTIVE FOAMING ACTION 500ML,Kilrock 3 X Blast Away Mould Spray 500ml,2.30083333333333,200
1289,CHUPA CHUPS,CHUPA CHUPS MINI LOLLIES 12PC,Chupa Chups The Best of x50 Lollipops,2.17791666666666,300
1448,BACOFOIL,BACOFOIL ZIPPER BAGS ALL PURPOSE 15 PACK SMALL 1L,Bacofoil 3 x Zipper Small All Purpose Bags Food Freezing Sto,2.17,500
2067,DRAPER,DRAPER SPANNER SET METRIC COMBINATION,Draper 1 x Redline 68481 Metric Combination Spanner Set (11-,2.15333333333333,100
1850,SUPERIOR,SUPERIOR FOIL 10 CONTAINERS & LID 9X9IN,"Superior 10-Pack Aluminium Foil Trays with Paper Lids, Heavy",2.12833333333333,700
920,BEAUFORT,BEAUFORT SQUARE FOOD CONTAINER 600ML,Beaufort 13 Litre New SQUARE FOOD & CAKE CONTAINER WITH CLEA,2.09291666666666,200
1654,CORAL,"CORAL EASY COATER 4"" & FREE BRUSH",Coral 10501 Easy Coater Paint Kit with Headlock and Mini Rol,2.06666666666666,500
987,BEAUFORT,BEAUFORT SQUARE FOOD CONTAINER 1LTR,Beaufort 13 Litre New SQUARE FOOD & CAKE CONTAINER WITH CLEA,2.03,200
2125,CLIPPER,CLIPPER ELECTRONIC BRIO LIGHTERS PK25,Clipper Lighter Solid Colors Refillable With Refillable Flin,1.99791666666666,800
1306,AMTECH,AMTECH PADLOCK BRASS 20MM,"Amtech T0790 Brass Small Padlocks with Keys for Luggage, loc",1.98666666666666,50
1791,DRAPER,DRAPER WINDOW SQUEEGEE,Draper Telescopic Window Cleaning Equipment | 46.55 to 73.5c,1.91166666666666,100
1174,STATUS,STATUS TV TWIN AERAIL ADAPTOR S CLAM IN CDU,Status 15 Metre TV Aerial Cable Extension Kit | White | Exte,1.72499999999999,200
2208,EXTRA SELECT,EXTRA SELECT FISH FOOD BLEND BUCKET 5L,"Extra Select Complete Fish Food Blend Tub, 5 Litre",1.71375,50
1334,PAN AROMA,PAN AROMA JAR CANDLE 85GM RED BERRY,"PAN AROMAÂ® RED Decorative Holder & Scented Candle, RED Berr",1.67166666666666,50
2284,YALE,YALE ESSENTIALS DEADLOCK P/BRASS 64MM,"Yale British Standard 5 Lever Mortice Deadlock, High Securit",1.61833333333333,200
1423,PAN AROMA,PAN AROMA CANDLE TALL APPLE&CINN EACH,Pan Aroma 16 Tea Lights Apple & Cinnamon,1.515,100
1422,PAN AROMA,PAN AROMA CANDLE ROUND APPLE CINNAMON EACH,Pan Aroma 16 Tea Lights Apple & Cinnamon,1.515,100
1421,PAN AROMA,PAN AROMA C TEA-LIGHTS 16PK APP&CIN,Pan Aroma 16 Tea Lights Apple & Cinnamon,1.515,100
2097,SUPERIOR,SUPERIOR FOIL 10 CONTAINERS & LID 2 LTR,"Superior 10-Pack Aluminium Foil Trays with Paper Lids, Heavy",1.47833333333333,700
1660,AMTECH,AMTECH PICK-UP TOOL TELE MAG 5LB,Amtech S8006 3 LED telescopic torch and magnetic pick up too,1.44,100
1804,MARIGOLD,MARIGOLD OUTDOOR GLOVES EXTRA LARGE,Marigold 2 x Extra Tough Outdoor Gloves - Single Pair (Extra,1.40833333333333,200
2147,TALA,TALA MEAT THERMOMETER 4106,"Tala Stainless Steel Meat Thermometer, Classic Meat Probe fo",1.30833333333333,50
2115,MINKY,MINKY IRONING BOARD CLIPS PK3,Minky Easy Fit Ironing board cover + Ironing Board Clips Bun,1.25833333333333,100
1467,BEAUFORT,BEAUFORT MEASURE ULTIMATE JUG 3LTR,Beaufort 3 Litre Ultimate Plastic Measuring Jug,1.25416666666666,50
